datetime,fromNode,batteryLevel,voltage,channelUtilization,airUtilTx,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-04-25 03:46:27.435501,0x433af864,101,4.224,5.661667,0.027583333,,,,3,3
2025-04-25 03:47:27.501291,0x433af864,98,4.175,,0.044,,,,,3
2025-04-25 03:48:27.559782,0x433af864,97,4.158,,0.044,,,,,3
2025-04-25 03:48:28.210445,0x433b0b38,97,4.154,,0.2713611,7.5,-55,,5,4
2025-04-25 03:49:27.740513,0x433af864,98,4.164,,0.059527777,,,,,3
2025-04-25 03:50:27.773189,0x433af864,100,4.193,,0.059527777,,,,,3
2025-04-25 03:51:27.810497,0x433af864,101,4.21,,0.059527777,,,,,3
2025-04-25 03:52:27.841817,0x433af864,100,4.199,,0.059527777,,,,,3
2025-04-25 03:53:27.888747,0x433af864,101,4.204,,0.059527777,,,,,3
2025-04-25 03:54:27.921936,0x433af864,98,4.174,,0.059527777,,,,,3
2025-04-25 03:54:30.695645,0x433b0b38,97,4.153,,0.2713611,5.75,-55,,5,4
2025-04-25 03:55:27.988288,0x433af864,101,4.206,,0.075055555,,,,,3
2025-04-25 03:56:28.038074,0x433af864,101,4.206,,0.075055555,,,,,3
2025-04-25 03:57:28.071677,0x433af864,98,4.163,,0.075055555,,,,,3
2025-04-25 03:57:53.568410,0x43590ff4,101,4.218,,0.22477777,6.25,-54,,5,5
2025-04-25 03:58:28.096698,0x433af864,98,4.17,1.8633333,0.09058333,,,,,3
2025-04-25 03:59:28.127468,0x433af864,100,4.195,,0.09058333,,,,,3
2025-04-25 04:00:28.158964,0x433af864,100,4.19,,0.09058333,,,,,3
2025-04-25 04:00:29.608633,0x433b0b38,98,4.172,,0.2713611,6.0,-54,,5,4
2025-04-25 04:01:28.145038,0x433af864,100,4.198,,0.10611111,,,,,3
2025-04-25 04:02:28.218631,0x433af864,99,4.189,,0.10611111,,,,,3
2025-04-25 04:03:28.278754,0x433af864,100,4.195,,0.10611111,,,,,3
2025-04-25 04:04:28.311047,0x433af864,97,4.152,,0.10611111,,,,,3
2025-04-25 04:05:28.349018,0x433af864,97,4.158,,0.10611111,,,,,3
2025-04-25 04:06:28.394399,0x433af864,97,4.149,,0.10611111,,,,,3
2025-04-25 04:06:28.965617,0x433b0b38,99,4.186,,0.2713611,6.75,-55,,5,4
2025-04-25 04:07:28.495801,0x433af864,99,4.189,,0.12163889,,,,,3
