datetime,fromNode,temperature,relativeHumidity,barometricPressure,gasResistance,iaq,windDirection,windSpeed,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-05-02 13:21:45.751709,0x433b0b38,25.120607,38.292442,1013.11957,22.614841,50,,,6.25,-28,,5,5
2025-05-02 13:22:45.601531,0x433b0b38,25.32899,37.890697,1013.1087,43.17032,50,,,5.75,-28,,5,5
2025-05-02 13:25:13.247391,0x433b0b38,25.827923,36.605064,1013.092,72.72727,50,,,6.5,-25,,5,5
2025-05-02 13:26:31.337338,0x433b0b38,26.018156,36.180496,1013.0829,85.90604,50,,,6.0,-31,,5,5
2025-05-02 13:27:30.671589,0x433b0b38,26.097864,35.999752,1013.0827,99.26328,50,,,6.25,-32,,5,5
2025-05-02 13:28:30.686599,0x433b0b38,26.185364,35.85989,1013.05896,109.02896,50,,,6.75,-22,,5,5
2025-05-02 13:29:30.731291,0x433b0b38,26.313848,35.566628,1013.0673,117.189285,50,,,7.25,-23,,5,5
2025-05-02 13:30:30.772483,0x433b0b38,26.403881,35.35813,1013.0329,125.64417,50,,,7.5,-22,,5,5
2025-05-02 13:31:30.741301,0x433b0b38,26.4091,35.286037,1013.0416,133.6117,27,,,6.5,-23,,5,5
2025-05-02 13:32:30.748253,0x433b0b38,26.47837,35.164013,1013.05054,140.31242,9,,,5.75,-23,,5,5
2025-05-02 13:33:31.375487,0x433b0b38,26.511835,35.11736,1013.0695,145.70291,,,,6.75,-22,,5,5
2025-05-02 13:34:30.778515,0x433b0b38,26.53237,35.005524,1013.0411,153.56927,,,,6.0,-22,,5,5
2025-05-02 13:35:31.369511,0x433b0b38,26.550518,34.848934,1013.0453,160.35077,,,,6.25,-22,,5,5
2025-05-02 13:36:31.508494,0x433b0b38,26.550556,34.80796,1013.0101,165.0016,,,,6.25,-22,,5,5
2025-05-02 13:37:31.161123,0x433b0b38,26.538557,34.82229,1012.9746,169.59258,,,,6.0,-23,,5,5
2025-05-02 13:38:31.067210,0x433b0b38,26.527378,34.85201,1012.95856,174.09045,,,,5.75,-22,,5,5
2025-05-02 13:39:30.944668,0x433b0b38,26.52359,34.854465,1012.9743,175.7035,,,,6.25,-23,,5,5
2025-05-02 13:40:31.051417,0x433b0b38,26.549303,34.858765,1012.9917,179.77528,,,,6.0,-22,,5,5
2025-05-02 13:41:31.548478,0x433b0b38,26.575207,34.835255,1012.96045,183.64418,,,,6.0,-23,,5,5
2025-05-02 13:42:31.558430,0x433b0b38,26.54681,34.883457,1012.9889,192.15613,,,,5.75,-23,,5,5
2025-05-02 13:43:31.026540,0x433b0b38,26.557133,34.861034,1012.9848,192.37271,,,,6.5,-22,,5,5
2025-05-02 13:44:31.639275,0x433b0b38,26.546963,34.9333,1012.9772,198.75777,,,,6.25,-22,,5,5
2025-05-02 13:45:31.757694,0x433b0b38,26.539326,34.95597,1012.8985,199.80487,,,,5.5,-22,,5,5
2025-05-02 13:46:31.637533,0x433b0b38,26.477499,35.118664,1012.92664,203.37636,7,,,5.75,-22,,5,5
2025-05-02 13:47:31.639348,0x433b0b38,26.514597,35.08517,1012.88605,204.35042,24,,,6.25,-23,,5,5
2025-05-02 13:48:31.956749,0x433b0b38,26.554676,35.104733,1012.848,207.20357,33,,,6.0,-23,,5,5
2025-05-02 13:49:31.685530,0x433b0b38,26.545376,35.111874,1012.8538,209.49265,44,,,6.0,-22,,5,5
2025-05-02 13:50:31.834446,0x433b0b38,26.506805,35.235577,1012.8662,210.00821,51,,,6.0,-22,,5,5
2025-05-02 13:51:31.307523,0x433b0b38,26.514597,35.24884,1012.83575,213.2889,53,,,6.25,-22,,5,5
2025-05-02 13:52:31.842131,0x433b0b38,26.542768,35.20952,1012.8428,215.7152,48,,,5.75,-22,,5,5
2025-05-02 13:53:31.754200,0x433b0b38,26.54163,35.2764,1012.8695,221.45328,48,,,6.0,-22,,5,5
2025-05-02 13:54:31.413398,0x433b0b38,26.480034,35.407394,1012.83203,221.74101,50,,,6.0,-22,,5,5
2025-05-02 13:55:31.802362,0x433b0b38,26.50174,35.372074,1012.7972,221.74101,51,,,5.5,-23,,5,5
2025-05-02 13:56:31.703666,0x433b0b38,26.497957,35.39285,1012.74066,224.51218,50,,,7.0,-22,,5,5
2025-05-02 13:57:31.400599,0x433b0b38,26.511911,35.41844,1012.7177,223.77621,55,,,6.0,-22,,5,5
2025-05-02 13:58:31.362280,0x433b0b38,26.508202,35.42319,1012.7081,224.51218,52,,,6.0,-22,,5,5
2025-05-02 13:59:31.942278,0x433b0b38,26.51974,35.43786,1012.70734,227.051,50,,,6.25,-22,,5,5
2025-05-02 14:00:31.892515,0x433b0b38,26.485062,35.51803,1012.7321,226.90005,53,,,6.25,-22,,5,5
2025-05-02 14:01:32.014605,0x433b0b38,26.510773,35.488224,1012.7193,229.80252,54,,,5.75,-22,,5,5
2025-05-02 14:02:31.423497,0x433b0b38,26.480034,35.549973,1012.7331,231.51706,51,,,6.5,-22,,5,5
2025-05-02 14:03:31.981257,0x433b0b38,26.50174,35.49633,1012.7016,231.98912,55,,,6.5,-22,,5,5
2025-05-02 14:04:32.023664,0x433b0b38,26.509378,35.54229,1012.745,234.53963,49,,,5.5,-22,,5,5
2025-05-02 14:05:31.458552,0x433b0b38,26.476028,35.538197,1012.68085,234.8624,50,,,6.5,-22,,5,5
2025-05-02 14:06:31.626739,0x433b0b38,26.503214,35.523136,1012.65405,239.98125,47,,,6.0,-22,,5,5
2025-05-02 14:07:31.623712,0x433b0b38,26.486124,35.50142,1012.6567,236.81776,52,,,6.25,-22,,5,5
2025-05-02 14:08:31.521443,0x433b0b38,26.488659,35.509624,1012.6946,239.47614,51,,,6.25,-23,,5,5
2025-05-02 14:09:32.082341,0x433b0b38,26.486162,35.5027,1012.72546,244.10013,48,,,5.75,-22,,5,5
2025-05-02 14:10:31.614287,0x433b0b38,26.447517,35.495422,1012.69257,240.82785,54,,,6.25,-22,,5,5
2025-05-02 14:11:31.590287,0x433b0b38,26.501513,35.380352,1012.7066,243.0572,52,,,5.5,-22,,5,5
