datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2024-12-19 14:19:44.560326,0x433aad0c,13,23,23,13,23,23,-1.0,-100,,3,3
2024-12-19 14:19:51.335954,0x433acb14,4,9,11,4,9,11,3.25,-93,,3,3
2024-12-19 14:20:06.406285,0x433ad35c,15,23,24,15,23,24,3.25,-90,,3,3
2024-12-19 14:20:15.395315,0x433bc2b0,11,22,31,11,22,31,6.75,-77,,3,3
2024-12-19 14:20:30.168276,0x433b0098,11,17,20,11,17,20,4.5,-85,,2,2
2024-12-19 14:20:31.838436,0x433aafcc,16,24,24,16,24,24,4.5,-89,,5,5
2024-12-19 14:20:45.255266,0x433aad0c,15,23,24,15,23,24,3.0,-92,,3,2
2024-12-19 14:20:50.789231,0x433acb14,5,10,11,5,10,11,4.25,-90,,3,3
2024-12-19 14:21:06.333100,0x433ad35c,14,24,25,14,24,25,3.0,-92,,3,3
2024-12-19 14:21:16.380031,0x433bc2b0,12,21,26,12,21,26,6.5,-76,,3,3
2024-12-19 14:21:31.565944,0x433aafcc,15,28,28,15,28,28,3.25,-91,,5,5
2024-12-19 14:21:40.610167,0x433aad0c,14,23,23,14,23,23,3.75,-90,,3,3
2024-12-19 14:21:49.879001,0x433acb14,5,13,17,5,13,17,4.25,-89,,3,3
2024-12-19 14:22:06.543891,0x433ad35c,13,24,27,13,24,27,3.5,-91,,3,3
2024-12-19 14:22:16.887780,0x433bc2b0,12,18,23,12,18,23,5.25,-78,,3,3
2024-12-19 14:22:31.193719,0x433aafcc,14,24,27,14,24,27,4.25,-90,,5,5
2024-12-19 14:22:39.622980,0x433aad0c,12,19,19,12,19,19,4.5,-88,,3,3
2024-12-19 14:22:49.226867,0x433acb14,6,13,13,6,13,13,-2.5,-98,,3,3
