datetime,fromNode,ch3Voltage,ch3Current,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2024-12-19 12:25:33.816783,0x433ad35c,13.295,58.75,6.0,-64,,3,3
2024-12-19 12:26:12.757878,0x433abf20,13.2875,65.0,6.5,-74,,3,3
2024-12-19 12:29:01.768090,0x433aafcc,13.27625,68.75,5.5,-75,,5,5
2024-12-19 12:29:19.194066,0x433acb14,13.28125,66.25,5.75,-79,,3,3
2024-12-19 12:30:09.142742,0x433aad0c,13.26125,76.25,5.5,-49,,3,3
2024-12-19 12:30:47.615780,0x433bc2b0,13.1825,58.75,-1.75,-92,,3,3
2024-12-19 12:31:14.749398,0x433abf20,13.285,66.25,5.25,-75,,3,3
2024-12-19 12:34:02.217998,0x433aafcc,13.27625,68.75,5.25,-72,,5,5
2024-12-19 12:34:20.751802,0x433acb14,13.28125,62.5,6.25,-71,,3,3
2024-12-19 12:35:38.263678,0x433ad35c,13.2925,73.75,5.75,-67,,3,3
2024-12-19 12:36:14.645890,0x433abf20,13.28625,61.25,4.75,-82,,3,3
2024-12-19 12:39:04.099564,0x433aafcc,13.275,62.5,5.25,-78,,5,5
2024-12-19 12:39:22.732540,0x433acb14,13.28125,62.5,7.25,-68,,3,3
2024-12-19 12:40:11.329509,0x433aad0c,13.26,72.5,6.75,-46,,3,3
2024-12-19 12:44:04.783979,0x433aafcc,13.27625,68.75,5.75,-60,,5,5
2024-12-19 12:44:21.714852,0x433acb14,13.27375,78.75,5.75,-73,,3,3
2024-12-19 12:45:41.779382,0x433ad35c,13.28875,87.5,6.5,-66,,3,3
2024-12-19 12:46:16.956364,0x433abf20,13.2825,76.25,5.75,-75,,3,3
2024-12-19 12:49:06.481521,0x433aafcc,13.2775,68.75,6.25,-69,,5,5
2024-12-19 12:49:25.865438,0x433acb14,13.28125,63.75,6.25,-74,,3,3
2024-12-19 12:50:15.312180,0x433aad0c,13.2675,63.75,5.5,-37,,3,3
2024-12-19 12:50:53.283139,0x433bc2b0,13.185,61.25,-3.5,-94,,3,3
2024-12-19 12:51:16.425895,0x433abf20,13.28375,77.5,3.25,-87,,3,3
2024-12-19 12:53:19.960406,0x433b0098,13.255,72.5,5.25,-72,,2,2
2024-12-19 12:59:08.529561,0x433aafcc,13.27875,61.25,6.5,-62,,5,5
2024-12-19 12:59:24.526585,0x433acb14,13.28,66.25,6.0,-66,,3,3
2024-12-19 13:00:21.242383,0x433aad0c,13.265,73.75,6.75,-34,,3,3
2024-12-19 13:00:56.297345,0x433bc2b0,13.16875,73.75,-0.5,-91,,3,3
2024-12-19 13:03:22.199687,0x433b0098,13.25625,73.75,2.75,-87,,2,2
2024-12-19 13:04:09.784326,0x433aafcc,13.27625,70.0,6.75,-61,,5,5
2024-12-19 13:04:26.687383,0x433acb14,13.27875,75.0,5.5,-73,,3,3
2024-12-19 13:05:45.871033,0x433ad35c,13.2925,76.25,5.75,-70,,3,3
2024-12-19 13:06:18.172967,0x433abf20,13.28875,66.25,5.5,-67,,3,3
2024-12-19 13:09:11.639413,0x433aafcc,13.27625,75.0,5.75,-59,,5,5
2024-12-19 13:09:31.372190,0x433acb14,13.27875,76.25,5.75,-68,,3,2
2024-12-19 13:10:21.042838,0x433aad0c,13.2675,63.75,6.5,-39,,3,3
2024-12-19 13:10:59.568581,0x433bc2b0,13.18,58.75,,-100,,3,3
2024-12-19 13:11:17.209649,0x433abf20,13.29,63.75,6.25,-68,,3,3
2024-12-19 13:13:23.760665,0x433b0098,13.2575,71.25,5.0,-84,,2,2
2024-12-19 13:14:12.290654,0x433aafcc,13.2775,76.25,5.0,-88,,5,5
2024-12-19 13:14:28.339895,0x433acb14,13.28375,66.25,6.25,-77,,3,3
2024-12-19 13:15:49.283357,0x433ad35c,13.29125,73.75,3.25,-87,,3,3
2024-12-19 13:16:17.604219,0x433abf20,13.2875,63.75,5.5,-77,,3,3
2024-12-19 13:20:24.467227,0x433aad0c,13.26375,72.5,4.25,-86,,3,3
2024-12-19 13:21:01.030156,0x433bc2b0,13.19125,63.75,5.0,-82,,3,3
2024-12-19 13:21:18.681065,0x433abf20,13.29,66.25,5.25,-77,,3,3
2024-12-19 13:23:29.289381,0x433b0098,13.265,58.75,3.5,-88,,2,2
2024-12-19 13:24:17.988869,0x433aafcc,13.27875,66.25,-3.5,-100,,5,5
2024-12-19 13:24:31.198287,0x433acb14,13.2825,65.0,3.0,-92,,3,3
