datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2024-12-18 16:09:16.880472,0x433ad35c,5,7,8,5,7,8,-11.0,-89,,3,3
2024-12-18 16:09:22.025483,0x433abf20,4,6,6,4,6,6,-10.0,-88,,3,3
2024-12-18 16:09:33.185793,0x433aad0c,5,8,9,5,8,9,-10.0,-88,,3,3
2024-12-18 16:10:19.360021,0x433ad35c,7,8,8,7,8,8,-11.5,-90,,3,3
2024-12-18 16:10:22.306439,0x433abf20,5,5,5,5,5,5,-9.75,-89,,3,3
2024-12-18 16:10:33.368920,0x433aad0c,5,8,8,5,8,8,-9.75,-88,,3,3
2024-12-18 16:11:17.592895,0x433ad35c,7,8,9,7,8,9,-11.75,-89,,3,3
2024-12-18 16:11:22.537278,0x433abf20,4,5,5,4,5,5,-10.25,-88,,3,3
2024-12-18 16:11:33.600042,0x433aad0c,5,6,7,5,6,7,-9.5,-87,,3,3
2024-12-18 16:12:17.608859,0x433ad35c,7,9,9,7,9,9,-10.25,-88,,3,3
2024-12-18 16:12:22.758822,0x433abf20,2,6,6,2,6,6,-10.25,-89,,3,3
2024-12-18 16:12:34.135244,0x433aad0c,6,8,8,6,8,8,-8.0,-86,,3,3
2024-12-18 16:13:17.859972,0x433ad35c,6,9,9,6,9,9,-10.25,-88,,3,3
2024-12-18 16:13:22.937938,0x433abf20,2,4,4,2,4,4,-11.0,-89,,3,3
2024-12-18 16:13:34.265257,0x433aad0c,4,5,5,4,5,5,-8.5,-86,,3,3
2024-12-18 16:13:37.087478,0x433acb14,2,5,5,2,5,5,-5.75,-84,,3,3
2024-12-18 16:14:18.012399,0x433ad35c,6,6,7,6,6,7,-10.25,-88,,3,3
2024-12-18 16:14:34.537399,0x433aad0c,6,10,10,6,10,10,-8.75,-86,,3,3
2024-12-18 16:14:38.567949,0x433acb14,2,4,8,2,4,8,-5.5,-83,,3,3
2024-12-18 16:15:18.758579,0x433ad35c,6,8,10,6,8,10,-10.5,-88,,3,3
2024-12-18 16:15:23.226911,0x433abf20,3,4,6,3,4,6,-11.25,-89,,3,3
2024-12-18 16:15:34.610700,0x433aad0c,4,4,4,4,4,4,-9.0,-86,,3,3
2024-12-18 16:15:37.631172,0x433acb14,2,5,8,2,5,8,-6.0,-83,,3,3
2024-12-18 16:16:20.640976,0x433ad35c,6,7,7,6,7,7,-9.5,-87,,3,3
2024-12-18 16:16:23.830136,0x433abf20,3,4,5,3,4,5,-12.25,-90,,3,3
2024-12-18 16:16:35.121764,0x433aad0c,6,7,7,6,7,7,-9.25,-87,,3,3
2024-12-18 16:16:38.308912,0x433acb14,2,2,2,2,2,2,-5.5,-83,,3,3
2024-12-18 16:17:18.731805,0x433ad35c,4,6,6,4,6,6,-10.75,-89,,3,3
2024-12-18 16:17:23.703634,0x433abf20,2,2,2,2,2,2,-11.5,-90,,3,3
2024-12-18 16:17:35.024102,0x433aad0c,4,7,7,4,7,7,-8.75,-86,,3,3
2024-12-18 16:17:39.049213,0x433acb14,2,4,6,2,4,6,-5.5,-83,,3,3
2024-12-18 16:18:19.040854,0x433ad35c,4,5,6,4,5,6,-10.75,-88,,3,3
2024-12-18 16:18:23.968515,0x433abf20,2,3,3,2,3,3,-11.25,-90,,3,3
2024-12-18 16:18:35.302943,0x433aad0c,5,7,7,5,7,7,-9.0,-86,,3,3
2024-12-18 16:18:36.945280,0x433aafcc,6,8,10,6,8,10,-9.25,-87,,5,5
2024-12-18 16:18:40.199443,0x433acb14,1,1,3,1,1,3,-4.75,-83,,3,3
2024-12-18 16:19:20.267130,0x433ad35c,6,8,8,6,8,8,-9.0,-87,,3,3
2024-12-18 16:19:35.515340,0x433aad0c,6,7,7,6,7,7,-9.0,-86,,3,3
2024-12-18 16:19:38.060249,0x433aafcc,4,7,8,4,7,8,-9.0,-88,,5,5
2024-12-18 16:19:42.198961,0x433acb14,1,2,2,1,2,2,-5.25,-83,,3,3
2024-12-18 16:20:19.728035,0x433ad35c,7,9,11,7,9,11,-10.75,-88,,3,3
2024-12-18 16:20:24.869676,0x433abf20,3,5,5,3,5,5,-11.75,-90,,3,3
2024-12-18 16:20:35.773059,0x433aafcc,5,5,5,5,5,5,-11.0,-88,,5,5
2024-12-18 16:20:39.367698,0x433aad0c,5,7,7,5,7,7,-8.25,-87,,3,3
2024-12-18 16:20:41.245212,0x433acb14,1,1,3,1,1,3,-4.75,-83,,3,3
2024-12-18 16:21:27.308959,0x433abf20,4,5,7,4,5,7,0.75,-89,,3,3
2024-12-18 16:21:27.369345,0x433aafcc,6,8,8,6,8,8,1.25,-89,,5,5
2024-12-18 16:21:27.383932,0x433aad0c,4,6,6,4,6,6,-8.0,-87,,3,3
2024-12-18 16:21:28.935171,0x433acb14,2,3,3,2,3,3,-5.25,-83,,3,3
2024-12-18 16:22:23.785984,0x433ad35c,4,6,6,4,6,6,-9.0,-87,,3,3
2024-12-18 16:22:36.313939,0x433aafcc,4,5,6,4,5,6,-10.75,-89,,5,5
2024-12-18 16:22:41.505686,0x433acb14,3,3,5,3,3,5,-4.75,-82,,3,3
2024-12-18 16:22:44.820454,0x433aad0c,4,5,6,4,5,6,-8.5,-86,,3,3
2024-12-18 16:23:20.862513,0x433ad35c,6,8,9,6,8,9,-9.5,-88,,3,3
2024-12-18 16:23:25.257571,0x433abf20,3,5,5,3,5,5,-12.25,-90,,3,3
2024-12-18 16:23:36.496547,0x433aafcc,5,8,8,5,8,8,-11.0,-89,,5,5
2024-12-18 16:23:39.080872,0x433aad0c,4,5,5,4,5,5,-8.0,-87,,3,3
2024-12-18 16:23:41.398024,0x433acb14,1,2,2,1,2,2,-4.25,-82,,3,3
2024-12-18 16:24:20.536317,0x433ad35c,6,7,7,6,7,7,-9.5,-88,,3,3
2024-12-18 16:24:36.706431,0x433aafcc,4,5,7,4,5,7,-8.5,-87,,5,5
2024-12-18 16:24:39.248593,0x433aad0c,5,7,7,5,7,7,-9.5,-87,,3,3
