datetime,fromNode,batteryLevel,voltage,channelUtilization,airUtilTx,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2024-12-18 16:08:41.136800,0x336462e4,98,4.167,13.44,0.25205556,,,,,7
2024-12-18 16:09:41.113802,0x336462e4,98,4.173,13.178333,0.30427778,,,,,7
2024-12-18 16:10:16.944726,0x433b0b38,94,4.115,9.440001,1.7488333,6.25,-45,,5,5
2024-12-18 16:10:39.895055,0x433aad0c,101,4.238,14.575,2.5746112,-9.5,-87,,3,3
2024-12-18 16:10:41.171833,0x336462e4,100,4.194,16.681667,0.3335,,,,,7
2024-12-18 16:11:30.773739,0x433acb14,101,4.201,12.001666,1.9316388,-5.75,-83,,3,3
2024-12-18 16:11:41.319165,0x336462e4,98,4.169,13.85,0.3481111,,,,,7
2024-12-18 16:12:31.637191,0x433ad35c,97,4.161,13.998333,3.120139,-10.25,-88,,3,3
2024-12-18 16:12:41.395268,0x336462e4,101,4.223,15.683333,0.41469443,,,,,7
2024-12-18 16:13:41.452452,0x336462e4,101,4.246,18.408333,0.48174998,,,,,7
2024-12-18 16:13:51.297605,0x433abf20,101,4.23,20.105,2.0343332,-12.0,-90,,3,3
2024-12-18 16:14:12.008283,0x433acb14,99,4.178,27.308332,0.06161111,-5.75,-83,,3,3
2024-12-18 16:14:41.351985,0x336462e4,90,4.054,25.886667,0.61147225,,,,,7
2024-12-18 16:15:41.430711,0x336462e4,101,4.225,15.549999,0.67422223,,,,,7
2024-12-18 16:16:17.166644,0x433b0b38,98,4.168,13.204999,1.8236111,5.75,-45,,5,5
2024-12-18 16:16:41.847612,0x336462e4,10,3.311,16.901667,0.7369722,,,,,7
2024-12-18 16:16:41.877836,0x433aad0c,101,4.213,16.025,2.6678889,-7.5,-87,,3,3
2024-12-18 16:17:41.614822,0x336462e4,94,4.114,13.249999,0.79494447,,,,,7
2024-12-18 16:18:31.889500,0x433ad35c,100,4.19,20.368334,3.2127223,-9.5,-87,,3,3
2024-12-18 16:18:41.726175,0x336462e4,99,4.186,20.586666,0.8138611,,,,,7
2024-12-18 16:19:10.003762,0x433aafcc,101,4.201,25.606668,0.11411111,-9.25,-88,,5,5
2024-12-18 16:19:42.168992,0x336462e4,22,3.442,25.11,0.9249444,,,,,7
2024-12-18 16:19:51.248445,0x433abf20,99,4.188,24.96,2.2908888,-11.25,-89,,3,3
2024-12-18 16:20:11.316871,0x433acb14,101,4.234,23.24,0.35925,-5.5,-83,,3,3
2024-12-18 16:20:46.672937,0x33644004,101,4.209,22.433332,1.6660833,7.0,-29,,6,6
2024-12-18 16:21:55.308903,0x336462e4,101,4.214,30.071667,0.10925001,,,,,7
