datetime,fromNode,temperature,relativeHumidity,barometricPressure,gasResistance,iaq,windDirection,windSpeed,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2024-12-18 16:08:37.359506,0x433abf20,15.998225,57.279755,1007.86005,114.74675,194,,,-9.25,-87,,3,3
2024-12-18 16:08:54.834804,0x433acb14,16.149803,57.28162,1007.42645,136.0887,191,,,-5.0,-82,,3,3
2024-12-18 16:08:55.721124,0x433ad35c,16.950392,56.528736,1009.07935,114.06038,85,,,-11.5,-89,,3,3
2024-12-18 16:09:37.262387,0x433abf20,15.950209,57.245995,1007.8528,119.1529,192,,,-10.5,-88,,3,3
2024-12-18 16:09:54.692719,0x433acb14,16.103672,57.437195,1007.4216,137.19513,191,,,-4.75,-82,,3,3
2024-12-18 16:09:58.749199,0x433aad0c,16.537266,57.281036,1009.65967,130.96169,149,,,-8.75,-88,,3,3
2024-12-18 16:10:37.303528,0x433abf20,15.941455,57.44229,1007.8827,119.06976,192,,,-11.0,-89,,3,3
2024-12-18 16:10:54.660979,0x433acb14,16.06796,57.692863,1007.42444,137.86766,191,,,-6.0,-83,,3,3
2024-12-18 16:11:37.291554,0x433abf20,15.844553,57.6377,1007.8661,119.82214,192,,,-15.0,-93,,3,3
2024-12-18 16:11:54.219817,0x433acb14,15.888734,57.928806,1007.4122,138.09329,190,,,-6.5,-83,,3,3
2024-12-18 16:11:57.536357,0x433ad35c,16.622059,56.79332,1009.0705,116.10843,85,,,-9.75,-89,,3,3
2024-12-18 16:12:37.367896,0x433abf20,15.735847,57.87012,1007.84766,120.669334,192,,,-11.5,-90,,3,3
2024-12-18 16:12:54.257127,0x433acb14,15.860588,58.112534,1007.43134,139.11789,190,,,-9.0,-86,,3,3
2024-12-18 16:12:58.752685,0x433aad0c,16.400568,57.672905,1009.6394,132.30649,149,,,-8.25,-86,,3,3
2024-12-18 16:13:39.175061,0x433abf20,15.707407,57.914265,1007.85815,118.98675,193,,,-11.75,-90,,3,3
2024-12-18 16:14:37.847123,0x433acb14,15.81709,58.11149,1007.4427,137.08368,209,,,-5.5,-83,,3,3
2024-12-18 16:14:53.973311,0x433abf20,15.656082,58.0639,1007.8495,121.615204,191,,,-12.25,-90,,3,3
2024-12-18 16:14:56.615348,0x433ad35c,16.308989,57.117607,1009.045,120.77945,80,,,-10.5,-88,,3,3
2024-12-18 16:15:38.401429,0x433acb14,15.740213,57.96014,1007.4156,140.0415,209,,,-5.5,-84,,3,3
2024-12-18 16:15:53.700456,0x433abf20,15.631217,57.841183,1007.8331,123.106514,190,,,-12.0,-90,,3,3
2024-12-18 16:15:58.768868,0x433aad0c,16.190388,57.42092,1009.61066,136.9583,146,,,-8.25,-86,,3,3
2024-12-18 16:16:37.749395,0x433acb14,15.824653,57.678177,1007.4171,141.2134,209,,,-5.5,-83,,3,3
2024-12-18 16:16:54.538448,0x433abf20,15.60053,57.85377,1007.83575,123.462746,190,,,-11.5,-89,,3,3
2024-12-18 16:17:38.284607,0x433acb14,15.817353,57.61676,1007.40735,144.47774,208,,,-5.75,-83,,3,3
2024-12-18 16:17:53.407501,0x433abf20,15.564965,57.738503,1007.8316,125.09161,190,,,-12.0,-89,,3,3
2024-12-18 16:17:56.593754,0x433ad35c,16.190193,57.327988,1009.03296,120.77945,81,,,-9.5,-88,,3,3
2024-12-18 16:18:39.230540,0x433acb14,15.6975765,57.7739,1007.4099,146.73914,207,,,-5.0,-83,,3,3
2024-12-18 16:18:57.079950,0x433abf20,15.475829,58.045834,1007.795,121.78877,192,,,-12.5,-90,,3,3
2024-12-18 16:19:00.885791,0x433aad0c,16.332369,57.21495,1009.6098,138.08739,146,,,-8.25,-87,,3,3
