datetime,fromNode,ch3Voltage,ch3Current,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2024-12-18 16:10:18.639879,0x433ad35c,13.325,73.75,-11.75,-89,,3,3
2024-12-18 16:12:26.056087,0x433abf20,13.42,67.5,-10.0,-89,,3,3
2024-12-18 16:13:04.598650,0x433acb14,13.33125,71.25,-8.5,-87,,3,3
2024-12-18 16:13:45.944860,0x433acb14,13.335,65.0,-6.0,-83,,3,3
2024-12-18 16:14:35.459732,0x433aad0c,13.38875,60.0,-8.75,-87,,3,3
2024-12-18 16:17:26.270997,0x433abf20,13.41375,68.75,-11.25,-90,,3,3
2024-12-18 16:18:20.567175,0x433aafcc,13.3825,60.0,-11.0,-89,,5,5
2024-12-18 16:18:44.781407,0x433aafcc,13.38,66.25,-11.5,-89,,5,5
2024-12-18 16:18:47.591599,0x433acb14,13.33125,60.0,-5.5,-83,,3,3
2024-12-18 16:20:20.522291,0x433ad35c,13.3275,65.0,-10.25,-89,,3,3
2024-12-18 16:22:26.871518,0x433abf20,13.41,61.25,-11.0,-90,,3,3
2024-12-18 16:23:44.732923,0x433aafcc,13.3475,140.0,-12.0,-90,,5,5
2024-12-18 16:23:47.908001,0x433acb14,13.3275,61.25,-5.5,-83,,3,3
2024-12-18 16:24:40.271533,0x433aad0c,13.37875,63.75,-9.25,-87,,3,3
2024-12-18 16:27:26.901322,0x433abf20,13.40125,73.75,-10.0,-88,,3,3
2024-12-18 16:28:47.361082,0x433acb14,13.3225,75.0,-4.75,-83,,3,3
2024-12-18 16:28:49.835178,0x433aafcc,13.365,60.0,-8.25,-86,,5,5
2024-12-18 16:30:22.979237,0x433ad35c,13.325,66.25,-9.75,-88,,3,3
2024-12-18 16:32:29.119507,0x433abf20,13.3775,132.5,-9.5,-87,,3,2
2024-12-18 16:33:48.246319,0x433acb14,13.3175,73.75,-5.25,-82,,3,3
2024-12-18 16:33:51.130964,0x433aafcc,13.36,62.5,-9.75,-87,,5,5
2024-12-18 16:34:40.605550,0x433aad0c,13.37125,63.75,-11.25,-89,,3,3
2024-12-18 17:02:20.589142,0x433ad35c,13.32625,63.75,-6.25,-94,,3,2
2024-12-18 17:02:32.889393,0x433abf20,13.37125,63.75,-12.0,-89,,3,3
2024-12-18 17:12:51.295033,0x433ad35c,13.32125,76.25,-3.5,-91,,3,3
2024-12-18 17:12:51.968995,0x433abf20,13.34,127.5,-2.75,-90,,3,3
2024-12-18 17:13:53.184756,0x433aafcc,13.3275,73.75,-17.0,-92,,5,5
2024-12-18 17:13:57.124243,0x433acb14,13.305,63.75,-7.25,-83,,3,3
2024-12-18 17:14:53.330662,0x433aad0c,13.3375,68.75,-7.25,-83,,3,3
2024-12-18 17:17:38.017712,0x433abf20,13.355,78.75,-14.75,-90,,3,3
2024-12-18 17:18:55.651077,0x433aafcc,13.3225,73.75,-17.5,-93,,5,5
2024-12-18 17:19:02.883338,0x433acb14,13.30125,77.5,-7.5,-83,,3,3
2024-12-18 17:20:40.256915,0x433ad35c,13.31875,75.0,-8.25,-84,,3,2
2024-12-18 17:22:40.541113,0x433abf20,13.35125,73.75,-11.0,-87,,3,3
2024-12-18 17:23:56.897351,0x433aafcc,13.32375,65.0,-15.0,-90,,5,5
2024-12-18 17:23:58.387681,0x433acb14,13.29875,78.75,-8.0,-84,,3,3
2024-12-18 17:24:54.447947,0x433aad0c,13.33125,72.5,-7.0,-83,,3,3
2024-12-18 17:27:41.757872,0x433abf20,13.3475,72.5,-9.25,-85,,3,3
2024-12-18 17:28:59.005448,0x433aafcc,13.32125,67.5,-14.5,-90,,5,5
2024-12-18 17:29:02.748123,0x433acb14,13.29875,62.5,-8.0,-84,,3,3
2024-12-18 17:29:22.135925,0x433b0098,13.29,57.5,-4.25,-80,,2,2
2024-12-18 17:30:15.861327,0x433b0098,13.29,55.0,-1.0,-77,,2,2
2024-12-18 17:30:38.448734,0x433ad35c,13.32,76.25,-12.5,-88,,3,3
2024-12-18 17:32:47.436882,0x433abf20,13.33875,75.0,-14.25,-90,,3,2
2024-12-18 17:34:01.602114,0x433acb14,13.29875,63.75,-8.0,-84,,3,3
2024-12-18 17:34:07.302942,0x433aafcc,13.31625,75.0,-13.0,-89,,5,4
2024-12-18 17:34:59.540090,0x433aad0c,13.32875,60.0,-7.5,-84,,3,3
2024-12-18 17:37:42.937379,0x433abf20,13.34125,63.75,-9.25,-85,,3,3
2024-12-18 17:38:59.443804,0x433aafcc,13.315,63.75,-14.25,-90,,5,5
2024-12-18 17:39:01.728336,0x433acb14,13.2925,72.5,-8.25,-84,,3,3
