datetime,fromNode,batteryLevel,voltage,channelUtilization,airUtilTx,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2024-12-19 11:25:31.237439,0x433aad0c,100,4.193,33.396667,3.2613053,4.75,-90,,3,3
2024-12-19 11:25:37.740338,0x433aca0c,101,-0.001,36.011665,0.087805554,,,,,3
2024-12-19 11:25:50.547439,0x433ad35c,100,4.193,41.49,3.5506945,-5.75,-104,,3,3
2024-12-19 11:26:17.410003,0x3364411c,98,4.174,21.683334,8.083305,-1.5,-103,,6,5
2024-12-19 11:26:25.607931,0x433aafcc,99,4.186,28.421667,4.1306114,-0.25,-101,,5,5
2024-12-19 11:26:37.947758,0x433aca0c,101,-0.001,25.871668,0.15574999,,,,,3
2024-12-19 11:27:24.628734,0x433acb14,101,4.212,28.085,3.8698335,0.5,-99,,3,3
2024-12-19 11:27:37.952937,0x433aca0c,101,-0.001,21.076668,0.22008333,,,,3,3
2024-12-19 11:28:30.786565,0x433b0b38,95,4.12,26.38,3.6228888,6.5,-52,,5,5
2024-12-19 11:28:38.102946,0x433aca0c,101,-0.001,28.186666,0.30155554,,,,,3
2024-12-19 11:28:49.311909,0x433bc2b0,101,4.234,29.428333,2.6780555,5.5,-73,,3,3
2024-12-19 11:29:38.026541,0x433aca0c,101,-0.001,24.095001,0.34491667,,,,,3
2024-12-19 11:30:09.318694,0x433aad0c,101,4.217,28.938332,3.3153334,-1.25,-91,,3,3
2024-12-19 11:30:38.651394,0x433aca0c,101,-0.001,36.573334,0.42386112,,,,,3
2024-12-19 11:31:38.776975,0x433aca0c,101,-0.001,26.35,0.5361111,,,,,3
2024-12-19 11:31:52.682526,0x433ad35c,98,4.172,33.828335,3.5535276,-10.25,-106,,3,2
2024-12-19 11:32:24.155724,0x433aafcc,101,4.229,26.815,4.062028,6.5,-71,,5,5
2024-12-19 11:32:38.780298,0x433aca0c,101,-0.001,21.298334,0.58380556,,,,,3
2024-12-19 11:33:03.866165,0x433abf20,101,4.212,20.996666,2.8629167,6.0,-73,,3,3
2024-12-19 11:33:24.363270,0x433acb14,101,4.235,31.398333,3.7619166,6.0,-71,,3,3
2024-12-19 11:33:38.739140,0x433aca0c,101,-0.001,26.775,0.6025,,,,,3
2024-12-19 11:34:30.517393,0x433b0b38,96,4.141,30.058332,3.6386945,5.5,-57,,5,5
2024-12-19 11:34:38.829349,0x433aca0c,101,-0.001,25.101667,0.63125,,,,,3
2024-12-19 11:34:49.393671,0x433bc2b0,101,4.248,31.369999,2.691111,-1.25,-91,,3,3
2024-12-19 11:35:38.766192,0x433aca0c,101,-0.001,18.618334,0.65999997,,,,,3
2024-12-19 11:35:49.764218,0x336462e4,101,4.201,20.781666,2.7511668,7.0,-80,,7,7
2024-12-19 11:35:57.713080,0x433b0098,98,4.173,23.59,2.8933055,2.25,-91,,2,2
2024-12-19 11:36:10.902136,0x433aad0c,99,4.188,34.318333,3.2470834,7.0,-63,,3,3
2024-12-19 11:37:38.997444,0x433aca0c,101,-0.001,28.005001,0.69127774,,,,,3
2024-12-19 11:37:51.196920,0x433ad35c,101,4.206,30.248333,3.4847221,5.5,-79,,3,3
2024-12-19 11:38:25.073821,0x433aafcc,101,4.216,28.085,4.0211945,5.75,-72,,5,5
2024-12-19 11:38:39.084370,0x433aca0c,101,-0.001,25.678333,0.72866666,,,,,3
2024-12-19 11:39:00.997765,0x433abf20,100,4.197,21.189999,2.8800833,6.25,-66,,3,3
2024-12-19 11:39:25.913387,0x433acb14,99,4.183,31.096666,3.7610557,6.75,-70,,3,3
2024-12-19 11:39:39.204550,0x433aca0c,101,-0.001,28.221666,0.75741667,,,,,3
2024-12-19 11:40:31.295560,0x433b0b38,100,4.197,29.385,3.51275,5.75,-66,,5,5
2024-12-19 11:40:39.090695,0x433aca0c,101,-0.001,29.660002,0.8169722,,,,,3
2024-12-19 11:40:50.775419,0x433bc2b0,101,4.222,34.175,2.6913056,3.0,-83,,3,3
2024-12-19 11:41:39.131027,0x433aca0c,101,-0.001,23.353334,0.8806111,,,,,3
2024-12-19 11:44:26.021558,0x433aafcc,101,4.233,27.596668,4.0670834,5.5,-72,,5,5
2024-12-19 11:44:39.265581,0x433aca0c,101,-0.001,23.203333,0.94266665,,,,,3
2024-12-19 11:45:23.181628,0x433acb14,99,4.178,28.113333,3.8063333,6.25,-77,,3,3
2024-12-19 11:45:39.371572,0x433aca0c,101,-0.001,18.783335,0.97141665,,,,,3
2024-12-19 11:46:01.120393,0x433abf20,101,4.237,23.623333,2.94075,,-90,,3,3
2024-12-19 11:46:30.963401,0x433b0b38,94,4.119,27.648333,3.472389,5.75,-66,,5,5
2024-12-19 11:46:39.888212,0x433aca0c,101,-0.001,30.713335,0.97141665,,,,,3
2024-12-19 11:46:53.584304,0x433bc2b0,101,4.236,24.716667,2.6866944,0.75,-91,,3,3
2024-12-19 11:47:27.110210,0x33644004,101,4.201,23.64,3.5750556,-14.25,-102,,6,6
2024-12-19 11:47:39.754095,0x433aca0c,101,-0.001,22.068333,1.0063056,,,,,3
2024-12-19 11:47:53.145261,0x433b0098,97,4.153,22.939999,2.8758888,5.75,-72,,2,2
2024-12-19 11:48:10.704983,0x433aad0c,99,4.182,30.156666,3.3875835,5.75,-37,,3,3
2024-12-19 11:48:40.210855,0x433aca0c,101,-0.001,28.735,1.0371112,,,,,3
2024-12-19 11:49:40.246635,0x433aca0c,101,-0.001,25.843334,1.0699445,,,,,3
2024-12-19 11:49:53.436563,0x433ad35c,101,4.211,27.676666,3.4489722,5.5,-77,,3,3
2024-12-19 11:50:27.566276,0x433aafcc,101,4.202,20.286667,4.006778,5.5,-72,,5,5
2024-12-19 11:50:40.305306,0x433aca0c,101,-0.001,21.38,1.0845556,,,,3,3
2024-12-19 11:51:23.238467,0x433acb14,98,4.168,37.9,3.7148335,-7.0,-95,,3,3
2024-12-19 11:51:40.398158,0x433aca0c,101,-0.001,26.089998,1.1815001,,,,,3
2024-12-19 11:52:31.447957,0x433b0b38,100,4.19,27.786667,3.451111,5.25,-73,,5,5
2024-12-19 11:52:40.357875,0x433aca0c,101,-0.001,25.733334,1.2148055,,,,,3
2024-12-19 11:52:49.269020,0x433bc2b0,100,4.192,25.733334,2.7473335,-9.25,-98,,3,3
2024-12-19 11:53:40.557821,0x433aca0c,101,-0.001,23.975,1.2581667,,,,,3
2024-12-19 11:53:57.684600,0x433b0098,100,4.196,22.928333,2.8834167,5.0,-79,,2,2
2024-12-19 11:54:10.836569,0x433aad0c,101,4.246,30.456669,3.3230834,7.0,-37,,3,3
2024-12-19 11:54:40.898383,0x433aca0c,101,-0.001,32.326664,1.3243055,,,,,3
2024-12-19 11:56:12.915772,0x3364411c,99,4.184,20.15,8.277583,5.5,-77,,6,5
2024-12-19 11:56:28.518219,0x433aafcc,101,4.204,25.446665,4.019639,5.25,-68,,5,5
2024-12-19 11:56:40.854834,0x433aca0c,101,-0.001,30.563334,1.484361,,,,,3
2024-12-19 11:57:23.667628,0x433acb14,99,4.181,25.966667,3.7226665,4.0,-88,,3,3
2024-12-19 11:57:40.923231,0x433aca0c,101,-0.001,26.718334,1.5010278,,,,,3
2024-12-19 11:58:32.291230,0x433b0b38,101,4.202,24.421667,3.4554164,4.5,-81,,5,5
2024-12-19 11:58:41.004146,0x433aca0c,101,-0.001,24.706667,1.53025,,,,,3
2024-12-19 11:58:49.710232,0x433bc2b0,101,4.225,30.456669,2.7826943,-14.75,-108,,3,3
2024-12-19 11:59:41.307021,0x433aca0c,101,-0.001,23.145,1.5610555,,,,,3
2024-12-19 12:00:11.412883,0x433aad0c,101,4.207,31.798332,3.2627776,6.0,-54,,3,3
2024-12-19 12:00:41.169692,0x433aca0c,101,-0.001,24.555,1.6085001,,,,,3
2024-12-19 12:01:41.584767,0x433aca0c,101,-0.001,23.835001,1.6085001,,,,,3
2024-12-19 12:01:55.622538,0x433ad35c,97,4.16,35.22,3.6387498,7.5,-64,,3,3
2024-12-19 12:02:56.415401,0x433b0098,98,4.166,20.491667,2.9859445,6.0,-67,,2,2
2024-12-19 12:03:03.203359,0x433abf20,101,4.201,24.223333,2.9805834,7.0,-77,,3,3
2024-12-19 12:03:25.634243,0x433acb14,97,4.158,38.758335,3.6337223,6.25,-72,,3,3
2024-12-19 12:03:41.956322,0x433aca0c,101,-0.001,33.381668,1.7270833,,,,,3
2024-12-19 12:04:32.063032,0x433b0b38,98,4.164,31.138334,3.3245277,3.0,-83,,5,5
2024-12-19 12:04:41.664779,0x433aca0c,101,-0.001,31.356665,1.7725,,,,,3
2024-12-19 12:04:49.746855,0x433bc2b0,101,4.211,29.660002,2.8360276,-6.25,-95,,3,3
2024-12-19 12:05:51.659446,0x336462e4,101,4.226,21.946667,2.478139,3.75,-91,,7,7
2024-12-19 12:06:17.347061,0x433aad0c,101,4.209,30.006668,3.1428053,6.25,-46,,3,3
2024-12-19 12:06:42.024055,0x433aca0c,101,-0.001,27.528334,1.8330001,,,,,3
2024-12-19 12:07:42.335766,0x433aca0c,101,-0.001,23.068333,1.8852223,,,,,3
2024-12-19 12:07:56.540672,0x433ad35c,99,4.182,36.451668,3.652,5.75,-69,,3,3
2024-12-19 12:11:42.699324,0x433aca0c,101,-0.001,26.515001,2.1405556,,,,,3
2024-12-19 12:11:54.708517,0x433b0098,97,4.159,19.301666,3.0929444,6.0,-68,,2,2
2024-12-19 12:12:13.273317,0x433aad0c,100,4.193,34.705,3.1900554,5.75,-62,,3,3
2024-12-19 12:12:42.862292,0x433aca0c,101,-0.001,29.15,2.1674445,,,,,3
2024-12-19 12:13:42.797930,0x433aca0c,101,-0.001,28.171667,2.1815832,,,,,3
2024-12-19 12:13:55.668021,0x433ad35c,99,4.181,28.529999,3.7758331,6.0,-63,,3,3
2024-12-19 12:17:43.108978,0x433aca0c,101,-0.001,19.29,2.3031945,,,,,3
2024-12-19 12:17:54.955833,0x433b0098,97,4.151,21.701666,3.1919723,5.75,-68,,2,2
2024-12-19 12:18:12.396677,0x433aad0c,100,4.194,25.133333,3.293639,6.0,-47,,3,3
2024-12-19 12:18:43.167652,0x433aca0c,101,-0.001,30.904999,2.3342223,,,,,3
2024-12-19 12:19:43.251361,0x433aca0c,101,-0.001,27.978334,2.3629723,,,,,3
2024-12-19 12:19:56.347437,0x433ad35c,101,4.227,30.825,3.7016113,5.75,-64,,3,3
2024-12-19 12:22:34.563351,0x433b0b38,96,4.147,27.488333,2.9528055,6.0,-69,,5,5
2024-12-19 12:22:43.631667,0x433aca0c,101,-0.001,25.435001,2.4437222,,,,,3
2024-12-19 12:22:50.564427,0x433bc2b0,101,4.258,29.431667,2.8355832,1.0,-87,,3,3
2024-12-19 12:23:43.658141,0x433aca0c,101,-0.001,24.521667,2.5037498,,,,,3
2024-12-19 12:24:17.592990,0x433aad0c,100,4.196,31.426664,3.2785833,6.0,-46,,3,3
2024-12-19 12:24:43.679963,0x433aca0c,101,-0.001,26.47,2.5511944,,,,,3
2024-12-19 12:25:04.506937,0x433abf20,101,4.211,23.378334,2.8735278,6.75,-77,,3,3
2024-12-19 12:25:43.798377,0x433aca0c,101,-0.001,26.771667,2.5007777,,,,,3
2024-12-19 12:25:55.648724,0x433ad35c,100,4.194,31.645,3.7102778,6.0,-66,,3,3
2024-12-19 12:26:27.836735,0x433aafcc,101,4.207,26.611668,3.7599723,5.5,-73,,5,5
2024-12-19 12:26:43.919576,0x433aca0c,101,-0.001,24.886665,2.4962223,,,,,3
2024-12-19 12:26:55.187507,0x433b0098,98,4.172,24.67,3.1852224,6.0,-72,,2,2
2024-12-19 12:27:26.120399,0x433acb14,100,4.195,30.253332,3.705972,6.25,-71,,3,3
2024-12-19 12:27:43.848480,0x433aca0c,101,-0.001,32.22333,2.5135834,,,,,3
2024-12-19 12:28:33.509133,0x433b0b38,98,4.172,22.473333,2.9063332,6.25,-67,,5,5
2024-12-19 12:28:43.924113,0x433aca0c,101,-0.001,25.048334,2.4197779,,,,,3
2024-12-19 12:28:50.770917,0x433bc2b0,101,4.204,26.17,2.7686112,2.75,-87,,3,3
2024-12-19 12:29:43.914824,0x433aca0c,101,-0.001,25.735,2.4179723,,,,,3
2024-12-19 12:30:15.185779,0x433aad0c,100,4.198,22.75,3.142,6.5,-46,,3,3
2024-12-19 12:30:43.971624,0x433aca0c,101,-0.001,31.535,2.4256668,,,,,3
2024-12-19 12:31:44.209397,0x433aca0c,101,-0.001,22.666668,2.375472,,,,,3
2024-12-19 12:31:56.539472,0x433ad35c,98,4.175,27.266666,3.6647499,7.0,-69,,3,3
2024-12-19 12:32:05.461351,0x433abf20,101,4.213,21.516666,2.918139,6.0,-75,,3,3
2024-12-19 12:32:28.289374,0x433aafcc,101,4.226,25.051666,3.7855554,4.25,-78,,5,5
2024-12-19 12:32:30.926314,0x33644004,101,4.217,24.914999,3.4240556,-6.0,-94,,6,6
2024-12-19 12:32:44.205282,0x433aca0c,101,-0.001,26.116667,2.279861,,,,,3
