datetime,fromNode,ch3Voltage,ch3Current,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2024-12-19 11:25:31.207508,0x433acb14,13.2725,77.5,4.25,-93,,3,3
2024-12-19 11:25:31.905281,0x433ad35c,13.2925,62.5,-1.25,-104,,3,3
2024-12-19 11:26:07.338071,0x433abf20,13.27625,75.0,-1.75,-101,,3,3
2024-12-19 11:28:44.869875,0x433aafcc,13.2675,76.25,4.5,-84,,5,5
2024-12-19 11:29:00.858627,0x433acb14,13.2775,65.0,3.25,-86,,3,3
2024-12-19 11:29:54.608499,0x433aad0c,13.2625,62.5,-1.0,-93,,3,3
2024-12-19 11:30:33.346173,0x433bc2b0,13.18,67.5,-9.0,-99,,3,2
2024-12-19 11:31:07.592858,0x433abf20,13.27875,63.75,5.0,-83,,3,3
2024-12-19 11:33:11.423267,0x433b0098,13.25,71.25,5.25,-60,,2,2
2024-12-19 11:33:47.674022,0x433aafcc,13.2725,63.75,5.25,-79,,5,5
2024-12-19 11:34:01.939180,0x433acb14,13.27375,73.75,5.75,-69,,3,3
2024-12-19 11:35:22.102137,0x433ad35c,13.29,73.75,5.75,-52,,3,3
2024-12-19 11:36:07.863980,0x433abf20,13.27625,72.5,5.75,-66,,3,3
2024-12-19 11:38:46.846630,0x433aafcc,13.27,77.5,5.25,-73,,5,5
2024-12-19 11:39:03.470490,0x433acb14,13.275,62.5,5.75,-74,,3,3
2024-12-19 11:39:56.190312,0x433aad0c,13.26,73.75,5.75,-62,,3,3
2024-12-19 11:40:34.802417,0x433bc2b0,13.19375,58.75,-2.0,-89,,3,3
2024-12-19 11:41:08.472044,0x433abf20,13.2775,73.75,5.75,-73,,3,3
2024-12-19 11:44:04.977052,0x433acb14,13.275,62.5,5.25,-73,,3,3
2024-12-19 11:45:25.044539,0x433ad35c,13.28625,105.0,6.25,-68,,3,3
2024-12-19 11:46:08.441396,0x433abf20,13.28,65.0,5.75,-69,,3,3
2024-12-19 11:48:50.596653,0x433aafcc,13.27,78.75,7.0,-73,,5,5
2024-12-19 11:49:06.196722,0x433acb14,13.2775,63.75,5.25,-82,,3,3
2024-12-19 11:49:59.258520,0x433aad0c,13.25875,71.25,6.0,-53,,3,3
2024-12-19 11:50:43.063130,0x433bc2b0,13.19125,63.75,-7.75,-104,,3,2
2024-12-19 11:51:08.599363,0x433abf20,13.28125,58.75,5.0,-76,,3,3
2024-12-19 11:53:12.446598,0x433b0098,13.255,58.75,-2.75,-90,,2,2
2024-12-19 11:53:52.419038,0x433aafcc,13.2725,67.5,5.75,-68,,5,5
2024-12-19 11:54:07.923536,0x433acb14,13.27875,66.25,5.75,-81,,3,3
2024-12-19 11:55:28.090522,0x433ad35c,13.29125,75.0,5.5,-70,,3,3
2024-12-19 11:56:09.952248,0x433abf20,13.28,71.25,6.5,-71,,3,3
2024-12-19 11:58:53.360125,0x433aafcc,13.2725,80.0,6.0,-73,,5,5
2024-12-19 11:59:07.690159,0x433acb14,13.27875,67.5,6.5,-80,,3,3
2024-12-19 12:00:01.039023,0x433aad0c,13.2625,62.5,6.75,-63,,3,3
2024-12-19 12:00:42.769543,0x433bc2b0,13.18375,55.0,5.0,-86,,3,3
2024-12-19 12:01:10.623514,0x433abf20,13.28,67.5,5.25,-76,,3,3
2024-12-19 12:03:15.357268,0x433b0098,13.25125,71.25,5.75,-71,,2,2
2024-12-19 12:03:54.598107,0x433aafcc,13.27375,65.0,7.0,-64,,5,5
2024-12-19 12:04:09.811039,0x433acb14,13.2775,76.25,-1.0,-89,,3,3
2024-12-19 12:06:10.147592,0x433abf20,13.285,63.75,5.25,-81,,3,3
2024-12-19 12:13:16.284994,0x433b0098,13.26125,57.5,6.0,-73,,2,2
2024-12-19 12:13:58.555458,0x433aafcc,13.2725,78.75,6.25,-65,,5,5
2024-12-19 12:18:59.269401,0x433aafcc,13.27375,76.25,5.25,-72,,5,5
2024-12-19 12:19:14.668758,0x433acb14,13.27875,68.75,5.5,-71,,3,3
2024-12-19 12:23:19.911084,0x433b0098,13.26,58.75,5.75,-69,,2,2
2024-12-19 12:24:00.407072,0x433aafcc,13.27125,77.5,5.25,-71,,5,5
2024-12-19 12:24:19.316097,0x433acb14,13.27625,73.75,6.75,-68,,3,3
2024-12-19 12:25:33.816783,0x433ad35c,13.295,58.75,6.0,-64,,3,3
2024-12-19 12:26:12.757878,0x433abf20,13.2875,65.0,6.5,-74,,3,3
2024-12-19 12:29:01.768090,0x433aafcc,13.27625,68.75,5.5,-75,,5,5
2024-12-19 12:29:19.194066,0x433acb14,13.28125,66.25,5.75,-79,,3,3
2024-12-19 12:30:09.142742,0x433aad0c,13.26125,76.25,5.5,-49,,3,3
2024-12-19 12:30:47.615780,0x433bc2b0,13.1825,58.75,-1.75,-92,,3,3
2024-12-19 12:31:14.749398,0x433abf20,13.285,66.25,5.25,-75,,3,3
2024-12-19 12:34:02.217998,0x433aafcc,13.27625,68.75,5.25,-72,,5,5
2024-12-19 12:34:20.751802,0x433acb14,13.28125,62.5,6.25,-71,,3,3
2024-12-19 12:35:38.263678,0x433ad35c,13.2925,73.75,5.75,-67,,3,3
2024-12-19 12:36:14.645890,0x433abf20,13.28625,61.25,4.75,-82,,3,3
2024-12-19 12:39:04.099564,0x433aafcc,13.275,62.5,5.25,-78,,5,5
2024-12-19 12:39:22.732540,0x433acb14,13.28125,62.5,7.25,-68,,3,3
2024-12-19 12:40:11.329509,0x433aad0c,13.26,72.5,6.75,-46,,3,3
2024-12-19 12:44:04.783979,0x433aafcc,13.27625,68.75,5.75,-60,,5,5
2024-12-19 12:44:21.714852,0x433acb14,13.27375,78.75,5.75,-73,,3,3
2024-12-19 12:45:41.779382,0x433ad35c,13.28875,87.5,6.5,-66,,3,3
2024-12-19 12:46:16.956364,0x433abf20,13.2825,76.25,5.75,-75,,3,3
2024-12-19 12:49:06.481521,0x433aafcc,13.2775,68.75,6.25,-69,,5,5
2024-12-19 12:49:25.865438,0x433acb14,13.28125,63.75,6.25,-74,,3,3
2024-12-19 12:50:15.312180,0x433aad0c,13.2675,63.75,5.5,-37,,3,3
2024-12-19 12:50:53.283139,0x433bc2b0,13.185,61.25,-3.5,-94,,3,3
2024-12-19 12:51:16.425895,0x433abf20,13.28375,77.5,3.25,-87,,3,3
2024-12-19 12:53:19.960406,0x433b0098,13.255,72.5,5.25,-72,,2,2
2024-12-19 12:59:08.529561,0x433aafcc,13.27875,61.25,6.5,-62,,5,5
2024-12-19 12:59:24.526585,0x433acb14,13.28,66.25,6.0,-66,,3,3
2024-12-19 13:00:21.242383,0x433aad0c,13.265,73.75,6.75,-34,,3,3
2024-12-19 13:00:56.297345,0x433bc2b0,13.16875,73.75,-0.5,-91,,3,3
2024-12-19 13:03:22.199687,0x433b0098,13.25625,73.75,2.75,-87,,2,2
2024-12-19 13:04:09.784326,0x433aafcc,13.27625,70.0,6.75,-61,,5,5
2024-12-19 13:04:26.687383,0x433acb14,13.27875,75.0,5.5,-73,,3,3
2024-12-19 13:05:45.871033,0x433ad35c,13.2925,76.25,5.75,-70,,3,3
2024-12-19 13:06:18.172967,0x433abf20,13.28875,66.25,5.5,-67,,3,3
2024-12-19 13:09:11.639413,0x433aafcc,13.27625,75.0,5.75,-59,,5,5
2024-12-19 13:09:31.372190,0x433acb14,13.27875,76.25,5.75,-68,,3,2
2024-12-19 13:10:21.042838,0x433aad0c,13.2675,63.75,6.5,-39,,3,3
2024-12-19 13:10:59.568581,0x433bc2b0,13.18,58.75,,-100,,3,3
2024-12-19 13:11:17.209649,0x433abf20,13.29,63.75,6.25,-68,,3,3
2024-12-19 13:13:23.760665,0x433b0098,13.2575,71.25,5.0,-84,,2,2
2024-12-19 13:14:12.290654,0x433aafcc,13.2775,76.25,5.0,-88,,5,5
2024-12-19 13:14:28.339895,0x433acb14,13.28375,66.25,6.25,-77,,3,3
2024-12-19 13:15:49.283357,0x433ad35c,13.29125,73.75,3.25,-87,,3,3
2024-12-19 13:16:17.604219,0x433abf20,13.2875,63.75,5.5,-77,,3,3
2024-12-19 13:20:24.467227,0x433aad0c,13.26375,72.5,4.25,-86,,3,3
2024-12-19 13:21:01.030156,0x433bc2b0,13.19125,63.75,5.0,-82,,3,3
2024-12-19 13:21:18.681065,0x433abf20,13.29,66.25,5.25,-77,,3,3
2024-12-19 13:23:29.289381,0x433b0098,13.265,58.75,3.5,-88,,2,2
2024-12-19 13:24:17.988869,0x433aafcc,13.27875,66.25,-3.5,-100,,5,5
2024-12-19 13:24:31.198287,0x433acb14,13.2825,65.0,3.0,-92,,3,3
2024-12-19 14:19:24.259891,0x433ad35c,13.2975,60.0,3.75,-95,,3,3
2024-12-19 14:19:24.441877,0x433abf20,13.28625,75.0,-4.5,-104,,3,3
2024-12-19 14:19:30.465379,0x433aafcc,13.2825,66.25,2.5,-95,,5,5
2024-12-19 14:19:50.572613,0x433acb14,13.28125,77.5,1.25,-95,,3,3
2024-12-19 14:20:40.741143,0x433aad0c,13.26875,73.75,4.0,-89,,3,3
2024-12-19 14:21:19.632105,0x433bc2b0,13.1525,68.75,5.0,-81,,3,2
2024-12-19 14:21:26.204682,0x433abf20,13.29375,61.25,1.25,-93,,3,3
2024-12-19 16:04:16.773666,0x433acb14,13.28125,73.75,3.75,-91,,3,3
2024-12-19 16:04:17.170942,0x433ad35c,13.29625,75.0,5.0,-88,,3,3
2024-12-19 16:04:17.322021,0x433abf20,13.29125,75.0,,-98,,3,3
2024-12-19 16:05:00.153140,0x433aafcc,13.285,66.25,3.0,-90,,5,5
2024-12-19 16:05:16.372590,0x433acb14,13.2875,66.25,3.75,-89,,3,3
2024-12-19 16:06:32.606990,0x433abf20,13.295,62.5,-7.75,-103,,3,3
2024-12-19 16:06:36.214483,0x433ad35c,13.30125,63.75,3.5,-91,,3,3
2024-12-19 16:13:38.491660,0x433b0098,13.275,56.25,6.0,-86,,2,2
2024-12-19 16:15:02.448125,0x433aafcc,13.285,67.5,3.5,-91,,5,5
