datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2024-12-22 14:59:10.944983,0x433bc2b0,6,7,8,6,7,8,5.5,-78,,3,1
2024-12-22 14:59:11.001899,0x433bc2b0,7,13,16,7,13,16,5.75,-78,,3,1
2024-12-22 14:59:11.055810,0x433bc2b0,3,7,7,3,7,7,5.0,-76,,3,1
2024-12-22 14:59:11.080188,0x433acb14,4,8,8,4,8,8,5.25,-77,,3,2
2024-12-22 14:59:11.134119,0x433bc2b0,8,11,13,8,11,13,5.25,-74,,3,1
2024-12-22 14:59:11.161060,0x433acb14,3,7,10,3,7,10,4.75,-78,,3,2
2024-12-22 14:59:11.278660,0x433bc2b0,9,14,17,9,14,17,5.25,-79,,3,1
2024-12-22 14:59:11.287549,0x433acb14,5,8,10,5,8,10,5.5,-79,,3,2
2024-12-22 14:59:11.304286,0x433bc2b0,8,9,11,8,9,11,6.0,-76,,3,1
2024-12-22 14:59:11.321989,0x433bc2b0,8,11,13,8,11,13,6.25,-77,,3,1
2024-12-22 14:59:11.340178,0x433acb14,2,3,5,2,3,5,5.0,-78,,3,2
2024-12-22 14:59:11.364765,0x336918e8,,,,,,,5.5,-80,,5,3
2024-12-22 14:59:11.391192,0x433bc2b0,8,13,21,8,13,21,6.0,-79,,3,1
2024-12-22 14:59:11.644460,0x433bc2b0,6,10,12,6,10,12,4.75,-82,,3,1
2024-12-22 14:59:11.712042,0x433bc2b0,9,12,15,9,12,15,5.25,-79,,3,1
2024-12-22 14:59:11.752202,0x433acb14,3,5,7,3,5,7,5.75,-78,,3,2
2024-12-22 15:00:02.373617,0x433bc2b0,7,9,13,7,9,13,5.5,-75,,3,1
2024-12-22 15:00:06.661384,0x433acb14,4,6,10,4,6,10,6.25,-78,,3,2
2024-12-22 15:01:01.596934,0x433bc2b0,9,11,13,9,11,13,6.25,-78,,3,1
2024-12-22 15:01:06.454910,0x433acb14,3,4,4,3,4,4,6.0,-77,,3,2
2024-12-22 15:02:11.316138,0x336918e8,,,,,,,6.25,-30,,5,2
2024-12-22 15:03:03.549540,0x433bc2b0,5,8,12,5,8,12,5.75,-80,,3,1
2024-12-22 15:03:07.664072,0x433acb14,3,4,7,3,4,7,7.25,-80,,3,2
2024-12-22 15:04:07.199942,0x433acb14,3,6,7,3,6,7,5.0,-82,,3,2
2024-12-22 15:05:00.736418,0x433bc2b0,7,11,12,7,11,12,5.5,-78,,3,1
2024-12-22 15:05:07.344657,0x433acb14,2,3,5,2,3,5,6.25,-73,,3,2
2024-12-22 15:05:13.505307,0x336918e8,,,,,,,5.25,-77,,5,2
2024-12-22 15:06:02.679277,0x433bc2b0,9,18,21,9,18,21,5.5,-74,,3,1
2024-12-22 15:06:08.333326,0x433acb14,2,3,5,2,3,5,7.5,-74,,3,2
2024-12-22 15:06:15.566086,0x336918e8,,,,,,,7.0,-74,,5,2
2024-12-22 15:07:06.716613,0x433bc2b0,10,16,18,10,16,18,6.0,-75,,3,1
2024-12-22 15:07:09.323502,0x433acb14,4,6,13,4,6,13,7.25,-74,,3,2
2024-12-22 15:08:04.917531,0x433bc2b0,11,15,19,11,15,19,6.0,-71,,3,1
2024-12-22 15:08:08.482072,0x433acb14,4,5,6,4,5,6,6.5,-70,,3,2
2024-12-22 15:09:05.655459,0x433bc2b0,9,13,16,9,13,16,6.75,-74,,3,1
2024-12-22 15:09:11.281677,0x433acb14,4,7,7,4,7,7,6.5,-74,,3,2
2024-12-22 15:10:09.552343,0x433acb14,4,7,10,4,7,10,7.0,-75,,3,2
2024-12-22 15:10:11.748490,0x336918e8,,,,,,,6.0,-75,,5,3
2024-12-22 15:11:02.026207,0x433bc2b0,7,9,13,7,9,13,6.75,-77,,3,1
2024-12-22 15:11:08.719937,0x433acb14,3,5,7,3,5,7,5.75,-75,,3,2
2024-12-22 15:12:04.678854,0x433bc2b0,11,15,15,11,15,15,5.5,-78,,3,1
2024-12-22 15:12:09.156190,0x433acb14,7,13,13,7,13,13,5.5,-78,,3,2
2024-12-22 15:13:05.183073,0x433bc2b0,9,13,14,9,13,14,5.5,-73,,3,1
2024-12-22 15:14:09.891460,0x433acb14,5,6,6,5,6,6,5.25,-81,,3,2
2024-12-22 15:15:06.393055,0x433bc2b0,8,14,18,8,14,18,5.75,-75,,3,1
2024-12-22 15:15:10.466295,0x433acb14,6,11,16,6,11,16,6.0,-75,,3,2
2024-12-22 15:16:04.655959,0x433bc2b0,10,15,20,10,15,20,6.0,-75,,3,1
2024-12-22 15:16:11.420330,0x433acb14,3,6,8,3,6,8,6.0,-76,,3,2
2024-12-22 15:17:07.530068,0x433bc2b0,7,11,13,7,11,13,6.0,-74,,3,1
2024-12-22 15:17:22.040933,0x336918e8,,,,,,,6.0,-75,,5,2
2024-12-22 15:18:03.878970,0x433bc2b0,11,17,20,11,17,20,5.5,-75,,3,1
2024-12-22 15:18:10.404578,0x433acb14,4,5,11,4,5,11,5.5,-75,,3,2
2024-12-22 15:19:10.879963,0x433acb14,4,7,10,4,7,10,5.75,-76,,3,2
