datetime,fromNode,batteryLevel,voltage,channelUtilization,airUtilTx,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2024-12-22 14:59:10.885659,0x433aca0c,67,3.865,9.958334,0.04172222,,,,3,3
2024-12-22 14:59:11.029248,0x433acb14,101,4.208,5.7766666,3.9388611,5.25,-77,,3,2
2024-12-22 14:59:11.106145,0x433bc2b0,101,4.238,9.2,3.9908335,4.75,-76,,3,1
2024-12-22 14:59:11.635917,0x433acb14,99,4.179,6.6533337,3.942722,5.0,-79,,3,2
2024-12-22 14:59:11.703256,0x433bc2b0,101,4.215,6.6116667,3.9493055,5.25,-82,,3,1
2024-12-22 14:59:33.891180,0x433a62d0,101,4.218,8.403334,2.701639,6.75,-26,,3,3
2024-12-22 14:59:58.893622,0x433aca0c,21,3.431,9.496667,1.4568611,,,,,3
2024-12-22 15:00:14.452604,0x433acb14,101,4.242,8.158334,4.029222,5.25,-82,,3,2
2024-12-22 15:00:58.948043,0x433aca0c,20,3.43,6.87,1.4860833,,,,,3
2024-12-22 15:01:12.122097,0x433bc2b0,99,4.181,6.87,4.0,6.0,-83,,3,1
2024-12-22 15:01:59.055108,0x433aca0c,20,3.43,4.858333,1.4860833,,,,,3
2024-12-22 15:02:59.120792,0x433aca0c,20,3.43,8.798333,1.5501667,,,,,3
2024-12-22 15:03:42.572430,0x3364411c,101,4.214,9.8,3.5594444,6.25,-76,,6,6
2024-12-22 15:03:59.269571,0x433aca0c,20,3.43,4.8883333,1.5668333,,,,,3
2024-12-22 15:04:59.208060,0x433aca0c,20,3.428,3.1466668,1.5857499,,,,,3
2024-12-22 15:05:59.294111,0x433aca0c,21,3.432,6.8433337,1.6003611,,,,,3
2024-12-22 15:06:17.183607,0x433acb14,101,4.206,10.53,4.050722,7.25,-74,,3,2
2024-12-22 15:06:59.338835,0x433aca0c,21,3.435,6.57,1.6003611,,,,,3
2024-12-22 15:07:59.208949,0x433aca0c,21,3.434,7.4733334,1.6192777,,,,,3
2024-12-22 15:08:59.244057,0x433aca0c,21,3.435,8.046666,1.6863333,,,,,3
2024-12-22 15:09:59.421078,0x433aca0c,21,3.435,7.8033338,1.7326666,,,,3,3
2024-12-22 15:10:59.490452,0x433aca0c,21,3.435,6.448333,1.76825,,,,,3
2024-12-22 15:11:59.595323,0x433aca0c,21,3.435,8.046666,1.816389,,,,,3
2024-12-22 15:12:15.007574,0x433acb14,101,4.208,9.361667,4.0484443,5.5,-79,,3,2
2024-12-22 15:12:59.546789,0x433aca0c,21,3.435,7.173333,1.8615555,,,,,3
