datetime,fromNode,temperature,relativeHumidity,barometricPressure,gasResistance,iaq,windDirection,windSpeed,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2024-12-22 14:59:10.915265,0x433acb14,19.383617,67.7734,1001.78265,155.1011,157,,,6.25,-80,,3,2
2024-12-22 14:59:10.973843,0x433acb14,19.53409,67.504166,1001.73584,152.71494,158,,,5.0,-78,,3,2
2024-12-22 14:59:11.187994,0x433bc2b0,21.573694,62.607735,1004.5027,273.87735,132,,,3.75,-82,,3,1
2024-12-22 14:59:11.295852,0x433acb14,19.30941,68.46693,1001.694,150.9392,160,,,6.25,-76,,3,2
2024-12-22 14:59:11.445065,0x433acb14,19.46298,67.691055,1001.70575,150.80428,160,,,5.5,-78,,3,2
2024-12-22 14:59:11.692507,0x433acb14,19.528976,67.56635,1001.7003,152.16411,158,,,5.75,-82,,3,2
2024-12-22 14:59:11.736203,0x433acb14,19.767786,67.6514,1001.79254,152.16411,158,,,5.0,-78,,3,2
2024-12-22 14:59:11.786771,0x433aca0c,24.663315,48.204018,1017.60516,281.44693,54,,,,,,,3
2024-12-22 14:59:16.212367,0x433bc2b0,21.854258,61.426437,1004.91266,286.40695,111,,,5.5,-78,,3,1
2024-12-22 14:59:54.360683,0x433acb14,20.671186,63.87876,1002.1913,157.41605,152,,,5.25,-79,,3,2
2024-12-22 15:00:11.939785,0x433aca0c,24.73886,47.8072,1017.6099,281.68677,56,,,,,,,3
2024-12-22 15:00:55.171732,0x433acb14,20.412775,64.26867,1002.26154,157.26935,153,,,4.5,-84,,3,2
2024-12-22 15:01:12.396789,0x433aca0c,24.749548,47.929688,1017.6572,274.89377,79,,,,,,,3
2024-12-22 15:01:55.028058,0x433acb14,20.105558,64.97309,1002.3067,156.68524,154,,,6.5,-79,,3,2
2024-12-22 15:02:12.345033,0x433aca0c,24.76849,47.71799,1017.7058,283.37708,53,,,,,,,3
2024-12-22 15:02:21.086473,0x433bc2b0,21.081684,62.357567,1005.06573,290.16388,114,,,5.0,-84,,3,1
2024-12-22 15:02:57.094964,0x433acb14,19.918875,65.65904,1002.36224,155.96118,156,,,6.0,-31,,3,1
2024-12-22 15:03:12.444503,0x433aca0c,24.834879,47.741695,1017.74536,284.5969,54,,,,,,,3
2024-12-22 15:03:58.427485,0x433acb14,19.803726,66.58258,1002.3869,152.16411,159,,,6.25,-24,,3,1
2024-12-22 15:04:12.490966,0x433aca0c,24.797054,47.643265,1017.79663,285.3338,50,,,,,,,3
2024-12-22 15:04:54.680509,0x433acb14,19.483868,67.304504,1002.4058,151.07431,160,,,5.25,-76,,3,2
2024-12-22 15:05:12.630317,0x433aca0c,24.809788,47.599106,1017.8578,269.07614,66,,,,,,,3
2024-12-22 15:05:14.405451,0x433bc2b0,20.589298,64.36311,1005.17645,285.66714,120,,,5.5,-76,,3,1
2024-12-22 15:05:54.510864,0x433acb14,19.207396,68.36754,1002.39825,148.41689,163,,,5.75,-75,,3,2
2024-12-22 15:06:12.638598,0x433aca0c,24.768642,47.74466,1017.8653,285.08774,52,,,,,,,3
2024-12-22 15:06:55.805141,0x433acb14,18.94914,69.12518,1002.4615,144.72554,168,,,6.75,-74,,3,2
2024-12-22 15:07:12.741993,0x433aca0c,24.781569,47.716652,1017.90247,285.82724,51,,,,,,,3
2024-12-22 15:07:54.362734,0x433acb14,18.938906,69.33713,1002.5085,145.9775,169,,,6.0,-77,,3,2
2024-12-22 15:08:12.841421,0x433aca0c,25.50618,46.224762,1019.0801,288.57187,49,,,,,,,3
2024-12-22 15:08:19.993792,0x433bc2b0,19.479948,67.475334,1005.2367,276.84808,141,,,6.0,-72,,3,1
2024-12-22 15:08:55.461491,0x433acb14,18.810776,69.66386,1002.5193,142.64581,171,,,6.25,-78,,3,2
2024-12-22 15:09:12.942932,0x433aca0c,25.47122,46.05103,1019.841,288.824,50,,,,,,,3
2024-12-22 15:09:25.020234,0x433aca0c,24.774376,47.876053,1017.97687,288.3202,51,,,,,,3,3
2024-12-22 15:09:55.366753,0x433acb14,18.81864,69.72756,1002.546,141.0953,172,,,7.0,-74,,3,2
2024-12-22 15:10:13.039053,0x433aca0c,24.789217,47.51076,1018.00464,284.1077,63,,,,,,,3
2024-12-22 15:10:55.181149,0x433acb14,18.844154,69.40925,1002.5302,139.0033,174,,,6.75,-76,,3,2
2024-12-22 15:11:13.247638,0x433aca0c,24.778662,47.82151,1018.06433,285.58035,65,,,,,,,3
2024-12-22 15:11:14.208813,0x433bc2b0,19.114494,69.01966,1005.2424,275.2405,146,,,5.75,-76,,3,1
2024-12-22 15:11:54.567838,0x433acb14,18.826315,69.6227,1002.4929,138.20639,175,,,5.5,-78,,3,2
2024-12-22 15:12:13.279298,0x433aca0c,24.720913,48.25496,1018.09265,287.56775,70,,,,,,,3
2024-12-22 15:13:13.472515,0x433aca0c,24.830206,47.89797,1018.05725,287.56775,70,,,,,,,3
2024-12-22 15:13:55.349382,0x433acb14,18.621609,70.00724,1002.44073,137.30675,177,,,5.5,-80,,3,2
2024-12-22 15:14:13.424728,0x433aca0c,24.880085,47.31954,1018.02625,280.2539,74,,,,,,,3
2024-12-22 15:14:55.108641,0x433acb14,18.514063,70.353065,1002.42883,137.19513,178,,,5.75,-77,,3,2
2024-12-22 15:15:13.522154,0x433aca0c,24.84943,47.540848,1017.9696,282.40872,68,,,,,,,3
2024-12-22 15:15:55.270407,0x433acb14,18.37577,70.67292,1002.46594,136.63968,179,,,6.25,-74,,3,2
2024-12-22 15:16:13.698503,0x433aca0c,24.824932,47.8842,1017.956,286.8192,85,,,,,,,3
2024-12-22 15:16:54.654680,0x433acb14,18.396242,70.66361,1002.4973,136.52913,179,,,5.5,-75,,3,2
2024-12-22 15:17:13.773268,0x433aca0c,24.816753,47.57175,1017.9669,283.62018,66,,,,,,,3
2024-12-22 15:17:55.495467,0x433acb14,18.465446,70.56603,1002.47974,135.76027,179,,,5.75,-76,,3,2
2024-12-22 15:18:13.730585,0x433aca0c,24.83258,47.815697,1017.96906,286.8192,63,,,,,,,3
2024-12-22 15:18:54.655336,0x433acb14,18.319592,70.938675,1002.49023,135.54218,180,,,5.5,-75,,3,2
2024-12-22 15:19:13.875654,0x433aca0c,24.77652,47.638065,1017.96576,286.5706,60,,,,,,,3
2024-12-22 15:19:55.542764,0x433acb14,18.309242,71.0921,1002.5014,133.92856,182,,,5.5,-75,,3,2
2024-12-22 15:20:13.908244,0x433aca0c,24.794266,47.815567,1017.97577,287.0683,57,,,,,,,3
2024-12-22 15:20:23.111205,0x433bc2b0,18.498442,70.76156,1005.2456,266.40097,166,,,6.0,-75,,3,1
2024-12-22 15:20:56.212853,0x433acb14,18.306799,70.91249,1002.5275,134.35509,182,,,5.75,-75,,3,2
2024-12-22 15:21:14.129952,0x433aca0c,24.812193,47.701717,1018.0157,289.83694,51,,,,,,,3
2024-12-22 15:21:56.029321,0x433acb14,18.091858,71.32944,1002.5623,134.03496,183,,,5.5,-76,,3,2
2024-12-22 15:22:14.120354,0x433aca0c,24.78206,47.762318,1018.04474,288.06894,55,,,,,,,3
2024-12-22 15:22:58.573116,0x433acb14,18.058592,71.48123,1002.6071,134.1415,183,,,5.75,-75,,3,2
2024-12-22 15:23:14.218629,0x433aca0c,24.84435,47.55549,1018.08496,288.57187,55,,,,,,,3
2024-12-22 15:23:21.220323,0x433bc2b0,18.331806,70.98282,1005.36847,265.97388,166,,,5.5,-76,,3,1
2024-12-22 15:23:56.964389,0x433acb14,18.040565,71.466866,1002.6476,132.87401,184,,,5.75,-75,,3,2
2024-12-22 15:24:14.241314,0x433aca0c,24.822447,47.467453,1018.0785,287.8181,54,,,,,,,3
2024-12-22 15:24:56.532971,0x433acb14,18.043125,71.525154,1002.6147,134.2482,183,,,5.5,-75,,3,2
2024-12-22 15:25:14.337917,0x433aca0c,24.895569,47.21875,1018.09015,287.3178,58,,,,,,,3
2024-12-22 15:25:54.921839,0x433acb14,18.13272,71.3874,1002.64716,133.3992,184,,,5.5,-75,,3,2
2024-12-22 15:26:14.415160,0x433aca0c,24.973553,47.194042,1018.0931,286.3224,61,,,,,,,3
2024-12-22 15:26:59.772215,0x433acb14,18.183899,71.17925,1002.6582,133.29384,184,,,5.5,-76,,3,2
