datetime,fromNode,ch3Voltage,ch3Current,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2024-12-22 14:59:10.850286,0x433bc2b0,13.11625,76.25,5.0,-81,,3,1
2024-12-22 14:59:11.722266,0x433bc2b0,13.1425,62.5,5.25,-79,,3,1
2024-12-22 15:02:07.649023,0x433acb14,13.27125,75.0,5.25,-84,,3,2
2024-12-22 15:06:00.463175,0x433bc2b0,13.11625,75.0,5.5,-75,,3,1
2024-12-22 15:07:09.897110,0x433acb14,13.27375,75.0,6.75,-74,,3,2
2024-12-22 15:12:09.751014,0x433acb14,13.27125,73.75,5.75,-78,,3,2
2024-12-22 15:16:03.222640,0x433bc2b0,13.14375,61.25,5.75,-75,,3,1
2024-12-22 15:17:09.978737,0x433acb14,13.275,63.75,6.0,-76,,3,2
2024-12-22 15:22:12.342120,0x433acb14,13.2725,76.25,5.5,-75,,3,2
2024-12-22 15:26:09.125606,0x433bc2b0,13.145,62.5,5.75,-76,,3,1
2024-12-22 15:27:12.733513,0x433acb14,13.27125,77.5,5.0,-74,,3,2
2024-12-22 15:32:13.525707,0x433acb14,13.2475,130.0,5.5,-75,,3,2
2024-12-22 15:36:08.043912,0x433bc2b0,13.14625,61.25,5.5,-75,,3,1
2024-12-22 15:37:15.136613,0x433acb14,13.27125,76.25,5.5,-75,,3,2
2024-12-22 15:46:10.073032,0x433bc2b0,13.15125,63.75,5.75,-75,,3,1
2024-12-22 15:47:20.295530,0x433acb14,13.27125,73.75,5.5,-75,,3,2
2024-12-22 15:52:21.081797,0x433acb14,13.2725,87.5,5.75,-77,,3,2
2024-12-22 15:57:21.332847,0x433acb14,13.275,62.5,5.75,-76,,3,2
2024-12-22 16:02:21.908473,0x433acb14,13.275,65.0,6.0,-76,,3,2
2024-12-22 16:06:15.041949,0x433bc2b0,13.115,71.25,5.75,-76,,3,1
2024-12-22 16:07:23.227837,0x433acb14,13.27125,72.5,5.5,-75,,3,2
2024-12-22 16:12:24.945316,0x433acb14,13.26375,82.5,5.75,-77,,3,2
2024-12-22 16:16:22.127320,0x433bc2b0,13.1125,72.5,5.25,-75,,3,1
2024-12-22 16:17:25.150811,0x433acb14,13.275,61.25,5.5,-76,,3,2
2024-12-22 16:22:29.875373,0x433acb14,13.27125,80.0,5.75,-76,,3,2
2024-12-22 16:26:18.994722,0x433bc2b0,13.1,82.5,6.25,-74,,3,1
2024-12-22 16:27:29.209006,0x433acb14,13.27125,75.0,5.25,-78,,3,2
2024-12-22 16:36:29.861710,0x433bc2b0,13.09,92.5,5.75,-73,,3,1
2024-12-22 16:37:30.773429,0x433acb14,13.275,66.25,6.25,-74,,3,2
