datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2024-12-23 12:48:03.392525,0x433bc2b0,3,4,4,3,4,4,-18.5,-120,,3,2
2024-12-23 12:48:11.019211,0x433acb14,1,2,5,1,2,5,-18.25,-119,,3,3
2024-12-23 12:49:04.487971,0x433bc2b0,3,3,7,3,3,7,-16.25,-118,,3,2
2024-12-23 12:49:10.576275,0x433acb14,1,2,2,1,2,2,-17.5,-119,,3,3
2024-12-23 12:50:05.864886,0x433bc2b0,4,5,7,4,5,7,-17.5,-119,,3,2
2024-12-23 12:51:05.270874,0x433bc2b0,4,5,7,4,5,7,-15.0,-117,,3,2
2024-12-23 12:51:10.861738,0x433acb14,1,2,3,1,2,3,-15.5,-117,,3,3
2024-12-23 12:52:03.528276,0x433bc2b0,2,2,5,2,2,5,-16.5,-118,,3,2
2024-12-23 12:52:12.479315,0x433acb14,2,2,2,2,2,2,-16.0,-117,,3,3
2024-12-23 12:53:04.757108,0x433bc2b0,4,6,9,4,6,9,-15.5,-117,,3,2
2024-12-23 12:53:11.334797,0x433acb14,1,1,3,1,1,3,-15.25,-117,,3,3
2024-12-23 12:54:04.470490,0x433bc2b0,4,7,7,4,7,7,-15.5,-117,,3,2
2024-12-23 12:54:11.615662,0x433acb14,,1,4,,1,4,-15.5,-117,,3,3
2024-12-23 12:55:06.974107,0x433bc2b0,3,6,8,3,6,8,-15.75,-117,,3,2
2024-12-23 12:55:12.735013,0x433acb14,2,2,2,2,2,2,-15.5,-117,,3,3
2024-12-23 12:56:05.363465,0x433bc2b0,2,2,4,2,2,4,-16.0,-117,,3,2
2024-12-23 12:56:12.802743,0x433acb14,1,3,3,1,3,3,-15.25,-117,,3,3
2024-12-23 12:57:04.656316,0x433bc2b0,3,4,6,3,4,6,-15.0,-117,,3,2
2024-12-23 12:57:13.302974,0x433acb14,2,5,5,2,5,5,-15.0,-116,,3,3
2024-12-23 12:58:05.556211,0x433bc2b0,4,4,4,4,4,4,-16.0,-118,,3,2
2024-12-23 12:58:12.491709,0x433acb14,1,3,3,1,3,3,-16.25,-118,,3,3
2024-12-23 12:59:06.496325,0x433bc2b0,4,5,7,4,5,7,-17.0,-118,,3,2
2024-12-23 13:00:06.368378,0x433bc2b0,3,4,6,3,4,6,-17.0,-118,,3,2
2024-12-23 13:00:13.048463,0x433acb14,,,1,,,1,-16.75,-118,,3,3
2024-12-23 13:01:13.953422,0x433acb14,1,1,2,1,1,2,-17.0,-118,,3,3
2024-12-23 13:02:06.723482,0x433bc2b0,3,4,6,3,4,6,-17.5,-119,,3,2
2024-12-23 13:02:15.799418,0x433acb14,1,1,1,1,1,1,-17.25,-118,,3,3
2024-12-23 13:03:09.813741,0x433bc2b0,2,3,5,2,3,5,-18.25,-119,,3,2
2024-12-23 13:03:16.111051,0x433acb14,,,2,,,2,-16.75,-118,,3,3
2024-12-23 13:04:07.722552,0x433bc2b0,2,3,5,2,3,5,-17.75,-119,,3,2
2024-12-23 13:04:14.179709,0x433acb14,1,1,1,1,1,1,-17.5,-119,,3,3
2024-12-23 13:05:09.945545,0x433bc2b0,3,5,8,3,5,8,7.0,-65,,3,1
2024-12-23 13:05:16.738596,0x433acb14,1,2,2,1,2,2,6.75,-65,,3,2
2024-12-23 13:06:06.686094,0x433bc2b0,5,7,9,5,7,9,-18.0,-120,,3,2
2024-12-23 13:06:14.273982,0x433acb14,,,,,,,-17.25,-119,,3,3
2024-12-23 13:07:09.070984,0x433bc2b0,1,2,4,1,2,4,6.25,-65,,3,1
2024-12-23 13:07:15.919291,0x433acb14,2,3,3,2,3,3,-18.25,-119,,3,3
2024-12-23 13:08:07.606930,0x433bc2b0,2,3,8,2,3,8,-18.0,-120,,3,2
2024-12-23 13:08:16.753239,0x433acb14,1,2,3,1,2,3,-17.75,-119,,3,3
2024-12-23 13:09:10.787054,0x433bc2b0,3,5,8,3,5,8,-16.5,-118,,3,2
2024-12-23 13:09:16.168851,0x433acb14,1,2,4,1,2,4,-16.5,-118,,3,3
2024-12-23 13:10:11.446481,0x433bc2b0,3,3,12,3,3,12,-17.0,-119,,3,2
2024-12-23 13:10:16.482216,0x433acb14,1,1,3,1,1,3,-18.25,-120,,3,3
2024-12-23 13:11:09.535808,0x433bc2b0,3,5,7,3,5,7,-18.75,-120,,3,2
2024-12-23 13:11:16.338839,0x433acb14,1,3,3,1,3,3,-18.25,-120,,3,3
2024-12-23 13:12:07.889145,0x433bc2b0,3,4,6,3,4,6,-17.75,-119,,3,2
2024-12-23 13:12:17.253192,0x433acb14,,1,2,,1,2,-17.75,-119,,3,3
2024-12-23 13:13:09.426094,0x433bc2b0,3,3,6,3,3,6,-17.75,-119,,3,2
2024-12-23 13:13:15.872079,0x433acb14,,,,,,,-17.75,-119,,3,3
2024-12-23 13:14:08.699045,0x433bc2b0,3,4,7,3,4,7,-18.0,-120,,3,2
2024-12-23 13:14:17.615797,0x433acb14,1,3,3,1,3,3,-17.75,-119,,3,3
2024-12-23 13:15:08.933235,0x433bc2b0,1,3,6,1,3,6,-17.5,-119,,3,2
2024-12-23 13:15:17.491519,0x433acb14,,,2,,,2,-17.0,-119,,3,3
2024-12-23 13:16:09.025727,0x433bc2b0,2,2,2,2,2,2,-17.75,-119,,3,2
2024-12-23 13:16:16.571480,0x433acb14,,,,,,,-17.25,-119,,3,3
2024-12-23 13:17:09.062074,0x433bc2b0,2,2,2,2,2,2,-17.5,-118,,3,2
2024-12-23 13:17:16.847904,0x433acb14,,,2,,,2,-17.25,-119,,3,3
2024-12-23 13:18:11.531457,0x433bc2b0,3,4,4,3,4,4,-18.0,-119,,3,2
2024-12-23 13:19:10.256689,0x433bc2b0,3,4,4,3,4,4,-18.0,-120,,3,2
2024-12-23 13:19:18.610649,0x433acb14,1,1,1,1,1,1,-18.0,-119,,3,3
2024-12-23 13:20:11.516335,0x433bc2b0,2,3,3,2,3,3,-17.5,-119,,3,2
2024-12-23 13:20:20.851022,0x433acb14,1,1,3,1,1,3,-17.75,-119,,3,3
2024-12-23 13:21:12.944694,0x433bc2b0,3,3,3,3,3,3,-17.5,-119,,3,2
2024-12-23 13:21:17.863737,0x433acb14,1,1,1,1,1,1,-17.75,-119,,3,3
2024-12-23 13:21:23.907306,0x336918e8,,,,,,,-17.25,-119,,5,4
2024-12-23 13:22:11.332738,0x433bc2b0,3,3,3,3,3,3,-17.75,-120,,3,2
2024-12-23 13:22:19.755217,0x433acb14,1,1,3,1,1,3,-17.25,-119,,3,3
2024-12-23 13:23:11.704647,0x433bc2b0,3,4,4,3,4,4,-17.5,-119,,3,2
2024-12-23 13:23:19.168601,0x433acb14,,,1,,,1,-18.0,-120,,3,3
2024-12-23 13:23:26.678131,0x336918e8,,,,,,,-17.25,-118,,5,3
2024-12-23 13:24:11.607989,0x433bc2b0,1,2,5,1,2,5,-17.5,-119,,3,2
2024-12-23 13:24:20.275695,0x433acb14,1,3,3,1,3,3,-17.75,-119,,3,3
2024-12-23 13:24:28.928323,0x336918e8,,,,,,,-17.5,-119,,5,3
2024-12-23 13:25:10.971351,0x433bc2b0,4,4,6,4,4,6,-17.5,-120,,3,2
2024-12-23 13:25:20.017212,0x433acb14,,1,1,,1,1,-17.0,-119,,3,3
2024-12-23 13:26:11.295222,0x433bc2b0,4,6,8,4,6,8,-17.0,-119,,3,2
2024-12-23 13:26:21.358880,0x433acb14,1,2,2,1,2,2,-17.25,-119,,3,3
2024-12-23 13:27:12.912834,0x433bc2b0,4,4,8,4,4,8,-17.25,-119,,3,2
2024-12-23 13:27:21.028363,0x433acb14,1,1,3,1,1,3,-17.0,-119,,3,3
2024-12-23 13:28:21.150915,0x433acb14,,1,2,,1,2,-17.25,-119,,3,3
2024-12-23 13:29:14.001181,0x433bc2b0,2,2,2,2,2,2,-18.0,-119,,3,2
2024-12-23 13:29:20.542148,0x433acb14,1,1,1,1,1,1,-17.5,-119,,3,3
2024-12-23 13:30:12.994933,0x433bc2b0,3,4,4,3,4,4,-17.5,-119,,3,2
2024-12-23 13:30:19.964322,0x433acb14,,,,,,,-18.25,-120,,3,3
2024-12-23 13:31:13.763115,0x433bc2b0,3,4,8,3,4,8,-17.75,-119,,3,2
2024-12-23 13:31:21.011830,0x433acb14,1,2,2,1,2,2,-17.0,-119,,3,3
2024-12-23 13:32:13.103928,0x433bc2b0,4,5,8,4,5,8,-17.25,-119,,3,2
2024-12-23 13:32:25.678935,0x433acb14,1,2,8,1,2,8,-17.5,-119,,3,3
2024-12-23 13:33:15.316242,0x433bc2b0,4,5,10,4,5,10,-17.0,-119,,3,2
2024-12-23 13:33:21.613438,0x433acb14,1,1,1,1,1,1,-17.25,-119,,3,3
2024-12-23 13:34:16.212176,0x433bc2b0,3,5,7,3,5,7,-17.25,-119,,3,2
2024-12-23 13:34:21.778218,0x433acb14,1,2,4,1,2,4,-16.5,-119,,3,3
2024-12-23 13:35:13.306889,0x433bc2b0,2,2,6,2,2,6,-17.25,-119,,3,2
2024-12-23 13:35:25.471408,0x336918e8,,,,,,,-17.0,-119,,5,4
2024-12-23 13:35:26.045958,0x433acb14,,,2,,,2,-17.5,-119,,3,3
2024-12-23 13:36:14.284797,0x433bc2b0,2,3,5,2,3,5,-17.5,-119,,3,2
2024-12-23 13:36:21.413277,0x433acb14,1,1,1,1,1,1,-17.25,-119,,3,3
2024-12-23 13:36:28.118562,0x336918e8,,,,,,,-18.25,-120,,5,4
2024-12-23 13:37:14.811970,0x433bc2b0,3,4,6,3,4,6,-16.75,-118,,3,2
2024-12-23 13:37:22.244269,0x433acb14,1,1,4,1,1,4,-16.25,-118,,3,3
2024-12-23 13:38:15.947874,0x433bc2b0,3,5,5,3,5,5,-17.5,-119,,3,2
2024-12-23 13:38:23.307665,0x433acb14,,1,2,,1,2,-17.25,-119,,3,3
2024-12-23 13:39:16.466684,0x433bc2b0,3,3,7,3,3,7,-17.5,-119,,3,2
2024-12-23 13:39:21.749948,0x433acb14,,,,,,,-17.5,-119,,3,3
2024-12-23 13:40:15.092567,0x433bc2b0,2,4,4,2,4,4,-18.0,-119,,3,2
2024-12-23 13:40:23.209810,0x433acb14,1,1,1,1,1,1,-17.75,-119,,3,3
2024-12-23 13:41:15.992469,0x433bc2b0,3,3,7,3,3,7,-17.25,-119,,3,2
2024-12-23 13:41:29.660531,0x336918e8,,,,,,,-17.25,-119,,5,4
2024-12-23 13:42:15.617443,0x433bc2b0,3,3,4,3,3,4,-16.25,-118,,3,2
2024-12-23 13:42:24.544735,0x433acb14,1,1,3,1,1,3,-16.5,-118,,3,3
2024-12-23 13:43:16.052652,0x433bc2b0,2,2,4,2,2,4,-16.5,-118,,3,2
2024-12-23 13:43:23.174204,0x433acb14,1,1,3,1,1,3,-17.5,-119,,3,3
2024-12-23 13:43:31.904216,0x336918e8,,,,,,,-16.25,-118,,5,4
2024-12-23 13:44:16.884714,0x433bc2b0,2,3,3,2,3,3,-16.75,-119,,3,2
2024-12-23 13:44:25.854647,0x433acb14,2,2,4,2,2,4,-17.5,-119,,3,3
2024-12-23 13:45:16.914215,0x433bc2b0,1,2,4,1,2,4,-17.75,-119,,3,2
2024-12-23 13:45:23.569073,0x433acb14,2,3,4,2,3,4,-17.25,-119,,3,3
2024-12-23 13:46:16.271384,0x433bc2b0,3,4,4,3,4,4,-17.0,-118,,3,2
2024-12-23 13:46:23.785554,0x433acb14,1,3,5,1,3,5,-17.25,-119,,3,3
2024-12-23 13:47:18.626697,0x433bc2b0,2,3,3,2,3,3,-17.25,-119,,3,2
2024-12-23 13:47:25.168061,0x433acb14,,1,3,,1,3,-17.75,-119,,3,3
2024-12-23 13:48:16.401840,0x433bc2b0,1,2,2,1,2,2,-16.75,-119,,3,2
2024-12-23 13:48:24.284665,0x433acb14,1,1,1,1,1,1,-17.25,-119,,3,3
2024-12-23 13:49:17.538462,0x433bc2b0,2,4,4,2,4,4,-18.0,-119,,3,2
2024-12-23 13:49:25.229553,0x433acb14,,,,,,,-17.75,-120,,3,3
2024-12-23 13:50:18.297235,0x433bc2b0,2,2,2,2,2,2,-17.5,-118,,3,2
2024-12-23 13:51:17.245793,0x433bc2b0,3,4,4,3,4,4,-17.5,-119,,3,2
2024-12-23 13:51:24.984126,0x433acb14,2,2,4,2,2,4,-17.75,-119,,3,3
2024-12-23 13:52:17.397420,0x433bc2b0,2,5,5,2,5,5,-17.75,-119,,3,2
2024-12-23 13:52:27.019636,0x433acb14,1,2,4,1,2,4,-17.75,-119,,3,3
2024-12-23 13:53:18.141616,0x433bc2b0,1,2,2,1,2,2,-18.0,-120,,3,2
2024-12-23 13:53:25.727202,0x433acb14,,,,,,,-18.0,-120,,3,3
2024-12-23 13:54:18.935742,0x433bc2b0,3,3,3,3,3,3,-18.25,-119,,3,2
2024-12-23 13:54:25.957180,0x433acb14,1,1,1,1,1,1,-18.0,-119,,3,3
2024-12-23 13:55:21.608557,0x433bc2b0,3,4,4,3,4,4,-15.5,-117,,3,2
2024-12-23 13:55:26.032508,0x433acb14,1,2,2,1,2,2,-17.0,-119,,3,3
2024-12-23 13:56:18.551845,0x433bc2b0,3,4,7,3,4,7,-17.5,-119,,3,2
2024-12-23 13:56:28.895847,0x433acb14,1,1,1,1,1,1,-18.0,-119,,3,3
2024-12-23 13:57:18.943618,0x433bc2b0,2,3,3,2,3,3,-18.0,-120,,3,2
2024-12-23 13:57:26.588235,0x433acb14,,,,,,,-18.75,-120,,3,3
2024-12-23 13:58:19.662803,0x433bc2b0,3,4,4,3,4,4,-18.0,-120,,3,2
2024-12-23 13:58:26.573329,0x433acb14,,,,,,,-18.5,-120,,3,3
2024-12-23 13:59:20.728652,0x433bc2b0,2,2,3,2,2,3,-18.25,-120,,3,2
2024-12-23 14:00:21.480573,0x433bc2b0,,1,3,,1,3,-18.75,-120,,3,2
2024-12-23 14:00:27.095405,0x433acb14,1,1,1,1,1,1,-18.25,-120,,3,3
2024-12-23 14:01:20.834892,0x433bc2b0,2,3,3,2,3,3,-18.25,-120,,3,2
