datetime,fromNode,batteryLevel,voltage,channelUtilization,airUtilTx,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2024-12-23 12:48:41.290472,0x433af864,101,4.215,8.625,0.18202777,,,,7,7
2024-12-23 12:49:41.493114,0x433af864,98,4.172,8.625,0.19822223,,,,7,7
2024-12-23 12:50:11.697519,0x433acb14,101,4.229,1.7533334,3.9224722,-16.75,-118,,3,3
2024-12-23 12:50:25.051649,0x433bc2b0,101,4.223,4.64,3.9087777,-16.0,-117,,3,2
2024-12-23 12:50:41.666331,0x433af864,99,4.176,15.27,0.21441667,,,,7,7
2024-12-23 12:51:41.763964,0x433af864,101,4.227,11.17,0.23061112,,,,7,7
2024-12-23 12:52:41.908048,0x433af864,101,4.233,11.17,0.24680556,,,,7,7
2024-12-23 12:53:42.062544,0x433af864,101,4.24,10.868333,0.263,,,,7,7
2024-12-23 12:54:42.288946,0x433af864,101,4.225,8.46,0.27919444,,,,7,7
2024-12-23 12:55:42.371534,0x433af864,100,4.198,11.54,0.29538888,,,,7,7
2024-12-23 12:56:14.235870,0x433acb14,101,4.214,3.506667,3.9126945,-16.0,-118,,3,3
2024-12-23 12:56:23.172277,0x433bc2b0,101,4.261,3.7516668,3.8825831,-15.0,-116,,3,2
2024-12-23 12:56:42.526354,0x433af864,101,4.212,18.871666,0.31158334,,,,7,7
2024-12-23 12:57:42.681188,0x433af864,101,4.216,11.991667,0.32777777,,,,7,7
2024-12-23 12:58:42.943551,0x433af864,101,4.249,9.636666,0.3439722,,,,7,7
2024-12-23 12:59:42.991338,0x433af864,101,4.224,10.371666,0.36016667,,,,7,7
2024-12-23 13:00:43.237034,0x433af864,99,4.177,10.318334,0.37636113,,,,7,7
2024-12-23 13:01:43.371604,0x433af864,101,4.212,9.551666,0.39255553,,,,7,7
2024-12-23 13:02:14.347980,0x433acb14,101,4.212,4.6416664,3.8629446,-17.5,-119,,3,3
2024-12-23 13:02:24.139209,0x433bc2b0,101,4.235,3.765,3.84925,-17.0,-119,,3,2
2024-12-23 13:02:43.455063,0x433af864,100,4.198,20.321667,0.40874997,,,,7,7
2024-12-23 13:03:43.678237,0x433af864,101,4.202,8.566667,0.42494443,,,,7,7
2024-12-23 13:04:02.681987,0x3364411c,98,4.168,9.538333,4.0833054,6.5,-66,,6,6
2024-12-23 13:04:43.764997,0x433af864,100,4.194,11.636667,0.44113892,,,,7,7
2024-12-23 13:05:21.027653,0x433aca0c,32,3.554,7.7200003,4.305278,6.5,-47,,3,3
2024-12-23 13:05:43.920517,0x433af864,101,4.239,10.018333,0.45733336,,,,7,7
2024-12-23 13:06:44.076120,0x433af864,98,4.171,8.215,0.4735278,,,,7,7
2024-12-23 13:07:44.230644,0x433af864,101,4.206,10.333333,0.48972225,,,,7,7
2024-12-23 13:08:16.163748,0x433acb14,101,4.216,5.7483335,3.8674445,-17.75,-120,,3,3
2024-12-23 13:08:25.543014,0x433bc2b0,101,4.204,4.613333,3.8350556,-17.25,-119,,3,2
2024-12-23 13:08:44.442182,0x433af864,101,4.245,14.711666,0.50591666,,,,7,7
2024-12-23 13:09:44.540448,0x433af864,101,4.201,8.665,0.5221111,,,,7,7
2024-12-23 13:10:44.695197,0x433af864,99,4.189,5.5183334,0.5383056,,,,7,7
2024-12-23 13:11:44.851385,0x433af864,99,4.176,22.53,0.5545,,,,7,7
2024-12-23 13:12:45.004808,0x433af864,101,4.208,10.196667,0.57069445,,,,7,7
2024-12-23 13:13:45.225023,0x433af864,100,4.19,8.215,0.5868889,,,,7,7
2024-12-23 13:14:16.941353,0x433bc2b0,100,4.194,1.7533334,3.8604722,-17.5,-119,,3,2
2024-12-23 13:14:45.379348,0x433af864,101,4.216,14.108333,0.6030833,,,,7,7
2024-12-23 13:15:45.469053,0x433af864,101,4.222,10.318334,0.6192778,,,,7,7
2024-12-23 13:16:45.625181,0x433af864,101,4.22,9.1866665,0.63547224,,,,7,7
2024-12-23 13:17:45.814627,0x433af864,99,4.177,11.043333,0.65166664,,,,7,7
2024-12-23 13:18:45.950053,0x433af864,100,4.196,7.0066667,0.6678611,,,,7,7
2024-12-23 13:19:46.088427,0x433af864,98,4.168,9.636666,0.68405557,,,,7,7
2024-12-23 13:20:20.253707,0x433bc2b0,101,4.242,2.63,3.840583,-17.5,-119,,3,2
2024-12-23 13:20:22.309709,0x433acb14,101,4.209,3.615,3.8731945,-18.25,-120,,3,3
2024-12-23 13:20:46.300967,0x433af864,98,4.173,17.926666,0.70024997,,,,7,7
2024-12-23 13:21:46.427166,0x433af864,99,4.182,15.401668,0.71644443,,,,7,7
2024-12-23 13:22:46.553105,0x433af864,101,4.223,12.181666,0.7326389,,,,7,7
2024-12-23 13:23:23.785389,0x433aca0c,32,3.554,5.7083335,4.373833,6.5,-44,,3,3
2024-12-23 13:23:46.771557,0x433af864,100,4.197,14.465,0.7488333,,,,7,7
2024-12-23 13:24:46.862699,0x433af864,99,4.185,7.44,0.76502776,,,,7,7
2024-12-23 13:25:47.117044,0x433af864,101,4.219,8.5,0.7812222,,,,7,7
2024-12-23 13:26:19.868136,0x433acb14,100,4.194,4.5449996,3.9103613,-17.0,-119,,3,3
2024-12-23 13:26:47.244673,0x433af864,101,4.229,12.591666,0.7974166,,,,7,7
2024-12-23 13:27:47.394085,0x433af864,100,4.191,11.21,0.81361115,,,,7,7
2024-12-23 13:28:47.524498,0x433af864,101,4.234,8.25,0.82980555,,,,7,7
2024-12-23 13:29:47.637057,0x433af864,100,4.191,8.665,0.846,,,,7,7
2024-12-23 13:30:47.868951,0x433af864,98,4.163,8.215,0.8621944,,,,7,7
2024-12-23 13:31:47.945853,0x433af864,101,4.208,11.21,0.8783889,,,,7,7
2024-12-23 13:32:21.947121,0x433bc2b0,101,4.212,5.7766666,3.8259168,-18.25,-119,,3,2
2024-12-23 13:32:48.102022,0x433af864,99,4.187,16.531668,0.8945833,,,,7,7
2024-12-23 13:33:48.256278,0x433af864,101,4.203,10.61,0.9107778,,,,7,7
2024-12-23 13:34:02.916136,0x3364411c,98,4.171,14.3516655,3.9860277,6.25,-66,,6,6
2024-12-23 13:34:48.474765,0x433af864,98,4.175,9.748334,0.92697215,,,,7,7
2024-12-23 13:35:48.622949,0x433af864,100,4.191,13.879999,0.9431667,,,,7,7
2024-12-23 13:36:48.720894,0x433af864,99,4.181,10.805,0.9593611,,,,7,7
2024-12-23 13:37:48.875745,0x433af864,97,4.153,11.17,0.97555554,,,,7,7
2024-12-23 13:38:19.641469,0x433bc2b0,100,4.199,6.57,3.8583055,-17.5,-119,,3,2
2024-12-23 13:38:24.219981,0x433acb14,101,4.232,4.8450003,3.90325,-17.25,-119,,3,3
2024-12-23 13:38:49.030472,0x433af864,98,4.163,16.613333,0.95525,,,,7,7
2024-12-23 13:39:49.259759,0x433af864,98,4.171,9.215,0.95547223,,,,7,7
2024-12-23 13:40:49.339312,0x433af864,99,4.182,6.871667,0.95547223,,,,7,7
2024-12-23 13:41:23.876014,0x433aca0c,32,3.554,5.3933334,4.375111,6.25,-44,,3,3
2024-12-23 13:41:49.550416,0x433af864,101,4.223,12.718333,0.95547223,,,,7,7
2024-12-23 13:42:49.665346,0x433af864,101,4.221,11.17,0.95547223,,,,7,7
2024-12-23 13:43:49.804206,0x433af864,101,4.226,12.748334,0.95547223,,,,7,7
2024-12-23 13:44:19.167362,0x433bc2b0,101,4.203,6.3266664,3.8598888,-17.75,-119,,3,2
2024-12-23 13:44:24.396498,0x433acb14,99,4.188,11.048333,3.9098334,-17.0,-119,,3,3
