datetime,fromNode,temperature,relativeHumidity,barometricPressure,gasResistance,iaq,windDirection,windSpeed,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2024-12-23 12:48:10.332443,0x433acb14,22.101618,64.98155,1003.0804,153.54869,102,,,-18.25,-120,,3,3
2024-12-23 12:49:11.383634,0x433acb14,22.334482,65.23684,1003.0601,149.86678,106,,,-17.25,-119,,3,3
2024-12-23 12:50:12.518571,0x433acb14,22.311487,64.66158,1003.0417,149.86678,107,,,-17.0,-119,,3,3
2024-12-23 12:50:21.729942,0x433bc2b0,23.038137,62.87883,1006.0042,247.70616,104,,,-15.75,-117,,3,2
2024-12-23 12:51:11.897478,0x433acb14,22.444025,64.66526,1003.03754,148.94086,108,,,-15.5,-117,,3,3
2024-12-23 12:52:11.244848,0x433acb14,22.695255,64.0533,1003.0489,145.59966,113,,,-15.5,-117,,3,3
2024-12-23 12:53:12.518173,0x433acb14,22.52847,64.921646,1003.04285,144.10759,115,,,-15.75,-117,,3,3
2024-12-23 12:53:24.850958,0x433bc2b0,23.333893,62.48546,1006.0087,245.14401,108,,,-15.75,-117,,3,2
2024-12-23 12:54:12.422676,0x433acb14,22.828245,63.93115,1003.0515,141.0953,119,,,-15.75,-117,,3,3
2024-12-23 12:55:11.957026,0x433acb14,22.951262,64.70723,1003.15576,140.0415,121,,,-16.25,-118,,3,3
2024-12-23 12:56:13.597082,0x433acb14,22.377148,64.813576,1003.04034,139.92537,123,,,-15.5,-117,,3,3
2024-12-23 12:56:23.964336,0x433bc2b0,23.601007,61.7331,1005.7598,251.27028,100,,,-15.25,-117,,3,2
2024-12-23 12:57:14.157232,0x433acb14,21.886555,66.107025,1003.005,140.1578,125,,,-14.5,-116,,3,3
2024-12-23 12:58:13.344166,0x433acb14,21.885681,66.191795,1003.0219,139.57816,128,,,-16.5,-118,,3,3
2024-12-23 12:59:13.501407,0x433acb14,22.191067,65.9387,1003.1115,136.41875,128,,,-16.75,-118,,3,3
2024-12-23 12:59:23.646861,0x433bc2b0,22.710012,63.67146,1005.8189,246.60156,106,,,-17.25,-119,,3,2
2024-12-23 13:00:14.124588,0x433acb14,22.229603,66.341156,1003.0626,135.54218,131,,,-17.0,-118,,3,3
2024-12-23 13:01:13.332469,0x433acb14,21.60767,67.31814,1003.1367,134.46216,133,,,-16.75,-119,,3,3
2024-12-23 13:02:16.647478,0x433acb14,21.415712,67.51818,1003.1218,137.19513,133,,,-17.0,-119,,3,3
2024-12-23 13:02:24.925844,0x433bc2b0,22.361195,64.55191,1005.8851,252.41719,108,,,-16.75,-118,,3,2
2024-12-23 13:03:13.804736,0x433acb14,21.27486,67.54408,1003.10394,138.09329,132,,,-16.25,-118,,3,3
