datetime,fromNode,ch3Voltage,ch3Current,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2024-12-23 12:51:05.901853,0x433bc2b0,13.13,63.75,-15.5,-118,,3,2
2024-12-23 12:52:11.802637,0x433acb14,13.23375,130.0,-16.25,-118,,3,3
2024-12-23 12:57:12.478416,0x433acb14,13.26,80.0,-14.75,-116,,3,3
2024-12-23 13:01:05.572065,0x433bc2b0,13.1275,62.5,-17.25,-119,,3,2
2024-12-23 13:02:14.994117,0x433acb14,13.26375,62.5,-17.25,-119,,3,3
2024-12-23 13:07:15.316643,0x433acb14,13.22625,140.0,-17.25,-119,,3,3
2024-12-23 13:11:08.930380,0x433bc2b0,13.125,61.25,-19.25,-121,,3,2
2024-12-23 13:12:16.725699,0x433acb14,13.23125,146.25,-18.0,-120,,3,3
2024-12-23 13:17:17.565394,0x433acb14,13.235,132.5,-17.25,-119,,3,3
2024-12-23 13:21:12.159211,0x433bc2b0,13.13125,63.75,-17.25,-119,,3,2
2024-12-23 13:22:18.389729,0x433acb14,13.265,63.75,-17.75,-119,,3,3
2024-12-23 13:27:19.567673,0x433acb14,13.265,61.25,-17.5,-119,,3,3
2024-12-23 13:31:13.204059,0x433bc2b0,13.13,61.25,-17.75,-119,,3,2
2024-12-23 13:32:23.339826,0x433acb14,13.2575,73.75,-17.25,-119,,3,3
2024-12-23 13:37:25.422769,0x433acb14,13.265,66.25,-17.25,-119,,3,3
2024-12-23 13:41:15.310973,0x433bc2b0,13.13125,63.75,-16.75,-118,,3,2
2024-12-23 13:42:23.049687,0x433acb14,13.2625,62.5,-15.75,-117,,3,3
2024-12-23 13:47:26.724225,0x433acb14,13.2625,75.0,-18.0,-119,,3,3
2024-12-23 13:51:17.893010,0x433bc2b0,13.13,62.5,-17.5,-119,,3,2
2024-12-23 13:52:26.186029,0x433acb14,13.2375,133.75,-17.5,-119,,3,3
2024-12-23 14:01:21.429287,0x433bc2b0,13.125,61.25,-17.5,-119,,3,2
2024-12-23 14:11:24.452134,0x433bc2b0,13.1275,63.75,-17.0,-118,,3,2
2024-12-23 14:12:30.788265,0x433acb14,13.265,63.75,-18.25,-120,,3,3
2024-12-23 14:17:32.406852,0x433acb14,13.26625,66.25,-18.75,-120,,3,3
2024-12-23 14:21:27.101964,0x433bc2b0,13.13375,63.75,-18.75,-120,,3,2
2024-12-23 14:31:27.038478,0x433bc2b0,13.07625,77.5,-18.25,-120,,3,2
2024-12-23 14:32:35.602379,0x433acb14,13.26625,61.25,-18.25,-120,,3,3
2024-12-23 14:37:36.531962,0x433acb14,13.26625,65.0,-18.0,-119,,3,3
2024-12-23 14:41:31.362433,0x433bc2b0,13.17375,73.75,-18.25,-120,,3,2
2024-12-23 14:42:37.767597,0x433acb14,13.26625,76.25,-17.75,-120,,3,3
2024-12-23 14:47:38.349539,0x433acb14,13.2675,67.5,-18.0,-120,,3,3
2024-12-23 14:51:40.277256,0x433bc2b0,13.1975,60.0,-18.25,-120,,3,2
2024-12-23 14:52:40.564690,0x433acb14,13.2625,67.5,-18.75,-120,,3,3
2024-12-23 14:57:43.940930,0x433acb14,13.26625,67.5,6.75,-72,,3,2
2024-12-23 15:00:08.809821,0x433bc2b0,13.22,63.75,-17.75,-119,,3,2
2024-12-23 15:02:41.894673,0x433acb14,13.26375,77.5,-18.0,-120,,3,3
2024-12-23 15:04:42.872854,0x433bc2b0,13.225,61.25,-17.5,-119,,3,2
2024-12-23 15:07:43.705041,0x433acb14,13.26,96.25,-17.0,-119,,3,3
2024-12-23 15:12:44.714078,0x433acb14,13.2625,76.25,-16.5,-118,,3,3
2024-12-23 15:14:43.913846,0x433bc2b0,13.22375,62.5,-16.5,-118,,3,2
2024-12-23 15:17:46.129116,0x433acb14,13.26375,87.5,-17.25,-119,,3,3
2024-12-23 15:22:46.685464,0x433acb14,13.265,66.25,-18.25,-120,,3,3
2024-12-23 15:24:43.692846,0x433bc2b0,13.22375,63.75,-17.5,-119,,3,2
2024-12-23 15:27:48.365038,0x433acb14,13.26625,63.75,-18.0,-119,,3,3
