datetime,fromNode,batteryLevel,voltage,channelUtilization,airUtilTx,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2026-01-26 05:59:42.726778,0x433e9c88,101,4.213,24.796667,1.7470278,,,1769435980,,3
2026-01-26 06:00:42.813833,0x433e9c88,97,4.148,22.09,1.7495834,,,1769436040,,3
2026-01-26 06:01:27.132330,0x433acb14,98,4.172,20.75,4.71775,4.25,-90,1769436084,3,3
2026-01-26 06:01:42.779460,0x433e9c88,97,4.161,21.816666,1.7605278,,,1769436100,,3
2026-01-26 06:02:10.400316,0x433af380,99,4.185,24.191668,3.7210834,6.25,-39,1769436128,3,3
2026-01-26 06:02:20.928743,0x433ad35c,97,4.149,27.943335,4.4782777,6.0,-53,1769436138,3,3
2026-01-26 06:02:42.879457,0x433e9c88,100,4.199,28.491667,1.7163055,,,1769436160,,3
2026-01-26 06:03:42.865489,0x433e9c88,99,4.184,22.005001,1.7016944,,,1769436220,,3
2026-01-26 06:03:54.643225,0x433b0098,98,4.168,21.128332,4.2699447,6.0,-61,1769436232,2,2
2026-01-26 06:04:15.625329,0x433abf20,100,4.198,23.251667,4.747667,5.5,-76,1769436253,3,3
2026-01-26 06:04:42.975814,0x433e9c88,98,4.171,25.798332,1.7071389,,,1769436280,,3
2026-01-26 06:04:46.675723,0x433b0b38,101,4.216,28.136667,4.8463054,6.0,-75,1769436284,5,5
2026-01-26 06:05:42.934752,0x433e9c88,99,4.176,20.336666,1.71325,,,1769436340,,3
2026-01-26 06:06:43.160215,0x433e9c88,98,4.173,25.783333,1.673611,,,1769436400,,3
2026-01-26 06:07:27.385917,0x433acb14,100,4.194,21.69,4.700611,3.25,-91,1769436444,3,3
2026-01-26 06:07:43.187736,0x433e9c88,101,4.202,26.941666,1.6049722,,,1769436460,,3
2026-01-26 06:08:21.176249,0x433ad35c,101,4.203,25.476667,4.367194,6.0,-53,1769436498,3,3
2026-01-26 06:08:43.072607,0x433e9c88,98,4.171,21.06,1.5860555,,,1769436520,,3
2026-01-26 06:09:43.168198,0x433e9c88,98,4.173,23.76,1.55525,,,1769436581,,3
2026-01-26 06:09:57.367264,0x433b0098,99,4.178,18.066668,4.23975,6.25,-61,1769436594,2,2
2026-01-26 06:10:16.918682,0x433abf20,98,4.173,19.981667,4.9095,5.25,-77,1769436614,3,3
2026-01-26 06:10:43.289010,0x433e9c88,100,4.196,23.705,1.5595555,,,1769436641,,3
2026-01-26 06:10:46.613901,0x433b0b38,99,4.177,21.075,4.9,6.0,-74,1769436644,5,5
2026-01-26 06:11:43.208272,0x433e9c88,100,4.191,23.154999,1.5595555,,,1769436701,,3
2026-01-26 06:12:10.689858,0x433af380,98,4.172,18.241667,4.0235558,6.0,-39,1769436728,3,3
2026-01-26 06:12:43.322998,0x433e9c88,101,4.203,28.330002,1.5595555,,,1769436761,,3
2026-01-26 06:13:28.003785,0x433acb14,101,4.206,22.976667,4.5595555,3.75,-91,1769436805,3,3
2026-01-26 06:13:43.302175,0x433e9c88,101,4.227,23.811666,1.5458611,,,1769436821,,3
2026-01-26 06:14:21.441423,0x433ad35c,101,4.206,24.058332,4.4184165,5.75,-53,1769436859,3,3
2026-01-26 06:14:43.411179,0x433e9c88,98,4.174,24.058332,1.5269444,,,1769436881,,3
2026-01-26 06:15:43.530663,0x433e9c88,99,4.182,22.063334,1.5141667,,,1769436941,3,3
2026-01-26 06:15:56.669546,0x433b0098,98,4.175,21.215,4.1220555,6.0,-59,1769436954,2,2
2026-01-26 06:16:16.795523,0x433abf20,101,4.224,22.801666,4.8569164,5.5,-76,1769436974,3,3
2026-01-26 06:16:43.712689,0x433e9c88,98,4.169,23.621666,1.5328611,,,1769437001,,3
2026-01-26 06:16:46.865754,0x433b0b38,99,4.183,23.621666,4.949611,6.0,-75,1769437004,5,5
2026-01-26 06:17:43.639539,0x433e9c88,98,4.163,19.653334,1.512139,,,1769437061,,3
