datetime,fromNode,ch3Voltage,ch3Current,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2026-01-28 03:02:54.642240,0x433abf20,13.2725,66.25,5.75,-75,1769598167,3,3
2026-01-28 03:03:52.586558,0x433b0b38,13.2525,61.25,5.75,-72,1769598225,5,5
2026-01-28 03:05:16.541181,0x433acb14,13.25625,66.25,5.0,-89,1769598309,3,3
2026-01-28 03:08:07.170389,0x433ad35c,13.27125,65.0,6.5,-54,1769598480,3,3
2026-01-28 03:08:16.846097,0x433abf20,13.2725,66.25,5.75,-75,1769598490,3,1
2026-01-28 03:08:54.019622,0x433b0b38,13.2525,62.5,6.0,-73,1769598527,5,5
2026-01-28 03:10:09.452929,0x433b0098,13.2375,71.25,6.25,-61,1769598602,2,2
2026-01-28 03:10:19.069881,0x433acb14,13.25625,66.25,5.75,-89,1769598612,3,3
2026-01-28 03:12:57.032951,0x433abf20,13.26625,76.25,6.0,-74,1769598770,3,3
2026-01-28 03:13:54.611292,0x433b0b38,13.25125,62.5,5.75,-72,1769598827,5,5
2026-01-28 03:15:19.962828,0x433acb14,13.2525,76.25,5.5,-89,1769598913,3,3
2026-01-28 03:17:59.054983,0x433abf20,13.25,126.25,5.75,-75,1769599072,3,3
2026-01-28 03:18:11.032057,0x433ad35c,13.26875,75.0,5.75,-54,1769599084,3,3
2026-01-28 03:18:58.647014,0x433b0b38,13.25625,63.75,6.0,-73,1769599131,5,5
2026-01-28 03:20:09.507898,0x433b0098,13.2425,61.25,6.25,-61,1769599202,2,2
2026-01-28 03:20:20.658724,0x433acb14,13.25625,62.5,5.25,-89,1769599213,3,3
2026-01-28 03:22:59.764674,0x433abf20,13.27125,61.25,5.75,-75,1769599372,3,3
2026-01-28 03:23:57.132764,0x433b0b38,13.24875,73.75,6.0,-73,1769599430,5,5
2026-01-28 03:25:22.112300,0x433acb14,13.255,66.25,5.5,-89,1769599515,3,3
2026-01-28 03:28:01.693977,0x433abf20,13.2675,76.25,6.0,-75,1769599674,3,3
2026-01-28 03:28:13.705816,0x433ad35c,13.27125,61.25,6.0,-53,1769599686,3,3
2026-01-28 03:28:59.362153,0x433b0b38,13.25125,75.0,5.5,-72,1769599732,5,5
2026-01-28 03:30:15.022417,0x433b0098,13.24375,61.25,6.25,-61,1769599808,2,2
2026-01-28 03:30:23.523849,0x433acb14,13.25,73.75,4.75,-90,1769599816,3,3
2026-01-28 03:32:29.218146,0x433af380,13.18125,82.5,6.5,-39,1769599942,3,3
2026-01-28 03:33:02.377072,0x433abf20,13.2475,132.5,5.75,-75,1769599975,3,3
2026-01-28 03:33:59.852912,0x433b0b38,13.24625,73.75,6.0,-72,1769600033,5,5
2026-01-28 03:35:25.285169,0x433acb14,13.25375,62.5,5.5,-86,1769600118,3,3
2026-01-28 03:38:03.143700,0x433abf20,13.265,72.5,5.75,-75,1769600276,3,3
2026-01-28 03:38:17.047306,0x433ad35c,13.27125,61.25,6.5,-53,1769600290,3,3
2026-01-28 03:39:01.687948,0x433b0b38,13.25125,61.25,5.75,-72,1769600334,5,5
2026-01-28 03:40:17.389804,0x433b0098,13.24375,60.0,6.5,-60,1769600410,2,2
2026-01-28 03:40:26.765583,0x433acb14,13.255,65.0,4.0,-88,1769600419,3,3
2026-01-28 03:43:05.152778,0x433abf20,13.27125,62.5,6.0,-75,1769600578,3,3
2026-01-28 03:44:02.865108,0x433b0b38,13.2525,65.0,6.0,-72,1769600636,5,5
2026-01-28 03:45:26.788471,0x433acb14,13.25,80.0,4.5,-88,1769600719,3,3
2026-01-28 03:48:05.543032,0x433abf20,13.26875,66.25,6.0,-75,1769600878,3,3
2026-01-28 03:48:18.299475,0x433ad35c,13.27,61.25,5.75,-54,1769600891,3,3
2026-01-28 03:49:03.696639,0x433b0b38,13.25375,57.5,5.75,-73,1769600936,5,5
2026-01-28 03:50:19.745624,0x433b0098,13.2425,62.5,6.25,-60,1769601012,2,2
2026-01-28 03:50:31.469369,0x433acb14,13.255,62.5,4.75,-89,1769601024,3,3
2026-01-28 03:53:07.881686,0x433abf20,13.26625,73.75,6.0,-75,1769601181,3,3
2026-01-28 03:54:05.538379,0x433b0b38,13.24625,71.25,5.75,-73,1769601238,5,5
2026-01-28 03:55:30.072460,0x433acb14,13.25,76.25,4.75,-88,1769601323,3,3
2026-01-28 03:58:21.514805,0x433ad35c,13.26875,76.25,6.5,-53,1769601494,3,3
2026-01-28 03:59:06.039850,0x433b0b38,13.25125,61.25,5.75,-72,1769601539,5,5
2026-01-28 04:00:22.612602,0x433b0098,13.24375,62.5,6.25,-61,1769601615,2,2
2026-01-28 04:00:31.273814,0x433acb14,13.25375,65.0,4.75,-89,1769601624,3,3
2026-01-27 21:01:14.028192,0x433abf20,13.275,72.5,3.5,-75,1769576467,3,3
2026-01-27 21:02:14.541773,0x433b0b38,13.2575,72.5,3.5,-73,1769576528,5,5
2026-01-27 21:03:43.760506,0x433acb14,13.27125,66.25,-7.0,-90,1769576617,3,3
2026-01-27 21:06:15.456802,0x433abf20,13.27625,62.5,5.5,-74,1769576769,3,3
2026-01-27 21:06:32.358280,0x433ad35c,13.2825,63.75,6.5,-54,1769576786,3,3
2026-01-27 21:07:13.182320,0x433b0b38,13.26125,58.75,5.5,-71,1769576827,5,5
2026-01-27 21:08:34.047150,0x433b0098,13.245,72.5,5.5,-61,1769576907,2,2
2026-01-27 21:08:42.446557,0x433acb14,13.26625,71.25,-9.25,-91,1769576916,3,3
2026-01-27 21:11:18.159671,0x433abf20,13.2725,73.75,5.5,-74,1769577071,3,3
2026-01-27 21:12:16.140862,0x433b0b38,13.26,62.5,4.0,-70,1769577129,5,5
2026-01-27 21:13:43.694559,0x433acb14,13.27,61.25,-11.75,-94,1769577217,3,3
2026-01-27 21:16:17.525591,0x433abf20,13.2775,66.25,6.0,-74,1769577371,3,3
2026-01-27 21:16:35.790075,0x433ad35c,13.28,62.5,5.75,-54,1769577389,3,3
2026-01-27 21:17:15.191885,0x433b0b38,13.2625,63.75,5.75,-70,1769577429,5,5
2026-01-27 21:18:38.635019,0x433b0098,13.25,63.75,7.0,-63,1769577512,2,2
2026-01-27 21:18:46.131876,0x433acb14,13.26875,63.75,5.0,-85,1769577519,3,3
2026-01-27 21:21:20.821968,0x433abf20,13.27625,63.75,7.5,-74,1769577674,3,3
2026-01-27 21:22:16.193596,0x433b0b38,13.26125,65.0,6.0,-71,1769577730,5,5
2026-01-27 21:23:46.232266,0x433acb14,13.26625,73.75,-2.5,-100,1769577820,3,3
2026-01-27 21:26:24.589112,0x433abf20,13.27375,72.5,6.25,-74,1769577978,3,3
2026-01-27 21:26:35.955342,0x433ad35c,13.28,75.0,6.5,-53,1769577989,3,3
2026-01-27 21:27:19.828333,0x433b0b38,13.26125,60.0,6.0,-70,1769578033,5,5
2026-01-27 21:28:44.461978,0x433b0098,13.24625,68.75,6.5,-62,1769578118,2,2
2026-01-27 21:28:48.558711,0x433acb14,13.24625,131.25,4.25,-88,1769578122,3,3
2026-01-27 21:31:21.722333,0x433af380,13.1925,81.25,6.25,-38,1769578275,3,3
2026-01-27 21:31:23.467369,0x433abf20,13.27625,61.25,5.75,-74,1769578277,3,3
2026-01-27 21:32:19.557066,0x433b0b38,13.25125,90.0,6.0,-70,1769578333,5,5
2026-01-27 21:33:49.479871,0x433acb14,13.27,65.0,-5.25,-104,1769578423,3,3
