datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2026-01-22 17:00:34.162737,0x433af380,1,1,1,1,1,1,6.25,-21,,3,3
2026-01-22 17:00:37.492386,0x433acb14,,,,,,,7.5,-10,,3,3
2026-01-22 17:01:06.458451,0x433ad35c,1,1,2,1,1,2,5.25,-28,,3,3
2026-01-22 17:01:17.046537,0x433b0b38,1,1,2,1,1,2,6.75,-3,,5,5
2026-01-22 17:01:22.949627,0x433aad0c,1,1,1,1,1,1,5.75,-36,,3,3
2026-01-22 17:01:36.148414,0x433af380,1,1,1,1,1,1,6.25,-20,,3,3
2026-01-22 17:01:39.664182,0x433acb14,,,,,,,6.25,-11,,3,3
2026-01-22 17:02:06.624549,0x433ad35c,,,,,,,6.0,-28,,3,3
2026-01-22 17:02:15.892384,0x433b0b38,,,,,,,6.0,-4,,5,5
2026-01-22 17:02:22.419802,0x433aad0c,,,,,,,6.25,-36,,3,3
2026-01-22 17:02:34.537783,0x433af380,1,1,1,1,1,1,6.25,-21,,3,3
2026-01-22 17:02:37.958042,0x433acb14,,,,,,,6.75,-11,,3,3
2026-01-22 17:03:07.381076,0x433ad35c,,,,,,,6.0,-27,,3,3
2026-01-22 17:03:16.227834,0x433b0b38,,1,1,,1,1,6.0,-3,,5,5
2026-01-22 17:03:22.720717,0x433aad0c,1,1,1,1,1,1,6.25,-36,,3,3
2026-01-22 17:03:34.702671,0x433af380,1,2,2,1,2,2,6.0,-21,,3,3
2026-01-22 17:03:38.186089,0x433acb14,,,,,,,7.0,-11,,3,3
2026-01-22 17:04:07.235661,0x433ad35c,,,,,,,7.5,-28,,3,3
2026-01-22 17:04:16.420399,0x433b0b38,,,,,,,6.0,-3,,5,5
2026-01-22 17:04:23.425005,0x433aad0c,1,1,1,1,1,1,6.5,-36,,3,3
2026-01-22 17:04:34.977966,0x433af380,2,2,2,2,2,2,6.0,-21,,3,3
2026-01-22 17:04:38.438082,0x433acb14,,,,,,,7.5,-11,,3,3
2026-01-22 17:05:08.064145,0x433ad35c,,,1,,,1,6.5,-28,,3,3
2026-01-22 17:05:16.993968,0x433b0b38,,,,,,,6.0,-3,,5,5
2026-01-22 17:05:23.132314,0x433aad0c,,,,,,,6.25,-36,,3,3
2026-01-22 17:05:35.082109,0x433af380,1,1,1,1,1,1,6.0,-21,,3,3
2026-01-22 17:05:38.847068,0x433acb14,1,1,1,1,1,1,7.5,-10,,3,3
2026-01-22 17:06:07.623773,0x433ad35c,,,1,,,1,6.5,-28,,3,3
2026-01-22 17:06:17.968141,0x433b0b38,1,1,1,1,1,1,6.25,-3,,5,5
2026-01-22 17:06:23.351574,0x433aad0c,,,,,,,6.25,-37,,3,3
2026-01-22 17:06:35.254476,0x433af380,,,,,,,6.0,-21,,3,3
2026-01-22 17:06:39.821895,0x433acb14,,,,,,,6.0,-11,,3,3
