datetime,fromNode,batteryLevel,voltage,channelUtilization,airUtilTx,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2026-01-22 17:01:04.047567,0x433e9c88,99,4.177,18.551666,1.7112778,,,,,3
2026-01-22 17:01:10.402043,0x433b0b38,97,4.15,15.101666,3.5552223,6.25,-3,,5,5
2026-01-22 17:01:26.693237,0x433acb14,101,4.218,21.311666,3.7469168,7.25,-11,,3,3
2026-01-22 17:01:53.089809,0x433ad35c,101,4.228,28.59,3.5908055,5.75,-28,,3,3
2026-01-22 17:02:04.145556,0x433e9c88,101,4.21,31.381666,1.6590556,,,,,3
2026-01-22 17:02:09.425814,0x433aad0c,101,4.236,26.141666,3.4080553,6.0,-36,,3,3
2026-01-22 17:03:04.206409,0x433e9c88,101,4.204,15.748334,1.6711667,,,,,3
2026-01-22 17:04:04.322536,0x433e9c88,101,4.245,11.896667,1.679639,,,,,3
2026-01-22 17:05:04.351756,0x433e9c88,101,4.21,18.285,1.6607223,,,,,3
2026-01-22 17:06:04.317136,0x433e9c88,98,4.166,11.83,1.6404166,,,,,3
2026-01-22 17:07:04.312678,0x433e9c88,101,4.233,17.836666,1.6593333,,,,,3
2026-01-22 17:07:10.593691,0x433b0b38,98,4.166,20.886667,3.5577497,5.75,-3,,5,5
2026-01-22 17:07:26.668055,0x433acb14,101,4.228,20.245,3.7249722,7.25,-11,,3,3
2026-01-22 17:07:53.315395,0x433ad35c,99,4.185,24.133333,3.517639,5.75,-28,,3,3
2026-01-22 17:08:04.346680,0x433e9c88,98,4.174,20.533333,1.6755277,,,,,3
2026-01-22 17:08:10.779369,0x433aad0c,101,4.238,23.353334,3.43225,5.75,-36,,3,3
2026-01-22 17:09:04.385040,0x433e9c88,98,4.17,14.54,1.6784722,,,,,3
2026-01-22 17:09:18.316813,0x9e9faaa4,93,4.097,24.345,3.0050833,6.0,-3,,3,2
2026-01-22 17:10:04.435888,0x433e9c88,101,4.232,17.251667,1.6665555,,,,,3
2026-01-22 17:11:04.478803,0x433e9c88,101,4.239,18.011667,1.6386945,,,,,3
2026-01-22 17:12:04.668398,0x433e9c88,101,4.207,18.07,1.6325556,,,,,3
2026-01-22 17:13:04.683070,0x433e9c88,99,4.177,15.281667,1.59925,,,,,3
2026-01-22 17:13:09.265916,0x433b0b38,101,4.218,13.936667,3.547861,6.0,-3,,5,5
2026-01-22 17:13:24.719131,0x433acb14,100,4.19,18.263334,3.85225,7.0,-10,,3,3
2026-01-22 17:13:53.524468,0x433ad35c,98,4.174,22.721666,3.604639,6.25,-27,,3,3
2026-01-22 17:14:04.804661,0x433e9c88,101,4.216,25.636667,1.6152222,,,,,3
2026-01-22 17:14:11.790424,0x433aad0c,101,4.221,19.779999,3.3806667,6.5,-36,,3,3
2026-01-22 17:15:04.700107,0x433e9c88,101,4.22,19.15,1.5801111,,,,,3
2026-01-22 17:16:04.743737,0x433e9c88,101,4.236,20.485,1.5755554,,,,,3
2026-01-22 17:17:04.810000,0x433e9c88,101,4.212,20.57,1.6396389,,,,,3
2026-01-22 17:17:54.966835,0x9e9faaa4,93,4.1,16.76,2.8755555,6.0,-3,,3,2
2026-01-22 17:18:04.996657,0x433e9c88,101,4.216,17.836666,1.6726944,,,,,3
2026-01-22 17:19:04.894803,0x433e9c88,94,4.117,13.826667,1.6686112,,,,,3
2026-01-22 17:19:09.330200,0x433b0b38,98,4.171,15.056666,3.5597498,6.0,-4,,5,5
2026-01-22 17:19:25.323113,0x433acb14,101,4.257,17.7,3.715111,7.25,-11,,3,3
2026-01-22 17:19:53.775696,0x433ad35c,99,4.183,26.458332,3.7120278,5.75,-28,,3,3
2026-01-22 17:20:05.071913,0x433e9c88,101,4.205,22.326666,1.6489999,,,,,3
2026-01-22 17:20:11.166154,0x433aad0c,101,4.213,24.12,3.5743334,6.0,-36,,3,3
2026-01-22 17:21:04.967975,0x433e9c88,100,4.2,22.788334,1.6932778,,,,,3
2026-01-22 17:22:05.105527,0x433e9c88,101,4.236,19.206667,1.6836667,,,,,3
