datetime,fromNode,ch3Voltage,ch3Current,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2026-01-23 00:01:53.493236,0x433ad35c,13.2625,71.25,6.0,-28,,3,3
2026-01-23 00:02:12.073273,0x433aad0c,13.2775,75.0,6.5,-36,,3,3
2026-01-23 00:03:03.046778,0x433b0b38,13.25625,65.0,6.0,-4,,5,5
2026-01-23 00:03:26.115696,0x433acb14,13.26,78.75,7.25,-11,,3,3
2026-01-23 00:08:05.648392,0x433b0b38,13.25875,67.5,6.0,-4,,5,5
2026-01-23 00:08:28.125632,0x433acb14,13.26,75.0,6.5,-11,,3,3
2026-01-23 00:11:56.015492,0x433ad35c,13.2675,75.0,6.75,-29,,3,3
2026-01-23 00:12:12.998520,0x433aad0c,13.27875,62.5,5.75,-36,,3,3
2026-01-23 00:13:08.209646,0x433b0b38,13.25625,85.0,6.0,-3,,5,5
2026-01-23 00:13:30.945972,0x433acb14,13.2575,75.0,6.75,-11,,3,3
2026-01-23 00:18:07.177865,0x433b0b38,13.25625,61.25,5.75,-3,,5,5
2026-01-23 00:18:29.593476,0x433acb14,13.26375,65.0,6.5,-12,,3,3
2026-01-23 00:20:39.714791,0x433af380,13.26375,66.25,7.0,-11,,3,3
2026-01-23 00:21:59.120266,0x433ad35c,13.26875,66.25,6.75,-29,,3,3
2026-01-23 00:23:08.646405,0x433b0b38,13.25875,66.25,6.25,-4,,5,5
2026-01-23 00:23:30.928274,0x433acb14,13.265,61.25,6.5,-10,,3,3
2026-01-23 00:28:15.628865,0x433b0b38,13.25375,77.5,6.0,-4,,5,5
2026-01-23 00:28:32.393168,0x433acb14,13.25875,77.5,8.0,-11,,3,3
2026-01-23 00:32:01.105160,0x433ad35c,13.26,77.5,6.25,-28,,3,3
2026-01-23 00:32:18.331789,0x433aad0c,13.2775,62.5,5.75,-36,,3,3
2026-01-23 00:33:13.279302,0x433b0b38,13.25625,62.5,6.5,-3,,5,5
2026-01-23 00:33:33.848187,0x433acb14,13.26,80.0,7.25,-11,,3,3
2026-01-23 00:38:13.215551,0x433b0b38,13.2575,60.0,6.25,-3,,5,5
2026-01-23 00:38:35.934751,0x433acb14,13.26125,63.75,6.25,-11,,3,3
2026-01-23 00:42:04.405491,0x433ad35c,13.26875,60.0,6.0,-28,,3,3
2026-01-23 00:42:20.915842,0x433aad0c,13.2775,66.25,6.25,-37,,3,3
2026-01-23 00:43:17.662427,0x433b0b38,13.2575,75.0,7.0,-4,,5,5
2026-01-23 00:43:36.959405,0x433acb14,13.25125,83.75,6.25,-11,,3,3
2026-01-23 00:48:16.330170,0x433b0b38,13.2525,78.75,6.0,-3,,5,5
2026-01-23 00:48:37.946184,0x433acb14,13.26125,66.25,6.25,-11,,3,3
2026-01-23 00:52:07.011145,0x433ad35c,13.2675,61.25,6.25,-28,,3,3
2026-01-23 00:52:24.302653,0x433aad0c,13.27375,73.75,7.0,-37,,3,3
2026-01-23 00:53:17.475258,0x433b0b38,13.25125,73.75,6.25,-3,,5,5
2026-01-23 00:53:38.720090,0x433acb14,13.2625,61.25,7.25,-11,,3,3
2026-01-23 00:58:20.314279,0x433b0b38,13.25,73.75,6.5,-4,,5,5
2026-01-23 00:58:41.116696,0x433acb14,13.26125,61.25,6.25,-11,,3,3
2026-01-23 03:02:41.418662,0x433ad35c,13.265,58.75,6.5,-28,,3,3
2026-01-23 03:02:58.304630,0x433aad0c,13.27625,58.75,5.75,-36,,3,3
2026-01-23 03:03:51.312335,0x433b0b38,13.2575,61.25,6.25,-3,,5,5
2026-01-23 03:04:12.900270,0x433acb14,13.26,67.5,6.0,-11,,3,3
