datetime,fromNode,temperature,relativeHumidity,barometricPressure,gasResistance,iaq,windDirection,windSpeed,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2026-01-25 08:02:46.583917,0x433b0b38,6.028699,64.85657,1008.1491,247.46254,175,,,5.25,-78,,5,5
2026-01-25 08:02:51.508406,0x433aad0c,6.670283,63.761955,1008.45184,270.48672,189,,,6.0,-70,,3,3
2026-01-25 08:03:16.279591,0x433ad35c,6.0634828,66.803856,1008.2864,219.56992,184,,,6.25,-57,,3,3
2026-01-25 08:03:41.465055,0x433af380,4.503641,71.492836,1008.6851,238.7588,123,,,6.0,-34,,3,3
2026-01-25 08:03:46.569138,0x433b0b38,6.1213193,64.84321,1008.18097,246.56876,176,,,5.5,-78,,5,5
2026-01-25 08:04:42.130820,0x433af380,4.6816783,71.1302,1008.71216,237.55777,122,,,5.5,-34,,3,3
2026-01-25 08:04:50.347871,0x433b0b38,6.1161027,64.716995,1008.20123,246.92549,175,,,6.0,-78,,5,5
2026-01-25 08:05:42.212678,0x433af380,4.5773993,71.22769,1008.7102,236.03122,124,,,8.0,-34,,3,3
2026-01-25 08:05:46.394153,0x433b0b38,6.0621557,65.11112,1008.1995,247.46254,174,,,5.5,-78,,5,5
2026-01-25 08:05:51.170853,0x433aad0c,6.71587,64.19036,1008.504,259.204,192,,,6.25,-70,,3,3
2026-01-25 08:06:16.261708,0x433ad35c,6.160361,67.293884,1008.3484,217.54697,184,,,6.5,-57,,3,3
2026-01-25 08:06:42.249441,0x433af380,4.638629,71.12995,1008.7344,225.40895,134,,,5.5,-34,,3,3
2026-01-25 08:06:46.443824,0x433b0b38,6.1675544,65.16568,1008.239,246.21303,174,,,5.5,-78,,5,5
2026-01-25 08:07:42.514237,0x433af380,4.8649907,70.97663,1008.7542,221.33406,139,,,5.75,-34,,3,3
2026-01-25 08:07:47.579551,0x433b0b38,6.25768,65.01101,1008.2306,246.03557,174,,,5.5,-78,,5,5
2026-01-25 08:08:42.797206,0x433af380,5.2058063,70.13795,1008.7789,225.56277,130,,,5.75,-34,,3,3
2026-01-25 08:08:47.800384,0x433b0b38,6.345159,64.88807,1008.23883,243.57755,176,,,5.5,-79,,5,5
2026-01-25 08:08:51.220018,0x433aad0c,6.870253,64.14026,1008.5117,256.77887,193,,,6.0,-70,,3,3
2026-01-25 08:09:16.782822,0x433ad35c,6.1936927,67.38128,1008.3484,208.75471,187,,,7.0,-56,,3,3
2026-01-25 08:09:43.062712,0x433af380,5.6534843,68.85858,1008.8024,223.42842,127,,,5.75,-34,,3,3
2026-01-25 08:09:49.557618,0x433b0b38,6.3269386,64.856186,1008.22516,244.97607,175,,,5.5,-78,,5,5
2026-01-25 08:10:43.661166,0x433af380,5.9917216,68.211205,1008.79,223.73083,126,,,7.25,-35,,3,3
