datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2026-01-26 00:59:27.815131,0x433b0b38,6,9,11,6,9,11,6.25,-73,1769417965,5,5
2026-01-26 00:59:32.318448,0x433af380,11,13,14,11,13,14,6.25,-39,1769417970,3,3
2026-01-26 00:59:35.141960,0x433ad35c,8,9,11,8,9,11,6.0,-54,1769417973,3,3
2026-01-26 00:59:37.956179,0x433b0098,7,9,9,7,9,9,6.25,-61,1769417976,2,2
2026-01-26 00:59:51.477469,0x433acb14,6,7,7,6,7,7,4.0,-91,1769417989,3,3
2026-01-26 01:00:28.796776,0x433b0b38,7,10,10,7,10,10,6.0,-75,1769418026,5,5
2026-01-26 01:00:33.881983,0x433ad35c,9,12,12,9,12,12,6.0,-53,1769418031,3,3
2026-01-26 01:00:35.637972,0x433abf20,4,6,6,4,6,6,5.5,-77,1769418033,3,3
2026-01-26 01:00:39.148996,0x433b0098,7,9,9,7,9,9,6.25,-60,1769418037,2,2
2026-01-26 01:00:41.784289,0x433af380,13,16,17,13,16,17,6.5,-39,1769418039,3,3
2026-01-26 01:00:52.713749,0x433acb14,3,4,6,3,4,6,3.5,-92,1769418050,3,3
2026-01-26 01:01:28.109039,0x433b0b38,5,8,8,5,8,8,7.25,-74,1769418086,5,5
2026-01-26 01:01:34.140592,0x433ad35c,7,11,12,7,11,12,7.0,-53,1769418092,3,3
2026-01-26 01:01:36.063533,0x433abf20,5,6,6,5,6,6,5.5,-77,1769418094,3,3
2026-01-26 01:01:38.811087,0x433b0098,8,9,9,8,9,9,6.5,-61,1769418096,2,2
2026-01-26 01:01:53.534740,0x433acb14,5,6,7,5,6,7,3.75,-92,1769418111,3,3
2026-01-26 01:02:28.815670,0x433b0b38,8,9,11,8,9,11,7.25,-74,1769418146,5,5
2026-01-26 01:02:34.639259,0x433ad35c,9,11,11,9,11,11,6.0,-53,1769418152,3,3
2026-01-26 01:02:36.296390,0x433abf20,4,6,6,4,6,6,6.0,-76,1769418154,3,3
2026-01-26 01:02:38.879411,0x433b0098,7,9,9,7,9,9,6.0,-60,1769418156,2,2
2026-01-26 01:02:52.149211,0x433acb14,5,6,6,5,6,6,3.5,-91,1769418170,3,3
2026-01-26 01:03:28.559018,0x433b0b38,7,9,9,7,9,9,6.75,-74,1769418206,5,5
2026-01-26 01:03:31.722623,0x433af380,10,13,14,10,13,14,6.25,-39,1769418209,3,3
2026-01-26 01:03:34.816313,0x433ad35c,8,8,8,8,8,8,6.0,-53,1769418212,3,3
2026-01-26 01:03:36.632068,0x433abf20,3,6,6,3,6,6,5.25,-76,1769418214,3,3
2026-01-26 01:03:39.328490,0x433b0098,6,9,9,6,9,9,6.75,-61,1769418217,2,2
2026-01-26 01:03:53.774836,0x433acb14,4,5,7,4,5,7,3.75,-91,1769418231,3,3
2026-01-26 01:04:28.440520,0x433af380,11,15,15,11,15,15,6.5,-38,1769418266,3,3
2026-01-26 01:04:30.312921,0x433b0b38,8,11,11,8,11,11,6.0,-74,1769418268,5,5
2026-01-26 01:04:38.818198,0x433ad35c,6,7,8,6,7,8,7.5,-53,1769418276,3,3
2026-01-26 01:04:41.886980,0x433abf20,4,4,5,4,4,5,5.5,-76,1769418279,3,3
2026-01-26 01:04:52.573897,0x433acb14,7,10,11,7,10,11,3.25,-91,1769418290,3,3
2026-01-26 01:05:29.595279,0x433b0b38,6,8,8,6,8,8,5.5,-74,1769418327,5,5
2026-01-26 01:05:37.169330,0x433abf20,3,4,4,3,4,4,5.25,-76,1769418335,3,3
2026-01-26 01:05:39.545467,0x433ad35c,8,11,11,8,11,11,3.5,-53,1769418337,3,3
2026-01-26 01:05:41.281346,0x433b0098,6,8,8,6,8,8,5.25,-75,1769418339,2,1
2026-01-26 01:05:53.012179,0x433acb14,3,5,5,3,5,5,3.25,-91,1769418351,3,3
2026-01-26 01:06:28.781856,0x433b0b38,5,7,7,5,7,7,7.0,-74,1769418386,5,5
2026-01-26 01:06:33.059705,0x433af380,12,15,15,12,15,15,6.5,-39,1769418391,3,3
2026-01-26 01:06:36.668006,0x433ad35c,10,11,11,10,11,11,6.25,-53,1769418394,3,3
2026-01-26 01:06:39.724922,0x433b0098,6,8,8,6,8,8,5.75,-61,1769418397,2,2
2026-01-26 01:06:53.306518,0x433acb14,3,3,5,3,3,5,3.75,-91,1769418411,3,3
2026-01-26 01:07:28.844622,0x433b0b38,5,6,6,5,6,6,7.0,-74,1769418446,5,5
2026-01-26 01:07:34.655111,0x433af380,11,14,14,11,14,14,6.25,-38,1769418452,3,3
2026-01-26 01:07:38.249031,0x433ad35c,8,10,10,8,10,10,6.25,-53,1769418456,3,3
2026-01-26 01:07:39.980449,0x433abf20,4,6,6,4,6,6,5.5,-76,1769418458,3,3
2026-01-26 01:07:40.718946,0x433b0098,5,6,6,5,6,6,5.75,-60,1769418458,2,2
2026-01-26 01:07:53.349262,0x433acb14,5,7,7,5,7,7,3.75,-91,1769418471,3,3
2026-01-26 01:08:33.419736,0x433b0b38,8,13,15,8,13,15,5.5,-77,1769418511,5,3
2026-01-26 01:08:36.269868,0x433ad35c,9,11,11,9,11,11,6.0,-53,1769418514,3,3
2026-01-26 01:08:41.149011,0x433b0098,7,9,10,7,9,10,6.0,-61,1769418519,2,2
2026-01-26 01:08:53.582555,0x433acb14,3,5,5,3,5,5,3.0,-91,1769418531,3,3
2026-01-26 01:09:30.949637,0x433b0b38,7,11,12,7,11,12,5.5,-74,1769418569,5,5
2026-01-26 01:09:36.610096,0x433af380,10,12,13,10,12,13,6.25,-39,1769418574,3,3
2026-01-26 01:09:40.039608,0x433abf20,5,6,6,5,6,6,5.5,-77,1769418578,3,3
2026-01-26 01:09:41.744307,0x433ad35c,9,11,11,9,11,11,6.0,-54,1769418579,3,3
2026-01-26 01:09:45.703195,0x433b0098,6,8,8,6,8,8,5.75,-60,1769418583,2,2
2026-01-26 01:09:53.831036,0x433acb14,4,5,5,4,5,5,3.5,-92,1769418591,3,3
2026-01-26 01:10:31.250890,0x433b0b38,6,7,9,6,7,9,5.25,-74,1769418629,5,5
2026-01-26 01:10:40.100785,0x433ad35c,8,9,9,8,9,9,6.25,-54,1769418638,3,3
2026-01-26 01:10:40.801461,0x433abf20,4,5,5,4,5,5,5.0,-76,1769418638,3,3
2026-01-26 01:10:43.391334,0x433b0098,6,7,10,6,7,10,6.25,-61,1769418641,2,2
2026-01-26 01:10:50.240839,0x433af380,12,14,14,12,14,14,6.25,-39,1769418648,3,3
2026-01-26 01:10:54.114209,0x433acb14,5,7,8,5,7,8,3.75,-91,1769418652,3,3
2026-01-26 01:11:31.917854,0x433af380,13,17,17,13,17,17,6.25,-38,1769418689,3,3
2026-01-26 01:11:33.650891,0x433b0b38,8,10,10,8,10,10,6.5,-74,1769418691,5,5
2026-01-26 01:11:37.298930,0x433ad35c,8,9,10,8,9,10,6.25,-54,1769418695,3,3
2026-01-26 01:11:41.022104,0x433b0098,7,8,9,7,8,9,5.5,-61,1769418699,2,2
2026-01-26 01:11:55.424453,0x433acb14,3,4,4,3,4,4,3.5,-91,1769418713,3,3
2026-01-26 01:12:31.948909,0x433b0b38,8,9,10,8,9,10,6.0,-74,1769418750,5,5
2026-01-26 01:12:34.075280,0x433af380,12,15,15,12,15,15,6.25,-39,1769418752,3,3
2026-01-26 01:12:37.145647,0x433abf20,5,7,7,5,7,7,5.0,-76,1769418755,3,3
2026-01-26 01:12:40.959800,0x433ad35c,9,11,11,9,11,11,6.0,-53,1769418759,3,3
2026-01-26 01:12:42.735877,0x433b0098,5,7,7,5,7,7,5.75,-60,1769418760,2,2
2026-01-26 01:12:54.590622,0x433acb14,4,5,7,4,5,7,4.0,-91,1769418772,3,3
2026-01-26 01:13:33.866986,0x433b0b38,6,7,7,6,7,7,6.75,-74,1769418811,5,5
2026-01-26 01:13:37.488674,0x433abf20,6,7,7,6,7,7,5.75,-77,1769418815,3,3
2026-01-26 01:13:39.253464,0x433ad35c,6,7,8,6,7,8,6.25,-54,1769418817,3,3
2026-01-26 01:13:41.695055,0x433b0098,6,8,8,6,8,8,6.0,-59,1769418819,2,2
2026-01-26 01:13:46.754334,0x433af380,12,18,18,12,18,18,6.25,-39,1769418824,3,3
2026-01-26 01:13:55.445713,0x433acb14,4,5,8,4,5,8,3.5,-91,1769418833,3,3
2026-01-26 01:14:30.578995,0x433b0b38,4,8,8,4,8,8,6.0,-74,1769418868,5,5
2026-01-26 01:14:37.696086,0x433abf20,4,4,5,4,4,5,5.25,-76,1769418875,3,3
2026-01-26 01:14:40.402146,0x433ad35c,6,8,9,6,8,9,6.0,-53,1769418878,3,3
2026-01-26 01:14:55.451614,0x433acb14,5,7,7,5,7,7,3.75,-91,1769418893,3,3
2026-01-26 01:15:30.980562,0x433b0b38,7,9,12,7,9,12,6.5,-74,1769418929,5,5
2026-01-26 01:15:36.952713,0x433af380,11,14,14,11,14,14,6.5,-39,1769418935,3,3
2026-01-26 01:15:39.637762,0x433abf20,3,5,6,3,5,6,5.75,-76,1769418937,3,3
2026-01-26 01:15:42.822891,0x433ad35c,9,10,10,9,10,10,5.75,-53,1769418940,3,3
2026-01-26 01:15:46.527697,0x433b0098,4,6,6,4,6,6,6.25,-61,1769418944,2,2
2026-01-26 01:15:55.633615,0x433acb14,5,6,6,5,6,6,3.75,-91,1769418953,3,3
2026-01-26 01:16:31.800614,0x433b0b38,5,7,7,5,7,7,5.5,-74,1769418989,5,5
2026-01-26 01:16:38.555608,0x433abf20,4,5,5,4,5,5,5.75,-76,1769418996,3,3
2026-01-26 01:16:42.279322,0x433ad35c,8,9,9,8,9,9,6.25,-53,1769419000,3,3
2026-01-26 01:16:56.193929,0x433acb14,3,4,9,3,4,9,3.5,-91,1769419014,3,3
2026-01-26 01:17:30.973160,0x433af380,13,16,16,13,16,16,6.0,-39,1769419049,3,3
2026-01-26 01:17:32.706881,0x433b0b38,9,11,11,9,11,11,5.75,-73,1769419050,5,5
2026-01-26 01:17:39.194276,0x433ad35c,5,7,8,5,7,8,6.0,-53,1769419057,3,3
2026-01-26 01:17:43.965331,0x433b0098,7,8,10,7,8,10,6.25,-60,1769419062,2,2
2026-01-26 01:17:56.071501,0x433acb14,5,5,5,5,5,5,3.5,-91,1769419074,3,3
2026-01-26 01:18:30.412140,0x433af380,11,13,13,11,13,13,6.25,-39,1769419108,3,3
2026-01-26 01:18:33.109606,0x433b0b38,8,10,11,8,10,11,5.25,-75,1769419111,5,5
2026-01-26 01:18:39.130026,0x433abf20,3,7,8,3,7,8,5.25,-77,1769419117,3,3
2026-01-26 01:18:41.835806,0x433ad35c,6,8,8,6,8,8,6.25,-53,1769419119,3,3
2026-01-26 01:18:43.699803,0x433b0098,5,7,7,5,7,7,6.0,-61,1769419121,2,2
2026-01-26 01:18:56.610922,0x433acb14,6,8,8,6,8,8,3.5,-91,1769419134,3,3
2026-01-26 01:19:31.470977,0x433af380,12,16,16,12,16,16,6.25,-38,1769419169,3,3
2026-01-26 01:19:33.143168,0x433b0b38,7,8,10,7,8,10,6.75,-74,1769419171,5,5
