datetime,fromNode,temperature,relativeHumidity,barometricPressure,gasResistance,iaq,windDirection,windSpeed,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2026-01-27 01:00:19.344305,0x433acb14,7.6669154,65.69561,1011.25085,420.14056,194,,,6.0,-86,1769504415,3,3
2026-01-27 01:00:25.171588,0x433abf20,7.536839,65.50678,1012.18134,538.2392,161,,,5.5,-76,1769504420,3,3
2026-01-27 01:01:01.420453,0x433b0b38,7.457792,65.67353,1011.167,227.96082,192,,,5.5,-73,1769504457,5,5
2026-01-27 01:01:11.937972,0x433af380,5.2432375,75.57718,1011.72614,221.63087,94,,,6.75,-38,1769504467,3,3
2026-01-27 01:01:22.034451,0x433acb14,7.7237363,65.56314,1011.2437,420.9273,194,,,5.75,-85,1769504477,3,3
2026-01-27 01:01:25.387054,0x433abf20,7.6182375,65.386925,1012.1773,517.43304,168,,,5.25,-76,1769504481,3,3
2026-01-27 01:02:01.499885,0x433b0b38,7.4528017,65.7139,1011.2654,225.55066,193,,,5.25,-73,1769504517,5,5
2026-01-27 01:02:04.443203,0x433b0098,6.8632064,67.4934,1011.60956,324.50113,184,,,7.0,-59,1769504520,2,2
2026-01-27 01:02:08.217513,0x433ad35c,7.76126,66.95133,1011.329,194.04979,189,,,6.5,-53,1769504523,3,3
2026-01-27 01:02:17.263657,0x433af380,5.1500764,75.97468,1011.7359,224.64308,84,,,6.5,-38,1769504532,3,3
2026-01-27 01:02:20.058486,0x433acb14,7.697885,65.56931,1011.26746,421.7171,196,,,6.0,-87,1769504535,3,3
2026-01-27 01:02:24.324713,0x433abf20,7.6284018,65.52271,1012.1962,509.7063,169,,,5.5,-76,1769504540,3,3
2026-01-27 01:03:01.458066,0x433b0b38,7.5428534,65.595024,1011.1999,226.90005,193,,,5.75,-73,1769504577,5,5
2026-01-27 01:03:22.388680,0x433acb14,7.8546133,65.59307,1011.2642,416.50748,193,,,6.0,-86,1769504598,3,3
2026-01-27 01:03:25.504870,0x433abf20,7.689584,65.18036,1012.213,483.70334,176,,,5.5,-76,1769504601,3,3
2026-01-27 01:03:27.581598,0x433af380,5.0199494,76.46832,1011.75684,227.42493,79,,,6.5,-38,1769504603,3,3
2026-01-27 01:04:01.560287,0x433b0b38,7.663414,65.20696,1011.1949,225.6998,193,,,5.5,-72,1769504637,5,5
2026-01-27 01:04:17.942827,0x433af380,5.082965,76.86677,1011.78046,225.56277,80,,,6.25,-38,1769504653,3,3
2026-01-27 01:04:24.632649,0x433abf20,7.733722,65.31812,1012.2246,476.6116,180,,,5.5,-77,1769504660,3,3
2026-01-27 01:04:27.337679,0x433acb14,8.028731,65.364716,1011.27734,424.3711,192,,,6.25,-86,1769504663,3,3
2026-01-27 01:05:01.472745,0x433b0b38,7.7868853,64.84902,1011.18933,226.29834,192,,,5.75,-73,1769504697,5,5
2026-01-27 01:05:06.660511,0x433ad35c,7.8894243,66.8882,1011.32434,193.93596,189,,,7.75,-54,1769504702,3,3
2026-01-27 01:05:10.363206,0x433b0098,6.7099504,66.93772,1011.6048,326.41656,184,,,7.25,-59,1769504706,2,2
2026-01-27 01:05:18.165433,0x433acb14,8.107061,64.97128,1011.26013,425.17377,191,,,6.0,-86,1769504713,3,3
2026-01-27 01:05:22.437347,0x433af380,5.3095183,76.730644,1011.78076,223.27751,79,,,6.25,-38,1769504718,3,3
2026-01-27 01:05:26.266651,0x433abf20,7.754186,65.32686,1012.2028,484.04633,178,,,5.5,-76,1769504721,3,3
2026-01-27 01:06:01.704035,0x433b0b38,7.841211,64.689415,1011.2204,225.6998,192,,,5.5,-73,1769504757,5,5
2026-01-27 01:06:21.948604,0x433af380,5.6000724,76.36696,1011.76733,209.28334,102,,,6.0,-39,1769504777,3,3
2026-01-27 01:06:25.640096,0x433abf20,7.74315,65.26521,1012.2017,500.36646,173,,,5.5,-76,1769504781,3,3
2026-01-27 01:07:01.521437,0x433b0b38,7.85322,64.733795,1011.2305,226.74933,192,,,5.25,-73,1769504817,5,5
2026-01-27 01:07:22.370849,0x433af380,5.6865487,75.81249,1011.7431,217.97733,83,,,6.25,-38,1769504838,3,3
2026-01-27 01:07:26.833764,0x433abf20,7.7613354,64.89592,1012.2088,510.0872,170,,,5.25,-76,1769504842,3,3
2026-01-27 01:08:01.579082,0x433b0b38,7.915233,64.48871,1011.17645,226.29834,192,,,5.25,-73,1769504877,5,5
2026-01-27 01:08:05.065101,0x433b0098,6.718207,67.18242,1011.5915,324.18405,185,,,7.25,-60,1769504880,2,2
2026-01-27 01:08:07.398374,0x433ad35c,7.8350215,67.09218,1011.3221,193.59521,189,,,6.25,-54,1769504883,3,3
2026-01-27 01:08:19.277160,0x433acb14,8.058219,65.17856,1011.27234,427.05865,191,,,6.0,-85,1769504894,3,3
2026-01-27 01:08:26.229685,0x433abf20,7.725561,64.93645,1012.1939,493.49396,175,,,6.0,-76,1769504901,3,3
2026-01-27 01:08:32.665422,0x433af380,6.43686,73.790306,1011.759,214.72087,78,,,6.25,-39,1769504908,3,3
2026-01-27 01:09:01.833116,0x433b0b38,7.8176208,64.48044,1011.17505,227.35347,191,,,5.75,-73,1769504937,5,5
2026-01-27 01:09:18.294252,0x433acb14,8.217763,64.65912,1011.2345,426.51843,191,,,5.75,-86,1769504953,3,3
2026-01-27 01:09:24.074215,0x433af380,7.0929937,71.54992,1011.7763,203.73701,100,,,6.25,-38,1769504959,3,3
2026-01-27 01:09:26.193518,0x433abf20,7.6920195,65.014244,1012.20264,510.8506,170,,,5.75,-77,1769504961,3,3
2026-01-27 01:10:01.609495,0x433b0b38,7.786391,64.55129,1011.2072,227.505,192,,,5.5,-72,1769504997,5,5
2026-01-27 01:10:18.329894,0x433acb14,8.222349,64.51763,1011.24664,425.44202,190,,,5.5,-86,1769505014,3,3
2026-01-27 01:10:23.687833,0x433af380,7.1509256,70.590904,1011.7875,212.649,77,,,6.25,-39,1769505019,3,3
2026-01-27 01:10:27.194920,0x433abf20,7.704659,64.81571,1012.22107,507.05618,171,,,5.75,-76,1769505022,3,3
2026-01-27 01:11:01.648138,0x433b0b38,7.8103614,64.54036,1011.19086,226.59882,192,,,5.5,-73,1769505057,5,5
2026-01-27 01:11:05.053245,0x433b0098,6.5243926,67.73086,1011.6286,323.55185,187,,,6.5,-59,1769505060,2,2
2026-01-27 01:11:07.198137,0x433ad35c,7.8237224,66.92526,1011.35944,192.02086,190,,,6.75,-54,1769505062,3,3
2026-01-27 01:11:22.722467,0x433acb14,8.122297,64.93537,1011.2883,426.78836,190,,,6.25,-85,1769505078,3,3
2026-01-27 01:11:26.323367,0x433abf20,7.555035,65.17813,1012.21344,473.9644,180,,,5.25,-76,1769505082,3,3
2026-01-27 01:11:28.574677,0x433af380,6.777266,71.51307,1011.7545,207.96672,91,,,6.25,-39,1769505084,3,3
2026-01-27 01:12:01.972048,0x433b0b38,7.843214,64.34055,1011.1662,227.505,192,,,5.25,-72,1769505117,5,5
2026-01-27 01:12:18.428046,0x433acb14,8.195074,64.61301,1011.2528,424.90585,191,,,5.5,-86,1769505134,3,3
2026-01-27 01:12:25.132697,0x433af380,6.4686804,72.0338,1011.73895,216.8335,79,,,6.5,-38,1769505140,3,3
2026-01-27 01:12:27.766879,0x433abf20,7.6084886,65.19326,1012.20874,460.5352,187,,,5.75,-76,1769505143,3,3
2026-01-27 01:13:02.071499,0x433b0b38,7.7948995,64.19947,1011.1736,228.41847,192,,,5.5,-72,1769505177,5,5
2026-01-27 01:13:21.154245,0x433acb14,8.251175,64.08094,1011.24054,429.23337,190,,,6.25,-86,1769505196,3,3
2026-01-27 01:13:30.009975,0x433abf20,7.6641135,64.87375,1012.21344,444.348,191,,,5.5,-76,1769505205,3,3
2026-01-27 01:13:33.268398,0x433af380,6.6121316,71.70876,1011.7442,217.26102,78,,,6.25,-39,1769505208,3,3
2026-01-27 01:14:01.968986,0x433b0b38,7.722843,64.22723,1011.2088,227.80867,192,,,5.25,-72,1769505237,5,5
2026-01-27 01:14:05.202837,0x433b0098,6.5119824,67.66263,1011.6201,325.77557,187,,,5.5,-61,1769505240,2,2
2026-01-27 01:14:07.488154,0x433ad35c,7.9541864,66.93008,1011.3445,187.76718,193,,,6.5,-53,1769505243,3,3
2026-01-27 01:14:19.044384,0x433acb14,8.199853,63.986824,1011.25323,431.98312,190,,,5.75,-86,1769505254,3,3
2026-01-27 01:14:28.840059,0x433abf20,7.515976,65.28954,1012.1985,431.97638,195,,,5.25,-77,1769505264,3,3
2026-01-27 01:14:29.699006,0x433af380,6.768911,71.343636,1011.77545,216.26608,77,,,6.25,-38,1769505265,3,3
2026-01-27 01:15:03.414082,0x433b0b38,7.5993724,64.49684,1011.19965,227.505,193,,,6.0,-74,1769505299,5,5
2026-01-27 01:15:20.535298,0x433acb14,8.141006,64.01547,1011.26965,428.6876,190,,,5.25,-86,1769505316,3,3
2026-01-27 01:15:28.871668,0x433abf20,7.5925384,64.93468,1012.2006,432.2499,197,,,5.5,-77,1769505324,3,3
2026-01-27 01:15:31.088706,0x433af380,6.6934834,71.419395,1011.7515,218.4094,73,,,6.25,-38,1769505326,3,3
2026-01-27 01:16:02.021236,0x433b0b38,7.5681443,64.48758,1011.22534,227.65674,193,,,5.5,-73,1769505357,5,5
2026-01-27 01:16:20.056454,0x433acb14,8.060991,64.33902,1011.28467,428.96033,190,,,5.75,-86,1769505375,3,3
2026-01-27 01:16:29.148086,0x433abf20,7.4957595,65.52684,1012.2191,461.78128,187,,,5.75,-76,1769505384,3,3
2026-01-27 01:16:31.378400,0x433af380,6.7289786,71.62018,1011.7567,206.79587,92,,,6.5,-39,1769505387,3,3
2026-01-27 01:17:01.820110,0x433b0b38,7.5683722,64.54284,1011.214,228.41847,193,,,5.5,-73,1769505417,5,5
2026-01-27 01:17:05.290927,0x433b0098,6.573698,67.496574,1011.61523,322.2947,188,,,6.0,-60,1769505420,2,2
2026-01-27 01:17:07.514168,0x433ad35c,8.030834,66.33427,1011.3358,191.02223,190,,,6.25,-53,1769505423,3,3
2026-01-27 01:17:19.109552,0x433acb14,8.104556,64.701866,1011.3011,428.6876,190,,,5.5,-85,1769505434,3,3
2026-01-27 01:17:28.768215,0x433abf20,7.5188313,65.37388,1012.216,487.50296,178,,,5.5,-76,1769505444,3,3
2026-01-27 01:17:33.794821,0x433af380,6.9321127,71.33378,1011.7966,206.9253,100,,,6.25,-38,1769505449,3,3
2026-01-27 01:18:02.944643,0x433b0b38,7.6071224,64.65766,1011.19366,227.20212,193,,,5.5,-73,1769505478,5,5
2026-01-27 01:18:20.882204,0x433acb14,8.240903,64.41491,1011.26605,429.23337,189,,,5.75,-85,1769505496,3,3
2026-01-27 01:18:29.091193,0x433abf20,7.4520907,65.65603,1012.225,501.10107,173,,,5.25,-76,1769505504,3,3
2026-01-27 01:18:34.102314,0x433af380,6.9752374,71.280945,1011.80615,210.88547,85,,,5.5,-39,1769505509,3,3
2026-01-27 01:19:02.746204,0x433b0b38,7.6148343,64.55838,1011.23474,227.505,193,,,5.75,-73,1769505538,5,5
2026-01-27 01:19:23.322447,0x433acb14,8.2895155,64.15266,1011.2804,430.87894,185,,,5.75,-86,1769505559,3,3
2026-01-27 01:19:30.021386,0x433abf20,7.2924147,65.83319,1012.23865,524.9936,166,,,5.75,-76,1769505565,3,3
2026-01-27 01:19:33.371747,0x433af380,6.748908,72.18338,1011.7838,205.89426,83,,,6.25,-39,1769505569,3,3
2026-01-27 01:20:01.845141,0x433b0b38,7.6824603,64.52,1011.2459,227.35347,193,,,5.75,-73,1769505597,5,5
2026-01-27 01:20:05.183570,0x433b0098,6.6516094,67.04174,1011.6646,321.98196,188,,,5.75,-60,1769505600,2,2
2026-01-27 01:20:07.297099,0x433ad35c,7.950049,66.13283,1011.3775,191.13268,191,,,7.5,-54,1769505602,3,3
