datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2026-02-06 17:00:58.144029,0x433acb14,8,13,20,8,13,20,6.75,-62,,3,3
2026-02-06 17:01:07.118155,0x433b0098,11,15,15,11,15,15,5.75,-56,,2,2
2026-02-06 17:01:17.505615,0x433b0b38,15,21,21,15,21,21,5.5,-59,,5,5
2026-02-06 17:01:33.358462,0x433aad0c,11,14,14,11,14,14,-7.25,-92,,3,3
2026-02-06 17:01:45.374415,0x433ad35c,13,18,21,13,18,21,5.0,-69,,3,3
2026-02-06 17:02:02.063241,0x433acb14,7,11,12,7,11,12,6.0,-59,,3,2
2026-02-06 17:02:08.626499,0x433b0098,12,16,18,12,16,18,6.25,-57,,2,2
2026-02-06 17:02:14.257156,0x433b0b38,14,20,21,14,20,21,5.75,-59,,5,5
2026-02-06 17:02:33.499008,0x433aad0c,12,18,19,12,18,19,-7.25,-92,,3,3
2026-02-06 17:02:35.764151,0x433abf20,7,11,12,7,11,12,2.0,-81,,3,3
2026-02-06 17:02:45.595207,0x433ad35c,14,18,22,14,18,22,5.0,-69,,3,3
2026-02-06 17:02:59.840062,0x433acb14,6,9,11,6,9,11,6.0,-62,,3,3
2026-02-06 17:03:14.804084,0x433b0b38,11,14,15,11,14,15,6.0,-59,,5,5
2026-02-06 17:03:33.869419,0x433aad0c,10,14,15,10,14,15,-7.25,-92,,3,3
2026-02-06 17:03:36.087319,0x433abf20,10,16,19,10,16,19,1.75,-82,,3,3
2026-02-06 17:03:45.820904,0x433ad35c,13,14,18,13,14,18,4.75,-69,,3,3
2026-02-06 17:03:50.901004,0x433af380,17,23,26,17,23,26,4.5,-72,,3,3
2026-02-06 17:04:00.787211,0x433acb14,7,11,16,7,11,16,5.25,-62,,3,3
2026-02-06 17:04:08.252227,0x433b0098,13,18,18,13,18,18,5.75,-56,,2,2
2026-02-06 17:04:15.133851,0x433b0b38,13,18,24,13,18,24,5.5,-61,,5,5
2026-02-06 17:04:33.960989,0x433aad0c,12,14,14,12,14,14,-6.0,-90,,3,3
2026-02-06 17:04:46.361234,0x433ad35c,13,19,21,13,19,21,5.0,-69,,3,3
2026-02-06 17:04:51.375973,0x433af380,21,26,26,20,26,26,4.75,-73,,3,3
2026-02-06 17:05:00.851290,0x433acb14,7,8,11,7,8,11,5.75,-61,,3,3
2026-02-06 17:05:08.133255,0x433b0098,14,19,21,14,19,21,5.5,-56,,2,2
2026-02-06 17:05:16.064214,0x433b0b38,11,19,22,11,19,22,5.5,-61,,5,5
2026-02-06 17:05:34.299003,0x433aad0c,12,18,19,12,18,19,-5.5,-90,,3,3
2026-02-06 17:05:46.202118,0x433ad35c,14,19,22,14,19,22,5.5,-69,,3,3
2026-02-06 17:06:04.037120,0x433acb14,7,12,19,7,12,19,6.0,-61,,3,3
2026-02-06 17:06:09.566018,0x433b0098,13,17,18,13,17,18,6.0,-57,,2,2
2026-02-06 17:06:15.247950,0x433b0b38,9,13,17,9,13,17,5.5,-60,,5,5
2026-02-06 17:06:35.435658,0x433aad0c,9,11,11,9,11,11,-5.75,-90,,3,3
