datetime,fromNode,batteryLevel,voltage,channelUtilization,airUtilTx,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2026-02-05 00:59:03.612321,0x433aad0c,101,4.209,18.685,3.6715276,3.25,-76,,3,3
2026-02-05 00:59:23.129207,0xbd50376c,100,4.19,28.026667,2.6177776,,,,,3
2026-02-05 00:59:30.244453,0x433acb14,98,4.167,27.15,4.49425,6.5,-62,,3,3
2026-02-05 01:00:23.035011,0xbd50376c,101,4.215,21.625,2.6118612,,,,,3
2026-02-05 01:00:35.670009,0x433ad35c,96,4.146,21.573334,4.199861,5.5,-68,,3,3
2026-02-05 01:01:23.070241,0xbd50376c,101,4.209,24.455,2.6093612,,,,,3
2026-02-05 01:02:01.950956,0x433b0098,93,4.096,21.72,4.1410832,6.25,-55,,2,2
2026-02-05 01:02:19.369114,0x433b0b38,99,4.182,27.43,4.530389,5.75,-61,,5,5
2026-02-05 01:02:23.192166,0xbd50376c,101,4.233,29.031668,2.5733333,,,,,3
2026-02-05 01:03:04.961065,0x433af380,96,4.146,19.941668,3.688611,6.25,-68,,3,3
2026-02-05 01:03:23.163925,0xbd50376c,94,4.119,20.065,2.569028,,,,,3
2026-02-05 01:03:30.779031,0x433abf20,99,4.181,20.065,5.1099443,1.75,-80,,3,3
2026-02-05 01:04:23.245798,0xbd50376c,99,4.185,25.168333,2.5336666,,,,,3
2026-02-05 01:05:02.457113,0x433aad0c,97,4.16,21.775,3.740028,4.0,-75,,3,3
2026-02-05 01:05:23.349692,0xbd50376c,101,4.209,28.026667,2.4850833,,,,,3
2026-02-05 01:05:30.494912,0x433acb14,97,4.159,28.026667,4.469861,5.75,-62,,3,3
2026-02-05 01:06:23.342715,0xbd50376c,100,4.191,24.306667,2.4392223,,,,,3
2026-02-05 01:06:39.732933,0x433ad35c,97,4.158,24.09,4.3992224,6.75,-68,,3,3
2026-02-05 01:07:23.403601,0xbd50376c,99,4.186,25.73,2.4289167,,,,,3
2026-02-05 01:07:58.361633,0x433b0098,99,4.177,24.895,4.127055,6.25,-55,,2,2
2026-02-05 01:08:22.240898,0x433b0b38,99,4.181,28.0,4.526722,6.0,-61,,5,5
2026-02-05 01:08:23.520034,0xbd50376c,101,4.231,28.985,2.458139,,,,,3
2026-02-05 01:09:23.601064,0xbd50376c,101,4.244,23.323334,2.4376667,,,,3,3
2026-02-05 01:09:30.733476,0x433abf20,99,4.184,22.691668,4.9861946,1.75,-81,,3,3
2026-02-05 01:10:23.812588,0xbd50376c,101,4.216,24.126667,2.4777777,,,,,3
2026-02-05 01:10:57.071549,0x433aad0c,101,4.22,20.995,3.7099724,4.25,-75,,3,3
2026-02-05 01:11:23.786011,0xbd50376c,101,4.238,31.203333,2.4059443,,,,,3
2026-02-05 01:11:30.981822,0x433acb14,101,4.203,28.573334,4.376472,6.25,-62,,3,3
2026-02-05 01:12:23.912634,0xbd50376c,101,4.221,20.008333,2.3744445,,,,,3
2026-02-05 01:12:36.782542,0x433ad35c,96,4.147,17.19,4.3609724,6.25,-67,,3,3
2026-02-05 01:13:10.366379,0x433af380,100,4.198,24.6,3.7204444,5.75,-67,,3,3
2026-02-05 01:13:23.954477,0xbd50376c,101,4.22,28.043333,2.3434167,,,,,3
2026-02-05 01:13:58.909620,0x433b0098,91,4.075,16.273333,4.0529447,6.25,-55,,2,2
2026-02-05 01:14:22.494318,0x433b0b38,99,4.186,24.55,4.417278,5.0,-60,,5,5
2026-02-05 01:14:23.812183,0xbd50376c,101,4.249,26.519999,2.330611,,,,,3
2026-02-05 01:15:23.979550,0xbd50376c,101,4.212,19.736668,2.330611,,,,,3
2026-02-05 01:15:31.089316,0x433abf20,98,4.167,20.640001,4.953111,1.75,-80,,3,3
2026-02-05 01:16:24.013305,0xbd50376c,101,4.229,26.374998,2.333111,,,,,3
2026-02-05 01:16:57.432289,0x433aad0c,101,4.216,22.025,3.6679723,3.25,-76,,3,3
2026-02-05 01:17:23.952047,0xbd50376c,100,4.2,28.903332,2.3349445,,,,,3
2026-02-05 01:17:31.218289,0x433acb14,98,4.163,28.026667,4.3581667,6.5,-62,,3,3
2026-02-05 01:18:24.251812,0xbd50376c,99,4.176,22.636667,2.317861,,,,,3
2026-02-05 01:18:39.604002,0x433ad35c,97,4.157,21.6,4.3197503,6.0,-68,,3,3
2026-02-05 01:19:24.161808,0xbd50376c,101,4.234,23.948332,2.3221667,,,,,3
2026-02-05 01:19:59.266017,0x433b0098,100,4.196,21.746666,4.043722,7.25,-56,,2,2
2026-02-05 01:20:23.474989,0x433b0b38,98,4.173,27.38,4.526611,6.0,-60,,5,5
2026-02-05 01:20:24.254023,0xbd50376c,101,4.214,27.203333,2.317861,,,,,3
2026-02-05 01:21:24.341731,0xbd50376c,99,4.188,24.035,2.317861,,,,,3
2026-02-05 01:21:32.149145,0x433abf20,99,4.185,24.938334,4.848778,2.0,-80,,3,3
2026-02-05 01:22:24.377073,0xbd50376c,99,4.183,24.908335,2.2948334,,,,,3
2026-02-05 01:22:57.882964,0x433aad0c,101,4.206,18.683334,3.7642221,3.5,-76,,3,3
2026-02-05 01:23:09.352968,0x433af380,98,4.171,19.583334,3.6995833,7.0,-68,,3,3
2026-02-05 01:23:24.469921,0xbd50376c,99,4.178,33.008335,2.309889,,,,,3
2026-02-05 01:23:31.391870,0x433acb14,98,4.172,31.133333,4.244528,5.75,-63,,3,3
2026-02-05 01:24:24.472603,0xbd50376c,100,4.191,19.981667,2.2740834,,,,,3
2026-02-05 01:24:42.596672,0x433ad35c,99,4.187,19.818333,4.482028,6.25,-67,,3,3
2026-02-05 01:25:24.600994,0xbd50376c,99,4.179,25.673332,2.2934444,,,,,3
2026-02-05 01:26:00.176077,0x433b0098,98,4.172,20.281666,4.043361,6.5,-55,,2,2
2026-02-05 01:26:24.873007,0xbd50376c,101,4.207,25.341665,2.2745278,,,,,3
2026-02-05 01:26:27.474948,0x433b0b38,99,4.183,25.083334,4.4878335,5.75,-60,,5,5
