datetime,fromNode,temperature,relativeHumidity,barometricPressure,gasResistance,iaq,windDirection,windSpeed,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2026-01-25 14:47:04.420847,0x433acb14,16.834085,40.328297,1008.937,654.6851,50,,,7.25,-62,,3,3
2026-01-25 14:47:04.444324,0x433af380,16.358967,41.378777,1009.3971,186.6013,120,,1.1613824,6.25,-70,,3,3
2026-01-25 14:47:04.488104,0x433b0b38,16.792871,41.88436,1008.8358,527.0201,74,,,6.25,-61,,5,5
2026-01-25 14:47:36.688031,0x433abf20,17.388933,40.668507,1009.7632,394.0735,162,,,3.25,-79,,3,3
2026-01-25 14:47:43.999114,0x433acb14,16.927372,40.996082,1008.94617,660.45605,49,,,6.0,-61,,3,3
2026-01-25 14:47:54.597185,0x433af380,16.323128,40.782936,1009.38654,191.13268,116,,1.0942733,3.75,-76,,3,3
2026-01-25 14:47:59.979094,0x433b0b38,16.946754,41.406734,1008.8369,530.29517,72,,,7.0,-59,,5,5
2026-01-25 14:48:41.168072,0x433abf20,17.379164,39.64562,1009.7571,413.6538,156,,,3.0,-79,,3,3
2026-01-25 14:48:44.288833,0x433acb14,16.852406,40.613995,1008.9439,666.9888,49,,,7.0,-62,,3,3
2026-01-25 14:48:51.427437,0x433af380,16.663582,40.82095,1009.4376,185.55388,122,,0.629796,4.75,-70,,3,3
2026-01-25 14:48:56.852921,0x433aad0c,15.531451,42.821342,1009.22253,1203.9532,61,,,2.75,-80,,3,3
2026-01-25 14:49:00.124913,0x433b0b38,16.943726,40.386505,1008.85657,548.6204,70,,,6.0,-60,,5,5
2026-01-25 14:49:24.061947,0x433ad35c,17.471558,40.531796,1009.0946,465.90018,80,,,4.75,-69,,3,3
2026-01-25 14:49:38.929990,0x433abf20,17.251137,39.335217,1009.7789,399.37598,159,,,3.0,-79,,3,3
2026-01-25 14:49:44.216808,0x433acb14,17.225864,41.16289,1009.0024,675.67694,48,,,5.5,-61,,3,3
2026-01-25 14:49:48.681898,0x433af380,17.038103,40.57119,1009.43475,181.75676,127,,0.6108932,5.5,-70,,3,3
2026-01-25 14:50:00.031974,0x433b0b38,17.021729,41.00592,1008.87177,555.3146,70,,,5.5,-60,,5,5
2026-01-25 14:50:39.244157,0x433abf20,17.38124,39.480297,1009.7949,433.62268,150,,,3.25,-79,,3,3
2026-01-25 14:50:45.126003,0x433acb14,17.37012,39.434727,1009.0079,681.13696,49,,,7.25,-62,,3,3
2026-01-25 14:50:49.712093,0x433af380,17.474901,39.175,1009.46014,187.01337,113,,0.5806334,6.75,-72,,3,3
2026-01-25 14:51:00.250259,0x433b0b38,16.990269,40.874733,1008.8845,553.06506,68,,,5.75,-61,,5,5
2026-01-25 14:51:40.934886,0x433abf20,17.3124,39.24132,1009.7648,443.19412,146,,,3.0,-79,,3,3
2026-01-25 14:51:45.330063,0x433acb14,17.623667,40.294968,1009.0113,689.4945,48,,,6.25,-62,,3,3
2026-01-25 14:51:51.075347,0x433af380,17.973896,38.694965,1009.4886,177.53432,125,,0.6802721,5.5,-70,,3,3
2026-01-25 14:51:56.887220,0x433aad0c,16.069353,41.689552,1009.2841,1233.8857,58,,,-2.5,-86,,3,3
2026-01-25 14:52:00.323696,0x433b0b38,17.319965,40.833168,1008.8773,563.10144,66,,,6.0,-62,,5,5
2026-01-25 14:52:23.937194,0x433ad35c,17.46157,39.957928,1009.07904,479.53473,77,,,5.5,-69,,3,3
2026-01-25 14:52:38.630171,0x433abf20,17.194977,39.69272,1009.77014,417.44803,155,,,3.25,-79,,3,3
2026-01-25 14:52:45.375163,0x433acb14,17.727745,39.447014,1009.0155,692.3261,48,,,5.75,-63,,3,3
2026-01-25 14:52:55.349027,0x433af380,18.149569,38.15127,1009.4674,180.77956,117,,0.36637622,5.5,-70,,3,3
2026-01-25 14:53:00.087073,0x433b0b38,17.339542,40.253735,1008.8648,561.7114,66,,,5.75,-60,,5,5
2026-01-25 14:53:39.880739,0x433abf20,17.276648,39.555584,1009.7789,457.4492,142,,,3.25,-79,,3,3
2026-01-25 14:53:43.678311,0x433acb14,17.918343,40.378345,1009.0103,695.1811,48,,,6.5,-61,,3,3
2026-01-25 14:53:55.062004,0x433af380,18.230663,38.18652,1009.4532,175.86298,132,,0.21475534,5.25,-69,,3,3
2026-01-25 14:54:00.063695,0x433b0b38,17.466475,39.665474,1008.8664,567.78485,63,,,5.75,-61,,5,5
2026-01-25 14:54:44.889769,0x433abf20,17.296488,39.97131,1009.7902,480.3002,134,,,3.0,-79,,3,3
2026-01-25 14:54:49.665810,0x433acb14,17.98209,38.03035,1009.03546,707.5819,49,,,5.75,-62,,3,3
2026-01-25 14:54:56.747844,0x433aad0c,16.19261,41.22148,1009.2937,1260.5833,57,,,-2.25,-85,,3,3
2026-01-25 14:55:00.133378,0x433b0b38,17.363522,39.424194,1008.87195,575.44257,63,,,7.0,-62,,5,5
2026-01-25 14:55:24.223262,0x433ad35c,17.667084,39.349586,1009.0447,490.02777,75,,,5.75,-67,,3,3
2026-01-25 14:55:47.226321,0x433acb14,18.215017,38.960236,1008.99646,705.3615,50,,,6.0,-62,,3,3
2026-01-25 14:56:00.116765,0x433b0b38,17.290781,40.67134,1008.88336,566.8419,64,,,5.5,-62,,5,5
2026-01-25 14:56:36.339919,0x433af380,17.668684,37.84844,1009.41534,189.81569,118,,0.4929976,5.75,-70,,3,3
2026-01-25 14:56:38.317821,0x433abf20,17.224981,39.594357,1009.76404,515.4795,124,,,3.0,-79,,3,3
2026-01-25 14:56:47.403789,0x433acb14,18.32899,38.405544,1008.9956,711.31396,49,,,6.0,-61,,3,3
2026-01-25 14:57:00.208976,0x433b0b38,17.334745,39.86403,1008.8676,573.5088,63,,,7.5,-62,,5,5
2026-01-25 14:57:36.826745,0x433abf20,17.184847,40.276207,1009.791,464.6098,137,,,3.25,-79,,3,3
2026-01-25 14:57:37.672904,0x433af380,17.82871,38.24688,1009.407,176.7876,137,,0.11615559,4.75,-70,,3,3
2026-01-25 14:57:48.592112,0x433acb14,18.09619,38.278828,1008.98645,716.6053,50,,,6.75,-62,,3,3
2026-01-25 14:57:56.981157,0x433aad0c,15.865024,42.469223,1009.2947,1299.7091,54,,,-0.25,-83,,3,3
2026-01-25 14:58:00.759160,0x433b0b38,17.308891,39.575027,1008.84973,576.9014,63,,,5.75,-62,,5,5
2026-01-25 14:58:24.471815,0x433ad35c,17.246073,40.636898,1009.067,490.38547,74,,,6.75,-68,,3,3
2026-01-25 14:58:41.253898,0x433b0098,15.057262,42.801205,1009.21277,128.62042,311,,,5.5,-56,,2,2
2026-01-25 14:58:43.555029,0x433af380,17.495594,38.38584,1009.4233,186.59822,121,,0.9102959,4.75,-70,,3,3
2026-01-25 14:58:46.461801,0x433acb14,17.963915,38.310184,1009.01654,722.7499,50,,,7.25,-62,,3,3
2026-01-25 14:58:48.439854,0x433abf20,17.149168,39.563553,1009.80524,463.03412,141,,,-0.25,-83,,3,2
2026-01-25 14:59:00.431990,0x433b0b38,16.918888,40.71867,1008.85724,586.8195,62,,,5.75,-62,,5,5
2026-01-25 14:59:42.698147,0x433abf20,17.086956,39.8206,1009.8226,500.36646,129,,,3.25,-79,,3,3
2026-01-25 14:59:44.717851,0x433af380,17.762955,40.54863,1009.49066,163.86453,154,,,5.0,-70,,3,3
2026-01-25 14:59:49.680824,0x433acb14,18.104876,37.74801,1009.03613,730.5803,50,,,6.5,-64,,3,3
2026-01-25 15:00:00.278825,0x433b0b38,16.984783,41.94864,1008.8938,573.9911,63,,,5.75,-61,,5,5
2026-01-25 15:00:43.461188,0x433abf20,17.001085,40.40792,1009.8226,517.43304,124,,,3.0,-79,,3,3
2026-01-25 15:00:47.481022,0x433acb14,18.094452,37.790195,1009.0558,734.55945,50,,,6.25,-62,,3,3
2026-01-25 15:00:49.782905,0x433af380,18.072834,38.001537,1009.49835,171.55612,138,,0.4311703,5.0,-70,,3,3
2026-01-25 15:00:57.000972,0x433aad0c,15.652543,42.41627,1009.3115,1290.9441,54,,,-0.75,-84,,3,3
2026-01-25 15:01:01.120858,0x433b0b38,17.158178,40.61366,1008.934,568.2575,63,,,7.5,-62,,5,5
2026-01-25 15:01:23.929017,0x433ad35c,17.428957,39.944138,1009.12976,490.74368,74,,,7.0,-68,,3,3
2026-01-25 15:01:43.753274,0x433abf20,16.977945,41.445915,1009.8574,494.56653,129,,,3.0,-80,,3,3
2026-01-25 15:01:47.266817,0x433b0098,15.091649,42.6045,1009.2908,163.67603,261,,,6.25,-56,,2,2
2026-01-25 15:01:49.362805,0x433acb14,18.03067,37.858192,1009.0646,738.5823,50,,,5.5,-62,,3,3
2026-01-25 15:01:51.474311,0x433af380,18.243113,37.615704,1009.51685,166.13142,153,,0.25976136,5.0,-70,,3,3
2026-01-25 15:02:00.444661,0x433b0b38,17.41441,40.788807,1008.93115,573.9911,62,,,6.0,-61,,5,5
2026-01-25 15:02:44.797855,0x433acb14,17.807476,38.238377,1009.0455,748.4191,50,,,5.75,-62,,3,3
2026-01-25 15:02:47.528104,0x433abf20,17.080254,41.24531,1009.8493,491.71667,128,,,3.0,-80,,3,3
