datetime,fromNode,ch3Voltage,ch3Current,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2026-01-29 16:53:40.994681,0x433b0b38,13.26,71.25,6.0,-60,,5,5
2026-01-29 16:55:26.928416,0x433acb14,13.24375,63.75,5.75,-61,,3,3
2026-01-29 16:55:52.564512,0x433aad0c,13.27375,65.0,3.75,-79,,3,3
2026-01-29 16:56:12.160194,0x433abf20,13.26875,72.5,3.0,-79,,3,3
2026-01-29 16:57:56.467300,0x433b0098,13.25625,63.75,6.0,-56,,2,2
2026-01-29 16:58:18.076680,0x433ad35c,13.2825,62.5,6.25,-68,,3,3
2026-01-29 16:58:41.690430,0x433b0b38,13.25875,71.25,6.25,-59,,5,5
2026-01-29 17:00:28.357544,0x433acb14,13.24,76.25,6.0,-63,,3,3
2026-01-29 17:01:13.395972,0x433abf20,13.275,62.5,3.5,-79,,3,3
2026-01-29 17:03:42.503289,0x433b0b38,13.2675,65.0,6.0,-61,,5,5
2026-01-29 17:05:28.502053,0x433acb14,13.2375,83.75,6.0,-63,,3,3
2026-01-29 17:05:53.103652,0x433aad0c,13.275,61.25,3.0,-78,,3,3
2026-01-29 17:06:14.280720,0x433abf20,13.27375,66.25,0.75,-78,,3,3
2026-01-29 17:07:59.332509,0x433b0098,13.25625,61.25,6.25,-56,,2,2
2026-01-29 17:08:18.654644,0x433ad35c,13.27875,73.75,6.5,-68,,3,3
2026-01-29 17:08:42.654572,0x433b0b38,13.26375,58.75,6.0,-59,,5,5
2026-01-29 17:10:30.592735,0x433acb14,13.24375,65.0,5.75,-62,,3,3
2026-01-29 17:11:14.485472,0x433abf20,13.26875,73.75,3.0,-79,,3,3
2026-01-29 17:13:44.971769,0x433b0b38,13.26125,75.0,5.75,-60,,5,5
2026-01-29 17:15:32.465472,0x433acb14,13.24375,62.5,6.0,-62,,3,3
2026-01-29 17:15:57.719109,0x433aad0c,13.27,72.5,4.5,-78,,3,3
2026-01-29 17:16:15.028371,0x433abf20,13.27375,65.0,3.25,-79,,3,3
