datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2026-02-02 09:08:47.575632,0x433ad35c,1,1,2,1,1,2,6.25,-53,1770052107,3,3
2026-02-02 09:09:07.058233,0x433acb14,1,2,4,1,2,4,4.5,-89,1770052127,3,3
2026-02-02 09:09:21.554073,0x433b0b38,2,3,3,2,3,3,6.25,-74,1770052141,5,5
2026-02-02 09:09:35.750187,0x433aad0c,3,3,3,3,3,3,5.75,-76,1770052156,3,3
2026-02-02 09:09:43.688810,0x433b0098,2,2,4,2,2,4,6.0,-61,1770052164,2,2
2026-02-02 09:09:47.114490,0x433ad35c,2,2,3,2,2,3,5.75,-53,1770052167,3,3
2026-02-02 09:10:06.901060,0x433acb14,1,1,3,1,1,3,5.0,-89,1770052187,3,3
2026-02-02 09:10:15.884033,0x433abf20,,,,,,,5.25,-76,1770052196,3,3
2026-02-02 09:10:21.764913,0x433b0b38,2,3,3,2,3,3,5.75,-73,1770052202,5,5
2026-02-02 09:10:34.230629,0x433aad0c,1,2,2,1,2,2,5.25,-76,1770052214,3,3
2026-02-02 09:10:43.863620,0x433b0098,3,3,3,3,3,3,6.0,-60,1770052224,2,2
2026-02-02 09:10:47.197573,0x433ad35c,2,3,4,2,3,4,6.25,-53,1770052227,3,3
2026-02-02 09:11:07.322120,0x433acb14,1,1,3,1,1,3,4.0,-92,1770052247,3,3
2026-02-02 09:11:15.816739,0x433abf20,,1,1,,1,1,6.0,-76,1770052256,3,3
2026-02-02 09:11:22.011369,0x433b0b38,2,2,2,2,2,2,5.75,-73,1770052262,5,5
2026-02-02 09:11:25.736654,0x433af380,3,4,4,3,4,4,6.75,-39,1770052266,3,3
2026-02-02 09:11:34.492317,0x433aad0c,2,3,3,2,3,3,5.25,-76,1770052274,3,3
2026-02-02 09:11:44.164568,0x433b0098,2,3,4,2,3,4,6.0,-61,1770052284,2,2
2026-02-02 09:11:49.535537,0x433ad35c,1,1,1,1,1,1,6.5,-53,1770052289,3,3
2026-02-02 09:12:07.384339,0x433acb14,1,1,3,1,1,3,3.75,-91,1770052307,3,3
2026-02-02 09:12:22.522549,0x433b0b38,2,2,3,2,2,3,5.75,-74,1770052322,5,5
2026-02-02 09:12:35.092349,0x433aad0c,3,3,4,3,3,4,6.0,-76,1770052335,3,3
2026-02-02 09:12:47.642635,0x433b0098,1,2,3,1,2,3,5.75,-61,1770052347,2,2
2026-02-02 09:12:51.039379,0x433ad35c,2,2,2,2,2,2,6.0,-53,1770052351,3,3
2026-02-02 09:13:07.827059,0x433acb14,1,1,7,1,1,7,4.0,-92,1770052368,3,3
2026-02-02 09:13:16.719590,0x433abf20,2,2,3,2,2,3,5.25,-76,1770052377,3,3
2026-02-02 09:13:22.515479,0x433b0b38,2,3,5,2,3,5,5.75,-73,1770052382,5,5
2026-02-02 09:13:35.079501,0x433aad0c,1,1,1,1,1,1,5.75,-76,1770052395,3,3
2026-02-02 09:13:44.733836,0x433b0098,1,2,2,1,2,2,6.75,-60,1770052405,2,2
2026-02-02 09:13:48.649599,0x433ad35c,2,3,3,2,3,3,6.0,-53,1770052408,3,3
2026-02-02 09:14:09.070011,0x433acb14,,,2,,,2,3.25,-92,1770052429,3,3
2026-02-02 09:14:16.429182,0x433abf20,,1,2,,1,2,6.0,-76,1770052436,3,3
2026-02-02 09:14:22.990495,0x433b0b38,1,2,2,1,2,2,6.0,-74,1770052443,5,5
2026-02-02 09:14:28.383225,0x433af380,3,4,4,3,4,4,6.0,-39,1770052448,3,3
2026-02-02 09:14:35.480428,0x433aad0c,2,3,3,2,3,3,5.75,-76,1770052455,3,3
2026-02-02 09:14:45.700417,0x433b0098,2,3,3,2,3,3,5.75,-60,1770052466,2,2
2026-02-02 09:14:55.283296,0x433ad35c,2,3,6,2,3,6,3.5,-53,1770052475,3,3
2026-02-02 09:15:08.693741,0x433acb14,,,1,,,1,3.25,-94,1770052489,3,3
2026-02-02 09:15:23.195183,0x433b0b38,2,2,2,2,2,2,5.75,-73,1770052503,5,5
2026-02-02 09:15:35.668273,0x433aad0c,1,2,2,1,2,2,5.75,-78,1770052515,3,3
2026-02-02 09:15:45.372477,0x433b0098,3,4,4,3,4,4,5.75,-61,1770052525,2,2
2026-02-02 09:15:50.072328,0x433ad35c,1,1,2,1,1,2,6.5,-54,1770052530,3,3
2026-02-02 09:16:08.545417,0x433acb14,,1,1,,1,1,5.5,-79,1770052548,3,3
2026-02-02 09:16:19.463297,0x433abf20,1,1,1,1,1,1,5.75,-76,1770052559,3,3
2026-02-02 09:16:23.844701,0x433b0b38,,1,1,,1,1,5.5,-75,1770052564,5,5
2026-02-02 09:16:36.013250,0x433aad0c,2,3,3,2,3,3,5.75,-79,1770052576,3,3
2026-02-02 09:16:46.339309,0x433b0098,2,2,4,2,2,4,6.0,-60,1770052586,2,2
2026-02-02 09:16:49.420127,0x433ad35c,1,2,4,1,2,4,6.5,-54,1770052589,3,3
2026-02-02 09:17:09.011448,0x433acb14,,,,,,,4.25,-89,1770052609,3,3
2026-02-02 09:17:17.511722,0x433abf20,,1,1,,1,1,5.75,-73,1770052617,3,3
2026-02-02 09:17:24.610514,0x433b0b38,2,3,3,2,3,3,6.0,-73,1770052624,5,5
2026-02-02 09:17:29.900095,0x433af380,3,4,4,3,4,4,6.0,-39,1770052630,3,3
2026-02-02 09:17:35.920342,0x433aad0c,,,,,,,5.5,-76,1770052636,3,3
2026-02-02 09:17:45.825067,0x433b0098,3,4,5,3,4,5,6.0,-61,1770052646,2,2
2026-02-02 09:17:51.302354,0x433ad35c,2,3,3,2,3,3,6.25,-54,1770052651,3,3
2026-02-02 09:18:09.392064,0x433acb14,1,1,1,1,1,1,4.0,-90,1770052669,3,3
2026-02-02 09:18:23.668139,0x433b0b38,,,,,,,5.75,-73,1770052683,5,5
2026-02-02 09:18:36.981797,0x433aad0c,2,3,3,2,3,3,5.25,-76,1770052697,3,3
2026-02-02 09:18:51.525791,0x433ad35c,3,3,3,3,3,3,5.75,-53,1770052711,3,3
2026-02-02 09:19:09.378739,0x433acb14,1,2,2,1,2,2,4.0,-90,1770052729,3,3
2026-02-02 09:19:24.030551,0x433b0b38,1,2,2,1,2,2,5.25,-73,1770052744,5,5
2026-02-02 09:19:36.777632,0x433aad0c,3,3,3,3,3,3,5.75,-76,1770052757,3,3
2026-02-02 09:19:45.912026,0x433b0098,3,3,6,3,3,6,6.0,-60,1770052766,2,2
2026-02-02 09:19:51.712590,0x433ad35c,2,2,2,2,2,2,6.0,-53,1770052772,3,3
2026-02-02 09:20:09.261805,0x433acb14,,,,,,,4.0,-92,1770052789,3,3
2026-02-02 09:20:17.957067,0x433abf20,,,,,,,5.5,-77,1770052798,3,3
2026-02-02 09:20:24.289139,0x433b0b38,1,2,2,1,2,2,5.75,-73,1770052804,5,5
2026-02-02 09:20:30.021096,0x433af380,3,7,8,3,7,8,6.5,-39,1770052810,3,3
2026-02-02 09:20:36.835441,0x433aad0c,1,3,3,1,3,3,5.75,-76,1770052817,3,3
2026-02-02 09:20:46.305700,0x433b0098,2,2,4,2,2,4,6.0,-61,1770052826,2,2
2026-02-02 09:20:51.605452,0x433ad35c,3,3,3,3,3,3,6.0,-54,1770052831,3,3
2026-02-02 09:21:10.703078,0x433acb14,,2,2,,2,2,3.75,-91,1770052851,3,3
2026-02-02 09:21:17.769786,0x433abf20,,,,,,,5.75,-76,1770052858,3,3
2026-02-02 09:21:24.540024,0x433b0b38,3,4,4,3,4,4,6.0,-74,1770052864,5,5
2026-02-02 09:21:27.763314,0x433af380,2,4,5,2,4,5,5.5,-38,1770052868,3,3
2026-02-02 09:21:37.099805,0x433aad0c,3,3,4,3,3,4,5.5,-76,1770052877,3,3
2026-02-02 09:21:58.946914,0x433ad35c,3,3,5,3,3,5,6.5,-54,1770052899,3,3
2026-02-02 09:22:10.161298,0x433acb14,1,1,1,1,1,1,3.5,-91,1770052910,3,3
2026-02-02 09:22:18.312493,0x433abf20,1,2,2,1,2,2,6.0,-77,1770052918,3,3
2026-02-02 09:22:25.697578,0x433b0b38,3,3,3,3,3,3,5.5,-72,1770052926,5,5
2026-02-02 09:22:37.618983,0x433aad0c,2,3,4,2,3,4,5.75,-76,1770052937,3,3
2026-02-02 09:22:51.791264,0x433ad35c,2,4,5,2,4,5,6.25,-53,1770052952,3,3
2026-02-02 09:23:10.092494,0x433acb14,,,,,,,1.25,-91,1770052970,3,3
2026-02-02 09:23:19.159766,0x433abf20,,,1,,,1,6.25,-80,1770052979,3,3
2026-02-02 09:23:25.095283,0x433b0b38,2,3,4,2,3,4,6.0,-73,1770052985,5,5
2026-02-02 09:23:30.755083,0x433af380,3,5,5,3,5,5,6.25,-39,1770052991,3,3
2026-02-02 09:23:37.851865,0x433aad0c,2,2,3,2,2,3,5.5,-77,1770052998,3,3
2026-02-02 09:23:46.650335,0x433b0098,2,2,2,2,2,2,6.0,-61,1770053006,2,2
2026-02-02 09:23:53.888095,0x433ad35c,1,2,3,1,2,3,6.0,-53,1770053014,3,3
2026-02-02 09:24:10.543075,0x433acb14,,,,,,,3.25,-91,1770053030,3,3
2026-02-02 09:24:25.288224,0x433b0b38,,1,1,,1,1,5.75,-73,1770053045,5,5
2026-02-02 09:24:31.751336,0x433af380,3,3,4,3,3,4,6.5,-38,1770053052,3,3
2026-02-02 09:24:37.858269,0x433aad0c,2,3,4,2,3,4,5.5,-76,1770053058,3,3
2026-02-02 09:24:51.862521,0x433ad35c,2,2,2,2,2,2,6.25,-53,1770053072,3,3
2026-02-02 09:25:10.757302,0x433acb14,,,,,,,3.5,-90,1770053091,3,3
2026-02-02 09:25:25.677502,0x433b0b38,1,2,2,1,2,2,5.75,-74,1770053105,5,5
2026-02-02 09:25:29.221509,0x433af380,2,2,3,2,2,3,6.25,-38,1770053109,3,3
2026-02-02 09:25:38.301224,0x433aad0c,2,3,3,2,3,3,5.25,-76,1770053118,3,3
2026-02-02 09:25:46.803813,0x433b0098,2,3,4,2,3,4,5.75,-60,1770053127,2,2
2026-02-02 09:25:53.012559,0x433ad35c,3,3,4,3,3,4,6.0,-53,1770053133,3,3
2026-02-02 09:26:11.423859,0x433acb14,1,1,1,1,1,1,4.25,-87,1770053151,3,3
2026-02-02 09:26:18.833277,0x433abf20,1,1,2,1,1,2,5.5,-76,1770053159,3,3
2026-02-02 09:26:25.803656,0x433b0b38,4,12,14,4,12,14,5.5,-73,1770053166,5,5
2026-02-02 09:26:38.999942,0x433aad0c,2,2,2,2,2,2,5.0,-76,1770053179,3,3
2026-02-02 09:26:47.210177,0x433b0098,1,2,3,1,2,3,6.5,-61,1770053187,2,2
2026-02-02 09:26:56.257734,0x433ad35c,2,2,3,2,2,3,7.0,-54,1770053196,3,3
2026-02-02 09:27:11.063356,0x433acb14,,,,,,,4.25,-87,1770053211,3,3
2026-02-02 09:27:22.741071,0x433abf20,1,1,4,1,1,4,5.5,-76,1770053223,3,3
2026-02-02 09:27:27.553090,0x433b0b38,2,2,4,2,2,4,5.75,-73,1770053227,5,5
2026-02-02 09:27:39.059075,0x433aad0c,2,3,3,2,3,3,5.75,-76,1770053239,3,3
2026-02-02 09:27:53.934259,0x433ad35c,2,3,4,2,3,4,6.25,-53,1770053254,3,3
2026-02-02 09:28:11.556637,0x433acb14,1,1,3,1,1,3,4.25,-89,1770053271,3,3
2026-02-02 09:28:27.169920,0x433b0b38,,,,,,,6.0,-73,1770053287,5,5
2026-02-02 09:28:38.826936,0x433aad0c,2,4,4,2,4,4,5.75,-76,1770053299,3,3
2026-02-02 09:28:48.420070,0x433b0098,3,3,3,3,3,3,6.0,-60,1770053308,2,2
2026-02-02 09:28:53.153763,0x433ad35c,1,1,2,1,1,2,6.5,-53,1770053313,3,3
2026-02-02 09:29:12.717304,0x433acb14,3,3,8,3,3,8,3.5,-91,1770053333,3,3
2026-02-02 09:29:19.127601,0x433abf20,1,2,2,1,2,2,5.5,-76,1770053339,3,3
2026-02-02 09:29:26.790942,0x433b0b38,1,2,3,1,2,3,6.0,-73,1770053347,5,5
2026-02-02 09:29:30.894421,0x433af380,2,3,3,2,3,3,6.25,-38,1770053351,3,3
2026-02-02 09:29:39.485470,0x433aad0c,3,3,3,3,3,3,6.0,-76,1770053359,3,3
2026-02-02 09:29:47.681292,0x433b0098,2,2,3,2,2,3,7.0,-60,1770053367,2,2
2026-02-02 09:29:54.331890,0x433ad35c,3,4,7,3,4,7,5.75,-52,1770053374,3,3
2026-02-02 09:30:12.703416,0x433acb14,,,,,,,3.5,-91,1770053393,3,3
2026-02-02 09:30:27.923946,0x433b0b38,2,2,7,2,2,7,5.75,-73,1770053408,5,5
2026-02-02 09:30:39.480883,0x433aad0c,1,1,1,1,1,1,5.25,-76,1770053419,3,3
2026-02-02 09:30:48.016529,0x433b0098,1,1,2,1,1,2,6.0,-61,1770053428,2,2
2026-02-02 09:30:53.768787,0x433ad35c,1,2,2,1,2,2,6.0,-54,1770053434,3,3
2026-02-02 09:31:12.779255,0x433acb14,,,3,,,3,3.75,-90,1770053453,3,3
2026-02-02 09:31:28.209476,0x433b0b38,,1,1,,1,1,5.25,-74,1770053468,5,5
2026-02-02 09:31:31.689767,0x433af380,2,3,3,2,3,3,6.5,-37,1770053471,3,3
2026-02-02 09:31:40.229345,0x433aad0c,2,4,4,2,4,4,6.0,-76,1770053480,3,3
2026-02-02 09:31:48.704800,0x433b0098,1,2,2,1,2,2,6.0,-61,1770053489,2,2
2026-02-02 09:31:55.289627,0x433ad35c,2,3,3,2,3,3,6.0,-53,1770053495,3,3
2026-02-02 09:32:12.520677,0x433acb14,,1,1,,1,1,3.5,-91,1770053512,3,3
2026-02-02 09:32:29.783594,0x433b0b38,1,2,2,1,2,2,5.75,-73,1770053530,5,5
