datetime,fromNode,batteryLevel,voltage,channelUtilization,airUtilTx,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2026-01-22 13:00:48.261907,0x433e9c88,98,4.166,27.621666,0.05425,,,,,3
2026-01-22 13:00:50.318120,0x433b0b38,98,4.173,27.621666,0.046083335,5.5,-4,,5,5
2026-01-22 13:01:10.701569,0x433acb14,100,4.196,20.771667,0.046055555,6.0,-12,,3,3
2026-01-22 13:01:41.038043,0x433ad35c,99,4.176,22.035,0.60594445,6.0,-26,,3,3
2026-01-22 13:01:48.337964,0x433e9c88,98,4.171,25.691668,0.08936111,,,,,3
2026-01-22 13:01:54.170361,0x433aad0c,101,4.212,22.53,0.6327222,6.5,-37,,3,3
2026-01-22 13:02:48.387732,0x433e9c88,97,4.159,16.533333,0.08936111,,,,3,3
2026-01-22 13:03:48.614497,0x433e9c88,96,4.146,16.811666,0.10602778,,,,,3
2026-01-22 13:04:48.488569,0x433e9c88,99,4.187,17.781668,0.10602778,,,,,3
2026-01-22 13:05:48.703502,0x433e9c88,101,4.226,15.071667,0.11813889,,,,,3
2026-01-22 13:06:05.263507,0x9e9faaa4,17,3.393,13.488333,0.8359722,6.25,-20,,3,2
2026-01-22 13:06:48.573703,0x433e9c88,98,4.171,26.551666,0.15783334,,,,,3
2026-01-22 13:06:50.867760,0x433b0b38,101,4.213,26.551666,0.4502778,6.0,-3,,5,5
2026-01-22 13:07:10.935312,0x433acb14,101,4.219,25.523335,0.36336112,5.75,-12,,3,3
2026-01-22 13:07:45.742195,0x433ad35c,97,4.153,21.416668,0.9488056,5.5,-24,,3,3
2026-01-22 13:07:48.770877,0x433e9c88,100,4.194,26.875002,0.19022222,,,,,3
2026-01-22 13:07:55.051734,0x433aad0c,100,4.197,29.733334,0.9388056,6.0,-38,,3,3
2026-01-22 13:08:48.684484,0x433e9c88,98,4.167,14.473334,0.20233332,,,,,3
2026-01-22 13:09:48.782680,0x433e9c88,99,4.18,16.220001,0.21647222,,,,,3
2026-01-22 13:10:48.919461,0x433e9c88,101,4.214,19.763332,0.22858332,,,,,3
2026-01-22 13:11:48.897499,0x433e9c88,99,4.179,15.088333,0.22858332,,,,,3
2026-01-22 13:12:48.844046,0x433e9c88,99,4.183,17.428333,0.316,,,,,3
2026-01-22 13:12:50.963043,0x433b0b38,99,4.185,17.428333,0.84783334,6.0,-4,,5,5
2026-01-22 13:13:12.494750,0x433acb14,100,4.193,19.258333,0.74408334,6.25,-13,,3,3
2026-01-22 13:13:40.449408,0x433ad35c,101,4.225,23.358334,1.4181111,6.0,-27,,3,3
2026-01-22 13:13:48.969104,0x433e9c88,98,4.168,27.996666,0.329,,,,,3
2026-01-22 13:13:54.931522,0x433aad0c,101,4.242,26.833334,1.2493612,7.5,-37,,3,3
2026-01-22 13:14:49.097447,0x433e9c88,101,4.216,15.208334,0.39333335,,,,,3
2026-01-22 13:15:49.013243,0x433e9c88,101,4.21,18.986666,0.42436108,,,,,3
