datetime,fromNode,temperature,relativeHumidity,barometricPressure,gasResistance,iaq,windDirection,windSpeed,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2026-01-22 13:01:04.318881,0x433ad35c,26.11441,36.506863,1011.7436,57.059616,378,,,5.75,-33,,3,3
2026-01-22 13:01:17.819137,0x433b0b38,22.084234,44.570953,1011.4778,10.136205,177,,,7.0,-4,,5,5
2026-01-22 13:01:20.540101,0x433aad0c,27.565678,32.225357,1011.69965,177.81317,193,,,5.75,-39,,3,3
2026-01-22 13:01:38.522963,0x433acb14,22.530724,44.010254,1011.7028,11.018299,73,,,6.0,-12,,3,3
2026-01-22 13:02:16.759203,0x433b0b38,22.500723,43.665894,1011.42206,16.368286,215,,,5.75,-3,,5,5
2026-01-22 13:02:38.763087,0x433acb14,22.915249,42.56715,1011.71844,13.617658,123,,,5.5,-12,,3,3
2026-01-22 13:03:16.697564,0x433b0b38,22.896795,42.82858,1011.38324,22.237665,281,,,5.75,-3,,5,5
2026-01-22 13:03:37.113627,0x433acb14,23.280575,41.877453,1011.6842,16.727797,209,,,6.25,-12,,3,3
2026-01-22 13:04:04.220684,0x433ad35c,26.417793,36.016155,1011.70044,62.862686,350,,,5.75,-26,,3,3
2026-01-22 13:04:16.715250,0x433b0b38,23.264471,41.679535,1011.3901,27.717627,373,,,6.75,-4,,5,5
2026-01-22 13:04:19.990553,0x433aad0c,27.694275,31.977701,1011.61316,184.06593,188,,,5.75,-40,,3,3
2026-01-22 13:04:37.102732,0x433acb14,23.621674,41.048973,1011.67365,19.899763,333,,,5.75,-12,,3,3
2026-01-22 13:05:17.410176,0x433b0b38,23.583181,41.22467,1011.3823,32.437912,493,,,6.0,-3,,5,5
2026-01-22 13:05:37.160045,0x433acb14,23.938835,40.257816,1011.637,23.872091,491,,,6.5,-12,,3,3
2026-01-22 13:06:19.061454,0x433b0b38,23.884336,40.626205,1011.35254,36.613274,500,,,5.75,-3,,5,5
2026-01-22 13:06:37.989971,0x433acb14,24.215208,39.720978,1011.63074,27.404108,500,,,6.0,-12,,3,3
2026-01-22 13:07:04.346219,0x433ad35c,26.678423,35.44765,1011.6337,67.18335,329,,,6.75,-25,,3,3
2026-01-22 13:07:16.822331,0x433b0b38,24.12978,40.289867,1011.3273,39.975014,500,,,5.75,-3,,5,5
2026-01-22 13:07:20.408071,0x433aad0c,27.800228,31.911617,1011.5787,184.26842,187,,,5.5,-38,,3,3
2026-01-22 13:07:37.372063,0x433acb14,24.46087,39.207764,1011.5753,31.632757,493,,,7.5,-10,,3,3
2026-01-22 13:08:16.889851,0x433b0b38,24.346825,40.102367,1011.28656,43.039677,500,,,6.0,-4,,5,5
2026-01-22 13:08:37.377250,0x433acb14,24.698858,39.10437,1011.56085,36.032192,468,,,6.25,-11,,3,3
2026-01-22 13:09:17.269796,0x433b0b38,24.604134,39.631905,1011.2761,46.664234,500,,,5.75,-3,,5,5
2026-01-22 13:09:37.252901,0x433acb14,24.902857,38.59108,1011.5444,38.921406,451,,,7.5,-11,,3,3
2026-01-22 13:10:04.438331,0x433ad35c,26.891436,34.89915,1011.56433,71.285324,310,,,5.75,-26,,3,3
2026-01-22 13:10:16.850204,0x433b0b38,24.796824,39.077568,1011.22687,50.3937,491,,,6.0,-4,,5,5
2026-01-22 13:10:21.389794,0x433aad0c,27.954758,31.488281,1011.49396,186.00734,186,,,5.5,-38,,3,3
2026-01-22 13:10:37.306774,0x433acb14,25.029045,38.460396,1011.5257,42.829338,433,,,6.75,-11,,3,3
2026-01-22 13:11:17.327656,0x433b0b38,24.986412,38.670116,1011.2481,53.056995,478,,,8.0,-3,,5,5
2026-01-22 13:11:37.328901,0x433acb14,25.277193,37.58577,1011.51776,47.907677,414,,,6.0,-12,,3,3
2026-01-22 13:12:16.841614,0x433b0b38,25.176262,38.108524,1011.23425,56.687332,464,,,5.75,-4,,5,5
2026-01-22 13:12:37.846098,0x433acb14,25.430735,37.207443,1011.48883,52.044785,398,,,6.0,-12,,3,3
2026-01-22 13:13:05.515864,0x433ad35c,27.069403,34.45921,1011.4898,75.4438,294,,,6.5,-25,,3,3
2026-01-22 13:13:20.755913,0x433b0b38,25.302938,37.91807,1011.1999,58.7156,453,,,5.75,-3,,5,5
2026-01-22 13:13:23.757648,0x433aad0c,28.01979,31.380447,1011.4202,190.08693,183,,,7.5,-38,,3,3
2026-01-22 13:13:37.450367,0x433acb14,25.599632,36.908585,1011.48566,56.73414,382,,,5.75,-12,,3,3
2026-01-22 13:14:16.986298,0x433b0b38,25.517473,37.396942,1011.1767,61.288002,444,,,6.0,-4,,5,5
2026-01-22 13:14:37.502113,0x433acb14,25.737818,36.314423,1011.461,61.444073,368,,,6.5,-12,,3,3
2026-01-22 13:15:17.117226,0x433b0b38,25.588232,37.140858,1011.1501,63.00763,437,,,6.25,-3,,5,5
2026-01-22 13:15:37.324100,0x433acb14,25.845263,35.988266,1011.44214,65.44756,356,,,6.0,-13,,3,3
2026-01-22 13:16:04.420779,0x433ad35c,27.239666,33.84689,1011.43835,80.347244,277,,,5.75,-29,,3,3
2026-01-22 13:16:17.015271,0x433b0b38,25.79393,36.759228,1011.1553,66.54536,425,,,6.0,-3,,5,5
2026-01-22 13:16:22.909149,0x433aad0c,28.129915,30.675087,1011.37195,197.61467,179,,,6.25,-29,,3,2
2026-01-22 13:16:37.455155,0x433acb14,25.985895,35.714794,1011.42,69.37592,346,,,6.25,-14,,3,3
2026-01-22 13:17:17.071541,0x433b0b38,25.894773,36.578888,1011.1417,69.02129,415,,,6.0,-5,,5,5
2026-01-22 13:17:40.055293,0x433acb14,26.10636,35.52373,1011.4123,73.48459,334,,,6.5,-12,,3,3
2026-01-22 13:18:17.130161,0x433b0b38,25.96681,36.275883,1011.1148,71.56835,406,,,5.75,-3,,5,5
2026-01-22 13:18:37.344041,0x433acb14,26.206123,35.309986,1011.4093,76.20574,326,,,6.25,-13,,3,3
2026-01-22 13:19:04.328309,0x433ad35c,27.367554,33.460987,1011.3916,84.8054,263,,,5.75,-31,,3,3
2026-01-22 13:19:17.529828,0x433b0b38,26.08486,35.920776,1011.0818,74.1814,398,,,6.25,-4,,5,5
2026-01-22 13:19:20.888060,0x433aad0c,28.21494,30.461079,1011.3709,201.97757,176,,,7.0,-38,,3,3
2026-01-22 13:19:37.561378,0x433acb14,26.368599,34.881824,1011.4202,80.72618,316,,,5.5,-12,,3,3
2026-01-22 13:20:17.241599,0x433b0b38,26.192245,35.745506,1011.07623,76.372314,390,,,6.5,-5,,5,5
2026-01-22 13:20:37.416913,0x433acb14,26.429138,34.818752,1011.36176,85.0383,307,,,6.0,-11,,3,3
2026-01-22 13:21:17.689034,0x433b0b38,26.36413,35.286034,1011.0645,78.69659,383,,,5.75,-4,,5,5
2026-01-22 13:21:37.978138,0x433acb14,26.533718,34.463207,1011.37946,89.26684,298,,,5.75,-12,,3,3
2026-01-22 13:22:04.335493,0x433ad35c,27.505386,32.911324,1011.38763,88.00144,252,,,6.75,-34,,3,3
2026-01-22 13:22:17.230570,0x433b0b38,26.357601,35.168964,1011.05725,79.95003,378,,,6.0,-4,,5,5
2026-01-22 13:22:20.921238,0x433aad0c,28.296244,30.128252,1011.3292,208.36682,172,,,5.75,-38,,3,3
2026-01-22 13:22:37.447551,0x433acb14,26.597656,34.238087,1011.3494,93.625175,290,,,6.0,-13,,3,3
2026-01-22 13:23:17.229481,0x433b0b38,26.460035,35.005013,1011.0462,82.262215,371,,,5.5,-4,,5,5
2026-01-22 13:23:37.506065,0x433acb14,26.653955,34.02714,1011.3732,94.80337,286,,,5.75,-13,,3,3
2026-01-22 13:24:17.085017,0x433b0b38,26.612228,34.75277,1011.0653,84.46057,364,,,6.0,-3,,5,5
2026-01-22 13:24:38.178972,0x433acb14,26.73818,33.89356,1011.3388,98.799774,278,,,6.5,-12,,3,3
2026-01-22 13:25:04.423140,0x433ad35c,27.615538,32.77962,1011.34015,91.54742,241,,,5.75,-33,,3,3
2026-01-22 13:25:18.369018,0x433b0b38,26.68672,34.541607,1011.03406,86.253365,358,,,6.5,-3,,5,5
2026-01-22 13:25:22.053822,0x433aad0c,28.369398,29.97976,1011.29614,213.36134,169,,,5.75,-36,,3,3
2026-01-22 13:25:38.221463,0x433acb14,26.720682,34.04293,1011.31506,100.088974,273,,,6.0,-13,,3,3
2026-01-22 13:26:18.508758,0x433b0b38,26.739729,34.426945,1011.02454,87.312416,353,,,7.0,-4,,5,5
2026-01-22 13:26:38.022568,0x433acb14,26.82545,33.70264,1011.3136,104.29543,267,,,7.75,-12,,3,3
2026-01-22 13:27:17.255719,0x433b0b38,26.834791,34.330063,1011.0451,89.60448,347,,,6.0,-4,,5,5
2026-01-22 13:27:37.599204,0x433acb14,26.912422,33.429157,1011.30914,108.5209,261,,,5.75,-12,,3,3
2026-01-22 13:28:02.660730,0x9e9faaa4,,,,,,240,0.0038836447,7.25,-30,,3,3
2026-01-22 13:28:04.417366,0x433ad35c,27.61254,32.815052,1011.33575,93.17089,232,,,5.5,-31,,3,3
2026-01-22 13:28:17.182936,0x433b0b38,26.930763,34.142773,1011.00714,90.94138,342,,,6.0,-4,,5,5
2026-01-22 13:28:20.444869,0x433aad0c,28.396912,29.854961,1011.2665,216.30411,166,,,7.25,-40,,3,3
2026-01-22 13:28:37.744925,0x433acb14,26.963602,33.30283,1011.3121,112.800804,254,,,6.0,-12,,3,3
2026-01-22 13:29:17.719031,0x433b0b38,26.967026,34.17663,1011.0321,92.020134,337,,,6.5,-4,,5,5
2026-01-22 13:29:38.008530,0x433acb14,26.991867,33.484386,1011.2983,114.95233,251,,,7.5,-11,,3,3
2026-01-22 13:30:17.219070,0x433b0b38,27.044088,34.06856,1011.0135,94.27362,331,,,7.0,-3,,5,5
2026-01-22 13:30:37.708943,0x433acb14,27.055767,33.261906,1011.2922,117.02497,246,,,6.0,-12,,3,3
2026-01-22 13:31:04.763128,0x433ad35c,27.765942,32.38213,1011.316,94.718315,225,,,5.75,-31,,3,3
2026-01-22 13:31:18.008195,0x433b0b38,27.169628,33.811413,1011.02155,96.349266,325,,,6.0,-3,,5,5
2026-01-22 13:31:21.291876,0x433aad0c,28.450476,29.86766,1011.2577,216.87383,166,,,7.75,-36,,3,3
2026-01-22 13:31:37.809358,0x433acb14,27.060846,33.58105,1011.3248,118.08958,242,,,6.0,-12,,3,3
2026-01-22 13:32:17.247825,0x433b0b38,27.208536,33.659286,1011.014,97.28292,322,,,6.0,-3,,5,5
2026-01-22 13:32:37.623238,0x433acb14,27.155193,33.013496,1011.3126,123.26516,237,,,6.0,-13,,3,3
2026-01-22 13:33:17.287614,0x433b0b38,27.244308,33.568043,1011.0154,100.72791,317,,,6.0,-4,,5,5
2026-01-22 13:33:37.655381,0x433acb14,27.236628,32.80453,1011.3096,125.93284,232,,,5.75,-12,,3,3
2026-01-22 13:34:04.682765,0x433ad35c,27.836187,32.258503,1011.317,96.51263,218,,,6.25,-32,,3,3
2026-01-22 13:34:18.158254,0x433b0b38,27.35264,33.391994,1011.01764,100.96628,313,,,5.75,-3,,5,5
2026-01-22 13:34:20.877341,0x433aad0c,28.489986,29.734684,1011.2641,216.02032,166,,,6.5,-38,,3,3
2026-01-22 13:34:37.691180,0x433acb14,27.231777,32.700962,1011.32654,129.31035,228,,,6.25,-12,,3,3
2026-01-22 13:35:18.187670,0x433b0b38,27.355175,33.401318,1010.9985,102.29771,310,,,5.75,-3,,5,5
