datetime,fromNode,ch3Voltage,ch3Current,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2026-02-01 11:08:13.763006,0x433acb14,13.1325,66.25,4.75,-90,1769972876,3,3
2026-02-01 11:08:57.786213,0x433abf20,13.24,63.75,6.25,-76,1769972920,3,3
2026-02-01 11:10:17.103903,0x433b0098,13.20625,71.25,5.5,-62,1769972999,2,2
2026-02-01 11:11:27.741425,0x433b0b38,13.1475,72.5,5.75,-75,1769973070,5,5
2026-02-01 11:13:15.821385,0x433acb14,13.13,76.25,3.75,-92,1769973178,3,3
2026-02-01 11:13:41.813527,0x433aad0c,13.23625,62.5,5.0,-85,1769973204,3,3
2026-02-01 11:13:58.956691,0x433abf20,13.2375,75.0,6.0,-76,1769973221,3,3
2026-02-01 11:15:57.136558,0x433ad35c,13.11875,77.5,5.75,-53,1769973339,3,3
2026-02-01 11:16:29.182860,0x433b0b38,13.15625,63.75,6.0,-73,1769973371,5,5
2026-02-01 11:18:16.731264,0x433acb14,13.12875,76.25,4.25,-89,1769973479,3,3
2026-02-01 11:18:59.958417,0x433abf20,13.22125,127.5,5.25,-76,1769973522,3,3
2026-02-01 11:20:19.745610,0x433b0098,13.20875,72.5,6.0,-61,1769973602,2,2
2026-02-01 11:21:33.107437,0x433b0b38,13.15,75.0,6.0,-74,1769973675,5,5
2026-02-01 11:23:46.524773,0x433aad0c,13.22875,82.5,4.5,-89,1769973809,3,3
2026-02-01 11:24:00.359449,0x433abf20,13.24375,68.75,5.75,-75,1769973822,3,3
2026-02-01 11:25:59.604090,0x433ad35c,13.115,71.25,6.25,-54,1769973942,3,3
2026-02-01 11:26:31.595273,0x433b0b38,13.15,71.25,5.75,-73,1769973974,5,5
2026-02-01 11:28:19.493481,0x433acb14,13.1325,62.5,3.25,-92,1769974082,3,3
2026-02-01 11:29:02.961381,0x433abf20,13.24625,61.25,6.0,-75,1769974125,3,3
2026-02-01 11:30:21.557014,0x433b0098,13.2175,62.5,5.75,-62,1769974204,2,2
2026-02-01 11:31:33.558162,0x433b0b38,13.15625,65.0,5.5,-74,1769974276,5,5
2026-02-01 11:33:20.112046,0x433acb14,13.13125,72.5,3.75,-90,1769974382,3,3
2026-02-01 11:33:47.452403,0x433aad0c,13.23375,72.5,4.0,-88,1769974410,3,3
2026-02-01 11:34:03.269022,0x433abf20,13.24125,82.5,5.5,-77,1769974425,3,3
2026-02-01 11:36:02.593227,0x433ad35c,13.12,76.25,6.5,-54,1769974545,3,3
2026-02-01 11:36:35.044263,0x433b0b38,13.15625,65.0,5.75,-74,1769974577,5,5
2026-02-01 11:39:04.292789,0x433abf20,13.24625,66.25,5.75,-76,1769974726,3,3
2026-02-01 11:40:26.228377,0x433b0098,13.2175,57.5,5.75,-61,1769974808,2,2
