datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-05-12 16:34:06.546745,0x433b0b38,,,,,,,6.25,-58,1747092725,5,5
2025-05-12 16:35:05.890773,0x433b0b38,,,,,,,6.5,-51,1747092785,5,5
2025-05-12 16:36:06.362786,0x433b0b38,,,,,,,6.75,-56,1747092845,5,5
2025-05-12 16:37:07.927994,0x433b0b38,,,,,,,7.25,-57,1747092907,5,5
2025-05-12 16:38:06.477922,0x433b0b38,,,,,,,6.75,-51,1747092965,5,5
2025-05-12 16:39:07.521875,0x433b0b38,,,,,,,6.5,-51,1747093026,5,5
2025-05-12 16:40:06.870761,0x433b0b38,,,,,,,7.0,-50,1747093086,5,5
2025-05-12 16:41:07.393803,0x433b0b38,,,,,,,7.0,-51,1747093146,5,5
2025-05-12 16:42:07.264842,0x433b0b38,,,,,,,6.75,-50,1747093206,5,5
2025-05-12 16:43:08.323896,0x433b0b38,,,,,,,6.75,-52,1747093267,5,5
2025-05-12 16:44:09.255048,0x433b0b38,,,,,,,6.75,-51,1747093328,5,5
2025-05-12 16:45:08.742845,0x433b0b38,,,,,,,7.5,-49,1747093387,5,5
2025-05-12 16:46:08.793983,0x433b0b38,,,,,,,6.5,-50,1747093447,5,5
2025-05-12 16:47:10.009022,0x433b0b38,,,,,,,6.5,-51,1747093509,5,5
2025-05-12 16:48:08.857270,0x433b0b38,,,1,,,1,6.75,-50,1747093568,5,5
2025-05-12 16:49:09.642210,0x433b0b38,,,,,,,6.25,-50,1747093628,5,5
2025-05-12 16:50:09.795324,0x433b0b38,,,,,,,6.75,-51,1747093688,5,5
2025-05-12 16:51:10.308615,0x433b0b38,,,1,,,1,6.5,-50,1747093749,5,5
2025-05-12 16:52:10.186469,0x433b0b38,,,,,,,6.5,-50,1747093809,5,5
2025-05-12 16:53:09.700447,0x433b0b38,,,,,,,6.5,-50,1747093868,5,5
2025-05-12 16:54:11.483635,0x433b0b38,,1,1,,1,1,6.25,-51,1747093930,5,5
2025-05-12 16:55:11.245556,0x433b0b38,,,,,,,6.25,-50,1747093990,5,5
2025-05-12 16:56:11.829844,0x433b0b38,,,,,,,7.0,-51,1747094050,5,5
2025-05-12 16:57:12.104789,0x433b0b38,,,,,,,7.0,-51,1747094111,5,5
2025-05-12 16:58:10.768841,0x433b0b38,,,,,,,6.0,-52,1747094169,5,5
2025-05-12 16:59:12.059863,0x433b0b38,,,,,,,6.25,-52,1747094231,5,5
2025-05-12 17:00:11.193926,0x433b0b38,,,,,,,6.5,-55,1747094290,5,5
2025-05-12 17:01:11.420881,0x433b0b38,,,,,,,6.5,-52,1747094350,5,5
2025-05-12 17:02:14.115973,0x433b0b38,,,,,,,6.0,-52,1747094413,5,5
2025-05-12 17:03:12.654080,0x433b0b38,,,,,,,6.0,-51,1747094471,5,5
2025-05-12 17:04:11.531005,0x433b0b38,,,,,,,6.5,-51,1747094530,5,5
2025-05-12 17:05:13.050292,0x433b0b38,,,,,,,6.75,-52,1747094592,5,5
2025-05-12 17:06:13.264187,0x433b0b38,,,,,,,6.25,-50,1747094652,5,5
2025-05-12 17:07:13.108207,0x433b0b38,,,,,,,6.5,-52,1747094712,5,5
2025-05-12 17:08:12.420256,0x433b0b38,,,,,,,6.75,-52,1747094771,5,5
2025-05-12 17:09:14.047244,0x433b0b38,,,,,,,6.5,-52,1747094833,5,5
2025-05-12 17:10:13.762195,0x433b0b38,,,,,,,7.25,-52,1747094892,5,5
2025-05-12 17:11:14.385449,0x433b0b38,,,,,,,6.25,-50,1747094953,5,5
2025-05-12 17:12:15.331533,0x433b0b38,,,,,,,7.5,-51,1747095014,5,5
2025-05-12 17:13:15.110650,0x433b0b38,1,1,1,1,1,1,6.25,-51,1747095074,5,5
2025-05-12 17:14:18.091500,0x433b0b38,,,,,,,7.25,-51,1747095137,5,5
2025-05-12 17:15:15.363787,0x433b0b38,,,,,,,6.75,-50,1747095194,5,5
2025-05-12 17:16:15.671895,0x433b0b38,,,,,,,7.0,-51,1747095254,5,5
2025-05-12 17:17:15.866630,0x433b0b38,,,,,,,5.75,-50,1747095314,5,5
2025-05-12 17:18:15.826501,0x433b0b38,,,,,,,6.5,-50,1747095374,5,5
2025-05-12 17:19:15.570707,0x433b0b38,,,,,,,6.25,-50,1747095434,5,5
2025-05-12 17:20:16.688752,0x433b0b38,,,,,,,6.0,-47,1747095495,5,5
2025-05-12 17:21:15.951228,0x433b0b38,,,,,,,6.25,-49,1747095555,5,5
2025-05-12 17:22:17.679540,0x433b0b38,,,,,,,6.25,-49,1747095616,5,5
2025-05-12 17:23:16.473703,0x433b0b38,,,,,,,6.25,-50,1747095675,5,5
2025-05-12 17:24:16.151055,0x433b0b38,,,,,,,6.5,-50,1747095735,5,5
2025-05-12 17:25:16.890292,0x433b0b38,,,,,,,5.75,-50,1747095795,5,5
2025-05-12 17:26:17.722526,0x433b0b38,,,,,,,6.5,-49,1747095856,5,5
2025-05-12 17:27:17.672678,0x433b0b38,,,,,,,6.5,-49,1747095916,5,5
2025-05-12 17:28:18.392012,0x433b0b38,,,,,,,6.0,-50,1747095977,5,5
2025-05-12 17:29:17.825033,0x433b0b38,,,,,,,7.25,-49,1747096036,5,5
2025-05-12 17:30:18.093185,0x433b0b38,,,,,,,6.5,-49,1747096097,5,5
2025-05-12 17:31:19.308903,0x433b0b38,,,,,,,6.0,-49,1747096158,5,5
