datetime,fromNode,ch3Voltage,ch3Current,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-03-06 18:59:40.733526,0x433acb14,13.26125,131.25,3.5,-102,,3,3
2025-03-06 19:04:44.361105,0x433acb14,13.2875,58.75,3.25,-102,,3,3
2025-03-06 19:09:43.999131,0x433acb14,13.2875,60.0,3.25,-103,,3,3
2025-03-06 19:14:44.367679,0x433acb14,13.2875,61.25,2.75,-102,,3,3
2025-03-06 19:19:46.155721,0x433acb14,13.25875,140.0,2.75,-102,,3,3
2025-03-06 19:24:46.505025,0x433acb14,13.25625,142.5,3.25,-102,,3,3
2025-03-06 19:29:48.818400,0x433acb14,13.28625,63.75,2.75,-103,,3,3
2025-03-06 19:34:48.750350,0x433acb14,13.25875,130.0,3.0,-102,,3,3
2025-03-06 19:39:51.118324,0x433acb14,13.285,62.5,3.0,-102,,3,3
2025-03-06 19:44:51.990579,0x433acb14,13.28125,68.75,2.75,-103,,3,3
2025-03-06 19:49:52.172797,0x433acb14,13.2825,58.75,3.25,-103,,3,3
2025-03-06 19:54:54.419069,0x433acb14,13.2575,132.5,2.75,-103,,3,3
2025-03-06 19:59:54.363560,0x433acb14,13.28,76.25,2.75,-103,,3,3
2025-03-06 20:04:56.436825,0x433acb14,13.28,68.75,-13.25,-103,,3,3
2025-03-06 20:09:56.858751,0x433acb14,13.2825,57.5,-13.25,-103,,3,3
2025-03-06 20:14:58.040051,0x433acb14,13.28375,60.0,-13.0,-103,,3,3
2025-03-06 20:20:00.439877,0x433acb14,13.285,63.75,-12.75,-102,,3,3
2025-03-06 20:25:00.385101,0x433acb14,13.25125,140.0,3.25,-102,,3,3
2025-03-06 20:30:01.188206,0x433acb14,13.28125,57.5,3.25,-102,,3,3
2025-03-06 20:35:03.450392,0x433acb14,13.25125,137.5,2.5,-102,,3,3
2025-03-06 20:40:04.968675,0x433acb14,13.28,61.25,3.5,-102,,3,3
2025-03-06 20:45:05.785484,0x433acb14,13.28,63.75,3.5,-102,,3,3
2025-03-06 20:50:06.036539,0x433acb14,13.28,63.75,4.0,-102,,3,3
2025-03-06 20:55:08.435677,0x433acb14,13.28,57.5,4.25,-102,,3,3
2025-03-06 21:00:08.326706,0x433acb14,13.255,133.75,-12.5,-101,,3,3
2025-03-06 21:05:10.785713,0x433acb14,13.27875,63.75,4.25,-102,,3,3
2025-03-06 21:10:10.908957,0x433acb14,13.28125,65.0,3.5,-102,,3,3
2025-03-06 21:15:12.192450,0x433acb14,13.24875,137.5,4.25,-101,,3,3
2025-03-06 21:20:15.235510,0x433acb14,13.27875,60.0,3.0,-103,,3,3
2025-03-06 21:25:15.378668,0x433acb14,13.27375,66.25,3.75,-102,,3,3
2025-03-06 21:30:16.064909,0x433acb14,13.25,128.75,3.25,-102,,3,3
2025-03-06 21:35:16.674031,0x433acb14,13.27625,61.25,4.0,-102,,3,3
2025-03-06 21:40:18.290092,0x433acb14,13.275,72.5,3.0,-102,,3,3
2025-03-06 21:45:19.145006,0x433acb14,13.27375,71.25,3.0,-103,,3,3
2025-03-06 21:50:21.289553,0x433acb14,13.2775,62.5,3.75,-102,,3,3
2025-03-06 21:55:21.539916,0x433acb14,13.27625,61.25,3.5,-102,,3,3
2025-03-06 22:00:22.878865,0x433acb14,13.2725,72.5,3.25,-103,,3,3
2025-03-06 22:05:23.766923,0x433acb14,13.2725,72.5,3.75,-102,,3,3
2025-03-06 22:10:24.259667,0x433acb14,13.27375,61.25,4.0,-102,,3,3
2025-03-06 22:15:25.283487,0x433acb14,13.27375,57.5,3.5,-102,,3,3
2025-03-06 22:20:28.062924,0x433acb14,13.27125,73.75,3.0,-102,,3,3
2025-03-06 22:25:28.176216,0x433acb14,13.27125,75.0,3.5,-102,,3,3
2025-03-06 22:30:29.700698,0x433acb14,13.27375,61.25,4.0,-102,,3,3
2025-03-06 22:35:30.660542,0x433acb14,13.2725,61.25,-18.25,-101,,3,3
2025-03-06 22:40:32.374546,0x433acb14,13.27375,66.25,4.0,-102,,3,3
2025-03-06 22:45:32.714999,0x433acb14,13.2425,137.5,3.5,-102,,3,3
2025-03-06 22:50:33.638622,0x433acb14,13.2725,60.0,4.0,-102,,3,3
2025-03-06 22:55:35.304901,0x433acb14,13.2725,61.25,3.75,-102,,3,3
2025-03-06 23:00:36.669904,0x433acb14,13.2725,65.0,3.5,-101,,3,3
2025-03-06 23:05:36.883603,0x433acb14,13.27125,63.75,3.25,-102,,3,3
2025-03-06 23:10:38.035060,0x433acb14,13.26875,70.0,3.75,-102,,3,3
2025-03-06 23:15:39.858671,0x433acb14,13.2725,60.0,3.5,-102,,3,3
2025-03-06 23:20:41.839645,0x433acb14,13.2675,75.0,3.25,-102,,3,3
2025-03-06 23:25:41.546796,0x433acb14,13.27125,62.5,3.75,-102,,3,3
2025-03-06 23:30:42.716245,0x433acb14,13.2675,65.0,3.25,-102,,3,3
2025-03-06 23:35:44.427176,0x433acb14,13.27125,63.75,3.75,-102,,3,3
2025-03-06 23:40:45.026471,0x433acb14,13.26875,83.75,3.75,-102,,3,3
2025-03-06 23:45:46.746629,0x433acb14,13.245,127.5,3.25,-102,,3,3
2025-03-06 23:50:48.780058,0x433acb14,13.27125,60.0,3.25,-102,,3,3
2025-03-06 23:55:49.364068,0x433acb14,13.2675,72.5,3.75,-102,,3,3
2025-03-07 00:00:49.666178,0x433acb14,13.2675,75.0,3.25,-101,,3,3
2025-03-07 00:05:50.813436,0x433acb14,13.26875,61.25,3.5,-101,,3,3
2025-03-07 00:10:51.983408,0x433acb14,13.27125,62.5,3.0,-103,,3,3
2025-03-07 00:15:53.128211,0x433acb14,13.26625,72.5,3.75,-102,,3,3
2025-03-07 00:20:55.390860,0x433acb14,13.26625,73.75,3.5,-102,,3,3
2025-03-07 00:25:56.030522,0x433acb14,13.27,58.75,3.5,-102,,3,3
2025-03-07 00:30:57.447764,0x433acb14,13.26875,62.5,3.5,-102,,3,3
2025-03-07 00:35:58.706953,0x433acb14,13.27,60.0,3.5,-102,,3,3
2025-03-07 00:40:59.501426,0x433acb14,13.265,71.25,3.75,-102,,3,3
