datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-10-23 00:05:27.469249,0x433b0098,5,7,8,5,7,8,3.75,-97,1761203117,2,1
2025-10-23 00:05:35.892090,0x433aad0c,8,10,12,8,10,12,1.75,-100,1761203125,3,2
2025-10-23 00:05:58.803461,0x433acb14,2,5,6,2,5,6,3.0,-97,1761203148,3,2
2025-10-23 00:06:05.024319,0x433b0b38,7,8,8,7,8,8,-7.0,-111,1761203154,5,4
2025-10-23 00:06:59.175402,0x433acb14,2,3,3,2,3,3,3.25,-97,1761203209,3,2
2025-10-23 00:07:57.027132,0x433acb14,2,3,3,2,3,3,0.75,-101,1761203266,3,3
2025-10-23 00:08:07.752772,0x433b0b38,5,7,8,5,7,8,3.0,-97,1761203277,5,4
2025-10-23 00:08:18.695848,0x433aafcc,,,,,,,3.0,-97,1761203288,5,5
2025-10-23 00:08:35.160796,0x433aad0c,7,9,9,7,9,9,1.75,-100,1761203305,3,1
2025-10-23 00:08:57.510852,0x433acb14,2,2,2,2,2,2,1.75,-100,1761203327,3,3
2025-10-23 00:09:59.379792,0x433acb14,1,2,4,1,2,4,3.5,-97,1761203389,3,2
2025-10-23 00:10:57.964630,0x433acb14,2,3,5,2,3,5,1.75,-101,1761203447,3,3
2025-10-23 00:11:15.031841,0x433ad35c,7,8,9,7,8,9,2.5,-98,1761203464,3,2
2025-10-23 00:12:15.035707,0x433ad35c,9,11,13,9,11,13,3.5,-97,1761203524,3,1
2025-10-23 00:12:25.985952,0x433b0098,5,6,7,5,6,7,-5.75,-110,1761203535,2,2
2025-10-23 00:12:34.266906,0x433aad0c,7,9,10,7,9,10,-5.5,-110,1761203544,3,2
2025-10-23 00:13:02.302870,0x433acb14,1,1,1,1,1,1,3.25,-96,1761203572,3,2
2025-10-23 00:13:17.631650,0x433ad35c,7,9,10,7,9,10,1.25,-101,1761203587,3,2
2025-10-23 00:13:34.724735,0x433aad0c,7,10,12,7,10,12,2.0,-100,1761203604,3,2
2025-10-23 00:14:08.189876,0x433b0b38,6,7,7,6,7,7,3.25,-96,1761203638,5,4
2025-10-23 00:15:26.294742,0x433b0098,5,7,8,5,7,8,-6.75,-111,1761203716,2,2
2025-10-23 00:15:37.919515,0x433aad0c,7,9,10,7,9,10,3.0,-97,1761203727,3,1
2025-10-23 00:16:01.027935,0x433acb14,3,3,3,3,3,3,3.25,-97,1761203750,3,2
2025-10-23 00:16:07.227503,0x433b0b38,4,5,5,4,5,5,3.5,-96,1761203757,5,4
2025-10-23 00:17:38.931742,0x433aad0c,6,8,11,6,8,11,2.5,-97,1761203848,3,1
2025-10-23 00:18:07.573853,0x433b0b38,8,9,11,8,9,11,3.25,-96,1761203877,5,4
2025-10-23 00:18:34.852357,0x433b0098,6,7,8,6,7,8,3.5,-97,1761203904,2,1
2025-10-23 00:19:00.886472,0x433acb14,2,3,3,2,3,3,1.75,-101,1761203930,3,3
2025-10-23 00:20:08.719498,0x433b0b38,8,11,11,8,11,11,2.25,-100,1761203998,5,4
2025-10-23 00:21:08.502560,0x433b0b38,5,7,7,5,7,7,1.75,-100,1761204058,5,4
2025-10-23 00:21:14.313660,0x433ad35c,7,9,10,7,9,10,3.25,-96,1761204064,3,2
2025-10-23 00:22:02.037379,0x433acb14,1,1,3,1,1,3,1.75,-101,1761204111,3,3
2025-10-23 00:22:09.649624,0x433b0b38,4,7,7,4,7,7,2.0,-100,1761204119,5,4
2025-10-23 00:22:16.412602,0x433ad35c,7,9,10,7,9,10,-20.25,-124,1761204126,3,2
2025-10-23 00:22:37.662472,0x433aad0c,7,8,10,7,8,10,-5.75,-110,1761204147,3,2
2025-10-23 00:23:01.192194,0x433acb14,2,4,4,2,4,4,1.25,-101,1761204171,3,3
2025-10-23 00:24:04.235493,0x433acb14,2,4,5,2,4,5,3.25,-96,1761204234,3,2
2025-10-23 00:24:27.835244,0x433b0098,5,7,7,5,7,7,-6.0,-110,1761204257,2,2
2025-10-23 00:25:10.569248,0x433b0b38,4,5,12,4,5,12,-6.0,-110,1761204300,5,4
2025-10-23 00:25:39.892424,0x433aad0c,5,8,9,5,8,9,3.25,-96,1761204329,3,1
2025-10-23 00:26:15.048464,0x433ad35c,7,8,10,7,8,10,3.25,-97,1761204364,3,2
2025-10-23 00:26:30.457596,0x433b0098,5,7,7,5,7,7,3.0,-96,1761204380,2,1
2025-10-23 00:26:38.287275,0x433aad0c,5,11,11,5,11,11,-5.5,-110,1761204388,3,2
2025-10-23 00:27:09.459986,0x433b0b38,6,7,7,6,7,7,1.75,-100,1761204419,5,4
2025-10-23 00:27:15.156174,0x433ad35c,9,11,14,9,11,14,3.0,-96,1761204424,3,2
2025-10-23 00:28:09.560054,0x433b0b38,6,8,9,6,8,9,1.75,-100,1761204479,5,4
2025-10-23 00:28:44.628979,0x433aad0c,6,10,10,6,10,10,3.25,-96,1761204514,3,1
2025-10-23 00:29:03.666473,0x433acb14,2,2,2,2,2,2,2.0,-99,1761204533,3,3
2025-10-23 00:29:19.198137,0x433ad35c,8,10,11,8,10,11,3.5,-96,1761204548,3,1
2025-10-23 00:30:03.344849,0x433acb14,1,2,3,1,2,3,1.5,-99,1761204593,3,3
2025-10-23 00:30:38.626940,0x433aad0c,8,9,10,8,9,10,1.75,-100,1761204628,3,2
2025-10-23 00:31:45.339939,0x433aad0c,7,9,10,7,9,10,3.25,-96,1761204695,3,1
2025-10-23 00:32:30.629075,0x433b0098,4,5,8,4,5,8,3.25,-97,1761204740,2,1
2025-10-23 00:33:04.054132,0x433acb14,1,2,5,1,2,5,1.75,-100,1761204773,3,3
2025-10-23 00:33:28.974878,0x433b0098,6,7,9,6,7,9,-6.25,-110,1761204798,2,2
2025-10-23 00:34:04.744838,0x433acb14,,1,1,,1,1,2.0,-101,1761204834,3,3
2025-10-23 00:34:14.318975,0x433b0b38,7,8,10,7,8,10,3.25,-96,1761204844,5,4
2025-10-23 00:34:30.092825,0x433b0098,6,7,7,6,7,7,-5.75,-109,1761204859,2,2
2025-10-23 00:35:29.459756,0x433b0098,4,5,5,4,5,5,-6.5,-111,1761204919,2,2
2025-10-23 00:35:39.501092,0x433aad0c,7,9,10,7,9,10,-6.75,-111,1761204929,3,2
2025-10-23 00:36:10.320993,0x433acb14,,1,4,,1,4,3.25,-97,1761204960,3,2
2025-10-23 00:36:39.811127,0x433aad0c,6,10,12,6,10,12,1.75,-100,1761204989,3,2
2025-10-23 00:38:05.441866,0x433acb14,3,3,5,3,3,5,2.0,-100,1761205075,3,3
2025-10-23 00:38:20.311635,0x433ad35c,7,8,10,7,8,10,1.75,-100,1761205090,3,2
2025-10-23 00:39:06.136800,0x433acb14,1,3,5,1,3,5,2.0,-101,1761205135,3,3
2025-10-23 00:40:06.083920,0x433acb14,1,3,5,1,3,5,1.25,-101,1761205195,3,3
2025-10-23 00:40:32.338195,0x433b0098,4,6,8,4,6,8,3.5,-97,1761205222,2,1
2025-10-23 00:41:20.245883,0x433ad35c,7,9,12,7,9,12,2.0,-100,1761205270,3,2
2025-10-23 00:42:10.542696,0x433acb14,2,2,2,2,2,2,3.25,-96,1761205320,3,2
2025-10-23 00:42:35.449119,0x433b0098,6,7,7,6,7,7,2.5,-97,1761205345,2,1
2025-10-23 00:42:43.888441,0x433aad0c,8,11,11,8,11,11,3.5,-96,1761205353,3,1
2025-10-23 00:43:07.576522,0x433acb14,1,2,3,1,2,3,2.0,-100,1761205377,3,3
2025-10-23 00:43:23.155996,0x433ad35c,9,12,13,9,12,13,-7.0,-111,1761205392,3,2
2025-10-23 00:44:17.616637,0x433aafcc,,,,,,,3.0,-96,1761205447,5,5
2025-10-23 00:45:07.703461,0x433acb14,3,6,6,3,6,6,1.75,-100,1761205497,3,3
2025-10-23 00:45:16.309940,0x433b0b38,5,9,14,5,9,14,-7.0,-111,1761205506,5,4
2025-10-23 00:46:11.334671,0x433acb14,1,2,3,1,2,3,2.75,-96,1761205561,3,2
2025-10-23 00:46:31.051656,0x433b0098,5,6,7,5,6,7,-6.75,-111,1761205580,2,2
2025-10-23 00:48:07.655808,0x433acb14,3,4,6,3,4,6,1.75,-100,1761205677,3,3
2025-10-23 00:50:24.691317,0x433b0b38,6,7,7,6,7,7,3.25,-97,1761205814,5,3
2025-10-23 00:51:18.103306,0x433b0b38,5,10,16,5,10,16,2.75,-97,1761205867,5,4
2025-10-23 00:51:47.454140,0x433aad0c,7,9,9,7,9,9,3.0,-97,1761205897,3,1
2025-10-23 00:52:44.958447,0x433aad0c,8,10,10,8,10,10,0.75,-100,1761205954,3,2
2025-10-23 00:53:08.972274,0x433acb14,2,4,4,2,4,4,2.0,-100,1761205978,3,3
2025-10-23 00:53:18.522819,0x433b0b38,7,9,11,7,9,11,3.25,-96,1761205988,5,4
2025-10-23 00:54:11.627495,0x433acb14,,1,1,,1,1,2.25,-101,1761206041,3,3
2025-10-23 00:54:22.572376,0x433ad35c,8,10,10,8,10,10,1.0,-100,1761206052,3,2
2025-10-23 00:54:24.338045,0x433b0b38,6,11,11,6,11,11,2.0,-100,1761206054,5,4
2025-10-23 00:54:33.164192,0x433b0098,4,7,7,4,7,7,-6.75,-111,1761206062,2,2
2025-10-23 00:55:21.606964,0x433b0b38,5,11,15,5,11,15,2.0,-99,1761206111,5,4
2025-10-23 00:55:25.998549,0x433ad35c,7,10,14,7,10,14,3.25,-97,1761206115,3,2
2025-10-23 00:56:12.477244,0x433acb14,1,1,1,1,1,1,3.25,-97,1761206162,3,2
2025-10-23 00:56:24.103942,0x433b0b38,7,10,14,7,10,14,2.75,-97,1761206173,5,3
2025-10-23 00:56:27.911335,0x433ad35c,8,10,13,8,10,13,3.25,-96,1761206177,3,1
2025-10-23 00:57:25.111126,0x433b0b38,6,10,13,6,10,13,1.75,-100,1761206234,5,4
2025-10-23 00:58:10.553898,0x433acb14,2,4,11,2,4,11,2.0,-100,1761206280,3,3
2025-10-23 00:58:19.163415,0x433b0b38,7,11,14,7,11,14,2.5,-97,1761206288,5,4
2025-10-23 00:59:12.764542,0x433acb14,,,4,,,4,2.0,-101,1761206342,3,3
2025-10-23 00:59:48.782655,0x433aad0c,8,10,10,8,10,10,3.5,-97,1761206378,3,1
2025-10-23 01:00:12.671258,0x433acb14,1,1,3,1,1,3,2.0,-100,1761206402,3,3
2025-10-23 01:00:48.924337,0x433aad0c,9,11,13,9,11,13,3.0,-97,1761206438,3,1
2025-10-23 01:01:47.249094,0x433aad0c,6,11,12,6,11,12,1.75,-100,1761206496,3,2
2025-10-23 01:03:50.653742,0x433aad0c,8,10,12,8,10,12,3.0,-97,1761206620,3,1
2025-10-23 01:04:13.279417,0x433acb14,1,2,5,1,2,5,2.25,-100,1761206643,3,3
2025-10-23 01:04:47.934502,0x433aad0c,8,10,11,8,10,11,-6.75,-111,1761206677,3,2
2025-10-23 01:05:15.212399,0x433acb14,3,4,5,3,4,5,2.75,-97,1761206704,3,2
2025-10-23 01:05:22.086288,0x433b0b38,6,7,8,6,7,8,2.75,-97,1761206711,5,4
2025-10-20 01:03:55.107795,0x433acb14,3,3,4,3,3,4,-1.0,-103,1760947432,3,3
2025-10-20 01:04:28.784934,0x433b0098,5,6,6,5,6,6,-5.75,-110,1760947466,2,2
2025-10-20 01:04:43.475339,0x433aad0c,4,6,6,4,6,6,2.5,-99,1760947481,3,1
2025-10-20 01:05:06.147169,0x433b0b38,6,7,7,6,7,7,2.0,-98,1760947503,5,4
2025-10-20 01:06:11.414282,0x433ad35c,8,9,11,8,9,11,-5.0,-109,1760947569,3,2
2025-10-20 01:06:59.826766,0x433acb14,1,2,2,1,2,2,-6.5,-110,1760947617,3,2
2025-10-20 01:07:29.075839,0x433b0098,3,4,4,3,4,4,-6.5,-111,1760947646,2,2
2025-10-20 01:08:10.951692,0x433ad35c,8,8,9,8,8,9,1.75,-99,1760947688,3,2
2025-10-20 01:08:41.789858,0x433aad0c,6,7,7,6,7,7,-4.75,-109,1760947719,3,2
2025-10-20 01:08:55.158526,0x433acb14,3,3,3,3,3,3,,-102,1760947732,3,3
2025-10-20 01:09:59.314128,0x433acb14,1,3,3,1,3,3,-0.25,-103,1760947797,3,3
2025-10-20 01:12:13.116129,0x433ad35c,6,8,9,6,8,9,-3.75,-107,1760947930,3,2
2025-10-20 01:12:43.792689,0x433aad0c,4,4,4,4,4,4,2.0,-98,1760947961,3,1
2025-10-20 01:13:02.183657,0x433acb14,2,2,2,2,2,2,-1.25,-104,1760947979,3,3
2025-10-20 01:13:13.730702,0x433ad35c,8,9,9,8,9,9,1.5,-99,1760947991,3,2
2025-10-20 01:13:58.112515,0x433acb14,4,4,6,4,4,6,-1.75,-105,1760948035,3,3
2025-10-20 01:14:11.135488,0x433b0b38,7,7,7,7,7,7,2.0,-99,1760948048,5,4
2025-10-20 01:14:13.998104,0x433ad35c,8,8,8,8,8,8,2.0,-99,1760948051,3,1
2025-10-20 01:16:07.162231,0x433b0b38,7,8,8,7,8,8,-0.5,-103,1760948164,5,4
2025-10-20 01:17:00.837683,0x433acb14,1,1,1,1,1,1,-0.5,-102,1760948218,3,3
2025-10-20 01:17:29.447294,0x433b0098,7,8,8,7,8,8,-4.75,-109,1760948247,2,2
