datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-10-22 19:14:01.852584,0x433aad0c,8,11,11,8,11,11,-19.75,-98,,3,2
2025-10-22 19:14:35.359037,0x433b0b38,8,13,13,8,13,13,-18.25,-98,,5,5
2025-10-22 19:15:43.830171,0x433ad35c,10,13,15,10,13,15,-19.0,-97,,3,2
2025-10-22 19:16:33.678142,0x433b0098,7,9,9,7,9,9,-18.0,-97,,2,1
2025-10-22 19:16:37.002396,0x433b0b38,7,8,13,7,8,13,-17.75,-97,,5,5
2025-10-22 19:17:36.842349,0x433b0b38,10,12,12,10,12,12,-16.75,-96,1761232697,5,5
2025-10-22 19:18:36.368357,0x433b0b38,7,11,12,7,11,12,-17.75,-97,1761232756,5,5
2025-10-22 19:19:36.961453,0x433b0b38,9,12,12,9,12,12,-16.75,-96,1761232817,5,5
2025-10-22 19:19:47.669289,0x433ad35c,9,13,14,9,13,14,-20.5,-100,1761232827,3,2
2025-10-22 19:23:37.626596,0x433b0b38,8,10,11,8,10,11,-16.75,-97,1761233057,5,5
2025-10-22 19:24:37.753226,0x433b0b38,11,15,15,11,15,15,-18.0,-99,1761233118,5,5
2025-10-23 08:27:19.227061,0x433b0b38,8,12,12,8,12,12,-17.25,-98,1761233239,5,5
2025-10-23 08:28:18.273507,0x433b0b38,9,12,12,9,12,12,-16.25,-99,1761233299,5,5
2025-10-23 08:29:19.112722,0x433b0b38,6,8,11,6,8,11,-16.0,-98,1761233359,5,5
2025-10-23 08:30:18.788484,0x433b0b38,8,11,11,8,11,11,-16.0,-99,1761233419,5,5
2025-10-23 08:31:19.057532,0x433b0b38,8,10,10,8,10,10,-16.25,-99,1761233479,5,5
2025-10-23 08:32:20.398378,0x433b0b38,7,9,11,7,9,11,-16.25,-98,1761233541,5,5
2025-10-23 08:32:45.655346,0x433aad0c,8,11,11,8,11,11,-15.75,-99,1761233566,3,2
2025-10-23 08:33:19.857904,0x433b0b38,8,14,15,8,14,15,-16.0,-100,1761233600,5,5
2025-10-23 08:33:45.413982,0x433aad0c,9,13,15,9,13,15,-16.25,-98,1761233626,3,2
2025-10-23 08:34:19.868215,0x433b0b38,6,9,9,6,9,9,-16.75,-99,1761233660,5,5
2025-10-23 08:34:46.029459,0x433aad0c,8,10,11,8,10,11,-16.5,-100,1761233686,3,2
2025-10-23 08:35:20.921111,0x433b0b38,6,8,9,6,8,9,-16.0,-99,1761233721,5,5
2025-10-23 08:35:45.479012,0x433aad0c,10,14,14,10,14,14,-16.25,-99,1761233746,3,2
2025-10-23 08:36:20.386416,0x433b0b38,4,6,6,4,6,6,-16.25,-99,1761233781,5,5
2025-10-23 08:36:45.620375,0x433aad0c,9,11,11,9,11,11,-15.75,-99,1761233806,3,2
2025-10-23 08:37:20.900245,0x433b0b38,3,9,10,3,9,10,-16.5,-99,1761233841,5,5
2025-10-23 08:37:45.961284,0x433aad0c,9,12,12,9,12,12,-16.25,-99,1761233866,3,2
2025-10-23 08:38:20.403015,0x433b0098,7,10,11,7,10,11,-16.75,-100,1761233901,2,1
2025-10-23 08:38:21.318599,0x433b0b38,4,4,7,4,4,7,-16.0,-99,1761233901,5,5
2025-10-23 08:39:21.214534,0x433b0b38,5,6,9,5,6,9,-16.5,-99,1761233961,5,5
2025-10-23 08:39:46.333124,0x433aad0c,8,10,11,8,10,11,-16.0,-99,1761233987,3,2
2025-10-23 08:40:21.535236,0x433b0b38,5,6,6,5,6,6,-16.5,-99,1761234022,5,5
2025-10-23 08:41:18.736017,0x433acb14,3,4,6,3,4,6,-15.75,-99,1761234079,3,2
2025-10-23 08:41:24.588977,0x433b0b38,3,5,5,3,5,5,-16.25,-100,1761234085,5,5
2025-10-23 08:41:28.645050,0x433ad35c,9,12,12,9,12,12,-15.75,-99,1761234089,3,2
2025-10-23 08:42:22.655518,0x433b0b38,5,6,8,5,6,8,-16.5,-99,1761234143,5,5
2025-10-23 08:43:22.415196,0x433b0098,7,9,9,7,9,9,-15.75,-99,1761234203,2,1
2025-10-23 08:43:23.248039,0x433b0b38,5,8,9,5,8,9,-16.0,-100,1761234204,5,5
2025-10-23 08:43:31.223717,0x433ad35c,9,15,19,9,15,19,-15.0,-98,1761234211,3,2
2025-10-23 08:45:22.770062,0x433b0b38,2,3,3,2,3,3,-17.5,-101,1761234323,5,5
2025-10-23 08:46:30.176947,0x433ad35c,8,10,10,8,10,10,-17.25,-99,1761234390,3,2
2025-10-23 08:48:23.809094,0x433b0b38,2,5,8,2,5,8,-18.25,-101,1761234504,5,5
2025-10-23 08:49:24.084058,0x433b0b38,2,6,8,2,6,8,-19.25,-101,1761234564,5,5
2025-10-23 10:38:14.661758,0x433bc2b0,1,2,3,1,2,3,6.0,,1761241107,3,3
2025-10-23 10:38:56.343169,0x433b0b38,7,9,11,7,9,11,6.5,-8,1761241136,5,4
2025-10-23 10:39:00.753400,0x433ad35c,9,10,11,9,10,11,1.25,-80,1761241141,3,3
2025-10-23 10:39:03.281423,0x433acb14,2,3,5,2,3,5,6.0,-2,1761241143,3,1
2025-10-23 10:39:21.803447,0x433aad0c,7,11,12,7,11,12,-10.5,-93,1761241162,3,1
2025-10-23 10:39:27.478480,0x433bc2b0,2,2,4,2,2,4,6.25,-25,1761241168,3,3
2025-10-23 10:39:55.447685,0x433b0b38,9,11,12,9,11,12,6.25,-31,1761241196,5,4
2025-10-23 10:40:00.422753,0x433ad35c,9,11,13,9,11,13,4.0,-76,1761241200,3,3
2025-10-23 10:40:20.494297,0x433aad0c,8,11,11,8,11,11,-2.75,-85,1761241221,3,2
2025-10-23 10:40:27.549846,0x433bc2b0,2,3,3,2,3,3,6.25,-14,1761241228,3,3
2025-10-23 10:40:50.089673,0x433acb14,3,3,3,3,3,3,6.75,-11,1761241250,3,2
2025-10-23 10:41:00.477196,0x433b0b38,7,9,9,7,9,9,1.0,-80,1761241260,5,4
2025-10-23 10:41:03.706202,0x433ad35c,10,13,13,10,13,13,1.25,-80,1761241264,3,3
2025-10-23 10:41:19.927549,0x433aad0c,9,12,12,9,12,12,1.25,-80,1761241280,3,3
2025-10-23 10:41:27.954260,0x433bc2b0,2,3,5,2,3,5,6.0,-20,1761241288,3,3
2025-10-23 10:41:52.223047,0x433acb14,1,1,4,1,1,4,-13.25,-95,1761241312,3,2
2025-10-23 10:41:58.298565,0x433b0b38,10,14,14,10,14,14,6.0,-18,1761241318,5,4
2025-10-23 10:42:02.868727,0x433ad35c,9,11,12,9,11,12,-4.5,-88,1761241323,3,3
2025-10-23 10:42:19.852905,0x433aad0c,8,11,12,8,11,12,-0.75,-84,1761241340,3,3
2025-10-23 10:42:28.042313,0x433bc2b0,1,2,2,1,2,2,5.75,-18,1761241348,3,3
2025-10-23 10:42:49.188762,0x433acb14,1,3,3,1,3,3,-20.0,-104,1761241369,3,3
2025-10-23 10:42:55.170119,0x433b0b38,8,10,16,8,10,16,-19.0,-104,1761241375,5,5
2025-10-23 10:43:04.237914,0x433ad35c,11,16,17,11,16,17,2.25,-81,1761241384,3,3
2025-10-23 10:43:20.037257,0x433aad0c,7,9,10,7,9,10,5.0,-77,1761241400,3,3
2025-10-23 10:43:25.053557,0x433b0098,6,7,7,6,7,7,-15.0,-100,1761241405,2,2
2025-10-23 10:43:28.656305,0x433bc2b0,2,3,4,2,3,4,6.0,-18,1761241409,3,3
2025-10-23 10:43:52.249865,0x433acb14,1,3,3,1,3,3,-19.5,-105,1761241432,3,2
2025-10-23 10:43:57.075313,0x433b0b38,12,14,16,12,14,16,-19.0,-105,1761241437,5,5
2025-10-23 10:44:04.858024,0x433ad35c,9,11,13,9,11,13,-13.75,-99,1761241445,3,3
2025-10-23 10:44:20.894791,0x433aad0c,9,11,12,9,11,12,4.25,-80,1761241461,3,3
2025-10-23 10:44:28.650427,0x433bc2b0,2,3,5,2,3,5,7.25,-17,1761241469,3,3
2025-10-23 10:44:51.027708,0x433acb14,3,5,5,3,5,5,7.25,-17,1761241491,3,2
2025-10-23 10:45:01.975601,0x433b0b38,9,16,19,9,16,19,7.75,-17,1761241502,5,4
2025-10-23 10:45:03.731203,0x433ad35c,8,12,13,8,12,13,-6.0,-94,1761241504,3,3
2025-10-23 10:45:20.770250,0x433aad0c,8,9,10,8,9,10,-2.75,-90,1761241521,3,3
2025-10-23 10:45:28.665210,0x433bc2b0,2,7,8,2,7,8,6.25,-17,1761241529,3,3
2025-10-23 10:45:52.082759,0x433acb14,,1,1,,1,1,5.75,-16,1761241552,3,2
2025-10-23 10:45:56.773672,0x433b0b38,9,13,15,9,13,15,-16.25,-104,1761241557,5,5
2025-10-23 10:46:04.086197,0x433ad35c,8,10,10,8,10,10,3.0,-84,1761241564,3,3
2025-10-23 10:46:20.680670,0x433aad0c,8,11,11,8,11,11,1.5,-86,1761241581,3,3
2025-10-23 10:46:30.073233,0x433bc2b0,1,1,1,1,1,1,6.0,-16,1761241590,3,3
2025-10-23 10:46:52.900677,0x433acb14,2,3,5,2,3,5,5.75,-17,1761241613,3,2
2025-10-23 10:46:57.771726,0x433b0b38,9,13,16,9,13,16,-13.0,-102,1761241618,5,5
2025-10-23 10:47:03.489579,0x433ad35c,7,8,8,7,8,8,3.5,-82,1761241624,3,3
2025-10-23 10:47:20.734044,0x433aad0c,9,11,13,9,11,13,3.0,-84,1761241641,3,3
2025-10-23 10:47:29.453592,0x433bc2b0,1,1,3,1,1,3,7.25,-17,1761241650,3,3
2025-10-23 10:47:52.849363,0x433acb14,2,3,3,2,3,3,-13.0,-101,1761241673,3,2
2025-10-23 10:48:02.082301,0x433b0b38,9,16,16,9,16,16,-13.25,-102,1761241682,5,5
2025-10-23 10:48:06.663631,0x433ad35c,8,10,11,8,10,11,-8.75,-98,1761241687,3,2
2025-10-23 10:48:21.068424,0x433aad0c,9,11,11,9,11,11,5.25,-75,1761241701,3,3
2025-10-23 10:48:31.236838,0x433bc2b0,2,3,5,2,3,5,5.75,-16,1761241711,3,3
2025-10-23 10:48:51.699507,0x433acb14,1,1,1,1,1,1,6.25,-16,1761241732,3,2
2025-10-23 10:48:56.688004,0x433b0b38,6,10,11,6,10,11,-19.0,-108,1761241737,5,5
2025-10-23 10:49:05.395082,0x433ad35c,8,9,10,8,9,10,-2.5,-91,1761241745,3,3
2025-10-23 10:49:21.669977,0x433aad0c,6,9,9,6,9,9,3.0,-84,1761241762,3,3
2025-10-23 10:49:30.627669,0x433bc2b0,2,2,2,2,2,2,6.25,-16,1761241771,3,3
2025-10-23 10:50:03.915009,0x433ad35c,8,11,12,8,11,12,2.75,-85,1761241804,3,3
2025-10-23 10:50:21.575231,0x433aad0c,7,7,7,7,7,7,4.25,-79,1761241822,3,3
2025-10-23 10:50:30.632963,0x433bc2b0,4,7,7,4,7,7,6.0,-17,1761241831,3,3
2025-10-23 10:50:53.084472,0x433acb14,2,3,3,2,3,3,-5.5,-94,1761241853,3,2
2025-10-23 10:51:01.319867,0x433b0b38,9,13,14,9,13,14,-1.0,-90,1761241861,5,4
2025-10-23 10:51:05.231717,0x433ad35c,9,11,12,9,11,12,1.5,-87,1761241865,3,3
2025-10-23 10:51:22.324425,0x433aad0c,7,9,9,7,9,9,4.0,-78,1761241882,3,3
2025-10-23 10:51:30.898827,0x433bc2b0,1,1,1,1,1,1,6.75,-17,1761241891,3,3
2025-10-23 10:51:55.039329,0x433acb14,3,3,3,3,3,3,3.5,-84,1761241915,3,2
2025-10-23 10:52:02.273535,0x433b0b38,8,9,14,8,9,14,,-88,1761241922,5,4
2025-10-23 10:52:07.789735,0x433ad35c,7,9,10,7,9,10,4.25,-79,1761241928,3,2
