datetime,fromNode,batteryLevel,voltage,channelUtilization,airUtilTx,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-10-22 19:12:26.737011,0x433b0098,98,4.175,20.751667,2.6576388,-5.75,-103,,2,1
2025-10-22 19:13:06.224546,0x433d33a8,101,4.238,4.8966665,0.044444446,,,,3,3
2025-10-22 19:14:06.362778,0x433d33a8,101,4.216,6.7050004,0.10852778,,,,,3
2025-10-22 19:15:06.443128,0x433d33a8,100,4.194,4.515,0.12313889,,,,,3
2025-10-22 19:16:06.524410,0x433d33a8,101,4.238,5.1583333,0.15666667,,,,,3
2025-10-22 19:18:06.910153,0x433d33a8,101,4.208,4.023333,0.2855278,,,1761232727,,3
2025-10-22 19:18:49.707214,0x433b0b38,99,4.179,22.963333,3.560639,-17.0,-97,1761232769,5,5
2025-10-22 19:19:06.867385,0x433d33a8,99,4.189,5.9933333,0.33547223,,,1761232787,,3
2025-10-22 19:21:07.048834,0x433d33a8,100,4.197,0.0,0.42919448,,,1761232907,,3
2025-10-22 19:22:06.980068,0x433d33a8,101,4.244,0.0,0.42919448,,,1761232967,,3
2025-10-22 19:23:07.050567,0x433d33a8,101,4.212,0.0,0.42919448,,,1761233027,,3
2025-10-22 19:23:09.658447,0x433acb14,100,4.193,21.915,4.8328056,-18.5,-99,1761233029,3,2
2025-10-22 19:24:16.286486,0x433b0098,98,4.168,21.6,2.8514721,-19.5,-100,1761233096,2,1
2025-10-22 19:24:49.944586,0x433b0b38,99,4.185,31.473333,3.5387502,-18.0,-99,1761233130,5,5
2025-10-22 19:25:07.138099,0x433d33a8,101,4.218,7.963333,0.5455,,,1761233147,,3
2025-10-23 08:26:46.753318,0x433d33a8,101,4.201,0.0,0.5924445,,,1761233207,,3
2025-10-23 08:31:29.704890,0x433b0b38,101,4.206,29.733334,3.4313056,-16.0,-99,1761233490,5,5
2025-10-23 08:31:47.508408,0x433d33a8,100,4.192,4.858333,0.8271111,,,1761233508,3,3
2025-10-23 08:32:47.627143,0x433d33a8,79,3.981,11.126666,0.95300007,,,1761233568,,3
2025-10-23 08:34:47.810042,0x433d33a8,101,4.226,3.506667,1.0492778,,,1761233688,,3
2025-10-23 08:35:47.758931,0x433d33a8,101,4.236,9.743334,1.1304722,,,1761233748,,3
2025-10-23 08:35:52.903047,0x433acb14,100,4.195,22.82,4.6994166,-15.75,-99,1761233753,3,1
2025-10-23 08:36:47.770286,0x433d33a8,101,4.22,7.896667,1.2139444,,,1761233808,,3
2025-10-23 08:37:29.942084,0x433b0b38,99,4.183,26.426666,3.521139,-16.5,-98,1761233850,5,5
2025-10-23 08:37:47.863150,0x433d33a8,101,4.231,8.308333,1.2926389,,,1761233868,,3
2025-10-23 08:38:47.898642,0x433d33a8,101,4.211,9.099999,1.4431112,,,1761233928,,3
2025-10-23 08:39:31.680085,0x433aafcc,99,4.189,22.814999,5.8250556,-16.5,-99,1761233972,5,4
2025-10-23 08:41:47.941994,0x433d33a8,101,4.209,7.53,1.6417778,,,1761234108,,3
2025-10-23 08:42:47.978849,0x433d33a8,101,4.237,7.99,1.7083611,,,1761234168,,3
2025-10-23 08:43:31.798099,0x433b0b38,101,4.214,24.111668,3.5972779,-15.5,-99,1761234212,5,5
2025-10-23 08:43:47.992454,0x433d33a8,101,4.211,11.181666,1.8155556,,,1761234229,,3
2025-10-23 08:43:53.897125,0x433ad35c,100,4.195,28.971666,3.304861,-15.0,-99,1761234234,3,2
2025-10-23 08:44:48.075452,0x433d33a8,101,4.21,7.891667,1.8698056,,,1761234289,,3
2025-10-23 08:45:48.143486,0x433d33a8,101,4.254,2.8883333,1.8985556,,,1761234349,,3
2025-10-23 08:46:38.867845,0x433e9c88,98,4.167,18.855,3.7156389,-12.75,-95,1761234399,3,2
2025-10-23 08:46:48.126370,0x433d33a8,95,4.123,12.545,1.9863334,,,1761234409,,3
2025-10-23 08:47:48.317011,0x433d33a8,101,4.224,1.9300001,2.0228057,,,1761234469,,3
2025-10-23 08:48:48.372566,0x433d33a8,100,4.199,1.7533334,2.0374167,,,1761234529,,3
2025-10-23 08:49:48.463601,0x433d33a8,100,4.199,4.023333,2.0520277,,,1761234589,3,3
2025-10-23 10:39:14.097250,0x433aad0c,101,4.248,25.995,3.5911388,5.75,-21,1761241154,3,2
2025-10-23 10:39:58.227683,0x433d33a8,99,4.184,13.625,5.1352777,,,1761241199,,3
2025-10-23 10:40:06.306076,0x433b0098,100,4.196,23.533335,3.2025278,-12.5,-95,1761241206,2,2
2025-10-23 10:40:58.322332,0x433d33a8,101,4.217,24.14,5.19475,,,1761241259,,3
2025-10-23 10:42:01.228961,0x433acb14,96,4.135,31.028334,4.5525,5.75,-19,1761241321,3,2
2025-10-23 10:43:39.159296,0x433b0b38,99,4.184,32.15,4.4912777,4.75,-70,1761241419,5,4
