datetime,fromNode,temperature,relativeHumidity,barometricPressure,gasResistance,iaq,windDirection,windSpeed,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-10-22 19:14:03.823583,0x433b0b38,14.048979,70.67456,976.6267,315.36804,195,,,-18.25,-97,,5,5
2025-10-22 19:16:03.744685,0x433b0b38,14.188603,70.46747,976.62054,318.90378,193,,,-15.75,-94,,5,5
2025-10-22 19:16:53.995666,0x433ad35c,14.031206,73.18368,970.9974,235.5267,184,,,-16.5,-95,,3,2
2025-10-22 19:17:03.597921,0x433b0b38,14.293522,70.743774,976.63367,319.8001,192,,,-18.0,-97,,5,5
2025-10-22 19:18:03.880686,0x433b0b38,14.3112135,71.12164,976.6293,319.8001,191,,,-14.0,-94,1761232724,5,5
2025-10-22 19:19:03.837784,0x433b0b38,14.4712925,70.462906,976.666,317.7164,191,,,-18.5,-97,1761232784,5,5
2025-10-22 19:20:04.178748,0x433b0b38,14.71039,70.14228,976.67365,314.78635,192,,,-20.75,-100,1761232844,5,5
2025-10-22 19:24:10.891486,0x433b0b38,14.97516,70.293274,976.7656,307.96994,192,,,-18.0,-99,1761233091,5,5
2025-10-22 19:25:05.108519,0x433b0b38,15.0574665,70.233536,976.7807,307.4152,193,,,-18.75,-99,1761233145,5,5
2025-10-22 19:25:09.753924,0x433acb14,14.112326,73.696594,974.1165,404.27194,192,,,-18.5,-99,1761233149,3,1
2025-10-23 08:27:46.128610,0x433acb14,14.128209,73.51224,974.13367,397.83218,192,,,-15.25,-97,1761233266,3,2
2025-10-23 08:27:47.017597,0x433b0b38,15.378837,69.35072,976.76495,299.0654,195,,,-17.0,-98,1761233267,5,5
2025-10-23 08:28:46.550683,0x433b0b38,15.512563,69.34579,976.76575,293.40976,197,,,-16.25,-99,1761233327,5,5
2025-10-23 08:29:45.593790,0x433b0b38,15.694876,68.95099,976.77155,288.4507,198,,,-16.0,-99,1761233386,5,5
2025-10-23 08:29:52.143709,0x433acb14,14.340431,73.05599,974.1678,393.65182,193,,,-16.0,-98,1761233392,3,2
2025-10-23 08:30:46.638270,0x433b0b38,15.849283,68.53518,976.80176,286.03354,199,,,-15.75,-99,1761233447,5,5
2025-10-23 08:31:47.065710,0x433acb14,14.662982,72.47061,974.14484,385.99063,194,,,-15.75,-99,1761233507,3,2
2025-10-23 08:31:47.965953,0x433b0b38,16.234968,68.02517,976.7892,282.48276,199,,,-16.0,-98,1761233508,5,5
2025-10-23 08:32:46.596597,0x433b0b38,16.504921,66.930855,976.8174,282.01596,199,,,-16.5,-99,1761233567,5,5
2025-10-23 08:33:48.594963,0x433b0b38,16.36348,66.15834,976.82874,278.56366,200,,,-17.5,-100,1761233629,5,5
2025-10-23 08:34:53.835756,0x433b0b38,16.227217,66.575935,976.83563,278.56366,200,,,-16.75,-100,1761233694,5,5
2025-10-23 08:35:36.131376,0x433ad35c,14.193927,73.423645,971.1836,216.40764,197,,,-16.25,-99,1761233736,3,2
