datetime,fromNode,ch3Voltage,ch3Current,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-10-22 19:14:01.243063,0x433aad0c,13.24625,65.0,-18.5,-97,,3,2
2025-10-22 19:16:16.527341,0x433aafcc,13.225,66.25,-18.25,-97,,5,4
2025-10-22 19:16:37.770112,0x433b0b38,13.24875,65.0,-17.0,-96,,5,5
2025-10-23 08:27:18.609164,0x433b0b38,13.2475,63.75,-18.0,-99,1761233239,5,5
2025-10-23 08:32:19.513567,0x433b0b38,13.24375,71.25,-16.5,-99,1761233540,5,5
2025-10-23 08:34:52.781301,0x433aafcc,13.2225,63.75,-16.75,-99,1761233693,5,4
2025-10-23 08:37:21.778472,0x433b0b38,13.24625,77.5,-16.25,-99,1761233842,5,5
2025-10-23 08:42:23.471149,0x433b0b38,13.25,62.5,-16.25,-99,1761234144,5,5
2025-10-23 08:44:50.274875,0x433aad0c,13.24625,63.75,-15.0,-99,1761234291,3,2
2025-10-23 10:41:01.273666,0x433aafcc,13.2225,65.0,1.25,-79,1761241261,5,3
2025-10-23 10:41:34.879610,0x433bc2b0,4.43375,-3.75,6.0,-17,1761241295,3,3
2025-10-23 10:41:51.593235,0x433acb14,13.255,62.5,-2.75,-85,1761241312,3,2
2025-10-23 10:42:55.852180,0x433b0b38,13.25625,58.75,-17.25,-102,1761241376,5,5
2025-10-23 10:44:04.173969,0x433ad35c,13.26,68.75,-2.0,-88,1761241444,3,3
2025-10-23 10:45:21.604228,0x433aad0c,13.25125,65.0,4.75,-79,1761241522,3,3
2025-10-23 10:46:26.581586,0x433b0098,13.2475,57.5,-7.5,-96,1761241587,2,2
2025-10-23 10:46:52.122646,0x433acb14,13.25125,73.75,6.25,-16,1761241612,3,2
2025-10-23 10:48:30.367192,0x433b0b38,13.25375,71.25,5.75,-16,1761241710,5,3
2025-10-23 10:51:35.697269,0x433bc2b0,4.45375,-1.25,7.0,-17,1761241896,3,3
2025-10-23 10:51:53.271378,0x433acb14,13.23,142.5,6.75,-16,1761241913,3,2
2025-10-23 10:52:58.229044,0x433b0b38,13.25375,75.0,-19.5,-108,1761241978,5,5
2025-10-23 10:54:07.030219,0x433ad35c,13.26125,62.5,2.0,-84,1761242047,3,3
2025-10-23 10:55:23.780181,0x433aad0c,13.2525,65.0,4.25,-79,1761242124,3,3
2025-10-23 10:56:25.837430,0x433b0098,13.24625,61.25,-13.0,-100,1761242186,2,2
2025-10-23 10:56:53.612392,0x433acb14,13.25375,77.5,-19.5,-107,1761242214,3,3
2025-10-23 10:58:02.373215,0x433b0b38,13.25625,75.0,-15.0,-103,1761242282,5,5
2025-10-23 11:01:36.235625,0x433bc2b0,4.45875,-3.75,6.0,-15,1761242496,3,3
2025-10-23 11:02:00.466783,0x433acb14,13.2525,73.75,3.0,-84,1761242521,3,2
2025-10-23 11:03:00.504391,0x433b0b38,13.25375,71.25,-14.75,-103,1761242581,5,5
2025-10-23 11:04:09.052917,0x433ad35c,13.26375,62.5,-1.25,-89,1761242649,3,3
2025-10-23 11:05:26.387608,0x433aad0c,13.24875,77.5,3.75,-83,1761242726,3,3
2025-10-23 11:06:29.005497,0x433b0098,13.235,67.5,-10.75,-99,1761242789,2,2
2025-10-23 11:06:57.034515,0x433acb14,13.255,75.0,-21.0,-108,1761242817,3,3
2025-10-23 11:08:06.911131,0x433b0b38,13.23375,118.75,-13.0,-100,1761242887,5,5
2025-10-23 11:11:38.303567,0x433bc2b0,4.44375,-3.75,6.5,-14,1761243098,3,3
2025-10-23 11:12:01.862596,0x433acb14,13.25875,61.25,-4.75,-91,1761243122,3,2
2025-10-23 11:13:09.304017,0x433b0b38,13.255,72.5,2.0,-83,1761243189,5,4
2025-10-23 11:14:14.523179,0x433ad35c,13.26375,63.75,2.75,-82,1761243255,3,3
2025-10-23 11:15:28.655796,0x433aad0c,13.24875,72.5,2.25,-84,1761243329,3,3
2025-10-23 11:16:29.060663,0x433b0098,13.24875,57.5,-17.25,-106,1761243389,2,2
