datetime,fromNode,batteryLevel,voltage,channelUtilization,airUtilTx,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-02-13 18:10:19.882800,0x43590ff4,100,4.198,8.596667,0.08166667,,,,5,5
2025-02-13 18:10:50.715272,0x43590ff4,101,4.216,5.5333333,0.18644445,,,,,5
2025-02-13 18:11:50.746862,0x43590ff4,101,4.231,9.2,0.2631111,,,,,5
2025-02-13 18:12:34.430148,0x433bc2b0,100,4.196,10.805,3.2473612,2.25,-101,,3,2
2025-02-13 18:12:35.744406,0x433acb14,91,4.075,6.8566666,3.4244723,3.25,-101,,3,3
2025-02-13 18:12:50.871388,0x43590ff4,101,4.223,8.98,0.32152778,,,,,5
2025-02-13 18:13:50.992386,0x43590ff4,101,4.221,5.3133335,0.36580557,,,,,5
2025-02-13 18:14:50.931740,0x43590ff4,101,4.217,7.5000005,0.42830557,,,,,5
2025-02-13 18:15:50.946393,0x43590ff4,101,4.232,5.23,0.455,,,,,5
2025-02-13 18:16:51.025020,0x43590ff4,101,4.21,5.04,0.497,,,,,5
2025-02-13 18:17:51.181842,0x43590ff4,101,4.237,8.405,0.56019443,,,,,5
2025-02-13 18:18:33.686257,0x433bc2b0,99,4.185,9.54,3.209889,4.5,-101,,3,2
2025-02-13 18:18:35.072264,0x433acb14,101,4.294,3.6133335,3.4161944,4.25,-101,,3,3
2025-02-13 18:18:51.123713,0x43590ff4,101,4.217,9.884999,0.6357222,,,,,5
2025-02-13 18:19:51.115284,0x43590ff4,100,4.193,6.0516667,0.67930555,,,,,5
2025-02-13 18:20:51.136628,0x43590ff4,101,4.211,7.61,0.72380555,,,,,5
2025-02-13 18:21:51.275524,0x43590ff4,101,4.219,7.0366664,0.7824444,,,,,5
2025-02-13 18:22:51.165711,0x43590ff4,101,4.232,5.3399997,0.81005555,,,,,5
2025-02-13 18:23:51.336721,0x43590ff4,100,4.192,8.486667,0.8734723,,,,,5
2025-02-13 18:24:34.113120,0x433bc2b0,98,4.175,8.445,3.1893055,3.0,-101,,3,2
2025-02-13 18:24:37.112223,0x433acb14,95,4.13,6.011667,3.4510558,4.0,-102,,3,3
2025-02-13 18:24:51.424019,0x43590ff4,101,4.215,8.873333,0.94741666,,,,,5
2025-02-13 18:25:51.486530,0x43590ff4,101,4.205,6.01,0.99099994,,,,,5
2025-02-13 18:26:51.319198,0x43590ff4,101,4.225,7.6916666,1.0398055,,,,,5
2025-02-13 18:27:51.492504,0x43590ff4,101,4.225,5.945,1.0656111,,,,,5
2025-02-13 18:28:51.591099,0x43590ff4,101,4.218,5.23,1.0786111,,,,,5
2025-02-13 18:29:51.477716,0x43590ff4,101,4.235,7.5000005,1.1411111,,,,,5
2025-02-13 18:30:31.898402,0x433bc2b0,98,4.17,9.456667,3.0957499,-20.75,-128,,3,3
2025-02-13 18:30:38.258886,0x433acb14,101,4.286,9.47,3.3915277,3.25,-101,,3,3
2025-02-13 18:30:51.525053,0x43590ff4,100,4.194,10.075,1.2018056,,,,,5
2025-02-13 18:31:51.682494,0x43590ff4,98,4.175,6.8433337,1.2588333,,,,,5
2025-02-13 18:32:51.685087,0x43590ff4,99,4.184,6.2583337,1.2846389,,,,,5
2025-02-13 18:33:51.695582,0x43590ff4,101,4.248,5.766667,1.3455555,,,,,5
2025-02-13 18:34:51.659251,0x43590ff4,101,4.201,7.258333,1.3907499,,,,,5
2025-02-13 18:35:51.786228,0x43590ff4,101,4.223,8.38,1.4532777,,,,,5
2025-02-13 18:36:34.541285,0x433bc2b0,99,4.176,8.745,3.0930557,4.5,-101,,3,2
2025-02-13 18:36:40.237450,0x433acb14,101,4.291,9.6883335,3.4084723,3.25,-101,,3,3
2025-02-13 18:36:51.790057,0x43590ff4,100,4.191,9.086667,1.5289999,,,,,5
2025-02-13 18:37:51.794275,0x43590ff4,99,4.186,5.1233335,1.5716944,,,,,5
2025-02-13 18:38:51.931012,0x43590ff4,100,4.194,6.365,1.6152779,,,,5,5
2025-02-13 18:39:51.945120,0x43590ff4,101,4.208,7.366667,1.6818888,,,,,5
2025-02-13 18:40:52.190127,0x43590ff4,101,4.232,5.1466665,1.7384722,,,,,5
2025-02-13 18:41:52.118179,0x43590ff4,101,4.213,8.0616665,1.7961943,,,,,5
