datetime,fromNode,ch3Voltage,ch3Current,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-02-13 18:11:20.670288,0x433bc2b0,13.24,57.5,2.75,-101,,3,2
2025-02-13 18:21:18.133072,0x433bc2b0,13.2375,57.5,2.75,-101,,3,2
2025-02-13 18:31:30.866707,0x433bc2b0,13.24,62.5,4.0,-101,,3,2
2025-02-13 18:41:26.203750,0x433bc2b0,13.23875,63.75,4.25,-101,,3,2
2025-02-13 18:51:25.554397,0x433bc2b0,13.23,75.0,4.25,-100,,3,2
2025-02-13 19:01:27.331089,0x433bc2b0,13.23625,61.25,3.5,-100,,3,2
2025-02-13 19:11:30.493091,0x433bc2b0,13.23375,57.5,3.75,-100,,3,2
2025-02-13 19:21:33.208500,0x433bc2b0,13.23375,61.25,3.5,-100,,3,2
2025-02-13 19:41:37.162003,0x433bc2b0,13.22625,77.5,3.75,-99,,3,2
2025-02-13 19:51:39.523362,0x433bc2b0,13.22125,71.25,3.75,-99,,3,2
2025-02-13 20:01:42.375440,0x433bc2b0,13.22125,72.5,4.0,-99,,3,2
2025-02-13 20:11:46.511457,0x433bc2b0,13.22125,70.0,4.0,-100,,3,2
2025-02-13 20:21:46.510790,0x433bc2b0,13.23,63.75,4.5,-101,,3,2
2025-02-13 20:31:48.728389,0x433bc2b0,13.2275,73.75,3.5,-101,,3,2
2025-02-13 20:41:51.170608,0x433bc2b0,13.22625,75.0,3.5,-100,,3,2
2025-02-13 20:51:52.532108,0x433bc2b0,13.23125,61.25,-21.0,-128,,3,3
2025-02-13 21:01:56.017276,0x433bc2b0,13.23375,62.5,4.0,-102,,3,2
2025-02-13 21:11:59.299679,0x433bc2b0,13.23375,61.25,3.25,-100,,3,2
2025-02-13 21:22:01.160853,0x433bc2b0,13.23125,58.75,3.25,-100,,3,2
2025-02-13 21:32:07.197523,0x433bc2b0,13.2275,76.25,3.75,-100,,3,2
2025-02-13 21:52:08.301542,0x433bc2b0,13.22375,72.5,4.25,-101,,3,2
2025-02-13 22:02:10.279944,0x433bc2b0,13.2325,62.5,3.25,-101,,3,2
2025-02-13 22:12:11.956604,0x433bc2b0,13.23875,62.5,3.75,-99,,3,2
2025-02-13 22:22:14.265492,0x433bc2b0,13.22375,72.5,3.75,-100,,3,2
2025-02-13 22:32:18.474272,0x433bc2b0,13.235,62.5,3.5,-100,,3,2
2025-02-13 22:42:18.297686,0x433bc2b0,13.23375,58.75,3.75,-100,,3,2
2025-02-13 22:52:19.705983,0x433bc2b0,13.215,73.75,-20.5,-128,,3,3
2025-02-13 23:02:26.193420,0x433bc2b0,13.225,68.75,4.5,-99,,3,2
2025-02-13 23:12:26.351988,0x433bc2b0,13.2375,63.75,3.5,-100,,3,2
2025-02-13 23:22:27.815102,0x433bc2b0,13.225,72.5,4.75,-101,,3,2
2025-02-13 23:32:31.023872,0x433bc2b0,13.23125,61.25,3.75,-101,,3,2
2025-02-13 23:42:35.964102,0x433bc2b0,13.23875,62.5,3.5,-101,,3,2
2025-02-14 00:02:38.097605,0x433bc2b0,13.24,62.5,4.0,-100,,3,2
2025-02-14 00:12:39.793309,0x433bc2b0,13.2275,73.75,4.0,-101,,3,2
2025-02-14 00:22:42.190685,0x433bc2b0,13.22875,57.5,4.75,-101,,3,2
2025-02-14 00:32:45.536589,0x433bc2b0,13.225,86.25,4.25,-101,,3,2
2025-02-14 00:52:51.474973,0x433bc2b0,13.23375,62.5,4.25,-101,,3,2
2025-02-14 01:02:52.463482,0x433bc2b0,13.23125,58.75,4.5,-101,,3,2
2025-02-14 01:12:56.235815,0x433bc2b0,13.22125,73.75,4.25,-102,,3,2
2025-02-14 01:22:55.226450,0x433bc2b0,13.23375,55.0,-20.5,-128,,3,3
2025-02-14 01:33:02.665700,0x433bc2b0,13.2225,70.0,4.5,-101,,3,2
2025-02-14 01:42:59.960400,0x433bc2b0,13.235,60.0,-17.0,-124,,3,3
2025-02-14 01:53:07.538254,0x433bc2b0,13.23625,58.75,4.5,-102,,3,2
2025-02-14 02:03:10.655833,0x433bc2b0,13.2275,73.75,3.75,-101,,3,2
2025-02-14 02:13:08.798667,0x433bc2b0,13.225,73.75,3.75,-99,,3,2
2025-02-14 02:23:09.922825,0x433bc2b0,13.21625,98.75,4.0,-100,,3,2
2025-02-14 02:33:13.571046,0x433bc2b0,13.2325,66.25,4.25,-99,,3,2
2025-02-14 02:53:17.505547,0x433bc2b0,13.2375,62.5,3.25,-99,,3,2
2025-02-14 03:03:19.271247,0x433bc2b0,13.23875,62.5,3.75,-100,,3,2
2025-02-14 03:13:22.145952,0x433bc2b0,13.2325,63.75,3.25,-102,,3,2
2025-02-14 03:23:25.079531,0x433bc2b0,13.2325,57.5,4.25,-100,,3,2
2025-02-14 03:33:28.720439,0x433bc2b0,13.23625,63.75,5.0,-101,,3,2
2025-02-14 03:43:29.092766,0x433bc2b0,13.2325,60.0,4.75,-101,,3,2
2025-02-14 03:53:31.185509,0x433bc2b0,13.22,68.75,3.75,-101,,3,2
2025-02-14 04:03:34.299357,0x433bc2b0,13.23625,63.75,4.5,-100,,3,2
2025-02-14 04:13:35.955173,0x433bc2b0,13.23125,63.75,4.75,-101,,3,2
2025-02-14 04:23:41.054572,0x433bc2b0,13.23125,61.25,3.5,-101,,3,2
2025-02-14 04:33:44.359390,0x433bc2b0,13.2375,62.5,3.25,-102,,3,2
2025-02-14 04:43:44.203439,0x433bc2b0,13.23125,58.75,4.5,-102,,3,2
2025-02-14 04:53:44.575644,0x433bc2b0,13.23125,60.0,4.75,-101,,3,2
2025-02-14 05:03:47.554736,0x433bc2b0,13.23,58.75,3.75,-100,,3,2
