datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-05-17 13:02:15.158571,0x433b0b38,,,,,,,6.25,-21,,5,5
2025-05-17 13:03:16.560290,0x433b0b38,,,,,,,6.75,-20,,5,5
2025-05-17 13:04:15.687345,0x433b0b38,,,,,,,6.25,-21,,5,5
2025-05-17 13:05:15.848113,0x433b0b38,,,,,,,6.25,-22,,5,5
2025-05-17 13:06:16.434903,0x433b0b38,,,,,,,6.0,-21,,5,5
2025-05-17 13:07:16.206968,0x433b0b38,,,,,,,6.75,-19,,5,5
2025-05-17 13:08:17.306993,0x433b0b38,,,,,,,6.25,-19,,5,5
2025-05-17 13:09:17.140641,0x433b0b38,,,,,,,6.0,-21,,5,5
2025-05-17 13:10:17.004253,0x433b0b38,,,,,,,6.0,-21,,5,5
2025-05-17 13:11:17.673288,0x433b0b38,,,,,,,6.25,-25,,5,5
2025-05-17 13:12:17.389352,0x433b0b38,,,,,,,7.0,-19,,5,5
2025-05-17 13:13:17.878374,0x433b0b38,,3,8,,3,8,5.75,-21,,5,5
2025-05-17 13:14:17.799455,0x433b0b38,,,,,,,6.0,-21,,5,5
2025-05-17 13:15:18.262927,0x433b0b38,,,,,,,6.25,-21,,5,5
2025-05-17 13:16:18.309000,0x433b0b38,,,,,,,5.75,-19,,5,5
2025-05-17 13:17:18.985939,0x433b0b38,,,,,,,6.75,-20,,5,5
2025-05-17 13:18:19.440410,0x433b0b38,,,,,,,7.0,-19,,5,5
2025-05-17 13:19:19.007366,0x433b0b38,,,,,,,6.25,-20,,5,5
2025-05-17 13:20:19.717455,0x433b0b38,,,,,,,6.0,-18,,5,5
2025-05-17 13:21:19.984159,0x433b0b38,,,,,,,6.5,-17,,5,5
2025-05-17 13:22:19.665374,0x433b0b38,,,,,,,6.25,-19,,5,5
2025-05-17 13:23:21.237901,0x433b0b38,,,,,,,6.25,-18,,5,5
2025-05-17 13:24:20.111099,0x433b0b38,,,,,,,6.25,-21,,5,5
2025-05-17 13:25:20.358040,0x433b0b38,,,,,,,6.25,-20,,5,5
2025-05-17 13:26:20.595085,0x433b0b38,,,,,,,6.0,-21,,5,5
2025-05-17 13:27:21.364926,0x433b0b38,,,,,,,6.5,-21,,5,5
2025-05-17 13:28:22.004400,0x433b0b38,,,,,,,6.5,-22,,5,5
2025-05-17 13:29:21.848289,0x433b0b38,,,,,,,6.25,-21,,5,5
2025-05-17 13:30:22.040160,0x433b0b38,,,,,,,6.0,-21,,5,5
2025-05-17 13:31:21.756555,0x433b0b38,,,,,,,6.25,-21,,5,5
2025-05-17 13:32:22.133235,0x433b0b38,,,,,,,6.5,-21,,5,5
2025-05-17 13:33:23.985979,0x433b0b38,,,1,,,1,6.25,-20,,5,5
2025-05-17 13:34:23.180200,0x433b0b38,,,,,,,6.25,-21,,5,5
2025-05-17 13:35:22.666004,0x433b0b38,,,,,,,6.25,-21,,5,5
2025-05-17 13:36:23.447478,0x433b0b38,,,,,,,6.25,-22,,5,5
2025-05-17 13:37:23.809433,0x433b0b38,,,,,,,6.25,-20,,5,5
2025-05-17 13:38:23.573066,0x433b0b38,,,,,,,6.25,-21,,5,5
2025-05-17 13:39:23.581171,0x433b0b38,,,,,,,6.25,-20,,5,5
2025-05-17 13:40:24.325100,0x433b0b38,,,,,,,6.25,-21,,5,5
2025-05-17 13:41:24.884596,0x433b0b38,,,1,,,1,6.25,-21,,5,5
2025-05-17 13:42:24.779364,0x433b0b38,,,,,,,6.25,-21,,5,5
2025-05-17 13:43:24.914337,0x433b0b38,,,,,,,6.0,-21,,5,5
2025-05-17 13:44:24.776400,0x433b0b38,,,,,,,6.25,-21,,5,5
2025-05-17 13:45:24.982045,0x433b0b38,,,,,,,6.25,-21,,5,5
2025-05-17 13:46:25.211393,0x433b0b38,,,,,,,6.25,-21,,5,5
2025-05-17 13:47:25.961229,0x433b0b38,,,,,,,6.25,-21,,5,5
2025-05-17 13:48:26.499955,0x433b0b38,,,,,,,6.25,-20,,5,5
2025-05-17 13:49:25.897085,0x433b0b38,,,,,,,6.25,-21,,5,5
2025-05-17 13:50:26.621361,0x433b0b38,,,,,,,6.25,-21,,5,5
2025-05-17 13:51:26.398230,0x433b0b38,,,,,,,7.0,-23,,5,5
2025-05-17 13:52:27.083265,0x433b0b38,,,,,,,5.75,-22,,5,5
2025-05-17 13:53:27.037215,0x433b0b38,,,,,,,6.5,-20,,5,5
2025-05-17 13:54:27.051516,0x433b0b38,,,,,,,6.5,-20,,5,5
