datetime,fromNode,batteryLevel,voltage,channelUtilization,airUtilTx,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-05-17 13:02:16.448433,0xbd50376c,101,4.226,6.2233334,0.045805555,,,,3,3
2025-05-17 13:02:27.396663,0x433b0b38,100,4.199,8.92,2.2076666,6.0,-21,,5,5
2025-05-17 13:03:16.838495,0xbd50376c,101,4.242,9.443333,0.06222222,,,,,3
2025-05-17 13:04:16.715136,0xbd50376c,101,4.219,4.5449996,0.080916665,,,,,3
2025-05-17 13:05:16.876162,0xbd50376c,101,4.21,4.423333,0.09302778,,,,,3
2025-05-17 13:05:55.681449,0x433e9c88,98,4.166,2.575,0.8287778,6.75,-11,,3,3
2025-05-17 13:06:16.962639,0xbd50376c,99,4.186,4.97,0.10969444,,,,,3
2025-05-17 13:07:16.984622,0xbd50376c,101,4.22,2.97,0.12180556,,,,,3
2025-05-17 13:08:17.278363,0xbd50376c,101,4.227,3.0916667,0.1405,,,,,3
2025-05-17 13:08:27.669344,0x433b0b38,97,4.148,7.3633337,2.2076666,6.0,-20,,5,5
2025-05-17 13:09:17.418453,0xbd50376c,100,4.194,6.733333,0.1405,,,,,3
2025-05-17 13:10:17.282355,0xbd50376c,101,4.206,2.97,0.15261112,,,,,3
2025-05-17 13:11:17.644630,0xbd50376c,99,4.183,2.2433333,0.16472222,,,,,3
2025-05-17 13:12:17.667334,0xbd50376c,99,4.184,3.6966667,0.17683333,,,,,3
2025-05-17 13:13:17.519675,0xbd50376c,101,4.226,2.2433333,0.20763887,,,,,3
2025-05-17 13:14:18.077180,0xbd50376c,101,4.234,2.97,0.20763887,,,,,3
2025-05-17 13:14:27.813375,0x433b0b38,101,4.228,3.6966667,2.2083611,6.25,-21,,5,5
2025-05-17 13:15:17.926204,0xbd50376c,101,4.228,4.186667,0.22383332,,,,,3
2025-05-17 13:16:17.972449,0xbd50376c,101,4.223,2.97,0.23594445,,,,,3
2025-05-17 13:17:18.021260,0xbd50376c,98,4.175,3.365,0.25463888,,,,,3
2025-05-17 13:18:18.216230,0xbd50376c,101,4.238,2.2433333,0.25463888,,,,,3
2025-05-17 13:19:18.257792,0xbd50376c,101,4.242,2.2433333,0.27333334,,,,,3
2025-05-17 13:20:18.263509,0xbd50376c,101,4.22,2.2433333,0.27333334,,,,,3
2025-05-17 13:20:28.043375,0x433b0b38,100,4.199,3.6966667,2.2083611,5.75,-18,,5,5
2025-05-17 13:20:56.129497,0x433af864,99,4.18,5.6400003,0.92663884,5.75,-16,,3,3
2025-05-17 13:21:18.290040,0xbd50376c,101,4.259,11.203333,0.32922223,,,,,3
2025-05-17 13:22:18.303557,0xbd50376c,101,4.229,2.2433333,0.32922223,,,,,3
2025-05-17 13:23:18.427390,0xbd50376c,99,4.18,3.365,0.32922223,,,,,3
2025-05-17 13:24:18.366556,0xbd50376c,100,4.199,2.2433333,0.32922223,,,,,3
2025-05-17 13:25:18.564861,0xbd50376c,99,4.189,2.2433333,0.32922223,,,,,3
2025-05-17 13:26:18.630147,0xbd50376c,99,4.187,2.2433333,0.34133333,,,,,3
2025-05-17 13:26:28.415794,0x433b0b38,101,4.212,3.6966667,2.2083611,5.75,-21,,5,5
2025-05-17 13:27:18.645336,0xbd50376c,100,4.195,4.186667,0.34133333,,,,,3
2025-05-17 13:28:18.744473,0xbd50376c,101,4.243,2.2433333,0.3721389,,,,,3
2025-05-17 13:29:18.741147,0xbd50376c,101,4.217,2.2433333,0.3721389,,,,,3
2025-05-17 13:30:11.691436,0x43590ff4,101,4.241,3.6966667,0.8871111,6.75,-52,,5,5
2025-05-17 13:30:18.780292,0xbd50376c,100,4.196,8.358334,0.41841665,,,,,3
2025-05-17 13:31:18.692168,0xbd50376c,98,4.172,4.818333,0.41841665,,,,,3
2025-05-17 13:32:18.769801,0xbd50376c,101,4.232,3.6966667,0.43711114,,,,,3
2025-05-17 13:32:28.580662,0x433b0b38,98,4.175,3.6966667,2.1910555,6.0,-21,,5,5
2025-05-17 13:33:18.815688,0xbd50376c,101,4.225,6.6116667,0.43711114,,,,,3
2025-05-17 13:34:18.994096,0xbd50376c,101,4.238,5.5,0.43711114,,,,,3
2025-05-17 13:35:18.939574,0xbd50376c,101,4.211,4.818333,0.43711114,,,,,3
2025-05-17 13:36:19.130420,0xbd50376c,101,4.206,4.818333,0.45580557,,,,,3
2025-05-17 13:37:19.076440,0xbd50376c,99,4.183,3.6966667,0.4866111,,,,,3
2025-05-17 13:38:19.190768,0xbd50376c,101,4.209,4.423333,0.49872223,,,,,3
2025-05-17 13:38:28.725480,0x433b0b38,101,4.211,6.12,2.1919444,6.25,-21,,5,5
2025-05-17 13:39:19.141953,0xbd50376c,101,4.215,7.3366666,0.51741666,,,,,3
2025-05-17 13:40:19.168806,0xbd50376c,98,4.166,3.6966667,0.54822224,,,,,3
2025-05-17 13:41:19.191348,0xbd50376c,97,4.152,3.6966667,0.54822224,,,,,3
2025-05-17 13:41:58.717623,0x433e9c88,101,4.212,3.8033333,0.6957222,6.75,-14,,3,3
2025-05-17 13:42:19.298876,0xbd50376c,101,4.232,10.821667,0.5945,,,,,3
2025-05-17 13:43:19.282412,0xbd50376c,99,4.187,3.6966667,0.6131944,,,,,3
2025-05-17 13:44:19.519402,0xbd50376c,101,4.205,4.6666665,0.6131944,,,,3,3
2025-05-17 13:44:29.262246,0x433b0b38,98,4.175,5.668333,2.1764166,6.0,-21,,5,5
2025-05-17 13:45:19.496183,0xbd50376c,100,4.19,6.035,0.6298611,,,,,3
2025-05-17 13:46:19.639764,0xbd50376c,100,4.19,2.97,0.6419722,,,,,3
2025-05-17 13:47:19.661585,0xbd50376c,101,4.242,4.0916667,0.6419722,,,,,3
2025-05-17 13:48:19.777812,0xbd50376c,100,4.192,2.97,0.6419722,,,,,3
2025-05-17 13:49:19.838987,0xbd50376c,101,4.213,2.2433333,0.6419722,,,,,3
2025-05-17 13:50:19.924374,0xbd50376c,99,4.185,2.2433333,0.6419722,,,,,3
2025-05-17 13:50:30.840426,0x433b0b38,101,4.208,2.97,2.1764166,6.5,-52,,5,4
2025-05-17 13:51:19.906402,0xbd50376c,101,4.241,5.6400003,0.6581667,,,,,3
2025-05-17 13:52:19.971367,0xbd50376c,101,4.215,3.6966667,0.6702778,,,,,3
2025-05-17 13:53:19.964888,0xbd50376c,99,4.181,4.423333,0.6823889,,,,,3
2025-05-17 13:54:19.932758,0xbd50376c,100,4.199,5.3933334,0.6823889,,,,,3
2025-05-17 13:55:20.039098,0xbd50376c,101,4.218,3.6966667,0.71319443,,,,,3
2025-05-17 13:56:20.089028,0xbd50376c,101,4.206,4.423333,0.71319443,,,,,3
2025-05-17 13:56:29.646257,0x433b0b38,98,4.169,3.6966667,2.1755278,6.25,-20,,5,5
2025-05-17 13:56:56.370482,0x433af864,100,4.195,6.3666663,0.81958336,6.25,-18,,3,3
2025-05-17 13:57:20.173634,0xbd50376c,101,4.204,7.666667,0.74399996,,,,,3
2025-05-17 13:58:20.139148,0xbd50376c,101,4.217,3.6966667,0.7626944,,,,,3
2025-05-17 13:59:20.143231,0xbd50376c,101,4.212,5.3933334,0.7813889,,,,,3
2025-05-17 14:00:12.775355,0x43590ff4,101,4.203,4.9249997,0.8953333,6.5,-51,,5,5
2025-05-17 14:00:20.357718,0xbd50376c,101,4.205,7.88,0.8165,,,,,3
2025-05-17 14:01:20.234327,0xbd50376c,101,4.213,3.6966667,0.83519447,,,,,3
2025-05-17 14:02:20.461417,0xbd50376c,101,4.22,4.818333,0.8015,,,,,3
2025-05-17 14:02:30.264488,0x433b0b38,99,4.185,4.0916667,2.1493056,6.25,-18,,5,5
2025-05-17 14:03:20.373505,0xbd50376c,101,4.25,6.3666663,0.80377775,,,,,3
2025-05-17 14:04:20.432545,0xbd50376c,101,4.206,5.3933334,0.80377775,,,,,3
2025-05-17 14:05:20.452247,0xbd50376c,98,4.174,3.6966667,0.7916666,,,,,3
2025-05-17 14:06:20.497788,0xbd50376c,100,4.197,3.6966667,0.7628889,,,,,3
2025-05-17 14:07:20.637848,0xbd50376c,101,4.226,3.6966667,0.79369444,,,,,3
2025-05-17 14:08:20.622172,0xbd50376c,101,4.237,5.8333335,0.79280555,,,,,3
2025-05-17 14:08:32.191614,0x433b0b38,101,4.205,4.38,2.1408613,6.75,-20,,5,5
2025-05-17 14:09:20.826671,0xbd50376c,99,4.176,9.035,0.8155833,,,,,3
2025-05-17 14:10:20.793089,0xbd50376c,101,4.221,3.6966667,0.8034722,,,,,3
2025-05-17 14:11:20.819519,0xbd50376c,101,4.233,3.6966667,0.8034722,,,,,3
2025-05-17 14:12:20.825490,0xbd50376c,101,4.215,3.6966667,0.7913611,,,,,3
2025-05-17 14:13:20.875600,0xbd50376c,98,4.169,3.6966667,0.78477776,,,,,3
2025-05-17 14:14:20.866036,0xbd50376c,100,4.193,5.3933334,0.79891664,,,,,3
2025-05-17 14:14:33.104435,0x433b0b38,99,4.186,2.2433333,2.1534166,6.25,-18,,5,5
2025-05-17 14:15:20.910258,0xbd50376c,101,4.228,5.6400003,0.8014167,,,,,3
2025-05-17 14:16:20.980184,0xbd50376c,101,4.201,3.6966667,0.8201111,,,,,3
2025-05-17 14:17:21.153496,0xbd50376c,101,4.207,5.43,0.8201111,,,,,3
2025-05-17 14:18:01.539235,0x433e9c88,99,4.181,6.9366665,0.6738334,6.0,-16,,3,3
2025-05-17 14:18:21.083930,0xbd50376c,101,4.245,5.6966667,0.83880556,,,,,3
2025-05-17 14:19:21.211233,0xbd50376c,99,4.187,5.3933334,0.8201111,,,,,3
2025-05-17 14:20:21.253921,0xbd50376c,100,4.199,3.6966667,0.83880556,,,,,3
2025-05-17 14:20:34.044855,0x433b0b38,101,4.209,2.2433333,2.1543055,6.5,-19,,5,5
2025-05-17 14:21:21.218643,0xbd50376c,101,4.201,5.6400003,0.7950278,,,,,3
2025-05-17 14:22:21.267639,0xbd50376c,100,4.199,3.6966667,0.7950278,,,,,3
2025-05-17 14:23:21.306824,0xbd50376c,99,4.187,3.8033333,0.81372225,,,,,3
2025-05-17 14:24:21.513026,0xbd50376c,101,4.238,6.515,0.81372225,,,,,3
2025-05-17 14:25:21.531507,0xbd50376c,100,4.197,3.8033333,0.8203056,,,,,3
2025-05-17 14:26:21.677473,0xbd50376c,101,4.221,4.423333,0.8203056,,,,3,3
2025-05-17 14:26:35.491614,0x433b0b38,99,4.188,6.3950005,2.2030835,5.75,-20,,5,5
2025-05-17 14:27:21.791891,0xbd50376c,101,4.232,5.6400003,0.84355557,,,,,3
2025-05-17 14:28:21.834400,0xbd50376c,101,4.212,3.6966667,0.8248611,,,,,3
2025-05-17 14:29:21.832636,0xbd50376c,101,4.208,7.2416663,0.8248611,,,,,3
2025-05-17 14:30:14.049573,0x43590ff4,101,4.208,3.6966667,0.8705555,6.0,-51,,5,5
2025-05-17 14:30:21.829074,0xbd50376c,101,4.232,5.666667,0.77858335,,,,,3
2025-05-17 14:31:21.868472,0xbd50376c,100,4.195,3.6966667,0.7906945,,,,,3
2025-05-17 14:32:21.894933,0xbd50376c,101,4.234,3.8033333,0.7906945,,,,,3
2025-05-17 14:32:37.366366,0x433b0b38,99,4.184,3.0233333,2.2039723,6.25,-19,,5,5
