datetime,fromNode,temperature,relativeHumidity,barometricPressure,gasResistance,iaq,windDirection,windSpeed,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-05-17 13:01:52.054801,0x433b0b38,27.678665,33.62582,1011.68146,463.97824,58,,,6.5,-21,,5,5
2025-05-17 13:02:52.037758,0x433b0b38,27.686834,33.620758,1011.66785,464.9262,58,,,7.25,-20,,5,5
2025-05-17 13:03:52.473023,0x433b0b38,27.684261,33.64389,1011.76074,463.97824,58,,,6.75,-20,,5,5
2025-05-17 13:04:52.139892,0x433b0b38,27.691977,33.59426,1011.811,468.75714,58,,,6.25,-20,,5,5
2025-05-17 13:05:52.001751,0x433b0b38,27.707403,33.605644,1011.8726,469.4018,57,,,6.5,-20,,5,5
2025-05-17 13:06:52.870620,0x433b0b38,27.671408,33.66337,1011.7437,475.947,56,,,6.25,-21,,5,5
2025-05-17 13:07:52.023697,0x433b0b38,27.663767,33.6876,1011.7742,471.02115,57,,,7.0,-20,,5,5
2025-05-17 13:08:52.020597,0x433b0b38,27.66112,33.73764,1011.7363,468.1143,57,,,5.75,-22,,5,5
2025-05-17 13:09:52.020788,0x433b0b38,27.653408,33.750732,1011.7296,457.14285,60,,,7.5,-22,,5,5
2025-05-17 13:10:52.110884,0x433b0b38,27.640436,33.715218,1011.7093,461.46912,59,,,7.0,-20,,5,5
2025-05-17 13:11:52.071508,0x433b0b38,27.601868,33.696323,1011.6903,463.34842,58,,,5.75,-21,,5,5
2025-05-17 13:12:52.697686,0x433b0b38,27.591581,33.727432,1011.73804,469.07925,57,,,6.5,-20,,5,5
2025-05-17 13:13:52.110631,0x433b0b38,27.571012,33.7533,1011.7246,470.37207,57,,,6.0,-22,,5,5
2025-05-17 13:14:52.381060,0x433b0b38,27.560843,33.742176,1011.7656,474.29367,56,,,7.25,-20,,5,5
2025-05-17 13:15:52.169938,0x433b0b38,27.553127,33.704956,1011.71875,477.61194,54,,,6.5,-19,,5,5
2025-05-17 13:16:52.742497,0x433b0b38,27.491302,33.768612,1011.67163,491.00934,51,,,6.25,-20,,5,5
2025-05-17 13:17:52.187533,0x433b0b38,27.542843,33.668053,1011.7096,494.56653,50,,,7.0,-20,,5,5
2025-05-17 13:18:52.474606,0x433b0b38,27.54787,33.64914,1011.74347,484.04633,52,,,7.25,-20,,5,5
2025-05-17 13:19:52.234480,0x433b0b38,27.519587,33.656597,1011.82764,490.30402,51,,,7.75,-20,,5,5
2025-05-17 13:20:52.238451,0x433b0b38,27.560917,33.594257,1011.7588,491.36276,51,,,6.25,-18,,5,5
2025-05-17 13:21:52.252860,0x433b0b38,27.514559,33.653137,1011.74835,493.1375,51,,,6.25,-19,,5,5
2025-05-17 13:22:52.874694,0x433b0b38,27.529985,33.615852,1011.7747,498.17563,50,,,6.0,-18,,5,5
2025-05-17 13:23:52.292628,0x433b0b38,27.535128,33.598156,1011.824,493.1375,50,,,5.75,-21,,5,5
2025-05-17 13:24:52.268593,0x433b0b38,27.532555,33.639603,1011.82117,493.1375,50,,,6.0,-21,,5,5
2025-05-17 13:25:52.349496,0x433b0b38,27.493988,33.68397,1011.7751,490.65643,52,,,5.75,-21,,5,5
2025-05-17 13:26:52.363987,0x433b0b38,27.473494,33.67731,1011.7164,491.36276,51,,,6.0,-21,,5,5
2025-05-17 13:27:52.926594,0x433b0b38,27.465704,33.70355,1011.641,492.42606,51,,,6.0,-21,,5,5
2025-05-17 13:28:52.434785,0x433b0b38,27.43742,33.760483,1011.58405,497.81235,50,,,6.0,-22,,5,5
2025-05-17 13:29:52.429510,0x433b0b38,27.43742,33.778862,1011.5891,497.81235,50,,,6.0,-21,,5,5
2025-05-17 13:30:52.616986,0x433b0b38,27.41159,33.823208,1011.6173,497.4496,50,,,6.25,-21,,5,5
2025-05-17 13:31:52.449583,0x433b0b38,27.380737,33.87159,1011.6382,502.94696,49,,,5.75,-21,,5,5
2025-05-17 13:32:52.461852,0x433b0b38,27.355139,33.902885,1011.51514,503.68912,50,,,6.0,-21,,5,5
