datetime,fromNode,ch3Voltage,ch3Current,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-05-17 11:18:05.996661,0x433b0b38,12.9775,63.75,6.25,-35,,5,5
2025-05-17 11:23:06.193043,0x433b0b38,12.96875,78.75,6.25,-21,,5,5
2025-05-17 11:28:06.410619,0x433b0b38,12.9775,67.5,6.0,-28,,5,5
2025-05-17 11:33:06.623666,0x433b0b38,12.97125,75.0,6.75,-28,,5,5
2025-05-17 11:38:07.080006,0x433b0b38,12.975,63.75,6.25,-24,,5,5
2025-05-17 11:43:07.089827,0x433b0b38,12.9725,62.5,6.5,-29,,5,5
2025-05-17 11:48:07.335684,0x433b0b38,12.97625,65.0,6.0,-21,,5,5
2025-05-17 11:53:07.542849,0x433b0b38,12.94625,118.75,6.5,-24,,5,5
2025-05-17 11:58:08.099101,0x433b0b38,12.97625,65.0,6.75,-26,,5,5
2025-05-17 12:03:09.917686,0x433b0b38,12.975,67.5,6.25,-27,,5,5
2025-05-17 12:08:10.932039,0x433b0b38,12.97375,62.5,8.0,-23,,5,5
2025-05-17 12:13:12.158771,0x433b0b38,12.97625,68.75,6.25,-28,,5,5
2025-05-17 12:18:12.729911,0x433b0b38,12.97625,67.5,6.0,-28,,5,5
2025-05-17 12:23:14.495843,0x433b0b38,12.975,60.0,5.75,-28,,5,5
2025-05-17 12:28:15.705659,0x433b0b38,12.97,67.5,7.25,-23,,5,5
2025-05-17 12:33:16.763088,0x433b0b38,12.95875,65.0,6.0,-28,,5,5
2025-05-17 12:38:18.270529,0x433b0b38,12.97125,80.0,6.0,-30,,5,5
2025-05-17 12:43:19.049020,0x433b0b38,12.9725,73.75,7.0,-26,,5,5
2025-05-17 12:48:19.650012,0x433b0b38,12.97375,75.0,6.25,-24,,5,5
2025-05-17 12:53:21.594780,0x433b0b38,12.9725,76.25,6.0,-24,,5,5
2025-05-17 12:58:21.961828,0x433b0b38,12.9725,77.5,6.75,-27,,5,5
2025-05-17 13:03:23.360557,0x433b0b38,12.97125,78.75,5.75,-22,,5,5
2025-05-17 13:08:24.260801,0x433b0b38,12.97125,75.0,6.0,-40,,5,5
2025-05-17 13:13:26.089857,0x433b0b38,12.9775,62.5,6.25,-38,,5,5
2025-05-17 13:18:27.651918,0x433b0b38,12.97625,68.75,6.5,-33,,5,5
2025-05-17 13:23:28.267105,0x433b0b38,12.96875,76.25,6.25,-32,,5,5
2025-05-17 13:28:28.888816,0x433b0b38,12.9725,78.75,6.25,-30,,5,5
2025-05-17 13:33:30.519906,0x433b0b38,12.9675,72.5,6.5,-29,,5,5
2025-05-17 13:38:32.093902,0x433b0b38,12.97,77.5,6.25,-30,,5,5
2025-05-17 13:43:33.501649,0x433b0b38,12.97,76.25,6.25,-30,,5,5
2025-05-17 13:48:33.532197,0x433b0b38,12.96875,80.0,6.25,-30,,5,5
2025-05-17 13:53:35.385807,0x433b0b38,12.96875,75.0,6.5,-29,,5,5
2025-05-17 13:58:36.331943,0x433b0b38,12.975,65.0,6.0,-36,,5,5
2025-05-17 14:03:37.168886,0x433b0b38,12.975,67.5,6.25,-40,,5,5
2025-05-17 14:08:38.383080,0x433b0b38,12.975,67.5,6.5,-36,,5,5
2025-05-17 14:13:39.792120,0x433b0b38,12.97375,66.25,6.75,-29,,5,5
2025-05-17 14:18:40.474000,0x433b0b38,12.975,67.5,7.25,-32,,5,5
2025-05-17 14:23:42.198104,0x433b0b38,12.97375,67.5,5.75,-31,,5,5
2025-05-17 14:28:42.793127,0x433b0b38,12.975,67.5,6.0,-31,,5,5
2025-05-17 14:33:44.287637,0x433b0b38,12.97,78.75,6.5,-31,,5,5
2025-05-17 14:38:46.716919,0x433b0b38,12.9725,63.75,6.25,-31,,5,5
2025-05-17 14:43:46.259779,0x433b0b38,12.975,71.25,6.0,-32,,5,5
2025-05-17 14:48:48.183801,0x433b0b38,12.975,66.25,6.75,-31,,5,5
2025-05-17 14:53:49.136778,0x433b0b38,12.975,63.75,6.25,-31,,5,5
2025-05-17 14:58:50.273168,0x433b0b38,12.96875,80.0,7.0,-26,,5,5
2025-05-17 15:03:51.374532,0x433b0b38,12.93875,137.5,6.75,-23,,5,5
