datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-05-19 15:00:24.788308,0x433ad35c,,1,2,,1,2,7.0,-2,,3,3
2025-05-19 15:01:24.495357,0x433ad35c,1,1,1,1,1,1,7.0,-2,,3,3
2025-05-19 15:02:24.686447,0x433ad35c,,1,2,,1,2,7.25,-2,,3,3
2025-05-19 15:03:25.113925,0x433ad35c,,,,,,,7.25,-2,,3,3
2025-05-19 15:03:27.235992,0x433aad0c,,,,,,,-5.0,-91,,3,3
2025-05-19 15:04:25.214190,0x433ad35c,,,1,,,1,6.75,-2,,3,3
2025-05-19 15:04:27.743062,0x433aad0c,,,1,,,1,-10.25,-96,,3,3
2025-05-19 15:05:25.243279,0x433ad35c,,,1,,,1,7.0,-1,,3,3
2025-05-19 15:05:28.297171,0x433aad0c,,,1,,,1,-7.5,-93,,3,3
2025-05-19 15:06:25.378504,0x433ad35c,,,1,,,1,6.0,-1,,3,3
2025-05-19 15:06:27.660269,0x433aad0c,,,,,,,-7.75,-94,,3,3
2025-05-19 15:07:25.567969,0x433ad35c,,,,,,,5.25,-4,,3,3
2025-05-19 15:07:28.669105,0x433aad0c,,,1,,,1,-2.5,-87,,3,3
2025-05-19 15:08:25.751478,0x433ad35c,,,,,,,7.25,-2,,3,3
2025-05-19 15:08:27.958207,0x433aad0c,,,,,,,-3.5,-89,,3,3
2025-05-19 15:09:26.027385,0x433ad35c,,,1,,,1,7.0,-2,,3,3
2025-05-19 15:09:29.042466,0x433aad0c,,1,1,,1,1,-0.75,-85,,3,3
2025-05-19 15:09:44.411108,0x433bc2b0,,,,,,,6.5,-57,,3,3
2025-05-19 15:10:26.221834,0x433ad35c,,,2,,,2,6.75,-1,,3,3
2025-05-19 15:10:28.640037,0x433aad0c,,,,,,,-2.25,-88,,3,3
2025-05-19 15:10:44.723227,0x433bc2b0,,1,2,,1,2,6.25,-55,,3,3
2025-05-19 15:11:26.417312,0x433ad35c,,,,,,,7.25,-2,,3,3
2025-05-19 15:11:28.944981,0x433aad0c,,,,,,,-3.5,-89,,3,3
2025-05-19 15:11:44.838249,0x433bc2b0,,,,,,,6.25,-57,,3,3
2025-05-19 15:12:28.424415,0x433ad35c,,,1,,,1,-4.25,-90,,3,2
2025-05-19 15:12:29.822992,0x433aad0c,,,,,,,-4.5,-90,,3,3
2025-05-19 15:12:45.603215,0x433bc2b0,,,,,,,6.5,-60,,3,3
2025-05-19 15:13:26.893122,0x433ad35c,,,1,,,1,7.0,-1,,3,3
2025-05-19 15:13:29.931257,0x433aad0c,,1,2,,1,2,-5.0,-91,,3,3
2025-05-19 15:13:45.471605,0x433bc2b0,1,1,1,1,1,1,5.75,-60,,3,3
2025-05-19 15:14:27.052011,0x433ad35c,,,,,,,7.0,-2,,3,3
2025-05-19 15:14:30.375529,0x433aad0c,,,,,,,-5.0,-91,,3,3
2025-05-19 15:14:45.442124,0x433bc2b0,,,2,,,2,7.0,-58,,3,3
2025-05-19 15:15:29.257135,0x433ad35c,,1,3,,1,3,6.75,-1,,3,3
2025-05-19 15:15:30.714481,0x433aad0c,,,,,,,-4.25,-90,,3,3
2025-05-19 15:15:45.847955,0x433bc2b0,,,,,,,6.5,-58,,3,3
2025-05-19 15:16:27.596359,0x433ad35c,,,1,,,1,6.5,-2,,3,3
2025-05-19 15:16:30.581270,0x433aad0c,1,2,3,1,2,3,-7.0,-93,,3,3
2025-05-19 15:16:46.011247,0x433bc2b0,1,1,3,1,1,3,6.0,-57,,3,3
2025-05-19 15:17:28.182405,0x433ad35c,,,,,,,6.75,-1,,3,3
2025-05-19 15:17:30.314144,0x433aad0c,,,,,,,-12.25,-98,,3,3
2025-05-19 15:17:46.193146,0x433bc2b0,2,2,2,2,2,2,6.25,-55,,3,3
2025-05-19 15:18:29.384886,0x433ad35c,,,,,,,8.0,-2,,3,3
2025-05-19 15:18:30.833121,0x433aad0c,,,,,,,-2.5,-88,,3,3
2025-05-19 15:18:46.271922,0x433bc2b0,,,,,,,5.5,-64,,3,3
2025-05-19 15:19:28.174240,0x433ad35c,,,,,,,7.25,-2,,3,3
2025-05-19 15:19:31.303059,0x433aad0c,,,,,,,-4.0,-90,,3,3
2025-05-19 15:19:46.470504,0x433bc2b0,,,,,,,5.75,-59,,3,3
2025-05-19 15:20:29.065389,0x433ad35c,1,1,1,1,1,1,7.25,-2,,3,3
2025-05-19 15:20:31.739273,0x433aad0c,,,,,,,-9.75,-96,,3,3
2025-05-19 15:20:46.683188,0x433bc2b0,,,,,,,6.75,-58,,3,3
2025-05-19 15:21:30.121984,0x433ad35c,,,,,,,7.5,-2,,3,3
2025-05-19 15:21:31.723410,0x433aad0c,,,,,,,-10.25,-96,,3,3
2025-05-19 15:21:46.991591,0x433bc2b0,,1,1,,1,1,5.75,-61,,3,3
2025-05-19 15:22:29.126170,0x433ad35c,,,,,,,7.0,-2,,3,3
2025-05-19 15:22:32.308511,0x433aad0c,,1,1,,1,1,-7.75,-94,,3,3
2025-05-19 15:22:47.104092,0x433bc2b0,,,,,,,7.0,-55,,3,3
2025-05-19 15:23:29.961521,0x433ad35c,,,1,,,1,7.25,-1,,3,3
2025-05-19 15:23:32.846249,0x433aad0c,,,,,,,-5.25,-91,,3,3
2025-05-19 15:23:47.791107,0x433bc2b0,,,,,,,5.75,-56,,3,3
2025-05-19 15:24:30.249235,0x433ad35c,,,,,,,7.75,-2,,3,3
2025-05-19 15:24:32.830208,0x433aad0c,,,,,,,-12.25,-98,,3,3
2025-05-19 15:24:35.436451,0x433acb14,,,6,,,6,-5.25,-91,,3,3
2025-05-19 15:24:47.668268,0x433bc2b0,,1,1,,1,1,5.5,-57,,3,3
2025-05-19 15:25:30.063143,0x433ad35c,,,,,,,7.0,-2,,3,3
2025-05-19 15:25:32.941098,0x433aad0c,,,,,,,-9.75,-96,,3,3
2025-05-19 15:25:37.065304,0x433acb14,1,1,2,1,1,2,3.0,-81,,3,3
2025-05-19 15:25:47.964310,0x433bc2b0,1,1,1,1,1,1,5.5,-60,,3,3
2025-05-19 15:26:30.084392,0x433ad35c,,,,,,,7.25,-1,,3,3
2025-05-19 15:26:32.646386,0x433aad0c,,,,,,,-7.25,-93,,3,3
2025-05-19 15:26:36.000364,0x433acb14,,,1,,,1,-0.75,-85,,3,3
2025-05-19 15:26:48.515969,0x433bc2b0,,,,,,,6.0,-57,,3,3
2025-05-19 15:27:30.341373,0x433ad35c,,,1,,,1,7.25,-2,,3,3
2025-05-19 15:27:32.682242,0x433aad0c,,,,,,,-10.75,-97,,3,3
2025-05-19 15:27:36.000004,0x433acb14,,,,,,,3.75,-80,,3,3
2025-05-19 15:27:48.451324,0x433bc2b0,,2,3,,2,3,7.5,-59,,3,3
2025-05-19 15:28:30.529111,0x433ad35c,,,,,,,7.25,-2,,3,3
2025-05-19 15:28:32.671481,0x433aad0c,,,,,,,-5.75,-92,,3,3
2025-05-19 15:28:36.303056,0x433acb14,,,,,,,3.75,-80,,3,3
2025-05-19 15:28:48.638521,0x433bc2b0,1,1,1,1,1,1,6.0,-61,,3,3
2025-05-19 15:29:30.767081,0x433ad35c,,,,,,,6.5,-2,,3,3
2025-05-19 15:29:33.128292,0x433aad0c,,,,,,,-8.5,-94,,3,3
2025-05-19 15:29:36.234338,0x433acb14,,,,,,,-2.75,-88,,3,3
2025-05-19 15:29:48.744578,0x433bc2b0,,,,,,,5.0,-60,,3,3
2025-05-19 15:30:30.990328,0x433ad35c,,,,,,,7.75,-2,,3,3
2025-05-19 15:30:36.870142,0x433acb14,,,,,,,3.5,-79,,3,3
2025-05-19 15:30:39.221382,0x433aad0c,,,,,,,-4.25,-90,,3,3
2025-05-19 15:30:49.539075,0x433bc2b0,,,2,,,2,6.0,-58,,3,3
2025-05-19 15:31:31.211988,0x433ad35c,,,,,,,7.0,-2,,3,3
2025-05-19 15:31:33.684491,0x433aad0c,,,,,,,-14.0,-100,,3,3
2025-05-19 15:31:36.646513,0x433acb14,,,,,,,3.75,-79,,3,3
2025-05-19 15:31:49.380592,0x433bc2b0,,1,1,,1,1,6.5,-57,,3,3
2025-05-19 15:32:31.962098,0x433ad35c,,,,,,,7.75,-2,,3,3
2025-05-19 15:32:34.271221,0x433aad0c,,,,,,,-7.0,-93,,3,3
2025-05-19 15:32:37.178487,0x433acb14,,,,,,,3.75,-80,,3,3
2025-05-19 15:32:49.416998,0x433bc2b0,,,,,,,7.25,-58,,3,3
2025-05-19 15:33:31.755646,0x433ad35c,,1,1,,1,1,7.5,-2,,3,3
2025-05-19 15:33:33.834277,0x433aad0c,,,,,,,-6.75,-92,,3,3
2025-05-19 15:33:37.097325,0x433acb14,,,,,,,3.5,-81,,3,3
2025-05-19 15:33:49.645949,0x433bc2b0,,,,,,,6.0,-58,,3,3
2025-05-19 15:34:32.069343,0x433ad35c,1,1,3,1,1,3,7.5,-2,,3,3
2025-05-19 15:34:34.382969,0x433aad0c,,,,,,,-4.5,-90,,3,3
2025-05-19 15:34:37.280390,0x433acb14,,,,,,,3.75,-79,,3,3
2025-05-19 15:34:50.750035,0x433bc2b0,,,,,,,6.0,-57,,3,3
2025-05-19 15:35:32.127045,0x433ad35c,,,,,,,6.75,-2,,3,3
2025-05-19 15:35:35.114267,0x433aad0c,,,1,,,1,-5.0,-90,,3,3
2025-05-19 15:35:37.679179,0x433acb14,,,,,,,5.0,-77,,3,3
2025-05-19 15:35:50.730344,0x433bc2b0,,,,,,,6.0,-56,,3,3
2025-05-19 15:36:32.366170,0x433ad35c,,,,,,,6.25,-2,,3,3
2025-05-19 15:36:34.428385,0x433aad0c,,,,,,,-3.25,-89,,3,3
2025-05-19 15:36:37.742023,0x433acb14,,,,,,,2.25,-82,,3,3
2025-05-19 15:36:50.396177,0x433bc2b0,,,,,,,7.25,-62,,3,3
2025-05-19 15:37:32.644088,0x433ad35c,,,1,,,1,6.25,-1,,3,3
2025-05-19 15:37:34.681139,0x433aad0c,,,,,,,-4.75,-90,,3,3
2025-05-19 15:37:38.639471,0x433acb14,,,2,,,2,2.25,-82,,3,3
2025-05-19 15:37:50.733453,0x433bc2b0,1,1,1,1,1,1,6.5,-59,,3,3
2025-05-19 15:38:33.491513,0x433ad35c,1,4,8,1,4,8,7.25,-2,,3,3
2025-05-19 15:38:35.879416,0x433aad0c,,,,,,,-14.5,-101,,3,3
2025-05-19 15:38:38.690556,0x433acb14,,,,,,,4.25,-80,,3,3
2025-05-19 15:38:50.986458,0x433bc2b0,,,1,,,1,5.75,-56,,3,3
2025-05-19 15:39:33.069507,0x433ad35c,,,,,,,7.0,-2,,3,3
2025-05-19 15:39:35.188039,0x433aad0c,,,,,,,-8.75,-94,,3,3
2025-05-19 15:39:38.401073,0x433acb14,,,,,,,4.0,-78,,3,3
2025-05-19 15:39:51.619321,0x433bc2b0,,,,,,,6.25,-59,,3,3
2025-05-19 15:40:33.336186,0x433ad35c,,,2,,,2,7.25,-2,,3,3
2025-05-19 15:40:37.021361,0x433aad0c,,1,2,,1,2,-6.25,-92,,3,3
2025-05-19 15:40:39.985292,0x433acb14,,,,,,,3.5,-79,,3,3
2025-05-19 15:40:51.469399,0x433bc2b0,1,1,1,1,1,1,6.0,-58,,3,3
2025-05-19 15:41:33.559309,0x433ad35c,,,1,,,1,7.5,-2,,3,3
2025-05-19 15:41:39.134477,0x433acb14,,,,,,,3.5,-78,,3,3
2025-05-19 15:41:40.616315,0x433aad0c,,,,,,,-1.25,-87,,3,3
2025-05-19 15:41:51.560134,0x433bc2b0,,,,,,,6.75,-59,,3,3
2025-05-19 15:42:33.821232,0x433ad35c,,,,,,,7.0,-2,,3,3
2025-05-19 15:42:38.211997,0x433aad0c,,,,,,,6.5,-1,,3,2
2025-05-19 15:42:52.303012,0x433bc2b0,,,2,,,2,6.5,-59,,3,3
2025-05-19 15:42:53.531079,0x433acb14,,,,,,,1.75,-83,,3,2
2025-05-19 15:43:34.780430,0x433ad35c,,,1,,,1,7.25,-2,,3,3
2025-05-19 15:43:39.853244,0x433aad0c,,,,,,,-10.25,-96,,3,3
2025-05-19 15:43:41.988116,0x433acb14,1,1,1,1,1,1,5.5,-78,,3,3
2025-05-19 15:43:52.303412,0x433bc2b0,,1,1,,1,1,6.25,-57,,3,3
2025-05-19 15:44:34.206489,0x433ad35c,,,,,,,7.0,-1,,3,3
2025-05-19 15:44:38.111243,0x433aad0c,,,,,,,-9.0,-95,,3,3
2025-05-19 15:44:41.439215,0x433acb14,,,,,,,5.75,-57,,3,2
2025-05-19 15:44:52.890440,0x433bc2b0,1,1,2,1,1,2,6.0,-56,,3,3
2025-05-19 15:45:34.473428,0x433ad35c,,,1,,,1,5.5,-2,,3,3
2025-05-19 15:45:39.485555,0x433aad0c,,,,,,,7.5,-2,,3,2
2025-05-19 15:45:41.535536,0x433acb14,,,,,,,2.25,-82,,3,3
2025-05-19 15:45:53.524003,0x433bc2b0,,,,,,,5.75,-57,,3,3
2025-05-19 15:46:34.712386,0x433ad35c,,,,,,,6.5,-2,,3,3
2025-05-19 15:46:40.662454,0x433aad0c,,,,,,,-11.75,-97,,3,3
2025-05-19 15:46:42.240509,0x433acb14,,,2,,,2,4.0,-80,,3,3
2025-05-19 15:46:53.246726,0x433bc2b0,,1,2,,1,2,5.75,-57,,3,3
2025-05-19 15:47:34.985523,0x433ad35c,,,2,,,2,7.25,-1,,3,3
2025-05-19 15:47:37.186082,0x433aad0c,,,,,,,-5.75,-91,,3,3
2025-05-19 15:47:41.230550,0x433acb14,,,,,,,3.75,-81,,3,3
2025-05-19 15:47:52.959159,0x433bc2b0,,,,,,,6.0,-57,,3,3
2025-05-19 15:48:35.135014,0x433ad35c,,,,,,,6.25,-1,,3,3
2025-05-19 15:48:39.308410,0x433aad0c,,,,,,,-7.5,-93,,3,3
2025-05-19 15:48:41.357104,0x433acb14,,,,,,,5.0,-77,,3,3
2025-05-19 15:48:53.195469,0x433bc2b0,,,4,,,4,6.0,-58,,3,3
2025-05-19 15:49:35.372422,0x433ad35c,,,,,,,6.5,-1,,3,3
2025-05-19 15:49:40.010350,0x433aad0c,,,,,,,-9.25,-95,,3,3
2025-05-19 15:49:41.799336,0x433acb14,,,,,,,5.25,-77,,3,3
2025-05-19 15:49:53.401453,0x433bc2b0,,,,,,,5.5,-57,,3,3
2025-05-19 15:50:35.932015,0x433ad35c,,,,,,,6.75,-2,,3,3
2025-05-19 15:50:41.110514,0x433aad0c,,,,,,,-10.75,-96,,3,3
2025-05-19 15:50:42.635228,0x433acb14,,,,,,,3.75,-80,,3,3
2025-05-19 15:50:53.673140,0x433bc2b0,,,,,,,6.0,-57,,3,3
2025-05-19 15:51:35.919353,0x433ad35c,,1,1,,1,1,7.5,-2,,3,3
2025-05-19 15:51:39.718134,0x433aad0c,,,,,,,-12.25,-98,,3,3
2025-05-19 15:51:41.908387,0x433acb14,,,,,,,3.75,-80,,3,3
2025-05-19 15:51:53.862039,0x433bc2b0,,,,,,,6.0,-57,,3,3
2025-05-19 15:52:36.076068,0x433ad35c,,,,,,,6.75,-1,,3,3
2025-05-19 15:52:39.488434,0x433aad0c,,,,,,,-4.25,-90,,3,3
2025-05-19 15:52:42.284434,0x433acb14,,,,,,,5.5,-77,,3,3
2025-05-19 15:52:54.086243,0x433bc2b0,,,,,,,5.75,-57,,3,3
2025-05-19 15:53:36.773156,0x433ad35c,,,,,,,7.0,-2,,3,3
2025-05-19 15:53:42.198038,0x433aad0c,,,,,,,4.25,-80,,3,2
2025-05-19 15:53:42.828438,0x433acb14,,,,,,,4.25,-80,,3,3
2025-05-19 15:53:54.965575,0x433bc2b0,,,,,,,6.25,-56,,3,3
2025-05-19 15:54:36.546096,0x433ad35c,,,,,,,6.75,-3,,3,3
2025-05-19 15:54:40.237991,0x433aad0c,,,,,,,-4.25,-90,,3,3
2025-05-19 15:54:43.042301,0x433acb14,,,,,,,3.25,-78,,3,3
2025-05-19 15:54:54.877386,0x433bc2b0,,,,,,,5.5,-58,,3,3
2025-05-19 15:55:38.536410,0x433ad35c,,,,,,,7.0,-2,,3,3
2025-05-19 15:55:40.027147,0x433aad0c,,,,,,,-6.0,-92,,3,3
2025-05-19 15:55:42.708286,0x433acb14,,,2,,,2,3.25,-79,,3,3
2025-05-19 15:55:54.818492,0x433bc2b0,,,,,,,6.0,-56,,3,3
2025-05-19 15:56:37.014313,0x433ad35c,,,,,,,7.0,-2,,3,3
2025-05-19 15:56:40.439309,0x433aad0c,,,,,,,-9.5,-95,,3,3
2025-05-19 15:56:43.339386,0x433acb14,,,,,,,3.5,-80,,3,3
2025-05-19 15:56:55.041545,0x433bc2b0,,,2,,,2,6.0,-56,,3,3
2025-05-19 15:57:38.676376,0x433ad35c,,,1,,,1,7.25,-2,,3,3
2025-05-19 15:57:41.330076,0x433aad0c,,,,,,,-7.75,-94,,3,3
2025-05-19 15:57:43.238409,0x433acb14,,,,,,,3.5,-79,,3,3
2025-05-19 15:57:55.274300,0x433bc2b0,,,2,,,2,5.75,-56,,3,3
2025-05-19 15:58:38.940444,0x433ad35c,1,2,2,1,2,2,6.5,-1,,3,3
2025-05-19 15:58:41.464388,0x433aad0c,,,,,,,-7.0,-93,,3,3
2025-05-19 15:58:43.582093,0x433acb14,,,,,,,3.5,-80,,3,3
2025-05-19 15:58:55.811578,0x433bc2b0,,1,1,,1,1,6.0,-57,,3,3
2025-05-19 15:59:39.843234,0x433ad35c,,,,,,,7.5,-2,,3,3
2025-05-19 15:59:42.098475,0x433aad0c,,,,,,,-8.0,-94,,3,3
2025-05-19 15:59:44.154243,0x433acb14,,,,,,,3.5,-81,,3,3
2025-05-19 15:59:55.962959,0x433bc2b0,,,2,,,2,6.0,-56,,3,3
2025-05-19 16:00:39.942259,0x433ad35c,,,2,,,2,6.5,-2,,3,3
2025-05-19 16:00:43.460293,0x433aad0c,,,,,,,-5.0,-91,,3,3
2025-05-19 16:00:44.908505,0x433acb14,,,,,,,3.5,-79,,3,3
2025-05-19 16:00:55.942244,0x433bc2b0,,,,,,,6.75,-55,,3,3
2025-05-19 16:01:39.201292,0x433ad35c,,,,,,,7.5,-2,,3,3
2025-05-19 16:01:41.005258,0x433aad0c,,,,,,,-7.5,-93,,3,3
2025-05-19 16:01:44.076089,0x433acb14,,,,,,,3.75,-78,,3,3
2025-05-19 16:01:56.761469,0x433bc2b0,,,2,,,2,6.25,-55,,3,3
2025-05-19 16:02:39.718486,0x433ad35c,,,2,,,2,6.5,-2,,3,3
2025-05-19 16:02:42.964022,0x433aad0c,,,,,,,-8.5,-95,,3,3
2025-05-19 16:02:44.819372,0x433acb14,,,,,,,3.75,-79,,3,3
2025-05-19 16:02:56.395284,0x433bc2b0,,,,,,,5.75,-58,,3,3
2025-05-19 16:03:39.835257,0x433ad35c,,,,,,,7.5,-2,,3,3
2025-05-19 16:03:42.482441,0x433aad0c,,,,,,,-9.5,-96,,3,3
2025-05-19 16:03:44.653275,0x433acb14,,,,,,,3.75,-79,,3,3
2025-05-19 16:03:56.634237,0x433bc2b0,,,,,,,5.75,-59,,3,3
2025-05-19 16:04:39.437354,0x433ad35c,,,,,,,7.0,-2,,3,3
2025-05-19 16:04:45.034602,0x433acb14,,1,1,,1,1,3.5,-81,,3,3
2025-05-19 16:04:50.986167,0x433aad0c,,,,,,,2.0,-83,,3,1
2025-05-19 16:04:56.864359,0x433bc2b0,,,,,,,5.75,-58,,3,3
2025-05-19 16:05:39.739405,0x433ad35c,,,,,,,7.25,-2,,3,3
2025-05-19 16:05:41.916317,0x433aad0c,,,,,,,-5.25,-90,,3,3
2025-05-19 16:05:45.231287,0x433acb14,,,,,,,3.5,-79,,3,3
2025-05-19 16:05:57.681080,0x433bc2b0,,,,,,,6.25,-56,,3,3
2025-05-19 16:06:39.798512,0x433ad35c,,,,,,,7.5,-2,,3,3
