datetime,fromNode,batteryLevel,voltage,channelUtilization,airUtilTx,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-05-19 14:47:20.402608,0xbd50376c,101,4.212,9.3966675,0.064277776,,,,3,3
2025-05-19 14:47:24.104540,0x433ad35c,96,4.137,10.381666,0.05927778,5.75,-4,,3,3
2025-05-19 14:48:13.290750,0x433af864,101,4.255,5.5533333,0.027583333,6.0,-59,,3,3
2025-05-19 14:48:20.568696,0xbd50376c,94,4.118,11.356667,0.14294444,,,,,3
2025-05-19 14:48:25.388818,0x433aad0c,101,4.261,7.496667,0.20316666,-9.75,-91,,3,3
2025-05-19 14:49:20.673710,0xbd50376c,99,4.181,1.9433333,0.15913889,,,,,3
2025-05-19 14:50:20.726944,0xbd50376c,101,4.222,2.27,0.15913889,,,,,3
2025-05-19 14:51:20.781849,0xbd50376c,101,4.201,2.2433333,0.17783333,,,,,3
2025-05-19 14:52:20.818979,0xbd50376c,100,4.2,,0.17783333,,,,,3
2025-05-19 14:53:20.690589,0xbd50376c,101,4.235,2.27,0.17783333,,,,,3
2025-05-19 14:53:23.534244,0x433ad35c,101,4.228,2.27,0.12905556,6.25,-4,,3,3
2025-05-19 14:54:20.849001,0xbd50376c,100,4.193,4.186667,0.21272223,,,,,3
2025-05-19 14:54:25.554824,0x433aad0c,101,4.209,2.2433333,0.27566665,3.25,-89,,3,3
2025-05-19 14:55:20.845224,0xbd50376c,99,4.187,1.9433333,0.22891667,,,,,3
2025-05-19 14:56:20.858269,0xbd50376c,99,4.186,3.94,0.26175,,,,,3
2025-05-19 14:57:20.893054,0xbd50376c,101,4.22,3.94,0.28044444,,,,,3
2025-05-19 14:58:20.926801,0xbd50376c,101,4.242,,0.28044444,,,,,3
2025-05-19 14:58:47.209466,0x433bc2b0,101,4.201,5.621667,0.033055555,5.75,-56,,3,3
2025-05-19 14:59:20.965883,0xbd50376c,101,4.204,8.085,0.30802777,,,,,3
2025-05-19 14:59:23.482663,0x433ad35c,101,4.202,8.085,0.24580555,6.0,-2,,3,3
2025-05-19 15:00:21.088187,0xbd50376c,98,4.168,3.2150002,0.32672223,,,,,3
2025-05-19 15:00:28.571243,0x433aad0c,101,4.231,3.0649998,0.41133332,-13.25,-99,,3,3
2025-05-19 15:00:58.144851,0x433ad35c,100,4.198,10.591666,0.046083335,6.75,-1,,3,3
2025-05-19 15:01:21.063558,0xbd50376c,101,4.232,13.108334,0.35705554,,,,,3
2025-05-19 15:02:21.282374,0xbd50376c,100,4.198,0.8766667,0.35705554,,,,,3
