datetime,fromNode,temperature,relativeHumidity,barometricPressure,gasResistance,iaq,windDirection,windSpeed,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-05-19 14:47:50.944549,0x433aad0c,33.47566,26.712233,989.0881,246.77402,107,,,-8.5,-89,,3,3
2025-05-19 14:49:48.947663,0x433ad35c,29.222061,32.901436,989.5374,79.96509,199,,,6.0,-4,,3,3
2025-05-19 14:50:51.502593,0x433aad0c,33.89055,26.771984,989.0281,284.9988,79,,,-8.75,-91,,3,3
2025-05-19 14:52:49.632663,0x433ad35c,30.084055,30.948687,989.5285,132.69534,183,,,5.75,-4,,3,3
2025-05-19 14:53:51.499639,0x433aad0c,34.239643,25.44465,988.9956,337.5816,52,,,-9.0,-92,,3,3
2025-05-19 14:55:48.944433,0x433ad35c,30.565353,29.705004,989.4462,184.3476,104,,,6.5,-2,,3,3
2025-05-19 14:56:51.578490,0x433aad0c,34.3912,25.979704,988.99097,369.38602,40,,,-9.5,-94,,3,3
2025-05-19 14:58:49.899588,0x433ad35c,31.212019,28.283077,989.4396,222.07755,60,,,6.5,-1,,3,3
2025-05-19 14:59:51.058891,0x433aad0c,34.264744,24.88216,988.9683,421.22757,30,,,-2.0,-88,,3,3
2025-05-19 15:01:13.527869,0x433bc2b0,27.359093,34.69046,990.9388,69.256096,217,,,5.75,-57,,3,3
2025-05-19 15:02:51.164776,0x433aad0c,34.530304,24.432884,988.94904,468.0634,24,,,-8.0,-94,,3,3
2025-05-19 15:03:24.621677,0x433ad35c,31.287012,27.64981,989.3675,267.33536,15,,,7.5,-1,,3,3
2025-05-19 15:04:13.703900,0x433bc2b0,28.252192,34.25067,990.94324,117.37911,303,,,6.0,-58,,3,3
2025-05-19 15:06:24.613471,0x433ad35c,31.825844,27.425987,989.37,289.58304,,,,7.0,-2,,3,3
2025-05-19 15:06:28.469650,0x433aad0c,34.598705,25.048208,988.9197,501.37122,,,,-7.0,-93,,3,3
2025-05-19 15:07:13.609841,0x433bc2b0,28.921478,32.60911,990.9196,155.52461,184,,,5.25,-67,,3,3
2025-05-19 15:09:25.062473,0x433ad35c,31.923735,27.393658,989.3351,313.4735,,,,7.5,-2,,3,3
2025-05-19 15:09:28.500919,0x433aad0c,34.557518,24.763117,988.8708,527.8632,,,,-4.25,-90,,3,3
2025-05-19 15:12:24.644605,0x433ad35c,32.20428,27.022308,989.32574,324.872,,,,7.0,-1,,3,3
2025-05-19 15:12:29.303818,0x433aad0c,34.001717,24.406847,988.8174,583.54895,,,,-3.0,-89,,3,3
2025-05-19 15:12:44.762508,0x433bc2b0,29.935595,30.180723,990.86615,203.7267,91,,,5.75,-60,,3,3
2025-05-19 15:15:24.619862,0x433ad35c,32.217033,26.90308,989.2808,346.31348,,,,7.5,-2,,3,3
2025-05-19 15:15:27.549527,0x433aad0c,34.464626,24.164186,988.7872,624.95856,,,,-4.0,-89,,3,3
2025-05-19 15:15:45.318735,0x433bc2b0,30.252594,29.618061,990.82764,220.35637,62,,,6.0,-59,,3,3
2025-05-19 15:18:24.667941,0x433ad35c,32.029037,26.881563,989.30054,366.26608,,,,7.0,-3,,3,3
2025-05-19 15:18:27.767404,0x433aad0c,34.6115,24.127787,988.8273,637.45776,,,,-2.0,-88,,3,3
2025-05-19 15:18:44.812698,0x433bc2b0,30.46399,29.068747,990.8287,242.05836,44,,,5.5,-61,,3,3
