datetime,fromNode,ch3Voltage,ch3Current,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-05-19 14:46:57.627255,0x433ad35c,13.45125,75.0,6.0,-3,,3,3
2025-05-19 14:56:00.079368,0x433aad0c,13.28875,65.0,-7.5,-90,,3,3
2025-05-19 14:56:57.863346,0x433ad35c,13.415,75.0,6.25,-3,,3,3
2025-05-19 14:58:22.401496,0x433bc2b0,13.255,55.0,6.25,-56,,3,3
2025-05-19 15:00:33.182335,0x433ad35c,13.39625,63.75,6.75,-1,,3,3
2025-05-19 15:03:35.173551,0x433aad0c,13.28,75.0,-6.0,-91,,3,3
2025-05-19 15:08:22.919614,0x433bc2b0,13.23625,72.5,6.0,-59,,3,3
2025-05-19 15:09:53.460276,0x433bc2b0,13.25,61.25,6.5,-56,,3,3
2025-05-19 15:10:33.604325,0x433ad35c,13.375,62.5,7.25,-2,,3,3
2025-05-19 15:13:35.420565,0x433aad0c,13.2825,63.75,-8.25,-94,,3,3
2025-05-19 15:19:53.639564,0x433bc2b0,13.24375,61.25,5.75,-60,,3,3
2025-05-19 15:20:34.130375,0x433ad35c,13.35125,63.75,7.25,-2,,3,3
2025-05-19 15:23:35.539301,0x433aad0c,13.27625,72.5,-4.75,-91,,3,3
2025-05-19 15:24:44.179192,0x433acb14,13.32875,82.5,-3.25,-89,,3,3
2025-05-19 15:29:44.349230,0x433acb14,13.33375,63.75,2.25,-82,,3,3
2025-05-19 15:29:53.868251,0x433bc2b0,13.23375,67.5,5.5,-61,,3,3
2025-05-19 15:30:34.336353,0x433ad35c,13.32875,72.5,7.25,-1,,3,3
2025-05-19 15:33:39.417198,0x433aad0c,13.2775,61.25,-12.5,-99,,3,3
2025-05-19 15:34:44.542564,0x433acb14,13.32625,75.0,3.75,-80,,3,3
2025-05-19 15:39:44.820318,0x433acb14,13.32875,63.75,3.75,-80,,3,3
2025-05-19 15:39:54.419285,0x433bc2b0,13.2425,62.5,6.0,-56,,3,3
2025-05-19 15:40:35.500439,0x433ad35c,13.32,62.5,7.5,-2,,3,3
2025-05-19 15:43:39.357237,0x433aad0c,13.275,62.5,-13.5,-99,,3,3
2025-05-19 15:44:44.980260,0x433acb14,13.32,65.0,3.75,-80,,3,3
2025-05-19 15:49:45.256478,0x433acb14,13.3275,63.75,4.0,-79,,3,3
2025-05-19 15:49:54.727450,0x433bc2b0,13.23875,65.0,5.75,-56,,3,3
2025-05-19 15:50:36.542358,0x433ad35c,13.30125,76.25,6.75,-1,,3,3
2025-05-19 15:53:40.257402,0x433aad0c,13.2725,66.25,-19.25,-105,,3,3
2025-05-19 15:54:48.162535,0x433acb14,13.32375,72.5,4.0,-78,,3,3
2025-05-19 15:59:46.364353,0x433acb14,13.325,63.75,3.5,-79,,3,3
2025-05-19 15:59:56.644490,0x433bc2b0,13.23875,66.25,6.25,-56,,3,3
2025-05-19 16:00:40.552275,0x433ad35c,13.2975,60.0,6.75,-2,,3,3
2025-05-19 16:03:41.757461,0x433aad0c,13.27125,63.75,-9.75,-95,,3,3
