datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-05-19 15:27:38.599953,0x433ad35c,,,1,,,1,-9.25,-87,,3,3
2025-05-19 15:27:42.141028,0x433aad0c,,,,,,,-6.0,-83,,3,2
2025-05-19 15:27:44.257080,0x433acb14,,,,,,,5.75,-21,,3,3
2025-05-19 15:27:56.710113,0x433bc2b0,,2,3,,2,3,-3.25,-82,,3,3
2025-05-19 15:28:38.762394,0x433ad35c,,,,,,,-2.5,-80,,3,3
2025-05-19 15:28:40.903337,0x433aad0c,,,,,,,-13.0,-92,,3,3
2025-05-19 15:28:44.551595,0x433acb14,,,,,,,7.5,-17,,3,3
2025-05-19 15:28:56.876808,0x433bc2b0,1,1,1,1,1,1,-5.75,-83,,3,3
2025-05-19 15:29:39.002839,0x433ad35c,,,,,,,-6.0,-85,,3,3
2025-05-19 15:29:41.366061,0x433aad0c,,,,,,,-13.75,-93,,3,3
2025-05-19 15:29:44.492955,0x433acb14,,,,,,,6.0,-15,,3,3
2025-05-19 15:29:56.982461,0x433bc2b0,,,,,,,0.75,-78,,3,3
2025-05-19 15:30:39.243718,0x433ad35c,,,,,,,-1.75,-82,,3,3
2025-05-19 15:30:45.129902,0x433acb14,,,,,,,6.0,-15,,3,3
2025-05-19 15:30:47.456423,0x433aad0c,,,,,,,-11.0,-91,,3,3
2025-05-19 15:30:57.776673,0x433bc2b0,,,2,,,2,2.25,-77,,3,3
2025-05-19 15:31:39.449665,0x433ad35c,,,,,,,-4.0,-84,,3,3
2025-05-19 15:31:41.921454,0x433aad0c,,,,,,,-8.75,-89,,3,3
2025-05-19 15:31:44.907539,0x433acb14,,,,,,,5.5,-16,,3,3
2025-05-19 15:31:57.622662,0x433bc2b0,,1,1,,1,1,2.5,-77,,3,3
2025-05-19 15:32:40.198805,0x433ad35c,,,,,,,-2.5,-83,,3,3
2025-05-19 15:32:42.509561,0x433aad0c,,,,,,,-10.5,-91,,3,3
2025-05-19 15:32:45.479841,0x433acb14,,,,,,,6.5,-16,,3,3
2025-05-19 15:32:57.653487,0x433bc2b0,,,,,,,-1.5,-82,,3,3
2025-05-19 15:33:39.985404,0x433ad35c,,1,1,,1,1,,-79,,3,3
2025-05-19 15:33:42.069529,0x433aad0c,,,,,,,-17.0,-97,,3,3
2025-05-19 15:33:45.357819,0x433acb14,,,,,,,6.0,-15,,3,3
2025-05-19 15:33:57.883894,0x433bc2b0,,,,,,,4.25,-74,,3,3
2025-05-19 15:34:40.307071,0x433ad35c,1,1,3,1,1,3,-5.5,-86,,3,3
2025-05-19 15:34:42.618722,0x433aad0c,,,,,,,-14.0,-95,,3,3
2025-05-19 15:34:45.542386,0x433acb14,,,,,,,6.25,-16,,3,3
2025-05-19 15:34:58.988501,0x433bc2b0,,,,,,,4.25,-73,,3,3
2025-05-19 15:35:40.364946,0x433ad35c,,,,,,,-0.75,-81,,3,3
2025-05-19 15:35:43.352906,0x433aad0c,,,1,,,1,-16.5,-97,,3,3
2025-05-19 15:35:45.960650,0x433acb14,,,,,,,6.0,-16,,3,3
2025-05-19 15:35:58.968670,0x433bc2b0,,,,,,,4.5,-74,,3,3
2025-05-19 15:36:40.604372,0x433ad35c,,,,,,,-1.25,-82,,3,3
2025-05-19 15:36:42.665485,0x433aad0c,,,,,,,-12.5,-93,,3,3
2025-05-19 15:36:45.985786,0x433acb14,,,,,,,6.0,-16,,3,3
2025-05-19 15:36:58.633790,0x433bc2b0,,,,,,,-1.75,-82,,3,3
2025-05-19 15:37:40.880472,0x433ad35c,,,1,,,1,-4.0,-85,,3,3
2025-05-19 15:37:42.934932,0x433aad0c,,,,,,,-15.25,-96,,3,3
2025-05-19 15:37:46.901925,0x433acb14,,,2,,,2,5.75,-15,,3,3
2025-05-19 15:37:58.971045,0x433bc2b0,1,1,1,1,1,1,4.75,-74,,3,3
2025-05-19 15:38:41.730007,0x433ad35c,1,4,8,1,4,8,-4.25,-85,,3,3
2025-05-19 15:38:44.116345,0x433aad0c,,,,,,,-10.5,-91,,3,3
2025-05-19 15:38:46.952614,0x433acb14,,,,,,,6.5,-16,,3,3
2025-05-19 15:38:59.221824,0x433bc2b0,,,1,,,1,3.0,-77,,3,3
2025-05-19 15:39:41.310377,0x433ad35c,,,,,,,-3.25,-84,,3,3
2025-05-19 15:39:43.425558,0x433aad0c,,,,,,,-10.5,-92,,3,3
2025-05-19 15:39:46.663559,0x433acb14,,,,,,,6.0,-16,,3,3
2025-05-19 15:39:59.856750,0x433bc2b0,,,,,,,3.25,-76,,3,3
2025-05-19 15:40:41.574511,0x433ad35c,,,2,,,2,-1.5,-82,,3,3
2025-05-19 15:40:45.259577,0x433aad0c,,1,2,,1,2,-11.25,-93,,3,3
2025-05-19 15:40:48.247801,0x433acb14,,,,,,,5.5,-16,,3,3
2025-05-19 15:40:59.708737,0x433bc2b0,1,1,1,1,1,1,4.75,-74,,3,3
2025-05-19 15:41:41.798836,0x433ad35c,,,1,,,1,-2.75,-83,,3,3
2025-05-19 15:41:47.397936,0x433acb14,,,,,,,5.75,-16,,3,3
2025-05-19 15:41:50.221870,0x433aad0c,,,,,,,1.75,-78,,3,2
2025-05-19 15:41:59.794854,0x433bc2b0,,,,,,,2.75,-76,,3,3
2025-05-19 15:42:42.060359,0x433ad35c,,,,,,,-4.0,-85,,3,3
2025-05-19 15:42:46.451699,0x433aad0c,,,,,,,-10.25,-92,,3,2
2025-05-19 15:42:48.727276,0x433acb14,,,,,,,5.75,-16,,3,3
2025-05-19 15:43:00.557586,0x433bc2b0,,,2,,,2,4.75,-75,,3,3
2025-05-19 15:43:43.020723,0x433ad35c,,,1,,,1,-4.0,-85,,3,3
2025-05-19 15:43:48.093534,0x433aad0c,,,,,,,-17.5,-99,,3,3
2025-05-19 15:43:50.243964,0x433acb14,1,1,1,1,1,1,6.0,-16,,3,3
2025-05-19 15:44:00.543714,0x433bc2b0,,1,1,,1,1,3.5,-75,,3,3
2025-05-19 15:44:42.450800,0x433ad35c,,,,,,,-0.25,-81,,3,3
2025-05-19 15:44:46.361679,0x433aad0c,,,,,,,-19.75,-101,,3,3
2025-05-19 15:44:48.163557,0x433acb14,,,,,,,5.75,-16,,3,3
2025-05-19 15:45:01.131062,0x433bc2b0,1,1,2,1,1,2,4.0,-72,,3,3
2025-05-19 15:45:42.715584,0x433ad35c,,,1,,,1,-3.5,-84,,3,3
2025-05-19 15:45:47.744921,0x433aad0c,,,,,,,-3.75,-85,,3,2
2025-05-19 15:45:49.776615,0x433acb14,,,,,,,5.75,-15,,3,3
2025-05-19 15:46:01.762822,0x433bc2b0,,,,,,,3.0,-77,,3,3
2025-05-19 15:46:42.946384,0x433ad35c,,,,,,,,-81,,3,3
2025-05-19 15:46:48.902823,0x433aad0c,,,,,,,-11.5,-93,,3,3
2025-05-19 15:46:50.481674,0x433acb14,,,2,,,2,6.0,-16,,3,3
2025-05-19 15:47:01.487777,0x433bc2b0,,1,2,,1,2,4.75,-72,,3,3
2025-05-19 15:47:43.227470,0x433ad35c,,,2,,,2,-3.5,-84,,3,3
2025-05-19 15:47:45.427724,0x433aad0c,,,,,,,-12.25,-94,,3,3
2025-05-19 15:47:49.471735,0x433acb14,,,,,,,5.75,-16,,3,3
2025-05-19 15:48:01.201923,0x433bc2b0,,,,,,,5.25,-74,,3,3
2025-05-19 15:48:43.377547,0x433ad35c,,,,,,,-4.25,-86,,3,3
2025-05-19 15:48:47.548957,0x433aad0c,,,,,,,-11.0,-93,,3,3
2025-05-19 15:48:49.599835,0x433acb14,,,,,,,6.25,-17,,3,3
2025-05-19 15:49:01.438701,0x433bc2b0,,,4,,,4,4.25,-74,,3,3
2025-05-19 15:49:43.613806,0x433ad35c,,,,,,,-1.0,-82,,3,3
