datetime,fromNode,batteryLevel,voltage,channelUtilization,airUtilTx,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-05-19 15:28:03.692735,0x433e9c88,100,4.194,15.056666,0.07575,,,,3,3
2025-05-19 15:28:15.025882,0x433aad0c,100,4.191,18.848333,0.9281667,6.5,-13,,3,2
2025-05-19 15:28:29.672003,0x433bc2b0,101,4.238,28.21,0.5673611,-0.5,-78,,3,2
2025-05-19 15:29:03.906351,0x433e9c88,98,4.164,23.44,0.15127778,,,,,3
2025-05-19 15:29:31.896946,0xbd50376c,101,4.218,8.383333,1.2842222,-13.75,-93,,3,3
2025-05-19 15:30:03.917874,0x433e9c88,101,4.222,14.203334,0.20630555,,,,,3
2025-05-19 15:31:03.841824,0x433e9c88,99,4.187,16.563334,0.2553611,,,,,3
2025-05-19 15:31:07.469685,0x433ad35c,99,4.186,18.78,1.1478611,-6.5,-87,,3,3
2025-05-19 15:31:17.326766,0x433acb14,99,4.18,20.723333,0.35474998,6.25,-16,,3,3
2025-05-19 15:32:03.938636,0x433e9c88,101,4.224,13.858334,0.29986113,,,,,3
2025-05-19 15:33:03.963898,0x433e9c88,101,4.239,8.81,0.32408333,,,,,3
2025-05-19 15:34:04.162018,0x433e9c88,101,4.232,16.646667,0.41966668,,,,,3
2025-05-19 15:34:09.475171,0x433aad0c,101,4.213,17.768333,1.1308612,-14.0,-94,,3,3
2025-05-19 15:34:28.055905,0x433bc2b0,101,4.234,19.711668,0.7915278,2.5,-77,,3,3
2025-05-19 15:35:04.022978,0x433e9c88,100,4.194,14.815,0.47469446,,,,,3
2025-05-19 15:36:04.247857,0x433e9c88,101,4.21,8.190001,0.48680556,,,,,3
2025-05-19 15:37:04.201911,0x433e9c88,100,4.195,14.759999,0.5479722,,,,,3
2025-05-19 15:37:08.254845,0x433ad35c,100,4.193,16.608334,1.3105834,-2.75,-84,,3,3
2025-05-19 15:37:17.476706,0x433acb14,98,4.17,18.960001,0.64336115,6.0,-16,,3,3
2025-05-19 15:38:04.253456,0x433e9c88,98,4.163,11.32,0.59336114,,,,,3
2025-05-19 15:39:04.250515,0x433e9c88,99,4.183,9.216667,0.6209722,,,,,3
2025-05-19 15:40:04.437940,0x433e9c88,101,4.217,20.055,0.6967222,,,,,3
2025-05-19 15:40:09.714875,0x433aad0c,101,4.239,21.176666,1.3769444,-13.0,-94,,3,3
2025-05-19 15:40:27.805768,0x433bc2b0,101,4.238,23.119999,1.0176945,4.5,-74,,3,3
2025-05-19 15:41:04.487257,0x433e9c88,101,4.206,15.385,0.7412222,,,,,3
2025-05-19 15:42:04.336738,0x433e9c88,98,4.165,8.916666,0.80947226,,,,,3
2025-05-19 15:43:04.381884,0x433e9c88,100,4.194,17.301666,0.86786115,,,,,3
2025-05-19 15:43:10.044819,0x433ad35c,99,4.182,23.061666,1.5814444,-1.25,-82,,3,3
2025-05-19 15:43:17.723140,0x433acb14,99,4.188,27.904999,0.9951388,5.75,-16,,3,3
2025-05-19 15:44:04.571314,0x433e9c88,97,4.159,16.178333,0.92738885,,,,,3
2025-05-19 15:45:04.660069,0x433e9c88,100,4.194,11.533334,0.9536389,,,,,3
2025-05-19 15:46:04.545700,0x433e9c88,101,4.22,16.781668,0.99744445,,,,,3
2025-05-19 15:46:10.043950,0x433aad0c,101,4.23,17.508333,1.7031666,-16.75,-98,,3,3
2025-05-19 15:46:27.738821,0x433af864,101,4.22,15.755001,1.26975,2.25,-77,,3,3
2025-05-19 15:46:29.731927,0x433bc2b0,101,4.253,18.725,1.2331667,4.5,-72,,3,3
2025-05-19 15:47:04.766185,0x433e9c88,101,4.231,13.240001,0.99744445,,,,,3
2025-05-19 15:48:04.774487,0x433e9c88,101,4.232,9.285,1.0225556,,,,,3
2025-05-19 15:49:04.717119,0x433e9c88,101,4.208,14.893333,1.1028612,,,,,3
2025-05-19 15:49:08.502150,0x433ad35c,98,4.169,16.015001,1.7760556,-4.0,-85,,3,3
2025-05-19 15:49:17.891242,0x433acb14,101,4.204,17.958332,1.2774167,5.75,-16,,3,3
2025-05-19 15:50:04.759059,0x433e9c88,101,4.201,13.393333,1.1615,,,,,3
2025-05-19 15:51:04.945105,0x433e9c88,101,4.201,10.601666,1.1615,,,,,3
2025-05-19 15:52:04.883076,0x433e9c88,100,4.19,16.098333,1.2418056,,,,,3
2025-05-19 15:52:10.267185,0x433aad0c,101,4.22,17.551666,1.97175,-18.25,-99,,3,3
2025-05-19 15:52:28.814206,0x433bc2b0,101,4.229,16.130001,1.4809722,4.0,-73,,3,3
2025-05-19 15:53:04.870101,0x433e9c88,97,4.157,12.67,1.2822222,,,,,3
2025-05-19 15:54:04.996015,0x433e9c88,97,4.156,9.875,1.2822222,,,,,3
2025-05-19 15:55:05.148500,0x433e9c88,101,4.236,18.331667,1.3504167,,,,,3
2025-05-19 15:55:08.773210,0x433ad35c,101,4.206,19.453333,1.9584445,-1.0,-82,,3,3
2025-05-19 15:55:18.138200,0x433acb14,98,4.173,21.396667,1.621361,5.75,-16,,3,3
2025-05-19 15:56:05.099485,0x433e9c88,90,4.062,12.05,1.3787222,,,,,3
2025-05-19 15:57:05.063076,0x433e9c88,97,4.161,9.958334,1.3787222,,,,,3
2025-05-19 15:58:05.085744,0x433e9c88,101,4.221,14.946667,1.4533334,,,,,3
2025-05-19 15:58:10.418281,0x433aad0c,100,4.195,16.848333,2.2501388,-16.25,-97,,3,3
2025-05-19 15:58:28.537791,0x433bc2b0,101,4.251,18.791666,1.6640278,4.75,-74,,3,3
2025-05-19 15:59:05.165893,0x433e9c88,101,4.213,14.913334,1.4695277,,,,,3
2025-05-19 16:00:05.203733,0x433e9c88,100,4.196,12.503333,1.4695277,,,,,3
2025-05-19 16:01:05.248778,0x433e9c88,101,4.21,16.711668,1.5069168,,,,,3
2025-05-19 16:01:09.003699,0x433ad35c,101,4.209,17.438334,2.2067223,-5.0,-86,,3,3
2025-05-19 16:01:18.779646,0x433acb14,99,4.177,19.381666,1.9258056,5.5,-16,,3,3
2025-05-19 16:02:05.293775,0x433e9c88,98,4.17,9.326667,1.5635278,,,,,3
2025-05-19 16:03:05.414540,0x433e9c88,99,4.178,7.4366665,1.6203333,,,,,3
2025-05-19 16:04:05.531741,0x433e9c88,101,4.23,15.756666,1.6885277,,,,3,3
2025-05-19 16:04:11.431095,0x433aad0c,101,4.25,17.483334,2.39875,-10.5,-92,,3,3
2025-05-19 16:04:28.897148,0x433bc2b0,101,4.26,18.154999,1.9137499,3.0,-77,,3,3
2025-05-19 16:05:05.635426,0x433e9c88,100,4.197,13.735,1.778,,,,,3
2025-05-19 16:06:05.922900,0x433e9c88,101,4.217,8.056666,1.8143333,,,,,3
2025-05-19 16:07:05.709353,0x433e9c88,101,4.211,13.523333,1.8654165,,,,,3
2025-05-19 16:07:09.139731,0x433ad35c,100,4.19,16.098333,2.229,,-81,,3,3
2025-05-19 16:07:19.207091,0x433acb14,99,4.178,18.041668,2.1799445,5.75,-16,,3,3
2025-05-19 16:08:05.697227,0x433e9c88,101,4.225,8.653333,1.9124167,,,,,3
2025-05-19 16:09:06.056684,0x433e9c88,99,4.184,10.236667,1.9245278,,,,,3
2025-05-19 16:10:05.906330,0x433e9c88,101,4.211,17.726667,2.0310833,,,,,3
2025-05-19 16:10:12.922873,0x433aad0c,101,4.22,20.15,2.3286667,7.25,-17,,3,2
2025-05-19 16:10:28.916034,0x433bc2b0,101,4.258,24.036667,2.0365834,4.5,-74,,3,3
2025-05-19 16:11:05.832198,0x433e9c88,101,4.215,13.761666,2.0593889,,,,,3
2025-05-19 16:11:33.990253,0xbd50376c,101,4.238,9.753333,1.4634445,3.25,-76,,3,3
2025-05-19 16:12:05.876639,0x433e9c88,101,4.244,8.793333,2.106861,,,,,3
2025-05-19 16:13:05.936641,0x433e9c88,101,4.22,14.455,2.2001667,,,,,3
2025-05-19 16:13:10.032089,0x433ad35c,101,4.212,15.181666,2.1747499,-2.75,-84,,3,3
2025-05-19 16:13:19.034730,0x433acb14,98,4.17,17.851667,2.4793332,7.25,-16,,3,3
2025-05-19 16:14:06.108722,0x433e9c88,101,4.225,11.856667,2.2471666,,,,,3
2025-05-19 16:15:06.195289,0x433e9c88,101,4.212,8.6,2.2592778,,,,,3
2025-05-19 16:16:06.092683,0x433e9c88,101,4.221,16.068333,2.3021944,,,,,3
2025-05-19 16:16:11.637132,0x433aad0c,101,4.21,17.521666,2.3784444,-10.25,-92,,3,3
2025-05-19 16:16:29.333950,0x433bc2b0,101,4.247,19.465,2.0888333,5.25,-72,,3,3
2025-05-19 16:17:06.129518,0x433e9c88,98,4.167,8.546667,2.3709166,,,,,3
2025-05-19 16:18:06.251031,0x433e9c88,100,4.195,9.178333,2.4017222,,,,,3
2025-05-19 16:19:06.264045,0x433e9c88,101,4.215,17.916666,2.4633334,,,,,3
2025-05-19 16:19:11.333148,0x433ad35c,100,4.194,17.243334,2.2740278,-5.0,-86,,3,3
2025-05-19 16:19:19.218207,0x433acb14,99,4.177,19.966667,2.7491667,7.0,-16,,3,3
2025-05-19 16:20:06.317083,0x433e9c88,101,4.203,13.746667,2.491639,,,,,3
2025-05-19 16:21:06.310197,0x433e9c88,101,4.213,13.131666,2.51675,,,,,3
2025-05-19 16:22:06.448941,0x433e9c88,101,4.228,17.863333,2.5849445,,,,,3
2025-05-19 16:22:12.338983,0x433aad0c,98,4.174,17.863333,2.4159722,-11.25,-93,,3,3
2025-05-19 16:22:29.377120,0x433bc2b0,101,4.271,17.168333,2.1280832,4.0,-72,,3,3
2025-05-19 16:23:06.413903,0x433e9c88,101,4.219,11.943334,2.625361,,,,,3
2025-05-19 16:24:06.471062,0x433e9c88,99,4.182,11.506667,2.6682777,,,,,3
2025-05-19 16:25:06.606136,0x433e9c88,101,4.217,16.151667,2.724361,,,,,3
2025-05-19 16:25:10.375883,0x433ad35c,101,4.224,17.273335,2.2677777,-6.0,-88,,3,3
2025-05-19 16:25:19.490232,0x433acb14,98,4.168,21.831665,3.0327501,6.25,-17,,3,3
2025-05-19 16:26:06.538697,0x433e9c88,101,4.213,10.446667,2.7364721,,,,,3
2025-05-19 16:27:06.579759,0x433e9c88,97,4.151,6.6033335,2.7728055,,,,,3
2025-05-19 16:28:06.780426,0x433e9c88,99,4.178,14.059999,2.7739444,,,,,3
2025-05-19 16:28:13.359877,0x433aad0c,101,4.21,15.908334,2.4499166,-9.5,-91,,3,3
2025-05-19 16:28:29.735681,0x433bc2b0,101,4.252,18.578333,2.1958332,3.25,-73,,3,3
2025-05-19 16:28:33.303844,0x433af864,100,4.193,18.578333,1.7183056,6.5,-16,,3,2
2025-05-19 16:29:06.722672,0x433e9c88,100,4.198,12.295,2.76825,,,,,3
2025-05-19 16:30:06.912938,0x433e9c88,101,4.219,9.753333,2.76825,,,,,3
2025-05-19 16:31:06.942430,0x433e9c88,101,4.221,21.481667,2.7520278,,,,,3
2025-05-19 16:31:10.405811,0x433ad35c,98,4.167,18.453333,2.2666667,-2.0,-83,,3,3
