datetime,fromNode,temperature,relativeHumidity,barometricPressure,gasResistance,iaq,windDirection,windSpeed,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-05-19 15:27:33.100428,0x433ad35c,31.906267,27.473583,989.2988,402.05154,4,,,-4.0,-81,,3,3
2025-05-19 15:27:35.815917,0x433aad0c,33.74386,25.692835,988.8441,710.54205,,,,-18.75,-95,,3,3
2025-05-19 15:27:43.823100,0x433acb14,28.044668,37.9426,993.65906,35.757607,160,,,7.0,-20,,3,3
2025-05-19 15:27:53.233243,0x433bc2b0,30.941189,29.005638,990.8965,259.204,45,,,2.5,-74,,3,3
2025-05-19 15:28:43.839411,0x433acb14,28.219849,37.35429,993.68066,42.52742,225,,,6.0,-16,,3,3
2025-05-19 15:29:43.858357,0x433acb14,28.459797,35.81245,993.5932,51.630768,292,,,5.5,-16,,3,3
2025-05-19 15:30:32.982086,0x433ad35c,31.798315,27.699032,989.2649,411.65936,7,,,-5.0,-85,,3,3
2025-05-19 15:30:37.374169,0x433aad0c,33.60725,25.378101,988.7502,737.14825,,,,,-79,,3,2
2025-05-19 15:30:44.420940,0x433acb14,28.732122,33.921837,993.5754,65.24513,274,,,6.75,-16,,3,3
2025-05-19 15:30:53.210327,0x433bc2b0,31.118044,28.58575,990.84796,264.83163,51,,,2.25,-77,,3,3
2025-05-19 15:31:44.209038,0x433acb14,28.934069,36.76497,993.62225,73.16598,255,,,6.25,-17,,3,3
2025-05-19 15:32:45.078959,0x433acb14,29.067518,36.77358,993.6055,80.72618,239,,,6.0,-16,,3,3
2025-05-19 15:33:33.021194,0x433ad35c,31.886108,27.415783,989.2741,415.73526,14,,,-0.5,-80,,3,3
2025-05-19 15:33:35.664878,0x433aad0c,33.832455,25.50383,988.7671,757.06213,,,,-18.0,-98,,3,3
2025-05-19 15:33:44.336071,0x433acb14,29.203451,36.483036,993.61163,88.239914,226,,,5.5,-15,,3,3
2025-05-19 15:33:53.207897,0x433bc2b0,31.208776,28.741499,990.8382,270.04312,53,,,2.25,-77,,3,3
2025-05-19 15:34:44.776159,0x433acb14,29.433361,35.0483,993.6003,97.20622,214,,,5.5,-16,,3,3
2025-05-19 15:35:45.206487,0x433acb14,29.468925,36.056892,993.6463,104.10241,203,,,5.75,-15,,3,3
2025-05-19 15:36:33.054966,0x433ad35c,31.482573,29.079708,989.2637,404.47208,22,,,-2.75,-83,,3,3
2025-05-19 15:36:35.825100,0x433aad0c,33.751408,26.38202,988.83136,753.6558,,,,-17.75,-98,,3,3
2025-05-19 15:36:47.122913,0x433acb14,29.463995,36.683506,993.6532,112.57506,193,,,,-80,,3,2
2025-05-19 15:36:53.356808,0x433bc2b0,30.96189,29.598576,990.8502,267.6293,55,,,,-80,,3,3
2025-05-19 15:37:46.075072,0x433acb14,29.286465,34.592106,993.60297,127.26244,182,,,5.75,-15,,3,3
2025-05-19 15:38:46.340979,0x433acb14,29.496546,34.27237,993.62787,145.72539,168,,,6.75,-16,,3,3
2025-05-19 15:39:33.161369,0x433ad35c,31.94614,28.57914,989.2878,387.8915,32,,,-4.75,-85,,3,3
2025-05-19 15:39:35.776121,0x433aad0c,33.84287,25.63639,988.8034,763.9681,3,,,-13.25,-94,,3,3
2025-05-19 15:39:45.621052,0x433acb14,29.535122,36.336197,993.60925,147.25131,164,,,6.0,-16,,3,3
2025-05-19 15:39:55.831094,0x433bc2b0,31.15113,29.620203,990.9083,259.204,58,,,4.25,-75,,3,3
2025-05-19 15:40:47.713272,0x433acb14,29.602036,35.730244,993.6532,154.39157,158,,,5.75,-16,,3,3
2025-05-19 15:41:45.051858,0x433acb14,29.632935,36.53308,993.65436,159.80115,153,,,5.5,-15,,3,3
