datetime,fromNode,ch3Voltage,ch3Current,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-05-19 15:29:52.609992,0x433acb14,13.33375,63.75,6.25,-16,,3,3
2025-05-19 15:30:02.102744,0x433bc2b0,13.23375,67.5,2.0,-77,,3,3
2025-05-19 15:30:42.571846,0x433ad35c,13.32875,72.5,-4.0,-84,,3,3
2025-05-19 15:33:47.651900,0x433aad0c,13.2775,61.25,-16.0,-97,,3,3
2025-05-19 15:34:52.802803,0x433acb14,13.32625,75.0,6.0,-15,,3,3
2025-05-19 15:39:53.082670,0x433acb14,13.32875,63.75,6.25,-16,,3,3
2025-05-19 15:40:02.658072,0x433bc2b0,13.2425,62.5,3.25,-76,,3,3
2025-05-19 15:40:43.738863,0x433ad35c,13.32,62.5,-0.5,-81,,3,3
2025-05-19 15:43:47.597850,0x433aad0c,13.275,62.5,-17.5,-99,,3,3
2025-05-19 15:44:53.218868,0x433acb14,13.32,65.0,6.0,-16,,3,3
2025-05-19 15:49:53.497754,0x433acb14,13.3275,63.75,6.0,-16,,3,3
2025-05-19 15:50:02.968622,0x433bc2b0,13.23875,65.0,5.5,-72,,3,3
2025-05-19 15:50:44.785093,0x433ad35c,13.30125,76.25,-3.75,-85,,3,3
2025-05-19 15:53:49.866620,0x433aad0c,13.2725,66.25,1.25,-79,,3,2
2025-05-19 15:54:56.405827,0x433acb14,13.32375,72.5,5.5,-16,,3,3
2025-05-19 15:59:54.607474,0x433acb14,13.325,63.75,6.25,-16,,3,3
2025-05-19 16:00:04.885949,0x433bc2b0,13.23875,66.25,4.5,-74,,3,3
2025-05-19 16:00:48.795872,0x433ad35c,13.2975,60.0,-3.25,-84,,3,3
2025-05-19 16:03:50.000641,0x433aad0c,13.27125,63.75,-7.75,-89,,3,3
2025-05-19 16:04:54.176950,0x433acb14,13.3225,76.25,6.0,-16,,3,3
2025-05-19 16:09:57.817020,0x433acb14,13.32,78.75,6.25,-18,,3,3
2025-05-19 16:10:07.086860,0x433bc2b0,13.23,85.0,4.0,-73,,3,3
2025-05-19 16:10:49.273939,0x433ad35c,13.28375,73.75,2.0,-79,,3,3
2025-05-19 16:13:52.417873,0x433aad0c,13.27,63.75,-14.75,-97,,3,3
2025-05-19 16:14:56.411691,0x433acb14,13.32125,75.0,7.0,-17,,3,3
2025-05-19 16:19:57.519957,0x433acb14,13.32125,63.75,7.0,-17,,3,3
2025-05-19 16:20:09.548527,0x433bc2b0,13.24125,60.0,6.0,-71,,3,3
2025-05-19 16:20:52.243920,0x433ad35c,13.28375,63.75,-5.0,-86,,3,3
2025-05-19 16:23:54.838076,0x433aad0c,13.26875,60.0,-12.5,-94,,3,3
2025-05-19 16:24:59.535567,0x433acb14,13.3225,66.25,6.0,-17,,3,3
2025-05-19 16:29:59.484871,0x433acb14,13.32125,61.25,6.5,-17,,3,3
2025-05-19 16:30:11.191032,0x433bc2b0,13.23875,60.0,4.75,-75,,3,3
2025-05-19 16:30:53.933752,0x433ad35c,13.27875,66.25,-3.25,-84,,3,3
2025-05-19 16:33:59.490773,0x433aad0c,13.26625,65.0,-14.0,-95,,3,3
2025-05-19 16:35:00.735611,0x433acb14,13.31625,70.0,6.25,-17,,3,3
2025-05-19 16:40:02.681051,0x433acb14,13.32125,63.75,7.25,-17,,3,3
2025-05-19 16:40:15.798578,0x433bc2b0,13.2375,61.25,2.75,-75,,3,3
2025-05-19 16:40:56.679478,0x433ad35c,13.275,63.75,-1.75,-82,,3,3
2025-05-19 16:44:00.290700,0x433aad0c,13.2675,66.25,-7.0,-88,,3,3
2025-05-19 16:45:02.990886,0x433acb14,13.31625,76.25,6.75,-17,,3,3
2025-05-19 16:50:04.852705,0x433acb14,13.32,68.75,7.0,-16,,3,3
2025-05-19 16:50:17.112672,0x433bc2b0,13.235,62.5,4.75,-75,,3,3
2025-05-19 16:50:59.555865,0x433ad35c,13.2675,77.5,-2.25,-83,,3,3
2025-05-19 16:54:03.429743,0x433aad0c,13.26,75.0,-7.75,-89,,3,3
