datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-05-19 15:04:31.436295,0x433ad35c,,,1,,,1,6.25,-50,,3,3
2025-05-19 15:04:33.944495,0x433aad0c,,,1,,,1,6.0,-74,,3,3
2025-05-19 15:05:31.467696,0x433ad35c,,,1,,,1,6.0,-52,,3,3
2025-05-19 15:05:34.521487,0x433aad0c,,,1,,,1,2.25,-83,,3,3
2025-05-19 15:06:31.623379,0x433ad35c,,,1,,,1,6.0,-57,,3,3
2025-05-19 15:06:33.884211,0x433aad0c,,,,,,,2.75,-82,,3,3
2025-05-19 15:07:31.791693,0x433ad35c,,,,,,,6.5,-54,,3,3
2025-05-19 15:07:34.890598,0x433aad0c,,,1,,,1,3.0,-84,,3,3
2025-05-19 15:08:31.975653,0x433ad35c,,,,,,,6.5,-54,,3,3
2025-05-19 15:08:34.180112,0x433aad0c,,,,,,,2.0,-85,,3,3
2025-05-19 15:09:32.235298,0x433ad35c,,,1,,,1,6.0,-56,,3,3
2025-05-19 15:09:35.249484,0x433aad0c,,1,1,,1,1,3.75,-82,,3,3
2025-05-19 15:09:50.635519,0x433bc2b0,,,,,,,6.25,-54,,3,3
2025-05-19 15:10:32.446415,0x433ad35c,,,2,,,2,6.25,-57,,3,3
2025-05-19 15:10:34.862451,0x433aad0c,,,,,,,2.5,-85,,3,3
2025-05-19 15:10:50.944687,0x433bc2b0,,1,2,,1,2,6.0,-54,,3,3
2025-05-19 15:11:32.641237,0x433ad35c,,,,,,,6.5,-61,,3,3
2025-05-19 15:11:35.166322,0x433aad0c,,,,,,,3.0,-84,,3,3
2025-05-19 15:11:51.059628,0x433bc2b0,,,,,,,6.0,-54,,3,3
2025-05-19 15:12:32.891335,0x433ad35c,,,1,,,1,6.25,-58,,3,3
2025-05-19 15:12:36.030276,0x433aad0c,,,,,,,4.25,-82,,3,3
2025-05-19 15:12:51.846199,0x433bc2b0,,,,,,,6.0,-54,,3,3
2025-05-19 15:13:33.119368,0x433ad35c,,,1,,,1,6.25,-61,,3,3
2025-05-19 15:13:36.156271,0x433aad0c,,1,2,,1,2,3.75,-82,,3,3
2025-05-19 15:13:51.695527,0x433bc2b0,1,1,1,1,1,1,5.75,-56,,3,3
2025-05-19 15:14:33.279386,0x433ad35c,,,,,,,6.0,-61,,3,3
2025-05-19 15:14:36.601414,0x433aad0c,,,,,,,-3.75,-92,,3,3
2025-05-19 15:14:51.667359,0x433bc2b0,,,2,,,2,6.25,-53,,3,3
2025-05-19 15:15:35.481181,0x433ad35c,,1,3,,1,3,6.25,-55,,3,3
2025-05-19 15:15:36.937594,0x433aad0c,,,,,,,0.25,-89,,3,3
2025-05-19 15:15:52.091134,0x433bc2b0,,,,,,,5.75,-53,,3,3
2025-05-19 15:16:33.818445,0x433ad35c,,,1,,,1,6.0,-55,,3,3
2025-05-19 15:16:36.808489,0x433aad0c,1,2,3,1,2,3,-12.75,-102,,3,3
2025-05-19 15:16:52.236523,0x433bc2b0,1,1,3,1,1,3,5.75,-52,,3,3
