datetime,fromNode,batteryLevel,voltage,channelUtilization,airUtilTx,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-05-19 15:04:06.385743,0x433aad0c,101,4.221,19.168333,0.0445,4.5,-76,,3,3
2025-05-19 15:04:22.385004,0x433af864,101,4.209,13.1050005,0.02825,,,,3,3
2025-05-19 15:04:53.620974,0x433bc2b0,101,4.24,12.833333,0.28936112,6.0,-51,,3,3
2025-05-19 15:05:22.428901,0x433af864,101,4.22,5.8433332,0.044666667,,,,,3
2025-05-19 15:06:22.594333,0x433af864,99,4.18,3.12,0.044666667,,,,,3
2025-05-19 15:07:04.539603,0x433ad35c,99,4.178,7.3933334,0.25025,6.0,-62,,3,3
2025-05-19 15:07:22.599643,0x433af864,101,4.229,11.606667,0.093277775,,,,,3
2025-05-19 15:08:22.670008,0x433af864,99,4.177,3.0133333,0.093277775,,,,,3
2025-05-19 15:09:22.720884,0x433af864,100,4.194,3.7549999,0.10741666,,,,,3
2025-05-19 15:10:07.090902,0x433aad0c,101,4.228,10.733334,0.21791668,1.25,-87,,3,3
2025-05-19 15:10:22.793340,0x433af864,97,4.161,28.361666,0.22777778,,,,,3
2025-05-19 15:10:24.824726,0x433bc2b0,101,4.244,20.778332,0.0445,7.25,-55,,3,3
2025-05-19 15:11:22.755898,0x433af864,101,4.211,6.3533335,0.25744444,,,,,3
2025-05-19 15:12:22.838196,0x433af864,101,4.214,4.36,0.25744444,,,,,3
2025-05-19 15:13:04.983603,0x433ad35c,97,4.16,11.87,0.49897224,6.25,-51,,3,3
2025-05-19 15:13:23.014910,0x433af864,101,4.202,12.718333,0.32475,,,,,3
2025-05-19 15:14:22.981940,0x433af864,100,4.195,6.6533337,0.33888888,,,,,3
2025-05-19 15:15:22.977162,0x433af864,98,4.169,4.4666667,0.35099998,,,,,3
2025-05-19 15:16:06.788654,0x433aad0c,101,4.26,11.173333,0.5313889,4.0,-83,,3,3
2025-05-19 15:16:23.067075,0x433af864,101,4.218,13.116667,0.38794443,,,,,3
2025-05-19 15:16:25.504678,0x433bc2b0,101,4.226,12.021667,0.17549999,5.75,-52,,3,3
2025-05-19 15:17:23.061336,0x433af864,98,4.175,7.01,0.38794443,,,,,3
2025-05-19 15:18:23.196673,0x433af864,99,4.188,4.66,0.40255556,,,,,3
2025-05-19 15:19:05.009592,0x433ad35c,101,4.217,10.983333,0.71672225,5.75,-57,,3,3
2025-05-19 15:19:23.301552,0x433af864,98,4.166,12.926666,0.42125002,,,,,3
2025-05-19 15:20:23.204701,0x433af864,98,4.165,6.056667,0.4333611,,,,,3
2025-05-19 15:21:23.243591,0x433af864,98,4.163,7.2333336,0.4475,,,,,3
2025-05-19 15:22:07.067642,0x433aad0c,101,4.226,11.173333,0.72388893,3.0,-85,,3,3
2025-05-19 15:22:23.347302,0x433af864,98,4.17,13.116667,0.46619442,,,,,3
2025-05-19 15:22:25.374392,0x433bc2b0,101,4.236,13.116667,0.34758332,6.0,-54,,3,3
2025-05-19 15:23:23.357474,0x433af864,100,4.196,6.493333,0.4823889,,,,,3
2025-05-19 15:24:23.554492,0x433af864,98,4.167,6.1633334,0.49538887,,,,,3
2025-05-19 15:25:05.416727,0x433ad35c,101,4.209,19.176666,0.89955556,6.0,-61,,3,3
2025-05-19 15:25:15.422696,0x433acb14,96,4.145,21.119999,0.074361116,3.75,-83,,3,3
2025-05-19 15:25:23.478596,0x433af864,98,4.171,22.215,0.54669446,,,,,3
2025-05-19 15:26:23.486673,0x433af864,100,4.194,9.533333,0.5613056,,,,,3
2025-05-19 15:27:23.520595,0x433af864,100,4.197,8.163334,0.593,,,,,3
2025-05-19 15:28:02.756918,0x433e9c88,100,4.194,15.056666,0.07575,0.25,-88,,3,3
2025-05-19 15:28:09.544482,0x433aad0c,100,4.191,18.848333,0.9281667,2.0,-86,,3,3
2025-05-19 15:28:23.564667,0x433af864,100,4.2,28.21,0.6753333,,,,,3
2025-05-19 15:28:25.426646,0x433bc2b0,101,4.238,28.21,0.5673611,6.25,-53,,3,3
2025-05-19 15:29:23.647983,0x433af864,101,4.22,8.383333,0.7063611,,,,,3
2025-05-19 15:29:29.870790,0xbd50376c,101,4.218,8.383333,1.2842222,6.0,-58,,3,3
2025-05-19 15:30:23.657224,0x433af864,100,4.195,12.203334,0.7373889,,,,,3
2025-05-19 15:31:05.459560,0x433ad35c,99,4.186,18.78,1.1478611,7.25,-55,,3,3
2025-05-19 15:31:15.290662,0x433acb14,99,4.18,20.723333,0.35474998,3.5,-84,,3,3
2025-05-19 15:31:23.821804,0x433af864,101,4.211,22.516666,0.7563056,,,,,3
2025-05-19 15:32:23.900931,0x433af864,100,4.197,8.273334,0.8115555,,,,,3
2025-05-19 15:33:23.928235,0x433af864,98,4.165,8.083333,0.8546945,,,,,3
2025-05-19 15:34:07.464933,0x433aad0c,101,4.213,17.768333,1.1308612,3.75,-84,,3,3
2025-05-19 15:34:23.997486,0x433af864,100,4.194,19.711668,0.89783335,,,,,3
2025-05-19 15:34:26.045686,0x433bc2b0,101,4.234,19.711668,0.7915278,6.75,-55,,3,3
2025-05-19 15:35:24.003058,0x433af864,96,4.147,12.871666,0.9288611,,,,,3
2025-05-19 15:36:23.987964,0x433af864,99,4.18,8.190001,0.9598888,,,,,3
2025-05-19 15:37:06.242707,0x433ad35c,100,4.193,16.608334,1.3105834,5.75,-65,,3,3
2025-05-19 15:37:15.441667,0x433acb14,98,4.17,18.960001,0.64336115,3.75,-84,,3,3
2025-05-19 15:37:24.006984,0x433af864,99,4.18,20.903334,0.99091667,,,,,3
2025-05-19 15:38:24.052325,0x433af864,98,4.168,9.376667,1.0228333,,,,,3
2025-05-19 15:39:24.242889,0x433af864,101,4.214,8.49,1.0538611,,,,,3
2025-05-19 15:40:07.703876,0x433aad0c,101,4.239,21.176666,1.3769444,-2.75,-92,,3,3
2025-05-19 15:40:24.233302,0x433af864,101,4.236,22.393333,1.0848889,,,,,3
2025-05-19 15:40:25.793745,0x433bc2b0,101,4.238,23.119999,1.0176945,6.25,-53,,3,3
2025-05-19 15:41:24.223246,0x433af864,100,4.195,10.376666,1.1159167,,,,,3
2025-05-19 15:42:24.315051,0x433af864,101,4.212,11.505,1.1280278,,,,,3
2025-05-19 15:43:08.030422,0x433ad35c,99,4.182,23.061666,1.5814444,5.5,-52,,3,3
2025-05-19 15:43:15.707834,0x433acb14,99,4.188,27.904999,0.9951388,4.0,-82,,3,3
2025-05-19 15:43:24.325536,0x433af864,101,4.21,31.215,1.2003611,,,,,3
2025-05-19 15:44:24.328561,0x433af864,101,4.229,11.225,1.2266111,,,,,3
2025-05-19 15:45:24.392157,0x433af864,101,4.205,10.806666,1.2387222,,,,,3
2025-05-19 15:46:08.025797,0x433aad0c,101,4.23,17.508333,1.7031666,-2.5,-91,,3,3
2025-05-19 15:46:24.564537,0x433af864,101,4.22,15.755001,1.26975,,,,3,3
2025-05-19 15:46:27.715804,0x433bc2b0,101,4.253,18.725,1.2331667,6.25,-52,,3,3
2025-05-19 15:47:24.748831,0x433af864,101,4.244,12.268333,1.3188056,,,,,3
2025-05-19 15:48:24.750180,0x433af864,101,4.204,9.285,1.3188056,,,,,3
2025-05-19 15:49:06.484939,0x433ad35c,98,4.169,16.015001,1.7760556,7.5,-54,,3,3
2025-05-19 15:49:15.872957,0x433acb14,101,4.204,17.958332,1.2774167,4.5,-78,,3,3
2025-05-19 15:49:24.672715,0x433af864,101,4.203,20.873333,1.3188056,,,,,3
2025-05-19 15:50:24.776265,0x433af864,101,4.207,12.176666,1.3571666,,,,,3
2025-05-19 15:51:24.924717,0x433af864,98,4.167,9.753333,1.402111,,,,,3
2025-05-19 15:52:08.245562,0x433aad0c,101,4.22,17.551666,1.97175,3.0,-85,,3,3
2025-05-19 15:52:25.033557,0x433af864,98,4.162,18.768333,1.4329168,,,,,3
2025-05-19 15:52:26.797773,0x433bc2b0,101,4.229,16.130001,1.4809722,5.75,-53,,3,3
2025-05-19 15:53:24.885332,0x433af864,101,4.203,8.056666,1.4329168,,,,,3
2025-05-19 15:54:24.981785,0x433af864,100,4.198,10.4800005,1.4591666,,,,,3
2025-05-19 15:55:06.753433,0x433ad35c,101,4.206,19.453333,1.9584445,6.0,-55,,3,3
2025-05-19 15:55:16.117395,0x433acb14,98,4.173,21.396667,1.621361,4.0,-81,,3,3
2025-05-19 15:55:25.146077,0x433af864,100,4.19,22.613333,1.4833889,,,,,3
2025-05-19 15:56:25.105457,0x433af864,100,4.192,8.89,1.4833889,,,,,3
2025-05-19 15:57:25.078043,0x433af864,98,4.172,9.67,1.5384166,,,,,3
2025-05-19 15:58:08.396918,0x433aad0c,100,4.195,16.848333,2.2501388,1.5,-87,,3,3
2025-05-19 15:58:25.174904,0x433af864,99,4.184,16.943335,1.5692223,,,,,3
2025-05-19 15:58:26.518365,0x433bc2b0,101,4.251,18.791666,1.6640278,6.25,-53,,3,3
2025-05-19 15:59:25.319653,0x433af864,99,4.183,8.546667,1.6080556,,,,,3
2025-05-19 16:00:25.402376,0x433af864,101,4.227,11.556666,1.6760833,,,,,3
2025-05-19 16:01:06.982118,0x433ad35c,101,4.209,17.438334,2.2067223,6.0,-57,,3,3
2025-05-19 16:01:16.757794,0x433acb14,99,4.177,19.381666,1.9258056,3.0,-85,,3,3
2025-05-19 16:01:25.296870,0x433af864,101,4.213,20.203333,1.7032223,,,,,3
2025-05-19 16:02:25.299065,0x433af864,101,4.207,8.163334,1.7032223,,,,,3
2025-05-19 16:03:25.401161,0x433af864,101,4.21,10.791667,1.7153333,,,,,3
2025-05-19 16:04:06.801581,0x433e9c88,101,4.23,15.756666,1.6885277,3.25,-84,,3,3
2025-05-19 16:04:09.409716,0x433aad0c,101,4.25,17.483334,2.39875,3.75,-83,,3,3
2025-05-19 16:04:25.492431,0x433af864,100,4.191,20.398335,1.7090278,,,,,3
2025-05-19 16:04:26.875952,0x433bc2b0,101,4.26,18.154999,1.9137499,6.0,-54,,3,3
2025-05-19 16:05:25.631760,0x433af864,101,4.207,15.038334,1.7368611,,,,,3
2025-05-19 16:06:25.511596,0x433af864,99,4.185,8.783333,1.700361,,,,,3
2025-05-19 16:07:07.126556,0x433ad35c,100,4.19,16.098333,2.229,7.25,-55,,3,3
2025-05-19 16:07:17.184996,0x433acb14,99,4.178,18.041668,2.1799445,5.5,-80,,3,3
2025-05-19 16:07:25.714460,0x433af864,98,4.174,19.984999,1.700361,,,,,3
2025-05-19 16:08:25.788213,0x433af864,99,4.177,9.285,1.6983334,,,,,3
2025-05-19 16:09:25.836244,0x433af864,101,4.214,9.51,1.6533889,,,,,3
2025-05-19 16:10:08.854409,0x433aad0c,101,4.22,20.15,2.3286667,4.5,-79,,3,3
2025-05-19 16:10:25.694462,0x433af864,99,4.188,23.064999,1.6165557,,,,,3
2025-05-19 16:10:26.894662,0x433bc2b0,101,4.258,24.036667,2.0365834,5.75,-53,,3,3
2025-05-19 16:11:25.777566,0x433af864,100,4.194,9.753333,1.6356945,,,,,3
2025-05-19 16:11:31.955522,0xbd50376c,101,4.238,9.753333,1.4634445,5.25,-59,,3,3
2025-05-19 16:12:25.852975,0x433af864,101,4.216,10.08,1.5870833,,,,,3
2025-05-19 16:13:08.006638,0x433ad35c,101,4.212,15.181666,2.1747499,6.0,-51,,3,3
2025-05-19 16:13:17.011477,0x433acb14,98,4.17,17.851667,2.4793332,1.5,-87,,3,3
2025-05-19 16:13:25.832882,0x433af864,101,4.23,16.43,1.5683889,,,,,3
2025-05-19 16:14:25.980015,0x433af864,101,4.221,9.966667,1.607639,,,,,3
2025-05-19 16:15:25.925048,0x433af864,101,4.232,10.16,1.623139,,,,,3
2025-05-19 16:16:09.612661,0x433aad0c,101,4.21,17.521666,2.3784444,5.25,-75,,3,3
2025-05-19 16:16:26.148592,0x433af864,98,4.163,19.465,1.6178889,,,,,3
2025-05-19 16:16:27.309789,0x433bc2b0,101,4.247,19.465,2.0888333,5.5,-52,,3,3
2025-05-19 16:17:26.016149,0x433af864,100,4.2,8.783333,1.5991945,,,,,3
2025-05-19 16:18:26.136023,0x433af864,101,4.213,9.905,1.6542222,,,,,3
2025-05-19 16:19:09.310663,0x433ad35c,100,4.194,17.243334,2.2740278,5.75,-60,,3,3
2025-05-19 16:19:17.195725,0x433acb14,99,4.177,19.966667,2.7491667,2.5,-86,,3,3
2025-05-19 16:19:26.223971,0x433af864,101,4.21,21.13,1.6688056,,,,,3
2025-05-19 16:20:26.346559,0x433af864,98,4.164,12.176666,1.6905,,,,,3
2025-05-19 16:21:26.353087,0x433af864,100,4.197,10.639999,1.7005833,,,,,3
2025-05-19 16:22:10.313429,0x433aad0c,98,4.174,17.863333,2.4159722,4.75,-76,,3,3
2025-05-19 16:22:26.341455,0x433af864,99,4.187,17.168333,1.7378056,,,,,3
2025-05-19 16:22:27.354556,0x433bc2b0,101,4.271,17.168333,2.1280832,5.75,-53,,3,3
2025-05-19 16:23:26.438237,0x433af864,98,4.171,9.083334,1.7483333,,,,,3
2025-05-19 16:24:26.516668,0x433af864,98,4.171,10.4800005,1.7736945,,,,,3
2025-05-19 16:25:08.351573,0x433ad35c,101,4.224,17.273335,2.2677777,6.0,-56,,3,3
2025-05-19 16:25:17.462912,0x433acb14,98,4.168,21.831665,3.0327501,3.0,-85,,3,3
2025-05-19 16:25:26.490980,0x433af864,100,4.194,22.653334,1.8159165,,,,,3
2025-05-19 16:26:26.493806,0x433af864,101,4.205,8.89,1.7810278,,,,,3
2025-05-19 16:27:26.526756,0x433af864,101,4.227,9.616667,1.7493334,,,,,3
2025-05-19 16:28:11.334452,0x433aad0c,101,4.21,15.908334,2.4499166,5.25,-76,,3,3
2025-05-19 16:28:26.679618,0x433af864,100,4.193,18.578333,1.7183056,,,,3,3
2025-05-19 16:28:30.234437,0x433bc2b0,101,4.252,18.578333,2.1958332,6.0,-61,,3,2
2025-05-19 16:29:26.708784,0x433af864,101,4.217,12.776667,1.6688334,,,,,3
2025-05-19 16:30:26.755550,0x433af864,101,4.226,12.176666,1.6903056,,,,,3
2025-05-19 16:31:08.380653,0x433ad35c,98,4.167,18.453333,2.2666667,5.75,-52,,3,3
2025-05-19 16:31:17.717669,0x433acb14,99,4.18,21.956667,3.0482779,3.0,-85,,3,3
2025-05-19 16:31:26.996767,0x433af864,99,4.182,22.446667,1.721861,,,,,3
2025-05-19 16:32:26.952296,0x433af864,100,4.199,9.51,1.6666111,,,,,3
2025-05-19 16:33:26.996178,0x433af864,101,4.237,9.51,1.6355833,,,,,3
2025-05-19 16:34:11.906466,0x433aad0c,101,4.234,16.483334,2.4077222,4.75,-76,,3,3
2025-05-19 16:34:26.949489,0x433af864,101,4.238,18.276667,1.6287777,,,,,3
2025-05-19 16:34:27.972793,0x433bc2b0,101,4.249,19.003334,2.1208055,5.75,-52,,3,3
2025-05-19 16:35:27.019850,0x433af864,101,4.238,10.4800005,1.611889,,,,,3
2025-05-19 16:36:27.226278,0x433af864,97,4.153,8.783333,1.5929722,,,,,3
2025-05-19 16:37:08.818948,0x433ad35c,100,4.192,17.468334,2.28075,5.75,-56,,3,3
2025-05-19 16:37:17.704546,0x433acb14,100,4.197,18.685,3.035389,3.75,-82,,3,3
2025-05-19 16:37:27.237993,0x433af864,101,4.224,16.141666,1.5806388,,,,,3
2025-05-19 16:38:27.166545,0x433af864,101,4.225,10.118333,1.5738332,,,,,3
2025-05-19 16:39:27.195580,0x433af864,101,4.227,8.163334,1.5428056,,,,,3
2025-05-19 16:40:06.344826,0x433e9c88,101,4.234,17.605001,2.672861,-3.75,-93,,3,3
2025-05-19 16:40:10.687675,0x433aad0c,100,4.197,18.878334,2.2979722,5.25,-76,,3,3
2025-05-19 16:40:27.281431,0x433af864,100,4.195,20.606667,1.550139,,,,,3
2025-05-19 16:40:28.318525,0x433bc2b0,101,4.239,21.728334,2.1358888,5.75,-53,,3,3
2025-05-19 16:41:27.406686,0x433af864,101,4.223,12.651667,1.5453612,,,,,3
2025-05-19 16:42:27.334314,0x433af864,100,4.191,8.056666,1.5332501,,,,,3
2025-05-19 16:43:08.823631,0x433ad35c,98,4.174,13.546666,2.277111,6.0,-60,,3,3
2025-05-19 16:43:18.069876,0x433acb14,99,4.182,16.943335,2.9755833,-2.5,-91,,3,3
2025-05-19 16:43:27.380679,0x433af864,100,4.197,18.886665,1.4771111,,,,,3
2025-05-19 16:44:27.506650,0x433af864,96,4.146,11.601666,1.4609166,,,,,3
2025-05-19 16:45:27.602395,0x433af864,98,4.17,9.753333,1.4750555,,,,,3
2025-05-19 16:46:10.924538,0x433aad0c,101,4.228,15.908334,2.1741667,5.5,-76,,3,3
2025-05-19 16:46:27.557454,0x433af864,99,4.186,17.851667,1.4748333,,,,,3
2025-05-19 16:46:28.243644,0x433bc2b0,101,4.214,17.851667,2.144528,5.5,-52,,3,3
2025-05-19 16:47:27.732133,0x433af864,99,4.188,8.783333,1.4378889,,,,,3
