datetime,fromNode,temperature,relativeHumidity,barometricPressure,gasResistance,iaq,windDirection,windSpeed,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-05-19 15:04:19.917817,0x433bc2b0,28.252192,34.25067,990.94324,117.37911,303,,,7.25,-51,,3,3
2025-05-19 15:06:30.828174,0x433ad35c,31.825844,27.425987,989.37,289.58304,,,,6.0,-57,,3,3
2025-05-19 15:06:34.668562,0x433aad0c,34.598705,25.048208,988.9197,501.37122,,,,4.5,-81,,3,3
2025-05-19 15:07:19.822658,0x433bc2b0,28.921478,32.60911,990.9196,155.52461,184,,,7.0,-54,,3,3
2025-05-19 15:09:31.278051,0x433ad35c,31.923735,27.393658,989.3351,313.4735,,,,5.75,-56,,3,3
2025-05-19 15:09:34.712792,0x433aad0c,34.557518,24.763117,988.8708,527.8632,,,,4.0,-82,,3,3
2025-05-19 15:12:30.860697,0x433ad35c,32.20428,27.022308,989.32574,324.872,,,,4.5,-73,,3,3
2025-05-19 15:12:35.502106,0x433aad0c,34.001717,24.406847,988.8174,583.54895,,,,3.5,-81,,3,3
2025-05-19 15:12:50.976790,0x433bc2b0,29.935595,30.180723,990.86615,203.7267,91,,,6.75,-54,,3,3
2025-05-19 15:15:30.835567,0x433ad35c,32.217033,26.90308,989.2808,346.31348,,,,6.25,-54,,3,3
2025-05-19 15:15:33.764676,0x433aad0c,34.464626,24.164186,988.7872,624.95856,,,,2.25,-85,,3,3
2025-05-19 15:15:51.533999,0x433bc2b0,30.252594,29.618061,990.82764,220.35637,62,,,5.5,-53,,3,3
2025-05-19 15:18:30.882021,0x433ad35c,32.029037,26.881563,989.30054,366.26608,,,,6.0,-62,,3,3
2025-05-19 15:18:33.982953,0x433aad0c,34.6115,24.127787,988.8273,637.45776,,,,-0.25,-89,,3,3
2025-05-19 15:18:51.027051,0x433bc2b0,30.46399,29.068747,990.8287,242.05836,44,,,5.75,-53,,3,3
2025-05-19 15:21:31.514969,0x433ad35c,32.008797,26.829931,989.2827,383.68256,,,,6.5,-61,,3,3
2025-05-19 15:21:33.992872,0x433aad0c,33.90055,24.833117,988.8124,679.52344,,,,1.75,-86,,3,3
2025-05-19 15:21:51.521070,0x433bc2b0,30.685297,28.735664,990.8788,246.40477,45,,,7.0,-54,,3,3
2025-05-19 15:24:30.975778,0x433ad35c,32.07407,26.949913,989.32214,392.65234,,,,7.25,-60,,3,3
2025-05-19 15:24:34.017184,0x433aad0c,34.042408,25.162893,988.85254,695.76996,,,,2.75,-86,,3,3
2025-05-19 15:24:52.761121,0x433bc2b0,30.871494,28.702938,990.8974,250.91013,47,,,6.0,-53,,3,3
2025-05-19 15:25:42.622903,0x433acb14,27.452387,37.429752,993.6059,29.265232,73,,,5.0,-81,,3,3
2025-05-19 15:26:41.714138,0x433acb14,27.746681,37.48376,993.6552,31.871494,105,,,1.0,-87,,3,3
2025-05-19 15:27:30.950732,0x433ad35c,31.906267,27.473583,989.2988,402.05154,4,,,5.25,-69,,3,3
2025-05-19 15:27:33.761988,0x433aad0c,33.74386,25.692835,988.8441,710.54205,,,,3.0,-85,,3,3
2025-05-19 15:27:41.756078,0x433acb14,28.044668,37.9426,993.65906,35.757607,160,,,5.0,-79,,3,3
2025-05-19 15:27:51.183720,0x433bc2b0,30.941189,29.005638,990.8965,259.204,45,,,5.75,-53,,3,3
2025-05-19 15:28:41.809080,0x433acb14,28.219849,37.35429,993.68066,42.52742,225,,,5.75,-80,,3,3
2025-05-19 15:29:41.816738,0x433acb14,28.459797,35.81245,993.5932,51.630768,292,,,-12.5,-102,,3,3
2025-05-19 15:30:30.963090,0x433ad35c,31.798315,27.699032,989.2649,411.65936,7,,,5.75,-53,,3,3
2025-05-19 15:30:33.566756,0x433aad0c,33.60725,25.378101,988.7502,737.14825,,,,-1.25,-91,,3,3
2025-05-19 15:30:42.376640,0x433acb14,28.732122,33.921837,993.5754,65.24513,274,,,4.25,-82,,3,3
2025-05-19 15:30:51.190086,0x433bc2b0,31.118044,28.58575,990.84796,264.83163,51,,,6.25,-53,,3,3
2025-05-19 15:31:42.164091,0x433acb14,28.934069,36.76497,993.62225,73.16598,255,,,1.25,-87,,3,3
2025-05-19 15:32:42.960013,0x433acb14,29.067518,36.77358,993.6055,80.72618,239,,,-2.0,-91,,3,3
2025-05-19 15:33:31.000700,0x433ad35c,31.886108,27.415783,989.2741,415.73526,14,,,5.75,-67,,3,3
2025-05-19 15:33:33.644640,0x433aad0c,33.832455,25.50383,988.7671,757.06213,,,,2.25,-87,,3,3
2025-05-19 15:33:42.291766,0x433acb14,29.203451,36.483036,993.61163,88.239914,226,,,3.75,-84,,3,3
2025-05-19 15:33:51.186878,0x433bc2b0,31.208776,28.741499,990.8382,270.04312,53,,,6.25,-53,,3,3
2025-05-19 15:34:42.729115,0x433acb14,29.433361,35.0483,993.6003,97.20622,214,,,5.0,-80,,3,3
2025-05-19 15:35:43.158689,0x433acb14,29.468925,36.056892,993.6463,104.10241,203,,,5.0,-80,,3,3
2025-05-19 15:36:31.030125,0x433ad35c,31.482573,29.079708,989.2637,404.47208,22,,,7.0,-55,,3,3
2025-05-19 15:36:33.802470,0x433aad0c,33.751408,26.38202,988.83136,753.6558,,,,0.75,-87,,3,3
2025-05-19 15:36:43.032680,0x433acb14,29.463995,36.683506,993.6532,112.57506,193,,,1.0,-87,,3,3
2025-05-19 15:36:51.342945,0x433bc2b0,30.96189,29.598576,990.8502,267.6293,55,,,7.25,-53,,3,3
2025-05-19 15:37:43.944890,0x433acb14,29.286465,34.592106,993.60297,127.26244,182,,,2.5,-85,,3,3
2025-05-19 15:38:44.293790,0x433acb14,29.496546,34.27237,993.62787,145.72539,168,,,3.5,-82,,3,3
2025-05-19 15:39:31.137802,0x433ad35c,31.94614,28.57914,989.2878,387.8915,32,,,7.5,-61,,3,3
2025-05-19 15:39:33.750024,0x433aad0c,33.84287,25.63639,988.8034,763.9681,3,,,3.0,-85,,3,3
2025-05-19 15:39:43.575600,0x433acb14,29.535122,36.336197,993.60925,147.25131,164,,,4.5,-80,,3,3
2025-05-19 15:39:53.807980,0x433bc2b0,31.15113,29.620203,990.9083,259.204,58,,,5.5,-53,,3,3
2025-05-19 15:40:45.663979,0x433acb14,29.602036,35.730244,993.6532,154.39157,158,,,6.0,-80,,3,3
2025-05-19 15:41:43.003017,0x433acb14,29.632935,36.53308,993.65436,159.80115,153,,,5.0,-79,,3,3
2025-05-19 15:42:31.151007,0x433ad35c,31.71056,29.170925,989.29724,399.18488,35,,,5.75,-58,,3,3
2025-05-19 15:42:34.080886,0x433aad0c,33.95619,26.388016,988.82355,756.6347,8,,,-2.5,-91,,3,3
2025-05-19 15:42:43.002096,0x433acb14,29.676216,35.283928,993.64795,165.7662,149,,,3.75,-82,,3,3
2025-05-19 15:42:51.331791,0x433bc2b0,31.092691,29.72232,990.8745,269.16034,50,,,7.75,-53,,3,3
2025-05-19 15:43:43.794873,0x433acb14,29.686714,34.253323,993.66833,182.03883,141,,,4.0,-79,,3,3
2025-05-19 15:44:42.595946,0x433acb14,29.650774,34.405533,993.71014,192.29349,135,,,3.25,-82,,3,3
2025-05-19 15:45:31.137017,0x433ad35c,31.66545,29.178429,989.3295,391.96503,42,,,5.75,-54,,3,3
2025-05-19 15:45:34.148627,0x433aad0c,33.677418,26.61768,988.843,749.86005,15,,,4.5,-83,,3,3
2025-05-19 15:45:44.844081,0x433acb14,29.732061,35.36454,993.7898,201.88766,129,,,6.0,-58,,3,2
2025-05-19 15:45:51.578637,0x433bc2b0,30.996468,30.154896,990.94354,264.61884,53,,,5.25,-52,,3,3
2025-05-19 15:46:43.600788,0x433acb14,29.379581,33.328575,993.66724,225.1798,120,,,4.25,-82,,3,3
2025-05-19 15:47:45.075966,0x433acb14,29.64325,33.07751,993.70087,249.19444,109,,,6.0,-81,,3,3
2025-05-19 15:48:31.200705,0x433ad35c,32.016506,29.204035,989.33356,385.6648,48,,,6.0,-54,,3,3
2025-05-19 15:48:34.405860,0x433aad0c,33.90568,26.564173,988.86755,746.93427,20,,,1.5,-86,,3,3
2025-05-19 15:48:43.804623,0x433acb14,29.709599,35.571487,993.6982,239.13687,110,,,5.75,-80,,3,3
2025-05-19 15:48:51.522899,0x433bc2b0,31.080376,29.93339,990.9058,261.88345,57,,,6.0,-52,,3,3
2025-05-19 15:49:44.637062,0x433acb14,29.806997,35.175114,993.7415,238.44945,108,,,4.0,-84,,3,3
2025-05-19 15:50:45.027956,0x433acb14,29.773499,34.597847,993.67413,251.46072,104,,,3.5,-82,,3,3
2025-05-19 15:51:31.170104,0x433ad35c,32.00147,28.775198,989.3433,385.44354,51,,,6.0,-53,,3,3
2025-05-19 15:51:33.826011,0x433aad0c,33.979145,26.498535,988.8455,743.7006,25,,,0.75,-87,,3,3
2025-05-19 15:51:44.114628,0x433acb14,29.939995,35.19783,993.68976,255.33083,101,,,3.5,-82,,3,3
2025-05-19 15:51:51.970582,0x433bc2b0,31.030315,30.401442,990.93805,268.50208,50,,,6.25,-53,,3,3
2025-05-19 15:52:44.043783,0x433acb14,30.001453,34.969254,993.6769,254.54732,101,,,6.0,-80,,3,3
2025-05-19 15:53:44.784625,0x433acb14,29.991026,34.664062,993.6546,261.98376,98,,,-2.0,-91,,3,3
2025-05-19 15:54:31.238575,0x433ad35c,32.06397,29.068726,989.31586,379.99326,53,,,5.75,-53,,3,3
2025-05-19 15:54:33.927977,0x433aad0c,33.723587,26.10895,988.8301,738.77545,31,,,-3.0,-92,,3,3
2025-05-19 15:54:44.745019,0x433acb14,30.037018,34.881424,993.69354,265.54816,95,,,4.0,-82,,3,3
2025-05-19 15:54:51.551124,0x433bc2b0,30.947094,29.43629,990.87866,278.492,48,,,5.75,-52,,3,3
2025-05-19 15:55:43.089095,0x433acb14,29.845343,34.923138,993.6834,271.8578,93,,,1.0,-87,,3,3
2025-05-19 15:56:44.222588,0x433acb14,29.814445,34.788834,993.6701,281.5464,89,,,-2.25,-91,,3,3
2025-05-19 15:57:31.269960,0x433ad35c,31.96619,29.155313,989.2969,357.55072,60,,,7.0,-55,,3,3
2025-05-19 15:57:34.187784,0x433aad0c,33.331497,26.243908,988.78754,737.96094,38,,,-0.5,-89,,3,3
2025-05-19 15:57:43.144137,0x433acb14,29.61415,32.479416,993.6469,311.6979,82,,,3.5,-82,,3,3
2025-05-19 15:57:52.170941,0x433bc2b0,30.943935,29.755732,990.86066,280.38876,50,,,7.75,-54,,3,3
2025-05-19 15:58:43.258866,0x433acb14,29.740232,35.062172,993.6875,326.41656,78,,,4.25,-79,,3,3
2025-05-19 15:59:43.169002,0x433acb14,29.558758,36.67075,993.62897,308.79703,79,,,5.5,-80,,3,3
2025-05-19 16:00:31.854707,0x433ad35c,31.377274,31.27752,989.26654,348.8719,62,,,5.5,-62,,3,3
2025-05-19 16:00:34.470904,0x433aad0c,33.028156,27.427843,988.8022,718.16583,44,,,2.5,-86,,3,3
2025-05-19 16:00:43.210859,0x433acb14,29.740232,36.291103,993.70984,294.54276,83,,,3.25,-82,,3,3
2025-05-19 16:00:52.868541,0x433bc2b0,30.94138,29.61885,990.8619,278.492,51,,,6.25,-53,,3,3
2025-05-19 16:01:43.234711,0x433acb14,29.804436,36.1036,993.68414,293.76044,83,,,3.0,-85,,3,3
2025-05-19 16:02:43.236078,0x433acb14,29.660898,36.121758,993.6636,292.7238,82,,,3.75,-81,,3,3
2025-05-19 16:03:31.378759,0x433ad35c,31.570213,29.91367,989.3025,351.09503,63,,,5.75,-57,,3,3
2025-05-19 16:03:34.031619,0x433aad0c,33.022945,27.219408,988.8521,701.60443,50,,,-4.0,-94,,3,3
2025-05-19 16:03:43.301083,0x433acb14,29.617393,36.309246,993.69604,294.28152,83,,,3.5,-81,,3,3
2025-05-19 16:03:52.838970,0x433bc2b0,30.86578,30.67405,990.90643,265.47205,60,,,6.75,-53,,3,3
2025-05-19 16:04:43.483826,0x433acb14,29.724876,35.589607,993.71857,298.7865,81,,,3.0,-84,,3,3
2025-05-19 16:05:43.844999,0x433acb14,29.381952,36.82852,993.63196,301.22778,80,,,4.25,-79,,3,3
2025-05-19 16:06:31.264685,0x433ad35c,31.364704,30.164534,989.2908,344.1502,66,,,5.75,-53,,3,3
2025-05-19 16:06:34.345806,0x433aad0c,32.547665,27.431473,988.8263,695.0473,52,,,3.75,-84,,3,3
