datetime,fromNode,ch3Voltage,ch3Current,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-05-19 15:03:58.270736,0x433aad0c,13.28,75.0,7.25,-74,,3,3
2025-05-19 15:08:29.145745,0x433bc2b0,13.23625,72.5,6.25,-53,,3,3
2025-05-19 15:09:59.684781,0x433bc2b0,13.25,61.25,6.25,-53,,3,3
2025-05-19 15:10:39.826659,0x433ad35c,13.375,62.5,5.0,-70,,3,3
2025-05-19 15:13:41.642492,0x433aad0c,13.2825,63.75,-1.0,-90,,3,3
2025-05-19 15:19:59.862735,0x433bc2b0,13.24375,61.25,5.75,-54,,3,3
2025-05-19 15:20:40.340859,0x433ad35c,13.35125,63.75,7.25,-55,,3,3
2025-05-19 15:23:41.764679,0x433aad0c,13.27625,72.5,5.25,-80,,3,3
2025-05-19 15:24:50.404436,0x433acb14,13.32875,82.5,3.75,-82,,3,3
2025-05-19 15:29:50.572253,0x433acb14,13.33375,63.75,2.0,-87,,3,3
2025-05-19 15:30:00.093839,0x433bc2b0,13.23375,67.5,6.25,-53,,3,3
2025-05-19 15:30:40.562278,0x433ad35c,13.32875,72.5,5.75,-53,,3,3
2025-05-19 15:33:45.640823,0x433aad0c,13.2775,61.25,4.75,-80,,3,3
2025-05-19 15:34:50.767606,0x433acb14,13.32625,75.0,2.75,-85,,3,3
2025-05-19 15:39:51.044522,0x433acb14,13.32875,63.75,3.25,-82,,3,3
2025-05-19 15:40:00.642596,0x433bc2b0,13.2425,62.5,7.0,-54,,3,3
2025-05-19 15:40:41.723449,0x433ad35c,13.32,62.5,6.0,-56,,3,3
2025-05-19 15:43:45.575531,0x433aad0c,13.275,62.5,,-88,,3,3
2025-05-19 15:44:51.203610,0x433acb14,13.32,65.0,3.25,-83,,3,3
2025-05-19 15:49:51.481277,0x433acb14,13.3275,63.75,3.75,-83,,3,3
2025-05-19 15:50:00.970720,0x433bc2b0,13.23875,65.0,5.75,-54,,3,3
2025-05-19 15:50:42.749427,0x433ad35c,13.30125,76.25,6.25,-60,,3,3
2025-05-19 15:53:46.478287,0x433aad0c,13.2725,66.25,1.25,-88,,3,3
2025-05-19 15:54:54.386798,0x433acb14,13.32375,72.5,4.25,-84,,3,3
2025-05-19 15:59:52.586293,0x433acb14,13.325,63.75,3.5,-82,,3,3
2025-05-19 16:00:02.847537,0x433bc2b0,13.23875,66.25,6.0,-54,,3,3
2025-05-19 16:00:46.794238,0x433ad35c,13.2975,60.0,6.0,-55,,3,3
2025-05-19 16:03:47.976314,0x433aad0c,13.27125,63.75,4.0,-82,,3,3
2025-05-19 16:04:52.140683,0x433acb14,13.3225,76.25,3.75,-84,,3,3
2025-05-19 16:09:55.815481,0x433acb14,13.32,78.75,2.25,-85,,3,3
2025-05-19 16:10:05.048712,0x433bc2b0,13.23,85.0,6.5,-54,,3,3
2025-05-19 16:10:47.252377,0x433ad35c,13.28375,73.75,5.5,-53,,3,3
2025-05-19 16:13:50.392384,0x433aad0c,13.27,63.75,4.5,-76,,3,3
2025-05-19 16:14:54.411239,0x433acb14,13.32125,75.0,-2.75,-92,,3,3
2025-05-19 16:19:55.478562,0x433acb14,13.32125,63.75,3.0,-85,,3,3
2025-05-19 16:20:07.508808,0x433bc2b0,13.24125,60.0,5.75,-53,,3,3
2025-05-19 16:20:50.203747,0x433ad35c,13.28375,63.75,6.25,-51,,3,3
2025-05-19 16:23:52.812414,0x433aad0c,13.26875,60.0,5.75,-74,,3,3
2025-05-19 16:24:57.495381,0x433acb14,13.3225,66.25,-7.5,-96,,3,3
2025-05-19 16:29:57.458688,0x433acb14,13.32125,61.25,0.75,-88,,3,3
2025-05-19 16:30:09.164589,0x433bc2b0,13.23875,60.0,5.75,-52,,3,3
2025-05-19 16:30:51.903810,0x433ad35c,13.27875,66.25,6.0,-53,,3,3
2025-05-19 16:33:57.463308,0x433aad0c,13.26625,65.0,5.5,-77,,3,3
