datetime,fromNode,batteryLevel,voltage,channelUtilization,airUtilTx,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-05-12 16:33:38.303118,0x43590ff4,101,4.215,3.6966667,1.6163335,,,1747092675,,5
2025-05-12 16:34:16.090246,0x43590ff4,101,4.239,3.6966667,1.6163335,,,1747092735,,5
2025-05-12 16:35:16.211997,0x43590ff4,100,4.196,3.6966667,1.60975,,,1747092795,,5
2025-05-12 16:36:16.223277,0x43590ff4,101,4.236,3.6966667,1.5789443,,,1747092855,,5
2025-05-12 16:37:16.252129,0x43590ff4,101,4.202,5.3933334,1.5481389,,,1747092915,,5
2025-05-12 16:38:07.122956,0x433b0b38,101,4.219,,2.1936388,6.75,-51,1747092966,5,5
2025-05-12 16:38:16.332216,0x43590ff4,101,4.227,5.56,1.5636666,,,1747092975,,5
2025-05-12 16:39:16.300175,0x43590ff4,101,4.224,3.6966667,1.5515555,,,1747093035,,5
2025-05-12 16:40:16.443061,0x43590ff4,101,4.211,3.6966667,1.5515555,,,1747093095,,5
2025-05-12 16:41:16.374165,0x43590ff4,100,4.199,3.6966667,1.5328611,,,1747093155,,5
2025-05-12 16:42:16.590176,0x43590ff4,101,4.25,4.2716665,1.5011666,,,1747093215,,5
2025-05-12 16:43:16.615287,0x43590ff4,100,4.196,3.6966667,1.5077499,,,1747093275,,5
2025-05-12 16:44:07.964791,0x433b0b38,101,4.21,,2.19275,7.0,-50,1747093327,5,5
2025-05-12 16:44:16.552194,0x43590ff4,101,4.202,5.56,1.4735278,,,1747093335,,5
2025-05-12 16:45:16.537204,0x43590ff4,99,4.183,3.6966667,1.4427222,,,1747093395,,5
2025-05-12 16:45:39.077004,0x433af864,98,4.172,3.6966667,1.4844445,5.75,-38,1747093418,3,3
2025-05-12 16:46:16.582263,0x43590ff4,101,4.233,5.6949997,1.459139,,,1747093455,,5
2025-05-12 16:47:16.794420,0x43590ff4,101,4.223,5.3933334,1.4116666,,,1747093516,5,5
2025-05-12 16:48:16.888569,0x43590ff4,101,4.225,5.8033333,1.4096389,,,1747093576,,5
2025-05-12 16:49:16.982554,0x43590ff4,101,4.229,3.6966667,1.3975277,,,1747093636,,5
2025-05-12 16:50:10.500425,0x433b0b38,100,4.197,,2.1500833,6.25,-50,1747093689,5,5
2025-05-12 16:50:16.874669,0x43590ff4,101,4.216,7.2183332,1.4096389,,,1747093696,,5
2025-05-12 16:51:17.089794,0x43590ff4,101,4.215,3.8033333,1.3909445,,,1747093756,,5
2025-05-12 16:52:16.972647,0x43590ff4,101,4.241,4.5449996,1.346,,,1747093816,,5
2025-05-12 16:53:17.157124,0x43590ff4,100,4.2,5.3933334,1.3414445,,,1747093876,,5
2025-05-12 16:54:17.036857,0x43590ff4,101,4.232,3.8866665,1.3106389,,,1747093936,,5
2025-05-12 16:55:17.275154,0x43590ff4,101,4.204,3.6966667,1.2919445,,,1747093996,,5
2025-05-12 16:56:10.476795,0x433b0b38,99,4.181,,2.1525557,6.25,-51,1747094049,5,5
2025-05-12 16:56:17.118201,0x43590ff4,99,4.187,5.56,1.27325,,,1747094056,,5
2025-05-12 16:57:17.158883,0x43590ff4,101,4.235,5.3933334,1.272361,,,1747094116,,5
2025-05-12 16:58:17.329072,0x43590ff4,101,4.229,4.423333,1.2536666,,,1747094176,,5
2025-05-12 16:59:17.358191,0x43590ff4,100,4.199,3.6966667,1.222861,,,1747094236,,5
2025-05-12 17:00:17.338120,0x43590ff4,101,4.219,3.6966667,1.1920556,,,1747094296,,5
2025-05-12 17:01:17.321146,0x43590ff4,101,4.208,3.6966667,1.1733611,,,1747094356,,5
2025-05-12 17:02:12.994274,0x433b0b38,100,4.191,,2.1375277,5.75,-52,1747094412,5,5
2025-05-12 17:02:17.407208,0x43590ff4,101,4.21,7.2566667,1.1425556,,,1747094416,,5
2025-05-12 17:03:17.441230,0x43590ff4,101,4.228,3.6966667,1.16125,,,1747094476,,5
2025-05-12 17:04:17.443160,0x43590ff4,101,4.243,4.818333,1.16125,,,1747094536,,5
2025-05-12 17:05:17.610383,0x43590ff4,100,4.197,3.6966667,1.1491389,,,1747094596,,5
2025-05-12 17:06:17.580491,0x43590ff4,101,4.217,3.6966667,1.1183333,,,1747094656,,5
2025-05-12 17:07:17.565593,0x43590ff4,100,4.197,5.3933334,1.0875279,,,1747094716,,5
2025-05-12 17:08:13.243250,0x433b0b38,97,4.161,0.7266667,2.1628888,6.25,-51,1747094772,5,5
2025-05-12 17:08:17.695396,0x43590ff4,101,4.225,5.53,1.0754167,,,1747094776,,5
2025-05-12 17:09:17.827538,0x43590ff4,101,4.241,3.6966667,1.0898056,,,1747094837,,5
2025-05-12 17:10:17.892588,0x43590ff4,101,4.249,3.6966667,1.0898056,,,1747094897,,5
2025-05-12 17:11:17.917563,0x43590ff4,101,4.221,3.6966667,1.0711111,,,1747094957,,5
2025-05-12 17:12:17.857518,0x43590ff4,101,4.258,3.8183331,1.0569723,,,1747095017,,5
2025-05-12 17:13:17.891504,0x43590ff4,101,4.24,4.7233334,1.0638611,,,1747095077,,5
2025-05-12 17:14:15.699553,0x433b0b38,100,4.192,,2.1532779,6.25,-51,1747095134,5,5
2025-05-12 17:15:18.139648,0x43590ff4,101,4.227,4.423333,1.0474445,,,1747095197,,5
2025-05-12 17:16:18.202924,0x43590ff4,101,4.238,3.6966667,1.0353333,,,1747095257,,5
2025-05-12 17:17:18.368889,0x43590ff4,101,4.21,4.2716665,0.9878611,,,1747095317,5,5
2025-05-12 17:18:18.401663,0x43590ff4,101,4.214,3.6966667,0.9924167,,,1747095377,,5
2025-05-12 17:19:18.630991,0x43590ff4,99,4.184,3.6966667,0.9924167,,,1747095437,,5
2025-05-12 17:20:17.335856,0x433b0b38,97,4.156,,2.1532779,6.25,-48,1747095496,5,5
2025-05-12 17:20:18.613976,0x43590ff4,100,4.197,4.6283336,0.989,,,1747095497,,5
2025-05-12 17:21:18.635173,0x43590ff4,101,4.214,3.6966667,1.0045278,,,1747095557,,5
2025-05-12 17:21:41.102249,0x433af864,100,4.19,3.6966667,1.7393334,6.0,-37,1747095580,3,3
2025-05-12 17:22:18.618588,0x43590ff4,101,4.217,4.695,0.9586944,,,1747095617,,5
2025-05-12 17:23:18.628987,0x43590ff4,101,4.231,4.5449996,0.9728333,,,1747095677,,5
2025-05-12 17:24:18.799283,0x43590ff4,99,4.176,3.6966667,0.9728333,,,1747095737,,5
2025-05-12 17:25:18.750428,0x43590ff4,101,4.227,3.6966667,0.9728333,,,1747095798,,5
2025-05-12 17:26:18.557648,0x433b0b38,98,4.168,,2.151,5.75,-50,1747095857,5,5
