datetime,fromNode,ch3Voltage,ch3Current,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-05-17 13:03:15.833179,0x433b0b38,12.97125,78.75,7.0,-20,,5,5
2025-05-17 13:08:16.736598,0x433b0b38,12.97125,75.0,6.25,-19,,5,5
2025-05-17 13:13:18.562639,0x433b0b38,12.9775,62.5,6.5,-21,,5,5
2025-05-17 13:18:20.128464,0x433b0b38,12.97625,68.75,6.75,-20,,5,5
2025-05-17 13:23:20.740704,0x433b0b38,12.96875,76.25,6.0,-18,,5,5
2025-05-17 13:28:21.361582,0x433b0b38,12.9725,78.75,6.0,-21,,5,5
2025-05-17 13:33:22.993195,0x433b0b38,12.9675,72.5,6.0,-21,,5,5
2025-05-17 13:38:24.571113,0x433b0b38,12.97,77.5,6.25,-21,,5,5
2025-05-17 13:43:25.974426,0x433b0b38,12.97,76.25,6.25,-21,,5,5
2025-05-17 13:48:26.003095,0x433b0b38,12.96875,80.0,6.0,-21,,5,5
2025-05-17 13:53:27.856362,0x433b0b38,12.96875,75.0,6.0,-19,,5,5
2025-05-17 13:58:28.804606,0x433b0b38,12.975,65.0,5.5,-23,,5,5
2025-05-17 14:03:29.636227,0x433b0b38,12.975,67.5,5.5,-19,,5,5
2025-05-17 14:08:30.851202,0x433b0b38,12.975,67.5,6.25,-21,,5,5
2025-05-17 14:13:32.258582,0x433b0b38,12.97375,66.25,5.75,-19,,5,5
2025-05-17 14:18:32.939342,0x433b0b38,12.975,67.5,5.5,-19,,5,5
2025-05-17 14:23:34.661661,0x433b0b38,12.97375,67.5,7.0,-19,,5,5
2025-05-17 14:28:35.259241,0x433b0b38,12.975,67.5,6.5,-20,,5,5
2025-05-17 14:33:36.752445,0x433b0b38,12.97,78.75,6.75,-20,,5,5
2025-05-17 14:38:39.162134,0x433b0b38,12.9725,63.75,6.75,-19,,5,5
2025-05-17 14:43:38.722591,0x433b0b38,12.975,71.25,6.0,-20,,5,5
2025-05-17 14:48:40.644295,0x433b0b38,12.975,66.25,6.0,-19,,5,5
2025-05-17 14:53:41.597623,0x433b0b38,12.975,63.75,6.5,-19,,5,5
2025-05-17 14:58:42.736390,0x433b0b38,12.96875,80.0,5.75,-22,,5,5
2025-05-17 15:03:43.834418,0x433b0b38,12.93875,137.5,6.5,-23,,5,5
2025-05-17 15:08:45.947229,0x433b0b38,12.96875,76.25,7.0,-23,,5,5
2025-05-17 15:13:45.754622,0x433b0b38,12.96875,82.5,6.75,-20,,5,5
2025-05-17 15:18:46.866364,0x433b0b38,12.9675,75.0,6.0,-18,,5,5
2025-05-17 15:23:48.045531,0x433b0b38,12.97625,67.5,6.5,-20,,5,5
2025-05-17 15:28:49.856182,0x433b0b38,12.97375,62.5,6.25,-20,,5,5
2025-05-17 15:33:50.892395,0x433b0b38,12.9725,61.25,6.25,-24,,5,5
