datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-05-17 11:17:15.243864,0x433b0b38,,,,,,,6.75,-27,,5,5
2025-05-17 11:17:58.883954,0x433b0b38,,,,,,,6.75,-30,,5,5
2025-05-17 11:18:58.918672,0x433b0b38,,,,,,,6.75,-31,,5,5
2025-05-17 11:19:59.888849,0x433b0b38,,,,,,,6.5,-31,,5,5
2025-05-17 11:20:59.271567,0x433b0b38,,,,,,,6.25,-25,,5,5
2025-05-17 11:21:59.964554,0x433b0b38,,,,,,,6.25,-18,,5,5
2025-05-17 11:23:00.370888,0x433b0b38,,,,,,,6.25,-21,,5,5
2025-05-17 11:23:59.937661,0x433b0b38,,,,,,,6.25,-21,,5,5
2025-05-17 11:25:00.632895,0x433b0b38,,,,,,,6.5,-21,,5,5
2025-05-17 11:26:01.267401,0x433b0b38,,,,,,,6.25,-26,,5,5
2025-05-17 11:27:00.962921,0x433b0b38,,,,,,,6.0,-29,,5,5
2025-05-17 11:28:00.878991,0x433b0b38,,,,,,,6.25,-28,,5,5
2025-05-17 11:29:02.774746,0x433b0b38,,,,,,,6.5,-26,,5,4
2025-05-17 11:30:01.346515,0x433b0b38,,,,,,,6.5,-24,,5,5
2025-05-17 11:31:01.863841,0x433b0b38,,,,,,,6.25,-24,,5,5
2025-05-17 11:32:01.774857,0x433b0b38,,,,,,,6.25,-28,,5,5
2025-05-17 11:33:01.998465,0x433b0b38,,,,,,,6.25,-28,,5,5
2025-05-17 11:34:02.230788,0x433b0b38,,,,,,,6.5,-27,,5,5
2025-05-17 11:35:02.574414,0x433b0b38,,,,,,,6.25,-25,,5,5
2025-05-17 11:36:02.787800,0x433b0b38,,,,,,,6.25,-31,,5,5
2025-05-17 11:37:02.966394,0x433b0b38,,,,,,,6.25,-27,,5,5
2025-05-17 11:38:03.329010,0x433b0b38,,,,,,,6.25,-24,,5,5
2025-05-17 11:39:03.911692,0x433b0b38,,,,,,,6.75,-25,,5,5
2025-05-17 11:40:04.022832,0x433b0b38,,,,,,,6.5,-25,,5,5
2025-05-17 11:41:03.887773,0x433b0b38,,,,,,,6.0,-21,,5,5
2025-05-17 11:42:04.233933,0x433b0b38,,,,,,,6.5,-23,,5,5
2025-05-17 11:43:04.422654,0x433b0b38,,,,,,,6.0,-28,,5,5
2025-05-17 11:44:04.582680,0x433b0b38,,,,,,,6.0,-27,,5,5
2025-05-17 11:45:04.823577,0x433b0b38,,,,,,,7.25,-29,,5,5
2025-05-17 11:46:05.020638,0x433b0b38,,,,,,,6.25,-24,,5,5
2025-05-17 11:47:05.753446,0x433b0b38,,,,,,,7.0,-20,,5,5
2025-05-17 11:48:05.656813,0x433b0b38,,,,,,,6.25,-21,,5,5
2025-05-17 11:49:06.068480,0x433b0b38,,,,,,,6.5,-22,,5,5
2025-05-17 11:50:05.934444,0x433b0b38,,,,,,,5.75,-26,,5,5
2025-05-17 11:51:06.201053,0x433b0b38,,,1,,,1,5.75,-22,,5,5
2025-05-17 11:52:06.502684,0x433b0b38,,,,,,,6.25,-23,,5,5
2025-05-17 11:53:06.733676,0x433b0b38,,,,,,,6.25,-24,,5,5
2025-05-17 11:54:07.078926,0x433b0b38,,,,,,,5.5,-25,,5,5
2025-05-17 11:55:07.088772,0x433b0b38,,,,,,,6.25,-23,,5,5
2025-05-17 11:56:07.320389,0x433b0b38,,,,,,,6.0,-23,,5,5
2025-05-17 11:57:07.725967,0x433b0b38,,,,,,,6.0,-28,,5,5
2025-05-17 11:58:08.978549,0x433b0b38,,,,,,,7.25,-25,,5,5
2025-05-17 11:59:08.063945,0x433b0b38,,,,,,,6.25,-25,,5,5
2025-05-17 12:00:08.251714,0x433b0b38,,,,,,,7.0,-28,,5,5
2025-05-17 12:01:08.523938,0x433b0b38,,,,,,,6.0,-27,,5,5
2025-05-17 12:02:08.713708,0x433b0b38,,,,,,,6.0,-25,,5,5
2025-05-17 12:03:09.161617,0x433b0b38,,,,,,,6.25,-26,,5,5
