datetime,fromNode,batteryLevel,voltage,channelUtilization,airUtilTx,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-05-17 11:17:55.306628,0x433e9c88,101,4.218,6.9366665,0.027111111,,,,3,3
2025-05-17 11:18:55.528726,0x433e9c88,98,4.163,6.351667,0.07636111,,,,,3
2025-05-17 11:19:55.486953,0x433e9c88,98,4.17,3.6966667,0.07636111,,,,,3
2025-05-17 11:20:30.984167,0x433b0b38,98,4.173,3.6966667,0.5188055,6.75,-26,,5,5
2025-05-17 11:20:55.538101,0x433e9c88,100,4.2,5.6400003,0.11125,,,,,3
2025-05-17 11:21:55.584994,0x433e9c88,100,4.19,3.6966667,0.11125,,,,,3
2025-05-17 11:22:55.562557,0x433e9c88,100,4.196,3.6966667,0.12336111,,,,,3
2025-05-17 11:23:55.743362,0x433e9c88,100,4.199,4.2716665,0.16830556,,,,,3
2025-05-17 11:24:55.784242,0x433e9c88,99,4.185,2.575,0.16830556,,,,,3
2025-05-17 11:25:55.691337,0x433e9c88,99,4.178,2.575,0.16830556,,,,,3
2025-05-17 11:26:31.776918,0x433b0b38,101,4.215,3.6966667,0.7339722,6.0,-25,,5,5
2025-05-17 11:26:55.806089,0x433e9c88,100,4.193,4.5183334,0.187,,,,,3
2025-05-17 11:27:55.771770,0x433e9c88,97,4.161,2.575,0.187,,,,,3
2025-05-17 11:28:55.973475,0x433e9c88,101,4.226,4.2716665,0.20569444,,,,,3
2025-05-17 11:29:55.862733,0x433e9c88,100,4.19,3.6966667,0.21780555,,,,,3
2025-05-17 11:30:13.878679,0x43590ff4,101,4.256,3.6966667,0.43644443,8.0,-54,,5,5
2025-05-17 11:30:55.999054,0x433e9c88,99,4.18,7.568333,0.26408333,,,,,3
2025-05-17 11:31:56.151429,0x433e9c88,98,4.165,2.575,0.26408333,,,,,3
2025-05-17 11:32:31.499658,0x433b0b38,100,4.199,3.6966667,0.9491389,6.5,-23,,5,5
2025-05-17 11:32:54.997295,0x433af864,101,4.203,4.5183334,0.72375,6.0,-30,,3,3
2025-05-17 11:32:56.025743,0x433e9c88,100,4.199,4.6966667,0.2809722,,,,,3
2025-05-17 11:33:56.157202,0x433e9c88,97,4.156,2.4233334,0.31380555,,,,,3
2025-05-17 11:34:56.282183,0x433e9c88,101,4.215,0.7266667,0.32591665,,,,,3
2025-05-17 11:35:56.160788,0x433e9c88,99,4.183,0.7266667,0.33802778,,,,,3
2025-05-17 11:36:56.318720,0x433e9c88,100,4.194,1.8483334,0.35672224,,,,,3
2025-05-17 11:37:56.257269,0x433e9c88,100,4.19,0.7266667,0.36883333,,,,,3
2025-05-17 11:38:31.674806,0x433b0b38,100,4.191,5.3933334,1.1784445,6.5,-24,,5,5
2025-05-17 11:38:56.490233,0x433e9c88,101,4.206,4.366667,0.38297224,,,,,3
2025-05-17 11:39:56.517197,0x433e9c88,101,4.228,0.7266667,0.38297224,,,,,3
2025-05-17 11:40:56.576102,0x433e9c88,101,4.201,,0.41377777,,,,,3
2025-05-17 11:41:56.429970,0x433e9c88,98,4.168,,0.41377777,,,,,3
2025-05-17 11:42:56.526499,0x433e9c88,99,4.18,3.6966667,0.41377777,,,,,3
2025-05-17 11:43:56.651816,0x433e9c88,99,4.183,6.2416663,0.4324722,,,,,3
2025-05-17 11:44:32.022013,0x433b0b38,100,4.196,3.6966667,1.3936111,6.25,-25,,5,5
2025-05-17 11:44:56.566582,0x433e9c88,101,4.227,4.5183334,0.4632778,,,,,3
2025-05-17 11:45:56.611584,0x433e9c88,100,4.194,2.575,0.48197225,,,,,3
2025-05-17 11:46:56.656800,0x433e9c88,98,4.172,2.575,0.5127778,,,,,3
2025-05-17 11:47:56.797885,0x433e9c88,101,4.201,2.575,0.5127778,,,,,3
2025-05-17 11:48:56.939215,0x433e9c88,101,4.204,3.15,0.5127778,,,,,3
2025-05-17 11:49:56.858922,0x433e9c88,100,4.194,1.4533334,0.5314722,,,,,3
2025-05-17 11:50:32.728751,0x433b0b38,101,4.213,3.6966667,1.6087778,5.5,-25,,5,5
2025-05-17 11:50:57.014454,0x433e9c88,99,4.188,3.3966668,0.56227773,,,,,3
2025-05-17 11:51:56.986549,0x433e9c88,101,4.221,1.56,0.57527775,,,,,3
2025-05-17 11:52:57.057982,0x433e9c88,101,4.225,1.4533334,0.57527775,,,,,3
2025-05-17 11:53:57.128502,0x433e9c88,100,4.198,3.9983332,0.57527775,,,,3,3
2025-05-17 11:54:57.187898,0x433e9c88,98,4.173,4.6683335,0.61063886,,,,,3
2025-05-17 11:55:57.372915,0x433e9c88,99,4.185,1.4533334,0.62275,,,,,3
2025-05-17 11:56:32.845284,0x433b0b38,97,4.148,3.6966667,1.8410279,6.0,-25,,5,5
2025-05-17 11:56:57.374989,0x433e9c88,101,4.238,3.3966668,0.62275,,,,,3
2025-05-17 11:57:57.292881,0x433e9c88,101,4.207,1.4533334,0.6348611,,,,,3
2025-05-17 11:58:57.337811,0x433e9c88,100,4.197,3.15,0.6348611,,,,,3
2025-05-17 11:59:57.404020,0x433e9c88,101,4.201,1.4533334,0.6656667,,,,,3
2025-05-17 12:00:14.976739,0x43590ff4,101,4.224,3.6966667,0.9239445,5.75,-53,,5,5
2025-05-17 12:00:57.531941,0x433e9c88,98,4.174,3.4233332,0.67777777,,,,,3
2025-05-17 12:01:57.579259,0x433e9c88,101,4.227,1.4533334,0.6898889,,,,,3
2025-05-17 12:02:32.646246,0x433b0b38,101,4.212,3.6966667,2.072611,7.0,-20,,5,5
2025-05-17 12:02:57.883386,0x433e9c88,101,4.205,5.6400003,0.7060833,,,,,3
2025-05-17 12:03:57.618267,0x433e9c88,101,4.238,4.2716665,0.7181944,,,,,3
2025-05-17 12:04:57.635439,0x433e9c88,100,4.197,1.4533334,0.7368889,,,,,3
2025-05-17 12:05:57.699648,0x433e9c88,98,4.174,2.575,0.749,,,,,3
2025-05-17 12:06:58.266539,0x433e9c88,98,4.174,2.575,0.749,,,,,3
2025-05-17 12:07:58.549168,0x433e9c88,101,4.222,1.4533334,0.749,,,,,3
2025-05-17 12:08:32.820164,0x433b0b38,99,4.177,6.2416663,2.2405555,6.25,-23,,5,5
2025-05-17 12:08:56.969755,0x433af864,99,4.18,6.215,1.0419444,6.25,-20,,3,3
2025-05-17 12:08:58.247575,0x433e9c88,101,4.214,7.9683332,0.78208333,,,,,3
2025-05-17 12:09:58.294007,0x433e9c88,98,4.165,2.575,0.8007778,,,,,3
2025-05-17 12:10:58.341313,0x433e9c88,99,4.177,1.4533334,0.8007778,,,,,3
2025-05-17 12:11:58.329733,0x433e9c88,101,4.224,1.4533334,0.8315833,,,,,3
2025-05-17 12:12:58.347751,0x433e9c88,101,4.202,1.56,0.8445833,,,,,3
2025-05-17 12:13:58.731637,0x433e9c88,100,4.193,4.2716665,0.8632778,,,,,3
2025-05-17 12:14:33.130712,0x433b0b38,101,4.202,3.6966667,2.241,6.25,-27,,5,5
2025-05-17 12:14:58.847683,0x433e9c88,101,4.205,4.5183334,0.89816666,,,,,3
2025-05-17 12:15:59.133015,0x433e9c88,99,4.182,1.4533334,0.9168611,,,,,3
