datetime,fromNode,temperature,relativeHumidity,barometricPressure,gasResistance,iaq,windDirection,windSpeed,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-05-17 11:17:15.223764,0x433b0b38,25.789316,37.329994,1011.446,313.3415,74,,,7.25,-29,,5,5
2025-05-17 11:17:58.286099,0x433b0b38,25.922945,37.075764,1011.40125,315.6597,72,,,6.5,-33,,5,5
2025-05-17 11:18:57.090872,0x433b0b38,26.04625,36.738255,1011.3906,328.09998,66,,,6.0,-27,,5,5
2025-05-17 11:19:57.006303,0x433b0b38,26.13379,36.514896,1011.4972,336.1786,61,,,6.75,-24,,5,5
2025-05-17 11:20:57.673414,0x433b0b38,26.246923,36.466026,1011.46204,339.52252,59,,,6.0,-24,,5,5
2025-05-17 11:21:57.619126,0x433b0b38,26.28035,36.337738,1011.46747,351.407,53,,,6.25,-18,,5,5
2025-05-17 11:22:57.631997,0x433b0b38,26.388342,36.103867,1011.4621,356.17392,50,,,6.25,-21,,5,5
2025-05-17 11:23:57.111383,0x433b0b38,26.49365,35.966915,1011.4939,355.43216,50,,,6.0,-21,,5,5
2025-05-17 11:24:57.136258,0x433b0b38,26.532219,35.87246,1011.4881,365.7143,48,,,6.25,-20,,5,5
2025-05-17 11:25:57.679087,0x433b0b38,26.5889,35.76245,1011.42773,383.66428,42,,,6.5,-23,,5,5
2025-05-17 11:26:57.443092,0x433b0b38,26.67118,35.608006,1011.45844,383.23352,43,,,6.5,-26,,5,5
2025-05-17 11:27:57.259425,0x433b0b38,26.676323,35.71717,1011.47723,388.68857,43,,,7.0,-26,,5,5
2025-05-17 11:28:57.734368,0x433b0b38,26.735346,35.617176,1011.4446,393.16568,44,,,6.25,-23,,5,5
2025-05-17 11:29:57.836186,0x433b0b38,26.81517,35.459476,1011.46234,386.92612,48,,,6.0,-25,,5,5
2025-05-17 11:30:57.272067,0x433b0b38,26.809914,35.518887,1011.46857,393.61905,48,,,5.75,-24,,5,5
